Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"OCCP - 4 Digit Level by SEXP Sex"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"SEXP Sex","Male","Female","Total",
"OCCP - 4 Digit Level",
"Managers, nfd",24878,11756,36635,
"Chief Executives, General Managers and Legislators, nfd",414,194,609,
"Chief Executives and Managing Directors",45888,12438,58325,
"General Managers",37023,15249,52270,
"Legislators",1228,845,2073,
"Farmers and Farm Managers, nfd",7592,2877,10468,
"Aquaculture Farmers",1406,251,1658,
"Crop Farmers",30158,10015,40171,
"Livestock Farmers",45248,20833,66082,
"Mixed Crop and Livestock Farmers",17248,5802,23045,
"Specialist Managers, nfd",15912,8286,24196,
"Advertising, Public Relations and Sales Managers",65449,45635,111086,
"Business Administration Managers, nfd",3176,2768,5942,
"Corporate Services Managers",2709,4490,7199,
"Finance Managers",25316,21698,47012,
"Human Resource Managers",19322,26024,45347,
"Policy and Planning Managers",9268,12004,21268,
"Research and Development Managers",5913,5048,10965,
"Construction, Distribution and Production Managers, nfd",2063,458,2522,
"Construction Managers",85492,6883,92380,
"Engineering Managers",14093,1331,15421,
"Importers, Exporters and Wholesalers",11904,4034,15940,
"Manufacturers",9969,3124,13085,
"Production Managers",40462,7645,48109,
"Supply, Distribution and Procurement Managers",25424,7127,32553,
"Education, Health and Welfare Services Managers, nfd",296,590,886,
"Child Care Centre Managers",936,10249,11179,
"Health and Welfare Services Managers",6380,17872,24250,
"School Principals",8187,12427,20616,
"Other Education Managers",4272,6777,11047,
"ICT Managers",46718,12415,59130,
"Miscellaneous Specialist Managers, nfd",224,78,299,
"Commissioned Officers (Management)",7511,1299,8818,
"Senior Non-commissioned Defence Force Members",2509,436,2939,
"Other Specialist Managers",29928,19839,49771,
"Hospitality, Retail and Service Managers, nfd",1211,908,2121,
"Accommodation and Hospitality Managers, nfd",801,591,1391,
"Cafe and Restaurant Managers",25086,28808,53892,
"Caravan Park and Camping Ground Managers",1724,1571,3298,
"Hotel and Motel Managers",11320,8621,19943,
"Licensed Club Managers",3282,2475,5758,
"Other Accommodation and Hospitality Managers",2523,3820,6338,
"Retail Managers",93373,91381,184751,
"Miscellaneous Hospitality, Retail and Service Managers, nfd",739,390,1130,
"Amusement, Fitness and Sports Centre Managers",5894,4686,10580,
"Call or Contact Centre and Customer Service Managers",21185,16664,37849,
"Conference and Event Organisers",5076,15428,20505,
"Transport Services Managers",13352,2856,16203,
"Other Hospitality, Retail and Service Managers",35636,17366,52997,
"Professionals, nfd",18464,19695,38159,
"Arts and Media Professionals, nfd",318,214,535,
"Arts Professionals, nfd",1098,1604,2703,
"Actors, Dancers and Other Entertainers",2992,2963,5958,
"Music Professionals",5923,2453,8375,
"Photographers",5715,5428,11144,
"Visual Arts and Crafts Professionals",2277,3074,5355,
"Media Professionals, nfd",1003,1433,2433,
"Artistic Directors, and Media Producers and Presenters",5651,4249,9900,
"Authors, and Book and Script Editors",1581,3158,4744,
"Film, Television, Radio and Stage Directors",6625,2665,9290,
"Journalists and Other Writers",8362,10797,19157,
"Business, Human Resource and Marketing Professionals, nfd",1258,1324,2584,
"Accountants, Auditors and Company Secretaries, nfd",231,204,434,
"Accountants",70645,75757,146399,
"Auditors, Company Secretaries and Corporate Treasurers",9393,8533,17924,
"Financial Brokers and Dealers, and Investment Advisers, nfd",605,353,959,
"Financial Brokers",16308,8274,24580,
"Financial Dealers",11378,4980,16365,
"Financial Investment Advisers and Managers",21864,9592,31455,
"Human Resource and Training Professionals, nfd",113,219,334,
"Human Resource Professionals",15758,39565,55323,
"ICT Trainers",995,878,1874,
"Training and Development Professionals",7671,10605,18273,
"Information and Organisation Professionals, nfd",380,313,701,
"Actuaries, Mathematicians and Statisticians",3179,2432,5615,
"Archivists, Curators and Records Managers",1683,4040,5718,
"Economists",1931,968,2899,
"Intelligence and Policy Analysts",6190,10062,16252,
"Land Economists and Valuers",9192,3095,12285,
