Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"SAL (EN) by LLDD Landlord Type"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"LLDD Landlord Type","Real estate agent","State or territory housing authority","Community housing provider","Person not in the same household - parent/other relative","Person not in the same household - other person","Owner/Manager of a residential park (including caravan parks and manufactured home estates)","Employer - Government (includes Defence Housing Australia)","Employer - other employer","Not stated","Not applicable","Total",
"SAL (EN)",
"ACT Remainder - Belconnen",0,0,0,0,0,0,0,3,0,9,11,
"ACT Remainder - Booth",0,0,0,0,3,4,0,0,0,15,25,
"ACT Remainder - Canberra Central",0,0,0,0,0,0,0,0,0,0,0,
"ACT Remainder - Coree",0,0,0,0,0,0,0,0,0,0,0,
"ACT Remainder - Cotter River",0,0,0,0,0,0,0,0,0,0,0,
"ACT Remainder - Gungahlin",0,0,0,0,3,3,0,0,0,16,15,
"ACT Remainder - Hall",0,0,0,0,0,0,0,0,0,0,0,
"ACT Remainder - Jerrabomberra",0,0,0,0,0,0,0,0,0,3,3,
"ACT Remainder - Kowen",0,0,0,0,0,0,0,0,0,8,7,
"ACT Remainder - Majura",0,0,0,0,8,0,5,0,0,19,33,
"ACT Remainder - Molonglo Valley",0,0,0,0,0,0,0,0,0,4,3,
"ACT Remainder - Paddys River",0,0,0,0,4,0,0,5,0,29,41,
"ACT Remainder - Rendezvous Creek",0,0,0,0,0,0,0,0,0,0,0,
"ACT Remainder - Stromlo",3,0,0,0,3,0,0,5,0,11,19,
"ACT Remainder - Tuggeranong",0,0,0,0,4,0,0,0,0,12,16,
"ACT Remainder - Weston Creek",0,0,0,0,0,0,0,0,0,0,3,
"Acton (ACT)",0,0,0,0,0,0,0,0,0,11,12,
"Ainslie",200,305,33,34,102,0,3,7,9,1581,2269,
"Amaroo (ACT)",336,81,3,31,52,0,66,8,0,1571,2150,
"Aranda",67,9,0,12,50,0,0,11,5,818,973,
"Banks",138,77,6,37,42,0,15,8,5,1544,1865,
"Barton",381,4,0,18,68,0,11,0,0,698,1182,
"Beard",0,0,0,0,0,0,0,0,0,0,0,
"Belconnen",1843,205,27,133,367,4,12,56,3,2085,4739,
"Bonner",416,52,67,33,83,0,29,24,5,1542,2242,
"Bonython",175,105,0,31,76,0,15,6,0,1134,1550,
"Braddon",1452,140,39,111,346,9,30,29,9,2004,4155,
"Bruce (ACT)",880,18,14,84,233,0,84,46,6,1617,2983,
"Calwell",165,51,4,46,44,0,0,3,0,1834,2148,
"Campbell",477,34,17,27,92,0,154,10,3,1754,2558,
"Canberra Airport",13,0,0,0,14,4,0,12,0,16,55,
"Capital Hill",0,0,0,0,0,0,0,0,0,0,3,
"Casey",428,36,9,35,83,0,56,12,3,1685,2338,
"Chapman",49,43,3,7,15,0,0,0,4,961,1084,
"Charnwood",99,163,11,30,45,0,0,14,4,908,1277,
"Chifley (ACT)",202,48,5,24,59,0,4,6,3,847,1194,
"Chisholm (ACT)",116,149,4,47,57,0,0,10,0,1599,1981,
"City",925,4,7,68,191,3,7,16,4,1332,2554,
"Conder",113,82,33,32,39,0,23,0,0,1523,1845,
"Cook",141,60,3,31,64,0,0,6,4,1044,1345,
"Coombs",266,105,5,29,58,0,15,9,0,1412,1893,
"Crace",297,21,48,19,73,0,103,11,5,1207,1783,
"Curtin",310,81,8,49,73,0,0,7,7,1675,2201,
"Deakin",149,41,9,19,51,0,7,0,0,1115,1392,
"Denman Prospect",71,36,5,9,14,0,3,3,0,930,1079,
"Dickson",428,70,8,35,124,0,6,8,3,952,1638,
"Downer",239,139,17,29,145,0,5,26,9,1194,1799,
"Duffy",98,82,3,10,29,0,11,9,0,1093,1329,
"Dunlop",198,121,3,41,58,0,12,14,3,2107,2565,
"Evatt",185,98,5,41,96,0,0,13,6,1623,2067,
"Fadden",44,0,0,8,18,0,0,4,0,1026,1103,
"Farrer",113,33,0,17,44,0,0,13,0,1268,1495,
"Fisher (ACT)",118,49,9,18,43,0,0,12,5,1085,1332,
"Florey",241,237,9,48,93,0,0,16,4,1333,1969,
"Flynn (ACT)",80,46,0,11,44,0,4,4,7,1112,1304,
"Forde",208,12,16,14,44,0,15,5,4,1133,1449,
"Forrest (ACT)",193,13,0,12,34,3,0,3,0,757,1019,
"Franklin (ACT)",743,39,10,66,230,0,82,51,8,1615,2850,
"Fraser",29,18,0,6,13,0,0,0,0,701,784,
"Fyshwick",0,0,0,0,8,0,0,0,0,14,25,
"Garran",234,53,0,19,57,0,12,8,6,997,1394,
"Gilmore (ACT)",88,85,0,16,29,0,0,0,4,777,997,
"Giralang",105,42,3,20,62,0,0,8,0,1040,1288,
"Gordon (ACT)",251,154,6,51,81,0,8,13,6,2463,3036,
"Gowrie (ACT)",61,69,0,7,36,0,0,0,0,982,1159,
"Greenway",580,72,8,52,99,0,0,11,3,1592,2420,
"Griffith (ACT)",675,104,0,36,136,6,25,16,3,1705,2727,
"Gungahlin",1100,102,29,65,250,0,107,64,10,1928,3656,
"Hackett",150,56,9,20,46,0,0,6,4,1027,1312,
"Hall",13,6,0,6,0,0,0,0,0,102,130,
"Harrison",760,25,36,37,184,0,188,38,6,1722,2998,
"Hawker (ACT)",145,44,4,19,50,0,0,9,3,994,1274,
"Higgins",106,77,8,9,60,0,0,13,8,1044,1325,
"Holder (ACT)",113,46,0,21,35,0,0,0,0,968,1183,
"Holt",259,169,35,69,83,0,8,10,7,1877,2514,
"Hughes (ACT)",145,61,7,21,44,0,0,3,0,967,1253,
"Hume",0,0,0,0,0,0,0,0,0,8,10,
"Isaacs",84,24,6,10,30,0,0,5,0,832,995,
"Isabella Plains",155,41,5,40,68,0,0,13,0,1391,1712,
"Jacka",44,13,11,4,11,0,0,3,0,171,255,
"Kaleen",244,159,24,37,183,0,0,21,4,2216,2892,
"Kambah",439,503,31,118,154,0,0,30,3,5055,6335,
"Kingston (ACT)",1356,54,3,79,228,5,28,20,0,2424,4207,
"Latham (ACT)",110,92,7,37,53,0,3,10,0,1192,1495,
"Lawson (ACT)",313,5,9,18,92,0,6,19,0,638,1095,
"Lyneham",677,203,19,73,222,3,31,26,6,1632,2886,
"Lyons (ACT)",317,73,7,40,113,0,10,28,4,932,1528,
"Macarthur (ACT)",22,4,0,8,13,0,0,0,0,452,501,
"Macgregor (ACT)",277,92,4,58,76,0,0,14,4,2134,2663,
"Macnamara",0,0,0,0,0,0,0,0,0,0,0,
"Macquarie",213,127,6,51,74,0,4,5,6,961,1451,
"Mawson",271,94,3,28,83,4,0,11,3,1039,1546,
"McKellar",63,73,5,8,31,0,0,10,0,838,1028,
"Melba",97,83,12,33,35,0,6,0,0,1032,1291,
"Mitchell (ACT)",0,0,0,0,0,0,0,0,0,0,4,
"Molonglo",0,0,0,0,0,0,0,0,0,0,0,
"Monash (ACT)",185,103,6,34,79,0,0,8,5,1864,2288,
"Moncrieff",176,106,10,10,28,0,43,19,3,1326,1716,
"Narrabundah",400,244,65,30,143,3,3,15,12,1889,2799,
"Ngunnawal",607,156,12,100,146,0,26,31,4,3254,4341,
"Nicholls",176,52,3,24,39,0,36,7,0,2059,2397,
"O'Connor (ACT)",364,214,30,50,200,0,7,23,9,1614,2507,
"O'Malley",19,0,0,4,7,0,0,0,0,323,364,
"Oaks Estate",22,16,13,6,9,0,0,4,0,144,215,
"Oxley (ACT)",48,56,6,11,25,0,0,0,0,509,649,
"Page",200,66,7,16,85,0,0,16,0,912,1309,
"Palmerston (ACT)",313,113,6,39,90,0,10,13,0,1591,2183,
"Parkes (ACT)",0,0,0,0,0,0,0,0,0,0,3,
"Pearce",137,47,26,25,40,0,0,9,3,886,1164,
"Phillip",944,82,5,77,199,4,10,30,6,1680,3025,
"Pialligo",0,0,0,5,7,0,0,0,0,34,48,
"Red Hill (ACT)",142,23,0,4,61,0,0,6,0,942,1170,
"Reid (ACT)",140,96,8,19,61,0,0,10,0,573,909,
"Richardson",77,138,3,34,39,0,0,5,0,889,1184,
"Rivett",95,152,13,27,31,0,0,6,3,1067,1397,
"Russell",0,0,0,0,0,0,0,0,0,0,4,
"Scullin",167,109,7,15,79,0,0,6,0,898,1277,
"Spence (ACT)",55,92,4,14,27,0,0,0,0,811,997,
"Stirling (ACT)",61,47,0,5,39,0,17,3,4,655,833,
"Strathnairn",6,0,0,4,0,0,0,5,0,268,283,
"Symonston",4,21,0,7,4,51,0,3,0,321,406,
"Taylor",46,60,6,4,15,0,20,3,0,527,683,
"Tharwa",0,5,0,0,3,0,0,10,0,18,37,
"Theodore (ACT)",86,81,0,36,40,0,0,4,0,1166,1415,
"Throsby",50,36,5,0,25,0,38,10,0,594,754,
"Torrens",117,52,3,11,28,0,0,0,0,703,922,
"Turner",761,120,3,71,207,0,23,18,0,1299,2507,
"Uriarra Village",0,3,0,0,0,0,0,0,0,97,100,
"Wanniassa",229,235,12,60,90,0,0,9,0,2498,3127,
"Waramanga",123,115,9,16,41,0,0,7,6,869,1190,
"Watson",481,134,10,56,167,4,37,25,6,2020,2940,
"Weetangera",62,0,0,20,44,0,5,9,6,859,1006,
"Weston (ACT)",163,69,17,26,45,0,39,9,3,1243,1608,
"Whitlam",0,0,0,0,0,0,0,0,0,0,0,
"Wright",336,23,4,35,62,0,13,11,0,1147,1622,
"Yarralumla",158,60,9,24,46,0,9,6,0,1119,1428,
"Migratory - Offshore - Shipping (ACT)",0,0,0,0,0,0,0,0,0,0,0,
"Total",29056,8671,1036,3388,8375,131,1557,1282,293,133359,187153,

"Dataset: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
