suburb,year_2006,year_2011,year_2016,year_2021
Acton,0.09375,0.05454545454545454,0.0,0.0
Ainslie,0.18484992853739876,0.15266485998193316,0.14586994727592267,0.13442044953724108
Amaroo,0.026680896478121666,0.03674540682414698,0.027777777777777776,0.037674418604651164
Aranda,0.01904761904761905,0.019507186858316223,0.015789473684210527,0.009249743062692703
Banks,0.04225352112676056,0.043550165380374865,0.03808487486398259,0.04128686327077748
Barton,0.0,0.0,0.0,0.00338409475465313
Belconnen,0.14285714285714285,0.11508282476024412,0.06886137118695258,0.04325807132306394
Bonner,0.0,0.01675041876046901,0.018518518518518517,0.0231935771632471
Bonython,0.061192873741285826,0.07326732673267326,0.0664516129032258,0.06774193548387097
Braddon,0.14708785784797632,0.15213882163034706,0.07510659232535258,0.03369434416365824
Bruce,0.004570383912248629,0.003587443946188341,0.0071633237822349575,0.006034193764666443
Calwell,0.024079320113314446,0.02791996277338297,0.02654867256637168,0.023743016759776536
Campbell,0.02328589909443726,0.018018018018018018,0.01878522229179712,0.013291634089132134
Chapman,0.0,0.019743336623889437,0.03060217176702863,0.03966789667896679
Charnwood,0.16455696202531644,0.1550632911392405,0.1331738437001595,0.12764291307752546
Chifley,0.04981203007518797,0.059674502712477394,0.04324801412180053,0.04020100502512563
Chisholm,0.07497360084477296,0.06929133858267716,0.07278318810866223,0.07521453811206462
City,0.01364522417153996,0.003940110323089046,0.002434570906877663,0.0015661707126076742
Conder,0.040143798681845415,0.06566499721758487,0.058469945355191254,0.044444444444444446
Cook,0.048458149779735685,0.050110537951363304,0.04586466165413534,0.04460966542750929
Curtin,0.0332409972299169,0.041647385469689956,0.037209302325581395,0.03680145388459791
Deakin,0.049700085689802914,0.03863987635239567,0.03476331360946745,0.029454022988505746
Dickson,0.1111111111111111,0.10039370078740158,0.06337371854613234,0.042735042735042736
Downer,0.08887425938117183,0.08661926308985132,0.08734746307000642,0.07726514730405781
Duffy,0.054076539101497505,0.06973058637083994,0.06521739130434782,0.06170052671181339
Dunlop,0.04844124700239808,0.04837430610626487,0.044583496284708646,0.04717348927875244
Evatt,0.06475531389026198,0.053857350800582245,0.049172346640701074,0.04741170778906628
Fadden,0.0,0.0,0.0,0.0
Farrer,0.033409263477600606,0.03481481481481481,0.02735562310030395,0.022073578595317726
Fisher,0.03609831029185868,0.03555219364599092,0.03732503888024884,0.03678678678678678
Florey,0.12752721617418353,0.1383679675620882,0.12671059300557527,0.12036566785170137
Flynn,0.04620203602192639,0.03896103896103896,0.03508771929824561,0.0352760736196319
Forrest,0.012844036697247707,0.0103397341211226,0.013189448441247002,0.012757605495583905
Franklin,,0.025906735751295335,0.012699713232281851,0.01368421052631579
Fraser,0.036601307189542485,0.03367875647668394,0.027450980392156862,0.02295918367346939
Fyshwick,0.0,,0.0,0.0
Garran,0.0344053851907255,0.03507462686567164,0.037091988130563795,0.03802008608321377
Gilmore,0.10602910602910603,0.11188811188811189,0.0946215139442231,0.08525576730190572
Giralang,0.04656669297553275,0.036021926389976505,0.0390625,0.03260869565217391
Gordon,0.05199306759098787,0.05012098167991704,0.05021760964178105,0.050724637681159424
Gowrie,0.050921861281826165,0.058109280138768434,0.06060606060606061,0.059534081104400345
Greenway,0.051580698835274545,0.03811944091486658,0.03391472868217054,0.02975206611570248
Griffith,0.10728155339805825,0.09436619718309859,0.06958657388456815,0.03813714704803814
Gungahlin,0.01893939393939394,0.01364877161055505,0.022727272727272728,0.027899343544857767
Hackett,0.054657428791377985,0.05828220858895705,0.05254901960784314,0.042682926829268296
Hall,0.05084745762711865,0.0847457627118644,0.07758620689655173,0.046153846153846156
Harrison,0.05555555555555555,0.013468013468013467,0.011383849163998577,0.008338892595063376
Hawker,0.03824701195219123,0.04409448818897638,0.038796516231195566,0.03453689167974882
Higgins,0.07808764940239044,0.07057890563045202,0.06532258064516129,0.05811320754716981
Holder,0.03188662533215235,0.030809859154929578,0.02824360105913504,0.03888419273034658
Holt,0.08163265306122448,0.07498856881572931,0.06693989071038252,0.06722354813046937
Hughes,0.06172839506172839,0.0680327868852459,0.051112943116240726,0.04868316041500399
Hume,0.0,0.0,,0.0
Isaacs,0.028183716075156576,0.032719836400818,0.027466937945066123,0.024120603015075376
Isabella Plains,0.02991725015913431,0.03612167300380228,0.025611175785797437,0.02394859813084112
Kaleen,0.052650689905591866,0.04560143626570916,0.04506128334534967,0.054979253112033194
Kambah,0.08656716417910448,0.08984375,0.08212161269001983,0.07940015785319653
Kingston,0.0456973293768546,0.032846715328467155,0.020701754385964912,0.012835749940575231
Latham,0.06113843991567112,0.060564349621472814,0.054982817869415807,0.06153846153846154
Lawson,,,0.07692307692307693,0.0045662100456621
Lyneham,0.13906633906633906,0.11576011157601115,0.08109132247063282,0.07033957033957033
Lyons,0.11449159327461969,0.10538116591928251,0.08459016393442623,0.047774869109947646
Macarthur,0.005952380952380952,0.00597609561752988,0.011928429423459244,0.007984031936127744
Macgregor,0.06751389992057188,0.037418147801683815,0.03117782909930716,0.03454750281637251
Macquarie,0.13658536585365855,0.12132024977698483,0.09715242881072027,0.08752584424534804
Mawson,0.0683321087435709,0.06762295081967214,0.061374249499666446,0.06080206985769728
McKellar,0.0926517571884984,0.08023483365949119,0.07692307692307693,0.07101167315175097
Melba,0.06708268330733229,0.0673076923076923,0.06984126984126984,0.06429124709527498
Mitchell,0.0,0.0,,0.0
Monash,0.025755324418028726,0.0222325150532654,0.017703132092601,0.04501748251748252
Narrabundah,0.1403091557669441,0.13276064037485358,0.10163812360387194,0.08717399071096821
Ngunnawal,0.04293628808864266,0.045189908511228165,0.037999037999038,0.0359364201796821
Nicholls,0.018329070758738276,0.01944209636517329,0.018875838926174497,0.02169378389653734
O'Connor,0.10741573033707866,0.10016906170752325,0.09244737928188196,0.08536098923015556
O'Malley,0.0,0.0,0.0,0.0
Oaks Estate,0.17307692307692307,0.19337016574585636,0.16483516483516483,0.07441860465116279
Oxley,0.1277258566978193,0.12286158631415241,0.11076923076923077,0.08628659476117104
Page,0.07107023411371237,0.06469648562300319,0.05,0.05042016806722689
Palmerston,0.03858520900321544,0.04553817847286108,0.046500920810313075,0.05176362803481448
Parkes,,,0.0,0.0
Pearce,0.04622222222222222,0.046167247386759584,0.043710972346119537,0.040378006872852236
Phillip,0.05841121495327103,0.062403697996918334,0.041327124563445866,0.027107438016528925
Pialligo,0.0,0.0,0.0,0.0
Red Hill,0.096,0.1031496062992126,0.06426332288401254,0.019658119658119658
Reid,0.23061224489795917,0.2433920704845815,0.18375634517766498,0.10561056105610561
Richardson,0.14224507283633248,0.13344887348353554,0.1170940170940171,0.11655405405405406
Rivett,0.0967741935483871,0.10978342046303212,0.1172566371681416,0.10880458124552612
Russell,,,,0.0
Scullin,0.10104250200481155,0.09141494435612083,0.08585055643879173,0.08535630383711824
Spence,0.11522633744855967,0.1017293997965412,0.08980827447023208,0.09227683049147442
Stirling,0.080545229244114,0.08737864077669903,0.06771463119709795,0.056422569027611044
Symonston,0.0,0.02416918429003021,0.03571428571428571,0.05172413793103448
Tharwa,0.14285714285714285,0.09523809523809523,0.0,0.13513513513513514
Theodore,0.06862044317369549,0.06086341118188252,0.062411347517730496,0.05724381625441696
Torrens,0.07181719260065289,0.06550218340611354,0.060879368658399095,0.05639913232104121
Turner,0.12402669632925473,0.10223953261927946,0.10219298245614035,0.04786597526924611
Wanniassa,0.09649702577660278,0.0929853181076672,0.07929226736566186,0.07515190278221938
Waramanga,0.11159546643417612,0.12142237640936687,0.11187607573149742,0.09663865546218488
Watson,0.0774818401937046,0.06445993031358885,0.05702257941063911,0.04557823129251701
Weetangera,0.0,0.0,0.004149377593360996,0.0
Weston,0.05511240029006526,0.05407354001441961,0.054317548746518104,0.04291044776119403
Yarralumla,0.07575757575757576,0.06707317073170732,0.05046197583511016,0.04201680672268908
Casey,,0.0049504950495049506,0.012675418741511997,0.015397775876817793
Crace,,0.009202453987730062,0.005931198102016607,0.011777902411665733
