SAL_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SAL80001,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,7
SAL80002,..,0,0,9,0,9,0,0,0,4,0,4,0,0,0,5,0,5,11,0,13
SAL80003,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80004,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80005,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80006,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAL80007,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80008,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5
SAL80009,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
SAL80010,..,3,3,4,0,4,7,0,9,3,0,3,0,0,0,0,0,0,13,3,18
SAL80011,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80012,..,6,6,11,0,11,4,0,4,3,0,5,3,0,3,0,0,0,23,3,28
SAL80013,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80014,..,4,4,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,12,4,15
SAL80015,..,3,3,0,0,0,0,0,0,4,0,4,0,0,0,5,0,5,11,6,16
SAL80016,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL80017,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80018,..,604,604,526,45,574,286,57,343,319,22,334,112,13,121,36,0,34,1277,737,2018
SAL80019,..,344,344,538,33,570,376,0,381,498,0,498,167,5,165,73,0,73,1651,388,2039
SAL80020,..,146,146,284,19,306,146,7,154,184,12,194,74,0,71,17,0,17,706,190,897
SAL80021,..,350,350,477,22,498,342,5,341,385,0,387,130,0,130,69,0,69,1396,377,1772
SAL80022,..,437,437,333,43,379,67,7,73,42,0,43,9,0,7,7,0,7,452,486,943
SAL80023,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80024,..,1587,1587,1355,287,1641,400,95,490,225,13,237,64,5,67,27,0,27,2063,1985,4042
SAL80025,..,239,239,393,24,420,427,11,441,581,13,593,273,6,277,156,0,155,1830,285,2116
SAL80026,..,370,370,424,25,447,226,11,231,233,0,236,100,0,100,48,0,48,1035,408,1443
SAL80027,..,1494,1494,1057,339,1394,216,122,338,88,26,120,18,8,31,8,0,8,1393,1988,3380
SAL80028,..,810,810,865,119,982,320,110,431,270,39,306,95,5,101,43,0,45,1592,1086,2679
SAL80029,..,386,386,628,41,669,369,10,382,369,3,376,157,0,157,57,0,57,1577,441,2018
SAL80030,..,582,582,665,56,718,263,39,298,229,27,255,90,10,102,25,0,25,1263,721,1981
SAL80031,..,19,19,6,0,6,5,0,7,10,0,10,0,0,0,0,0,0,23,14,44
SAL80032,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80033,..,395,395,511,41,554,500,14,508,510,4,516,154,4,159,65,0,65,1746,455,2202
SAL80034,..,175,175,372,12,379,154,0,154,208,0,208,85,0,85,16,0,16,836,191,1023
SAL80035,..,321,321,321,23,350,210,6,220,179,0,176,68,0,72,32,0,32,809,355,1167
SAL80036,..,328,328,295,24,316,160,21,182,146,0,149,61,3,66,23,0,23,680,375,1059
