SAL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SAL80001,11,17,34,10,9,15,0,0,4,0,0,0,0,0,0,9,13,23,0,0,0,0,0,0,71.4,65,67.6,71.4,65,67.6,0,0,6,0,0,0,0,5,5,0,0,4,4,6,3,0,0,0,0,0,0,4,6,3,10,11,17,3,8,15,7,5,10,9,11,15
SAL80002,24,19,45,11,5,13,3,4,4,3,0,5,0,0,0,18,7,22,3,7,8,11.8,0,8,68,40,55.6,60,40,51.1,0,0,0,0,0,5,0,6,3,0,0,0,7,6,11,0,0,0,0,0,0,7,5,12,19,17,34,12,6,15,9,6,13,19,8,25
SAL80003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80004,0,3,12,4,0,5,5,3,3,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,3,4,3,5,7
SAL80005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80006,10,3,16,0,0,0,0,3,3,0,0,0,0,0,0,4,3,8,0,0,0,33.3,0,14.3,27.3,100,46.7,18.2,100,40,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,4,4,3,0,6,0,4,4
SAL80007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80008,38,13,51,19,11,26,5,3,6,0,0,0,0,0,0,22,8,36,0,0,0,0,0,0,65.8,71.4,67.3,65.8,71.4,67.3,0,5,5,4,0,4,0,0,0,10,0,8,3,0,5,0,0,0,0,0,0,4,0,8,18,11,28,11,4,12,3,11,10,21,9,30
SAL80009,9,11,22,6,3,15,0,0,5,0,0,0,0,0,0,7,7,15,0,0,0,0,0,0,80,77.8,78.9,80,77.8,78.9,0,0,0,0,0,0,5,4,3,0,0,0,7,0,8,0,0,0,0,0,0,7,0,8,8,10,22,0,0,4,7,8,14,0,3,5
SAL80010,116,44,157,79,19,93,0,8,3,0,5,5,0,0,0,77,30,103,13,6,13,0,3.8,1,68.4,59.1,65.8,68.4,56.8,65.2,4,0,3,4,0,5,18,6,21,3,3,3,15,6,21,3,0,0,0,0,0,24,10,27,22,18,39,66,10,79,15,8,22,73,24,99
