SAL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SAL80001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,0,0,23
SAL80002,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,3,3,0,23
SAL80003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12
SAL80005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5
SAL80007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,8,4,5,0,36
SAL80009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,9,0,4,0,15
SAL80010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,5,4,5,12,3,3,76,0,107
SAL80011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11
SAL80012,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,3,6,5,16,0,12,0,53
SAL80013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,6,7,3,3,0,43
SAL80015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,0,9,5,0,3,0,37
SAL80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80017,3,33,10,0,0,0,0,0,0,48,0,5,3,0,0,0,0,0,4,15,143,914,213,23,31,19,6,9,7,1361
SAL80018,0,18,15,3,16,4,0,9,0,68,0,0,4,0,5,3,0,0,11,26,134,415,300,195,538,552,191,329,19,2674
SAL80019,0,18,14,9,22,17,5,13,0,107,0,3,0,0,13,6,5,0,14,45,133,365,349,257,839,848,220,354,40,3401
SAL80020,0,4,3,8,4,3,0,6,0,27,0,0,0,0,0,5,0,0,0,17,57,176,144,106,253,292,92,184,4,1307
SAL80021,6,16,8,6,21,24,12,10,0,105,0,8,4,0,24,10,3,7,15,73,143,302,263,212,823,683,233,291,34,2986
SAL80022,0,5,4,0,8,0,3,4,0,20,0,5,0,0,5,0,0,0,7,19,61,86,44,57,297,372,115,201,6,1239
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
SAL80024,6,15,28,12,36,16,3,10,5,125,4,13,7,8,34,10,3,9,34,122,188,614,704,346,1702,1104,276,349,69,5364
SAL80025,0,13,17,5,31,34,10,8,0,131,5,8,9,6,13,26,4,5,45,114,135,388,386,301,1178,908,222,323,78,3923
SAL80026,0,12,0,5,10,18,7,16,0,65,3,3,3,0,10,9,0,0,12,40,95,235,202,150,575,511,109,172,21,2076
SAL80027,3,12,17,4,23,18,4,10,0,97,0,3,4,6,12,15,0,4,15,67,164,394,362,200,1467,1240,328,526,32,4717
SAL80028,7,28,10,4,15,29,7,4,0,111,5,0,12,4,20,16,0,9,36,99,186,827,573,281,1217,942,227,355,85,4694
SAL80029,4,18,14,6,13,18,13,11,0,100,0,0,4,0,13,9,0,6,10,52,155,345,335,229,812,729,215,321,33,3172
SAL80030,6,16,9,4,5,10,0,12,0,64,0,3,4,0,11,13,3,6,9,45,141,386,299,198,629,1076,453,902,36,4127
SAL80031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,16,18,4,9,0,63
SAL80032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80033,10,13,16,7,31,14,5,7,0,107,3,10,6,0,21,18,4,7,16,89,168,352,346,222,1126,953,233,326,44,3772
SAL80034,5,9,5,8,0,3,0,4,0,40,0,7,4,0,4,9,0,0,4,19,69,222,132,107,258,306,100,194,3,1393
SAL80035,0,15,5,3,18,15,3,11,0,66,8,7,8,0,10,3,0,7,17,51,82,181,140,103,432,334,91,123,28,1514
SAL80036,0,13,3,0,10,9,0,3,0,43,0,0,4,0,9,5,0,6,16,39,64,176,145,110,371,364,83,165,18,1504
SAL80037,3,16,10,9,21,24,10,9,0,107,0,3,3,3,15,18,0,0,11,54,125,298,274,212,702,668,180,271,28,2753
SAL80038,0,11,7,3,7,9,0,5,0,57,0,9,6,0,9,6,0,4,20,62,145,547,271,112,711,647,171,282,34,2925
SAL80039,0,12,12,9,15,28,4,9,0,85,0,9,3,3,8,6,0,6,9,42,156,335,239,197,783,702,188,264,26,2887
