,,,,,,2016,2017,2018,2019,2020,2021,3 yr,yr 1,yr 2,2011-2021,,,,Area,Population density 2021
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,no.,no.,no.,no.,no.,no.,#REF!,#REF!,#REF!,no.,,%,,km2,persons/km2
,,,,,,,,,,,,,,,,,,,,
5,Western Australia,5RWAU,Rest of WA,511,Western Australia - Outback (South),121520,121724,121646,121838,122807,124028,0.09%,0.80%,0.99%,-382,0.90%,-0.3,,1372044.8,0.1
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,269161,273188,277895,282014,287155,292906,1.57%,1.82%,2.00%,41101,0.43%,16.3,,21491.3,13.6
1,New South Wales,1RNSW,Rest of NSW,104,Coffs Harbour - Grafton,139246,140599,142028,143227,144149,146115,0.94%,0.64%,1.36%,10933,0.42%,8.1,,13229.8,11
3,Queensland,3RQLD,Rest of Qld,312,Mackay - Isaac - Whitsunday,173299,174145,175655,177773,180967,183269,0.85%,1.80%,1.27%,11705,0.42%,6.8,,90140.2,2
5,Western Australia,5RWAU,Rest of WA,509,Western Australia - Wheat Belt,137524,138351,138764,139364,140623,141653,0.44%,0.90%,0.73%,8239,0.29%,6.2,,197345.5,0.7
2,Victoria,2RVIC,Rest of Vic.,205,Latrobe - Gippsland,275780,280164,284704,289445,294304,299758,1.63%,1.68%,1.85%,39806,0.22%,15.3,,41553.1,7.2
5,Western Australia,5GPER,Greater Perth,502,Mandurah,99663,101530,103682,106032,108830,111299,2.09%,2.64%,2.27%,23875,0.18%,27.3,,1032.9,107.8
5,Western Australia,5RWAU,Rest of WA,510,Western Australia - Outback (North),97933,97077,96781,96733,97187,96960,-0.41%,0.47%,-0.23%,-1608,0.18%,-1.6,,926023.2,0.1
3,Queensland,3RQLD,Rest of Qld,315,Queensland - Outback,82571,82079,81903,81773,81791,81634,-0.32%,0.02%,-0.19%,-4997,0.13%,-5.8,,1183175.1,0.1
9,Other Territories,9OTER,Other Territories,901,Other Territories,4608,4665,4716,4759,4791,4848,1.08%,0.67%,1.19%,1731,0.11%,55.5,,255.7,19
3,Queensland,3RQLD,Rest of Qld,319,Wide Bay,292109,295595,299207,303036,306717,310728,1.23%,1.21%,1.31%,30726,0.08%,11,,48502.7,6.4
1,New South Wales,1GSYD,Greater Sydney,128,Sydney - Sutherland,225851,226672,227363,228247,229305,230301,0.35%,0.46%,0.43%,10664,0.08%,4.9,,295.9,778.4
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,179738,182545,185324,188363,191854,194994,1.57%,1.85%,1.64%,31544,0.07%,19.3,,24802.4,7.9
3,Queensland,3RQLD,Rest of Qld,308,Central Queensland,225548,225866,226702,228305,229991,231104,0.41%,0.74%,0.48%,13981,0.07%,6.4,,117588,2
4,South Australia,4RSAU,Rest of SA,407,South Australia - South East,189885,191239,192805,194589,196512,198250,0.82%,0.99%,0.88%,17692,0.06%,9.8,,65482.6,3
4,South Australia,4RSAU,Rest of SA,405,Barossa - Yorke - Mid North,113147,113871,114574,115383,116150,116963,0.65%,0.66%,0.70%,8848,0.05%,8.2,,37716.4,3.1
4,South Australia,4RSAU,Rest of SA,406,South Australia - Outback,85754,85489,85491,85563,85599,85586,-0.07%,0.04%,-0.02%,-1264,0.05%,-1.5,,877772.6,0.1
1,New South Wales,1RNSW,Rest of NSW,109,Murray,117943,119047,120169,121111,122202,123332,0.89%,0.90%,0.92%,9537,0.03%,8.4,,97796.5,1.3
1,New South Wales,1RNSW,Rest of NSW,114,Southern Highlands and Shoalhaven,150769,152617,154657,156612,158704,160722,1.28%,1.34%,1.27%,18598,-0.01%,13.1,,6705,24
5,Western Australia,5GPER,Greater Perth,504,Perth - North East,259516,263773,268401,274318,281557,286722,1.87%,2.64%,1.83%,54338,-0.04%,23.4,,1762.4,162.7
5,Western Australia,5GPER,Greater Perth,507,Perth - South West,418193,424800,432334,440923,451171,459003,1.78%,2.32%,1.74%,85076,-0.04%,22.8,,621,739.1
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,223815,226721,229584,232542,235620,238522,1.28%,1.32%,1.23%,22694,-0.05%,10.5,,51896.2,4.6
2,Victoria,2RVIC,Rest of Vic.,204,Hume,172575,174967,177482,179662,181808,184129,1.35%,1.19%,1.28%,22794,-0.07%,14.1,,34006.5,5.4
3,Queensland,3RQLD,Rest of Qld,318,Townsville,234310,235229,235631,236010,237070,237452,0.24%,0.45%,0.16%,12774,-0.08%,5.7,,80036.1,3
