Australian Bureau of Statistics

"2011 Census - Counting Dwellings, Place of Enumeration"
"SSC by LLDD Landlord Type"
"Counting: Dwellings, Location on Census Night"

Filters:
"Default Summation","Dwellings, Location on Census Night"

"LLDD Landlord Type","Real estate agent","State or territory housing authority","Person not in the same household-parent/other relative","Person not in the same household-other person","Residential park (includes caravan parks and marinas)","Employer-Government (includes Defence Housing Authority)","Employer-other employer","Housing co-operative/community/church group","Not stated","Not applicable","Total",
"SSC",
"Acton (ACT)",0,3,0,0,0,12,13,0,3,26,55,
"Ainslie",196,338,21,155,0,3,5,27,14,1457,2214,
"Amaroo (ACT)",209,70,25,72,0,103,7,0,4,1424,1905,
"Aranda",68,19,18,68,0,0,3,0,0,799,974,
"Banks",125,79,40,56,0,12,3,6,0,1498,1814,
"Barton",210,0,10,47,0,7,5,0,3,442,719,
"Belconnen",593,264,52,235,0,5,20,15,8,1102,2294,
"Bonner",53,10,4,25,0,0,3,0,0,500,597,
"Bonython",216,111,30,102,0,19,3,0,5,1027,1515,
"Braddon",668,377,47,223,0,8,9,32,5,1092,2478,
"Bruce (ACT)",571,8,49,206,0,67,12,14,16,1289,2230,
"Calwell",177,60,60,105,0,7,5,0,5,1734,2149,
"Campbell",234,28,16,71,0,133,3,11,3,1053,1554,
"Casey",80,3,14,28,0,3,0,0,3,470,606,
"Chapman",50,20,5,21,0,0,3,0,5,906,1013,
"Charnwood",95,196,29,49,0,0,3,3,8,882,1264,
"Chifley (ACT)",195,66,19,85,0,3,3,0,3,729,1106,
"Chisholm (ACT)",101,132,46,79,0,4,6,4,3,1535,1905,
"City",465,5,33,127,0,6,20,14,0,601,1269,
"Conder",121,118,27,54,0,35,8,6,4,1433,1797,
"Cook",167,68,23,81,0,0,3,0,6,1008,1357,
"Crace",22,3,3,11,0,25,0,12,0,245,326,
"Curtin",263,90,31,120,0,0,13,3,15,1632,2161,
"Deakin",118,50,12,61,0,3,3,0,13,1034,1294,
"Dickson",167,102,13,112,0,0,5,11,9,592,1016,
"Downer",200,134,24,150,0,0,15,5,9,1012,1547,
"Duffy",88,88,8,51,0,6,3,0,3,1021,1262,
"Dunlop",175,122,41,69,0,28,10,4,3,2070,2522,
"Evatt",143,111,39,83,0,0,11,3,10,1667,2061,
"Fadden",58,0,8,17,0,0,0,0,0,1018,1100,
"Farrer",112,47,8,58,0,3,3,8,6,1105,1350,
"Fisher (ACT)",123,47,13,63,0,0,3,8,8,1061,1322,
"Florey",218,273,32,118,0,0,18,4,9,1294,1973,
"Flynn (ACT)",65,51,18,37,0,0,3,4,0,1128,1309,
"Forde",84,14,0,30,0,0,3,4,0,732,870,
"Forrest (ACT)",105,7,12,35,0,0,3,4,7,509,677,
"Franklin (ACT)",146,35,17,99,0,67,11,0,0,985,1351,
"Fraser",27,26,12,19,0,0,0,0,0,682,772,
"Garran",214,47,19,83,0,20,3,10,4,941,1340,
"Gilmore (ACT)",81,112,14,35,0,4,3,0,3,743,1001,
"Giralang",108,46,28,60,0,0,7,0,9,1023,1277,
"Gordon (ACT)",246,145,57,110,0,26,10,0,4,2295,2893,
"Gowrie (ACT)",56,67,14,33,0,0,3,0,3,982,1153,
"Greenway",222,30,23,66,0,0,5,0,3,434,787,
"Griffith (ACT)",411,201,28,136,4,8,14,9,5,1313,2130,
"Gungahlin",546,30,38,201,0,119,18,16,9,1228,2198,
"Hackett",125,76,18,61,0,0,4,8,7,998,1304,
"Hall",4,10,0,5,0,3,4,0,0,92,118,
"Harrison",189,20,19,64,0,184,7,20,0,986,1485,
"Hawker (ACT)",149,56,12,51,0,0,3,7,0,995,1270,
"Higgins",86,89,19,83,0,0,3,0,6,979,1261,
"Holder (ACT)",115,35,25,40,0,0,0,3,0,924,1136,
"Holt",192,164,65,90,0,3,8,24,3,1645,2187,
"Hughes (ACT)",128,83,12,51,0,0,5,3,6,930,1220,
"Hume",0,0,0,0,0,0,0,0,0,6,3,
"Isaacs",82,32,8,48,0,6,5,3,0,796,978,
"Isabella Plains",159,57,35,97,0,3,15,3,4,1208,1578,
"Kaleen",194,127,36,198,0,0,14,7,12,2198,2785,
"Kambah",385,552,101,225,0,3,11,15,12,4833,6144,
"Kingston (ACT)",657,63,33,175,0,9,3,0,4,973,1918,
"Latham (ACT)",101,88,24,40,0,0,3,0,6,1179,1453,
"Lawson (ACT)",0,0,0,0,0,0,0,0,0,0,0,
"Lyneham",353,249,38,195,0,21,12,24,18,1242,2151,
"Lyons (ACT)",250,141,23,89,0,0,3,7,12,811,1338,
"Macarthur (ACT)",17,3,4,9,0,3,0,0,0,469,502,
"Macgregor (ACT)",137,80,33,72,0,0,8,0,3,1790,2138,
"Macquarie",142,136,13,98,0,0,6,3,10,719,1121,
"Mawson",232,99,29,107,0,6,12,3,9,965,1464,
"McKellar",59,82,10,47,0,3,3,3,3,810,1022,
"Melba",86,84,21,41,0,0,3,0,3,1009,1248,
"Mitchell (ACT)",0,0,0,0,0,0,3,0,0,0,5,
