POA_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
POA2600,0,0,190,187,0,20,155,171,73,125,220,419,262,69,97,428,359,44,97,497,333,49,100,479,335,32,73,445,211,11,42,257,44,0,36,87,1622,345,1006,2973,0,0,201,205,3,28,172,200,110,121,201,428,328,61,123,511,362,38,135,538,315,35,130,481,356,21,161,541,137,6,149,289,26,0,117,147,1629,318,1389,3337,0,3,389,390,3,46,326,374,181,241,424,849,588,131,219,934,718,83,232,1034,648,86,227,965,690,59,233,979,340,14,192,547,70,0,157,228,3253,662,2398,6312
POA2601,0,0,25,29,0,63,136,198,87,222,318,621,78,56,118,253,72,17,87,183,63,11,42,115,53,10,23,81,18,3,4,25,4,0,3,9,375,382,749,1511,0,3,17,20,9,76,168,242,98,190,254,542,81,35,81,193,67,12,58,133,62,7,48,119,41,4,27,73,14,0,17,29,0,0,6,6,365,326,671,1361,0,3,44,47,7,136,301,446,184,410,572,1163,153,90,196,445,140,34,143,313,120,21,86,228,95,10,48,156,35,3,20,52,8,0,13,18,743,707,1424,2870
POA2602,0,7,812,825,19,147,1137,1301,577,762,1440,2779,1294,440,554,2297,1161,306,531,2003,814,235,473,1522,602,91,332,1031,338,26,154,516,136,0,108,248,4943,2021,5547,12515,4,14,748,764,33,218,1371,1618,755,780,1385,2917,1400,441,667,2506,1191,334,665,2191,733,199,714,1651,555,72,553,1184,277,19,426,724,74,3,289,367,5013,2075,6819,13914,4,20,1562,1582,50,360,2514,2919,1330,1545,2826,5694,2692,882,1224,4800,2360,646,1193,4187,1549,438,1188,3171,1158,163,884,2210,611,40,584,1242,205,9,398,619,9959,4103,12367,26427
POA2603,0,0,316,316,6,31,262,297,139,189,385,717,321,74,150,552,483,69,138,688,409,50,135,594,311,34,79,424,182,7,47,232,52,0,17,69,1904,457,1536,3894,0,0,280,280,8,43,196,246,189,187,387,761,399,72,155,623,444,66,182,685,416,41,167,621,306,15,128,446,127,0,116,245,23,0,95,119,1907,430,1698,4036,0,0,598,597,7,77,453,544,328,382,773,1478,718,150,310,1173,926,135,313,1370,829,85,302,1214,620,52,206,875,308,6,162,478,76,0,115,188,3808,889,3234,7934
POA2604,0,0,251,252,3,59,265,334,206,408,576,1185,430,176,318,923,374,90,250,717,341,82,191,607,294,28,125,451,155,10,49,213,25,0,18,43,1829,850,2043,4720,0,3,225,228,12,64,287,361,285,423,590,1292,452,159,387,994,372,88,282,752,322,48,313,680,251,17,209,478,118,3,138,256,16,7,80,95,1820,807,2518,5143,0,6,476,478,17,121,556,694,492,828,1168,2483,876,335,700,1912,756,182,530,1465,662,130,505,1295,540,46,342,926,272,10,187,470,40,3,97,137,3650,1659,4559,9862
POA2605,0,4,302,300,4,21,266,291,176,119,285,580,595,91,95,780,533,84,144,764,463,66,128,657,310,35,108,453,221,14,75,307,82,0,44,129,2395,428,1440,4257,0,3,358,358,10,26,232,276,262,115,210,588,638,91,154,879,557,82,177,807,412,62,207,688,295,23,190,502,188,13,213,420,43,0,137,178,2405,415,1875,4705,0,4,657,664,18,48,498,570,440,235,491,1169,1230,179,250,1661,1092,161,320,1576,879,121,336,1340,606,60,293,958,414,26,286,729,122,0,176,304,4800,840,3314,8957
POA2606,0,3,205,205,13,78,309,394,480,284,623,1385,515,118,287,923,304,71,230,606,261,30,191,483,211,17,106,333,182,3,52,242,69,0,25,102,2026,609,2034,4674,0,6,219,217,51,89,300,443,583,307,614,1505,440,96,299,831,333,56,284,673,243,28,236,512,209,11,180,401,148,8,183,333,33,0,74,108,2034,603,2386,5025,0,6,419,429,67,165,614,838,1061,584,1238,2887,950,220,586,1757,631,131,512,1274,500,62,425,988,416,30,284,737,323,10,237,576,101,5,102,211,4061,1214,4421,9698
POA2607,0,0,462,456,6,37,326,375,270,141,382,792,573,109,155,841,602,105,180,886,541,77,189,810,454,36,122,616,363,7,107,476,107,5,52,162,2917,529,1977,5423,0,5,333,337,20,44,312,378,343,150,275,775,655,120,201,969,604,101,261,965,549,70,263,880,412,25,255,690,319,3,313,635,51,0,162,212,2945,526,2374,5847,3,5,790,796,28,82,643,750,616,289,658,1565,1225,230,349,1811,1199,210,442,1851,1089,148,458,1693,871,59,380,1309,685,19,418,1118,159,6,210,373,5871,1051,4344,11268
POA2609,0,0,6,6,0,0,13,17,8,7,26,37,12,12,15,37,21,3,37,67,26,9,37,71,20,3,20,44,11,0,23,31,0,0,5,8,96,37,192,326,0,0,19,19,3,8,14,20,12,9,14,33,13,8,14,35,22,11,15,41,19,7,25,50,18,0,28,49,7,0,19,29,0,0,3,3,97,34,150,277,0,0,27,27,6,3,25,34,21,14,42,68,28,18,26,70,41,10,53,107,39,20,64,125,37,6,53,97,15,0,45,61,0,0,5,6,191,73,344,604
POA2611,0,10,938,946,18,123,740,878,802,684,1008,2498,1960,359,507,2837,1422,268,486,2170,917,143,344,1404,864,67,255,1182,611,18,170,803,132,3,83,222,6734,1673,4536,12946,0,10,859,875,40,186,674,899,1165,674,922,2762,2008,365,585,2953,1340,245,640,2226,902,114,556,1570,830,50,578,1461,452,17,466,937,59,0,218,288,6796,1659,5505,13960,0,24,1799,1824,50,306,1416,1772,1966,1355,1934,5255,3971,729,1091,5785,2760,514,1125,4400,1822,255,897,2977,1700,111,836,2649,1069,38,638,1745,196,4,303,506,13534,3334,10040,26907
