POA_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
POA2600,0,0,0,0,0,0,0,0,0,4,0,4,5,27,18,8,6,0,0,76,0,0,0,0,0,3,4,6,0,13,0,0,0,0,0,0,5,0,0,7,0,8,9,24,25,43,44,32,14,200,0,0,0,3,0,0,0,0,0,6,0,0,0,6,3,4,0,0,0,14,0,0,0,0,3,5,9,3,6,32,0,0,0,0,0,0,3,7,3,13,0,5,0,4,5,5,4,0,0,18,0,3,0,46,12,4,14,4,0,86,0,3,0,7,3,4,0,0,0,16,0,0,4,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,11,3,3,9,5,4,31,0,0,0,0,0,0,4,0,0,8,0,0,0,9,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,6,0,0,4,14,4,10,5,6,0,39
POA2601,0,0,0,0,0,0,0,0,0,0,0,0,253,238,12,8,5,0,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,87,9,4,3,4,0,0,113,0,0,0,4,0,0,0,0,0,3,0,0,4,4,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,22,14,0,5,0,0,0,40,0,0,51,60,7,4,0,0,0,119,0,0,13,10,0,0,0,0,0,27,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,0,0,10,0,3,4,0,0,3,0,0,0,16,0,0,16,33,8,0,0,0,0,57,0,0,0,0,0,0,0,0,0,4,0,0,30,13,6,0,0,0,0,49
POA2602,0,4,0,13,6,4,0,4,0,30,3,8,61,244,52,41,17,10,11,452,0,0,0,7,6,9,15,11,9,51,0,4,4,0,0,0,4,0,0,8,8,23,84,123,81,105,96,68,44,625,0,0,4,8,8,6,5,3,0,30,0,3,3,19,8,6,3,0,0,44,0,0,4,29,23,17,16,20,12,136,0,0,0,5,0,11,11,29,13,58,0,4,9,28,8,7,0,0,0,59,0,19,33,160,19,21,12,3,0,268,0,6,7,64,9,4,3,4,0,95,0,0,4,21,0,4,0,0,0,31,0,0,0,0,4,3,0,0,0,13,0,4,4,8,3,4,10,6,0,41,0,4,0,12,3,11,15,26,9,80,0,0,13,16,14,10,3,0,0,58,0,4,4,50,17,5,0,3,0,87,0,0,0,0,0,0,0,0,0,5,0,3,10,47,11,12,14,5,0,106
POA2603,0,0,0,0,0,3,0,0,0,12,0,11,10,52,17,17,7,4,0,115,0,0,0,0,0,0,7,3,0,10,0,0,0,0,0,0,0,0,0,3,0,12,16,26,28,48,24,23,8,179,0,0,0,3,3,0,0,0,0,14,0,3,4,12,0,3,0,0,0,25,0,0,0,10,5,4,8,4,3,32,0,0,0,0,0,3,3,9,0,15,0,0,4,7,6,3,0,0,0,28,0,6,7,59,16,8,3,0,0,113,0,0,8,7,4,3,3,4,3,28,0,0,0,6,5,6,0,0,0,16,0,0,0,4,0,0,0,0,0,8,0,0,0,3,0,0,6,0,0,12,0,0,4,3,4,6,12,9,11,49,0,0,0,8,4,0,0,0,0,21,0,0,0,6,4,3,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,7,0,12,10,10,7,0,0,45
POA2604,0,0,0,0,0,0,0,5,0,7,0,3,3,66,20,12,0,0,0,107,0,0,0,0,0,4,3,4,0,11,0,0,0,0,0,0,0,0,0,0,0,8,3,42,33,50,40,41,6,232,0,0,0,8,0,5,0,0,0,13,0,9,6,16,6,8,0,0,0,42,0,0,0,12,5,4,12,9,0,45,0,0,0,3,0,5,0,3,0,15,0,0,5,13,6,6,0,0,0,31,0,7,17,86,7,5,3,0,0,122,0,0,4,13,6,3,0,0,0,24,0,0,0,9,7,0,3,0,0,17,0,0,0,5,0,7,0,0,0,12,0,0,0,7,0,3,0,0,5,21,0,0,0,7,4,4,6,4,0,32,0,0,0,11,9,5,0,0,0,32,0,0,3,22,10,0,0,0,0,34,0,0,0,0,0,0,0,0,0,4,0,0,4,16,7,8,3,0,0,39
POA2605,0,0,0,3,0,4,0,0,0,5,0,4,8,39,16,12,14,7,0,108,0,0,0,0,0,0,5,8,3,16,0,0,0,0,0,0,0,3,0,10,0,12,17,18,33,38,33,47,31,237,0,0,0,8,0,4,0,4,0,9,0,3,0,4,0,0,0,0,0,16,0,0,0,5,6,4,10,8,11,40,0,0,0,0,3,0,5,6,3,23,0,0,0,6,5,3,0,0,0,22,0,22,14,126,15,10,14,0,5,207,0,6,0,6,4,6,0,0,0,18,0,0,0,10,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,8,0,0,0,6,4,0,4,0,0,23,0,0,0,0,0,4,4,20,6,36,0,5,5,6,8,0,4,0,4,27,0,0,7,11,6,8,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,5,19,11,6,4,0,3,52
POA2606,0,0,0,0,0,3,0,0,0,10,3,5,10,92,29,24,14,7,0,180,0,0,0,0,0,4,6,0,4,13,0,4,0,3,3,0,0,0,0,11,0,4,8,19,20,23,20,25,12,134,0,0,0,3,3,3,3,0,0,16,0,0,3,4,0,0,8,0,0,18,0,0,0,5,4,3,5,8,4,32,0,0,4,0,4,5,9,13,0,31,0,3,3,14,0,5,3,0,0,27,11,26,25,231,27,15,16,4,0,351,0,0,5,15,0,4,0,0,0,20,0,0,0,15,0,0,0,0,0,18,0,0,0,0,0,6,0,0,0,12,0,0,0,0,4,0,0,0,4,11,0,0,0,9,0,3,3,14,9,36,0,0,0,18,3,5,0,0,0,23,0,0,9,28,7,4,0,0,0,55,0,0,0,3,0,0,0,0,0,4,0,0,4,36,9,7,13,3,0,76
POA2607,0,0,0,3,0,0,0,0,0,4,0,6,10,51,25,24,7,5,4,140,0,0,0,0,4,0,8,12,4,23,0,0,0,0,3,0,0,0,0,5,3,9,11,31,31,61,31,47,14,242,0,0,0,10,8,10,0,0,0,30,0,0,0,3,8,0,4,0,3,19,0,0,0,5,4,0,12,16,3,42,0,0,0,0,0,3,10,18,3,39,0,0,3,13,3,7,9,0,4,35,0,19,18,137,32,22,13,4,6,256,0,0,0,8,3,3,3,3,4,23,0,0,0,0,0,3,0,0,0,9,0,0,0,7,0,0,0,0,0,7,0,0,0,6,3,3,5,5,0,26,0,0,4,0,0,6,16,17,11,55,0,0,0,4,5,0,6,0,0,13,0,0,3,15,7,3,0,0,0,31,0,0,0,0,0,0,0,0,0,9,0,3,0,18,8,14,11,4,4,61
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2611,0,0,0,7,3,0,7,0,0,23,0,11,15,224,44,51,29,7,5,380,0,0,0,9,4,5,16,21,5,56,0,0,0,12,0,0,0,3,5,17,0,45,27,95,70,109,99,80,44,563,0,3,5,20,7,0,6,3,0,44,0,6,0,14,13,4,0,3,0,42,0,6,3,19,6,8,21,31,16,109,0,0,3,0,0,0,3,16,5,38,0,10,5,29,12,16,7,0,3,79,3,52,62,521,79,41,22,14,5,814,0,4,0,25,7,4,6,0,0,54,0,4,3,29,10,12,4,0,4,63,0,5,0,24,3,0,0,0,0,34,0,6,6,11,3,0,6,0,5,45,0,4,4,7,8,13,29,18,7,82,0,0,3,22,10,9,0,0,0,47,0,3,10,61,5,4,0,0,0,85,0,0,0,11,5,3,0,0,0,14,0,6,9,52,22,15,17,9,0,136
