POA_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
POA2600,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,3,0,6,3,12,0,0,8,12,11,10,8,12,0,57,0,0,0,0,0,0,4,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,4,3,0,0,0,0,10,0,0,0,8,3,0,6,0,0,19,0,0,0,3,0,0,3,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,3,0,22,0,0,0,5,3,0,0,0,0,10,0,0,0,6,5,7,7,3,6,32,0,3,0,9,12,0,0,0,0,23,0,0,0,4,3,0,0,0,0,6,0,0,0,4,0,4,0,0,0,14,0,0,0,0,3,0,0,0,0,5,9,15,9,28,6,12,12,3,0,81
POA2601,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,4,0,0,28,7,7,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,3,0,0,0,15,0,0,5,0,0,27,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,11,0,0,27,9,0,0,0,0,0,41,0,0,14,13,0,0,0,0,0,28,0,0,10,15,0,0,0,0,0,27,0,4,3,14,0,0,0,0,0,24,0,0,8,19,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,31,9,3,0,0,0,0,45
POA2602,0,0,0,3,0,0,4,0,0,8,0,0,0,4,4,0,0,0,0,13,0,0,0,0,15,6,3,6,0,31,0,5,19,89,0,0,0,0,0,113,0,4,0,6,9,5,12,16,8,53,5,12,20,74,39,41,20,11,7,226,0,0,0,0,3,0,6,0,0,9,3,3,0,33,0,3,0,0,0,46,0,0,0,19,15,12,5,0,0,43,0,7,10,50,12,14,3,5,0,109,0,0,0,10,3,8,4,6,6,41,0,0,4,5,0,0,0,0,0,8,0,0,0,9,7,13,13,18,3,66,3,4,8,14,5,6,3,0,0,46,4,3,12,30,21,10,3,0,0,87,0,0,3,29,11,11,0,0,3,59,0,0,3,21,6,0,0,0,0,31,0,3,4,33,8,5,6,0,0,62,0,0,0,4,0,0,0,0,0,12,5,23,33,74,43,22,22,4,0,227
POA2603,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,30,0,0,0,0,0,43,0,0,0,0,0,7,4,3,6,17,0,0,8,11,13,15,10,4,4,64,0,0,0,5,0,0,0,0,0,5,0,0,3,11,0,4,0,0,0,21,0,0,0,5,0,0,0,0,0,9,0,0,4,19,6,4,3,0,0,34,0,0,0,3,6,7,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,5,24,0,7,4,6,0,4,0,0,3,29,0,0,0,9,7,4,0,0,0,33,0,0,3,10,12,3,5,3,0,45,0,0,0,13,3,0,6,0,0,19,0,0,8,9,5,4,6,0,0,18,0,0,0,4,5,0,0,0,0,4,5,5,6,18,6,8,10,0,0,58
POA2604,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,8,0,0,4,43,0,0,0,0,0,47,0,5,5,4,0,3,3,0,3,23,0,0,6,29,9,27,9,4,0,78,0,0,0,0,6,0,5,0,0,11,0,4,0,13,0,0,0,0,0,20,0,0,0,4,3,6,0,0,0,9,0,6,6,36,19,3,0,3,0,72,0,0,0,4,6,0,11,0,6,24,0,0,0,0,3,0,0,0,0,11,0,0,0,6,0,5,3,7,3,32,0,7,0,13,7,0,5,0,0,31,0,0,0,18,4,5,3,0,0,36,0,3,5,20,10,5,0,0,0,43,0,3,0,18,0,0,0,0,0,21,0,0,5,17,4,3,0,0,0,35,0,0,0,0,0,0,3,0,0,9,0,9,10,31,12,5,4,0,0,76
POA2605,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,16,65,0,0,0,0,0,82,0,3,4,3,0,0,5,7,5,20,0,0,0,21,26,18,9,3,6,91,0,0,0,0,0,0,0,0,0,9,0,7,0,13,0,0,0,0,0,19,0,0,0,0,0,8,0,0,0,14,0,4,3,40,6,12,3,0,0,75,0,0,0,3,0,7,4,9,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,9,32,0,0,0,5,7,5,0,0,0,27,0,0,6,15,0,0,6,0,0,37,0,0,3,14,9,6,4,0,0,42,0,0,0,8,4,0,0,0,0,11,0,3,0,7,9,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,7,7,19,15,8,10,3,0,72
POA2606,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,0,0,0,8,0,0,0,3,0,4,0,0,0,8,0,0,71,209,4,3,0,0,0,287,0,0,0,0,0,0,0,0,0,10,0,3,6,12,4,16,8,5,0,59,0,0,0,3,0,0,4,0,0,8,0,9,11,13,6,0,0,0,0,39,0,0,0,3,0,6,0,0,0,7,0,10,10,139,34,14,11,3,0,213,0,0,0,0,4,6,3,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,3,8,0,25,0,0,0,10,3,0,4,4,0,23,0,0,6,16,4,10,4,0,0,32,0,4,0,30,9,10,8,4,0,64,0,0,0,9,0,0,0,0,0,12,0,3,0,13,5,0,0,0,0,28,0,0,0,3,3,3,0,0,0,8,0,8,4,19,9,4,7,0,0,50
POA2607,0,0,0,0,0,0,4,4,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,3,23,85,0,0,0,0,0,114,0,0,3,0,0,4,0,11,6,24,3,9,0,11,20,16,4,10,0,85,0,0,0,0,0,6,4,0,0,14,0,6,3,14,7,0,0,0,0,23,0,0,0,0,11,6,4,0,0,18,0,4,7,54,10,5,7,5,0,96,0,0,0,6,4,6,6,0,5,28,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,6,10,8,6,36,0,3,0,13,3,4,0,0,0,26,0,0,0,11,10,11,9,0,0,42,0,0,0,10,13,21,13,5,4,77,0,0,0,4,0,0,0,0,0,3,0,0,5,16,6,7,5,0,0,40,0,0,0,0,0,0,0,0,0,5,4,8,5,12,7,4,7,4,0,57
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2611,0,0,0,0,0,4,5,4,0,17,0,0,0,9,6,0,0,0,0,19,0,0,0,11,9,0,4,0,0,25,0,8,37,173,5,8,0,0,0,226,0,0,0,3,3,3,8,13,4,39,0,14,9,57,33,38,23,12,0,179,0,0,3,7,5,0,0,0,0,17,0,16,10,60,13,6,0,0,0,98,0,0,0,4,11,4,4,0,0,30,0,15,26,136,41,20,20,6,0,270,0,3,0,17,7,9,4,4,6,48,0,0,0,3,3,3,0,0,0,14,0,5,4,6,6,17,18,25,5,92,0,5,7,17,4,3,3,0,0,36,0,5,10,28,28,7,7,4,0,92,0,10,8,62,16,17,5,4,0,120,0,0,0,16,5,3,0,6,0,32,0,6,5,54,13,12,8,3,0,93,0,0,0,0,0,0,4,0,0,10,10,26,17,44,19,13,22,5,0,148
