POA_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
POA2600,0,0,0,3,14,0,4,0,0,24,0,0,0,0,0,5,6,3,0,8,0,0,0,0,0,0,0,0,0,3,0,11,11,42,29,16,21,16,10,150,11,18,25,79,31,19,35,19,14,258,161,447,472,1054,587,526,616,328,151,4348,0,0,0,0,0,0,0,0,0,0,281,672,700,1269,716,704,691,365,139,5535,0,5,3,5,6,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,4,0,6,4,4,0,0,0,20,0,0,0,3,0,0,3,0,0,9,0,3,3,5,14,9,10,0,0,49,0,0,0,0,0,0,0,0,0,4,0,4,11,51,23,12,13,4,0,132,0,0,0,0,0,3,7,6,0,21,0,0,0,0,0,0,5,0,0,10,0,13,20,41,53,81,98,63,25,405,0,0,0,7,0,0,3,0,0,11,0,3,0,9,4,7,0,0,0,25
POA2601,0,0,7,11,6,0,0,0,0,26,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,39,56,9,4,3,0,0,118,0,0,438,96,7,7,5,0,0,559,40,38,2434,1056,156,137,87,35,8,3992,0,0,0,0,0,0,0,0,0,0,60,43,2308,851,189,161,109,48,8,3766,0,0,9,25,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,16,0,0,3,3,0,0,0,0,0,4,0,0,4,13,3,0,0,0,0,17,0,0,0,5,0,0,0,0,0,8,0,0,467,424,17,12,8,4,0,931,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,10,0,4,146,30,13,17,10,3,7,221,0,0,0,10,0,0,0,0,0,11,0,0,11,11,0,0,0,0,0,23
POA2602,0,19,16,84,42,32,23,10,5,212,0,0,0,5,5,0,0,0,0,18,0,0,6,5,6,3,0,0,0,20,5,54,60,423,91,66,64,41,39,837,16,49,61,191,60,50,41,59,53,589,823,1882,2567,5857,2309,1798,1287,838,497,17855,0,0,11,18,10,8,10,0,0,47,1604,3350,3843,7210,3043,2329,1560,788,425,24158,0,5,8,47,8,3,3,0,0,83,0,0,3,10,0,4,5,5,0,40,0,0,0,29,4,0,0,0,0,39,0,6,3,8,10,3,5,0,0,33,5,8,5,53,42,23,18,10,0,166,3,6,0,29,11,12,3,9,0,60,7,27,103,434,89,66,40,20,11,786,0,0,0,7,12,15,24,27,16,98,0,0,4,10,0,0,6,0,0,20,9,50,134,234,183,221,186,131,78,1224,0,0,4,13,8,11,9,3,0,51,0,6,11,35,18,11,0,0,4,83
POA2603,0,0,5,12,9,6,3,0,0,33,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,7,0,19,10,59,32,28,22,9,9,186,3,14,17,45,25,16,18,7,7,165,179,535,578,1488,734,670,513,301,227,5235,0,0,0,7,0,0,0,0,0,9,324,921,999,1908,953,884,654,351,210,7191,0,0,0,15,13,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,13,0,0,0,5,5,3,0,0,0,13,0,7,0,17,9,11,3,0,0,50,0,0,0,0,0,8,0,0,0,17,0,14,20,86,26,20,9,8,0,189,0,0,0,0,0,0,4,7,0,18,0,0,0,0,0,0,0,0,0,4,0,26,34,51,64,92,63,47,18,389,0,0,0,8,4,0,0,0,0,18,0,9,6,16,7,3,0,0,4,49
POA2604,0,0,0,10,6,13,3,0,0,31,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,4,19,13,103,41,38,30,15,9,260,15,26,57,175,58,50,39,27,40,486,295,542,685,2557,829,776,562,312,195,6757,0,0,0,4,0,0,0,0,0,8,510,893,971,3191,971,931,681,330,155,8639,0,3,4,20,6,4,0,0,0,35,0,0,0,0,0,0,5,0,0,12,0,0,0,14,4,0,0,0,0,29,0,0,0,4,0,5,0,0,0,9,3,5,0,28,11,8,7,3,0,60,0,0,3,7,3,0,0,5,0,16,0,15,9,94,35,13,3,0,0,175,0,0,0,7,0,5,4,8,3,23,0,3,0,5,0,0,0,0,0,8,7,13,15,93,78,106,81,58,12,465,0,0,3,7,0,5,0,0,0,20,0,9,7,30,19,13,0,0,0,78
POA2605,0,3,0,12,3,4,7,0,0,28,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,4,0,25,13,91,33,30,28,22,16,257,0,21,12,57,32,22,21,28,22,216,306,883,682,1583,872,740,567,519,352,6502,0,0,0,0,0,0,0,0,0,6,580,1536,1074,1800,1170,1004,684,509,319,8672,0,3,4,22,3,0,0,0,0,34,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,4,4,0,0,18,0,0,0,3,0,0,0,0,0,3,0,7,12,11,10,11,4,9,0,65,0,0,0,7,3,0,0,5,0,21,0,12,12,68,27,25,17,14,0,175,0,0,0,0,0,0,3,13,10,23,0,3,0,6,0,0,0,0,0,13,4,28,29,36,69,94,82,86,56,470,0,0,0,8,3,3,0,8,0,24,0,0,0,9,6,0,3,4,0,25
POA2606,0,3,0,14,12,5,0,0,0,36,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,11,0,28,27,182,36,24,22,26,8,358,8,14,16,70,27,16,23,21,4,209,323,530,710,2462,719,545,441,354,116,6198,0,4,4,14,3,0,0,0,0,20,610,787,936,2322,842,634,428,317,108,6978,0,9,0,37,7,0,4,0,0,69,0,0,0,5,0,0,0,0,0,7,0,0,0,22,4,0,0,0,0,27,0,0,5,5,0,0,0,0,0,13,0,0,5,19,4,0,0,5,0,32,0,3,0,0,6,4,0,0,0,15,5,8,17,140,30,40,31,11,0,279,0,0,0,0,3,3,10,5,7,29,0,4,5,5,5,0,0,0,0,14,0,17,20,55,41,63,53,42,25,317,0,0,0,10,3,6,6,4,0,27,0,0,3,10,0,0,8,4,0,25
POA2607,0,0,4,16,0,4,9,6,0,41,0,0,0,0,0,0,3,3,0,6,0,4,0,5,3,0,0,0,0,10,0,19,22,106,43,38,51,44,12,339,12,28,21,53,26,20,29,29,23,245,321,893,749,1834,1012,950,748,702,254,7459,0,0,0,4,0,3,4,0,0,16,660,1600,1326,2087,1330,1158,843,710,233,9955,0,0,10,14,13,4,8,0,0,51,0,0,0,0,0,3,0,0,0,13,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,10,0,6,8,17,8,18,3,3,0,56,0,0,0,0,0,3,0,0,0,8,0,12,15,78,41,39,18,19,5,228,0,0,0,0,4,0,12,14,6,36,0,0,3,0,3,0,3,0,0,14,3,28,13,59,61,118,85,113,31,515,0,0,5,14,9,10,0,4,0,39,0,0,0,3,11,5,5,0,0,27
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,5,5,0,0,0,0,0,13,3,5,21,27,11,24,15,6,0,118,14,41,72,106,58,70,71,31,3,467,0,0,0,0,0,0,0,0,0,0,22,53,95,133,99,101,76,39,4,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,12,4,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2611,0,4,10,43,17,15,4,3,0,95,0,0,0,3,0,8,6,5,0,24,0,0,5,10,8,9,6,0,0,36,12,42,59,240,107,84,70,68,37,717,31,62,62,193,57,62,70,53,24,609,1195,2496,1884,6028,2331,1712,1601,1078,412,18734,0,3,0,20,0,3,0,0,0,28,2312,4364,2976,6875,3111,2023,1834,1182,357,25033,0,6,3,107,19,8,7,5,0,161,0,0,0,0,3,0,3,0,0,15,0,0,0,28,0,3,0,0,0,35,0,0,4,13,0,3,0,0,0,21,0,7,14,48,19,17,6,4,4,126,0,0,0,14,8,5,10,5,0,45,0,25,21,379,61,80,46,10,9,635,0,0,0,3,3,12,22,43,14,99,0,0,4,17,0,6,5,3,5,34,7,64,60,176,154,220,195,174,81,1124,0,3,9,32,10,8,5,0,0,76,0,11,9,28,18,7,0,9,0,72
