POA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2600,0,0,0,6,4,0,0,0,0,8,0,0,0,4,7,0,0,0,0,13,0,0,0,15,3,5,9,0,0,31,0,0,0,3,0,10,3,3,5,27,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,9,11,5,3,35,0,3,0,9,3,3,3,0,0,20,0,3,3,19,14,9,18,5,6,72,0,3,0,19,18,0,3,0,0,41,0,0,0,3,7,0,0,0,0,17,0,6,0,7,0,3,0,0,0,24,0,0,0,5,3,0,0,0,0,11,4,32,11,46,17,18,14,10,0,161,0,0,0,12,18,10,4,3,0,45,0,0,0,0,0,5,8,3,3,17,0,0,0,3,4,8,3,0,0,14,3,17,15,84,51,31,30,20,14,269,16,34,53,150,69,51,67,39,23,498,315,838,887,2028,1138,1072,1126,610,238,8255
POA2601,0,0,5,17,0,0,0,0,0,22,0,0,0,0,5,0,0,0,0,7,0,0,0,27,0,4,5,0,0,41,0,0,3,5,4,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,10,5,8,3,6,4,0,29,0,0,46,21,7,0,0,0,0,71,0,0,25,16,0,0,0,0,0,46,0,0,14,28,0,4,0,0,0,51,0,4,11,23,6,0,0,0,0,42,0,0,14,34,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,3,4,0,48,33,9,0,3,0,0,96,0,0,12,21,3,0,0,0,0,37,0,0,5,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,8,54,101,22,10,3,3,0,209,6,4,764,199,20,16,8,5,3,1027,79,76,4325,2300,355,277,184,71,23,7680
POA2602,6,4,10,71,5,8,0,0,0,101,0,0,4,25,21,13,8,0,0,73,5,9,18,87,24,16,3,6,0,166,0,0,3,13,12,11,12,10,10,68,0,0,4,10,4,0,0,0,0,19,0,0,5,22,16,26,26,27,8,128,3,11,9,33,7,8,4,6,0,81,4,10,21,56,45,15,10,0,0,157,0,9,15,67,17,13,7,4,4,134,0,0,4,39,3,3,0,0,0,58,0,4,15,50,12,10,6,0,0,102,0,3,0,11,8,3,0,0,0,26,17,54,56,146,77,46,32,4,3,421,3,30,28,128,72,55,40,5,11,371,0,3,0,8,8,4,6,5,0,34,0,0,6,16,3,7,3,0,0,32,19,110,109,781,176,127,113,67,60,1567,51,88,126,422,109,119,102,97,92,1209,1738,3926,4835,11385,4445,3480,2473,1434,828,34540
POA2603,0,4,9,17,4,4,0,0,0,42,0,0,0,3,8,0,0,0,0,16,0,7,3,34,0,4,3,0,0,54,0,0,0,7,8,7,9,7,0,36,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,8,14,3,5,50,0,8,10,12,4,6,0,0,3,48,0,0,5,19,13,8,6,0,0,52,0,3,11,25,19,11,6,5,0,79,0,0,0,16,6,5,6,0,0,29,0,0,4,8,3,4,6,0,0,23,0,0,0,9,4,3,5,0,0,16,9,17,13,31,15,11,16,9,0,121,0,0,3,24,10,9,4,4,0,56,0,0,0,3,5,0,0,0,0,9,0,0,0,7,0,3,3,0,0,15,0,30,32,94,69,50,32,30,12,348,6,35,36,97,47,39,34,19,9,324,350,1137,1278,2864,1463,1323,999,563,326,10306
POA2604,0,3,7,32,4,0,0,0,0,47,0,0,0,3,3,9,3,0,0,26,0,9,17,57,26,4,4,3,0,117,0,0,0,15,7,0,13,3,6,47,0,3,0,3,3,3,0,0,0,13,0,0,0,15,7,11,14,15,3,66,0,7,3,18,9,5,5,0,0,43,0,3,7,37,10,0,5,3,0,70,0,9,6,32,19,11,3,4,0,81,0,3,0,27,3,0,0,0,0,36,0,4,7,18,6,3,0,0,0,42,0,0,0,0,0,3,8,0,0,13,0,18,19,57,22,12,10,5,0,145,0,0,0,13,10,15,7,3,0,58,0,0,0,3,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,11,3,27,26,179,83,58,47,23,8,457,23,61,93,358,119,111,94,52,55,966,562,1145,1324,4929,1632,1476,1110,575,280,13034
POA2605,0,6,4,32,0,0,0,0,0,43,0,0,0,3,6,13,3,0,0,27,0,13,0,58,10,18,8,0,0,109,0,0,0,3,7,6,7,6,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,4,14,17,14,70,0,4,4,4,12,5,0,0,0,34,0,4,8,22,10,9,11,0,0,62,0,0,3,38,18,9,3,3,0,72,0,0,3,5,0,0,0,0,0,17,0,5,0,13,12,4,3,0,0,35,0,0,0,0,0,0,0,0,0,0,3,27,12,28,17,17,16,6,3,136,0,6,0,17,10,8,11,0,0,43,0,0,0,4,0,0,3,5,4,14,0,0,4,6,0,3,0,0,0,12,3,50,26,170,65,51,53,42,29,476,5,36,27,102,63,46,53,53,29,407,620,1837,1315,3049,1697,1452,1094,886,547,12488
POA2606,0,10,12,33,14,7,0,0,0,84,0,0,0,5,4,0,0,0,0,15,5,13,26,229,56,16,11,3,0,355,0,0,0,0,4,9,8,7,0,27,0,0,0,0,0,4,0,0,0,6,0,0,0,13,9,6,7,9,3,47,0,6,0,14,4,0,4,3,0,43,0,0,7,21,10,13,10,0,0,62,0,4,5,63,11,12,23,7,0,124,0,0,0,12,0,0,0,0,0,17,0,3,4,19,9,0,0,0,0,40,0,0,0,8,3,3,0,0,0,13,0,8,13,34,13,3,7,3,0,87,0,3,11,23,13,8,7,4,0,62,0,0,0,0,0,0,0,4,0,5,0,0,6,4,8,4,0,0,0,19,0,55,55,363,64,47,32,46,21,693,16,31,46,164,62,40,39,41,18,455,654,1032,1368,4914,1379,1079,797,620,225,12071
POA2607,0,11,3,36,11,8,0,0,0,72,0,0,0,0,10,7,4,0,0,26,0,13,17,84,22,11,10,0,0,166,0,0,0,6,4,9,13,9,5,38,0,0,0,0,0,0,0,0,0,0,0,3,3,4,14,15,17,17,4,71,0,4,0,15,7,9,11,0,0,49,3,9,0,17,10,8,8,4,4,72,0,0,0,27,27,34,31,7,3,139,0,0,0,4,0,0,0,0,0,9,0,7,8,22,6,7,5,0,0,50,0,0,0,0,0,3,0,5,0,14,6,16,10,38,15,13,15,10,0,120,0,0,4,21,11,14,15,3,0,60,0,0,0,4,0,0,3,7,0,17,0,4,0,5,4,3,0,0,0,16,0,47,40,208,91,75,85,77,25,650,21,63,51,122,51,57,55,56,36,512,712,1918,1627,3580,1957,1826,1417,1229,453,14717
POA2609,0,0,3,4,0,0,0,0,0,4,0,0,0,6,6,0,0,0,0,7,0,0,0,8,4,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,5,0,4,6,9,5,7,0,0,0,34,3,10,44,83,45,63,35,25,0,315,23,68,166,285,161,204,138,79,10,1136
POA2611,0,27,17,122,34,7,4,0,0,217,0,0,4,15,23,15,4,0,0,59,3,43,39,265,70,25,24,4,0,476,0,3,0,25,6,13,25,6,8,88,0,5,6,8,7,7,4,0,0,31,0,7,8,22,16,34,35,30,13,170,0,6,5,37,14,7,6,5,0,80,0,11,20,55,51,18,12,13,5,184,0,18,18,120,39,34,17,6,6,255,0,6,0,24,8,9,0,6,0,50,3,10,6,77,15,12,4,4,0,128,0,0,0,7,4,0,3,0,0,22,19,48,27,90,30,26,25,12,0,279,0,8,13,65,27,26,13,5,0,153,0,0,0,13,5,10,7,10,0,53,0,0,6,24,17,11,6,0,0,68,15,86,106,456,188,154,122,109,61,1317,63,133,137,399,111,107,121,105,44,1211,2453,5143,3837,11675,4606,3219,2909,1996,702,36535
