POA_CODE_2021,A25_34_UOLSE_T_11_15,A25_34_UOLSE_T_16,A25_34_UOLSE_T_17,A25_34_UOLSE_T_18,A25_34_UOLSE_T_19,A25_34_UOLSE_T_20,A25_34_UOLSE_T_21,A25_34_UOLSE_T_YNS,A25_34_UOLSE_T_T,A25_34_L_PinE_NS_B_05,A25_34_L_PinE_NS_05_10,A25_34_L_PinE_NS_11_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_17,A25_34_L_PinE_NS_18,A25_34_L_PinE_NS_19,A25_34_L_PinE_NS_20,A25_34_L_PinE_NS_21,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B_05,A25_34_T_05_10,A25_34_T_11_15,A25_34_T_16,A25_34_T_17,A25_34_T_18,A25_34_T_19,A25_34_T_20,A25_34_T_21,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B_05,A35_44_SEO_05_10,A35_44_SEO_11_15,A35_44_SEO_16,A35_44_SEO_17,A35_44_SEO_18,A35_44_SEO_19,A35_44_SEO_20,A35_44_SEO_21,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_UOLSE_VWW_B_05,A35_44_UOLSE_VWW_05_10,A35_44_UOLSE_VWW_11_15,A35_44_UOLSE_VWW_16,A35_44_UOLSE_VWW_17,A35_44_UOLSE_VWW_18,A35_44_UOLSE_VWW_19,A35_44_UOLSE_VWW_20,A35_44_UOLSE_VWW_21,A35_44_UOLSE_VWW_YNS,A35_44_UOLSE_VWW_T,A35_44_UOLSE_NWNAA_B_05,A35_44_UOLSE_NWNAA_05_10,A35_44_UOLSE_NWNAA_11_15,A35_44_UOLSE_NWNAA_16,A35_44_UOLSE_NWNAA_17,A35_44_UOLSE_NWNAA_18,A35_44_UOLSE_NWNAA_19,A35_44_UOLSE_NWNAA_20,A35_44_UOLSE_NWNAA_21,A35_44_UOLSE_NWNAA_YNS,A35_44_UOLSE_NWNAA_T,A35_44_UOLSE_PinE_NS_B_05,A35_44_UOLSE_PinE_NS_05_10,A35_44_UOLSE_PinE_NS_11_15,A35_44_UOLSE_PinE_NS_16,A35_44_UOLSE_PinE_NS_17,A35_44_UOLSE_PinE_NS_18,A35_44_UOLSE_PinE_NS_19,A35_44_UOLSE_PinE_NS_20,A35_44_UOLSE_PinE_NS_21,A35_44_UOLSE_PinE_NS_YNS,A35_44_UOLSE_PinE_NS_T,A35_44_UOLSE_T_B_05,A35_44_UOLSE_T_05_10,A35_44_UOLSE_T_11_15,A35_44_UOLSE_T_16,A35_44_UOLSE_T_17,A35_44_UOLSE_T_18,A35_44_UOLSE_T_19,A35_44_UOLSE_T_20,A35_44_UOLSE_T_21,A35_44_UOLSE_T_YNS,A35_44_UOLSE_T_T,A35_44_L_PinE_NS_B_05,A35_44_L_PinE_NS_05_10,A35_44_L_PinE_NS_11_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_17,A35_44_L_PinE_NS_18,A35_44_L_PinE_NS_19,A35_44_L_PinE_NS_20,A35_44_L_PinE_NS_21,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B_05,A35_44_T_05_10,A35_44_T_11_15,A35_44_T_16,A35_44_T_17,A35_44_T_18,A35_44_T_19,A35_44_T_20,A35_44_T_21,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B_05,A45_54_SEO_05_10,A45_54_SEO_11_15,A45_54_SEO_16,A45_54_SEO_17,A45_54_SEO_18,A45_54_SEO_19,A45_54_SEO_20,A45_54_SEO_21,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_UOLSE_VWW_B_05,A45_54_UOLSE_VWW_05_10,A45_54_UOLSE_VWW_11_15,A45_54_UOLSE_VWW_16,A45_54_UOLSE_VWW_17,A45_54_UOLSE_VWW_18,A45_54_UOLSE_VWW_19,A45_54_UOLSE_VWW_20,A45_54_UOLSE_VWW_21,A45_54_UOLSE_VWW_YNS,A45_54_UOLSE_VWW_T,A45_54_UOLSE_NWNAA_B_05,A45_54_UOLSE_NWNAA_05_10,A45_54_UOLSE_NWNAA_11_15,A45_54_UOLSE_NWNAA_16,A45_54_UOLSE_NWNAA_17,A45_54_UOLSE_NWNAA_18,A45_54_UOLSE_NWNAA_19,A45_54_UOLSE_NWNAA_20,A45_54_UOLSE_NWNAA_21,A45_54_UOLSE_NWNAA_YNS,A45_54_UOLSE_NWNAA_T,A45_54_UOLSE_PinE_NS_B_05,A45_54_UOLSE_PinE_NS_05_10,A45_54_UOLSE_PinE_NS_11_15,A45_54_UOLSE_PinE_NS_16,A45_54_UOLSE_PinE_NS_17,A45_54_UOLSE_PinE_NS_18,A45_54_UOLSE_PinE_NS_19,A45_54_UOLSE_PinE_NS_20,A45_54_UOLSE_PinE_NS_21,A45_54_UOLSE_PinE_NS_YNS,A45_54_UOLSE_PinE_NS_T,A45_54_UOLSE_T_B_05,A45_54_UOLSE_T_05_10,A45_54_UOLSE_T_11_15,A45_54_UOLSE_T_16,A45_54_UOLSE_T_17,A45_54_UOLSE_T_18,A45_54_UOLSE_T_19,A45_54_UOLSE_T_20,A45_54_UOLSE_T_21,A45_54_UOLSE_T_YNS,A45_54_UOLSE_T_T,A45_54_L_PinE_NS_B_05,A45_54_L_PinE_NS_05_10,A45_54_L_PinE_NS_11_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_17,A45_54_L_PinE_NS_18,A45_54_L_PinE_NS_19,A45_54_L_PinE_NS_20,A45_54_L_PinE_NS_21,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B_05,A45_54_T_05_10,A45_54_T_11_15,A45_54_T_16,A45_54_T_17,A45_54_T_18,A45_54_T_19,A45_54_T_20,A45_54_T_21,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B_05,A55_64_SEO_05_10,A55_64_SEO_11_15,A55_64_SEO_16,A55_64_SEO_17,A55_64_SEO_18,A55_64_SEO_19,A55_64_SEO_20,A55_64_SEO_21,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_UOLSE_VWW_B_05,A55_64_UOLSE_VWW_05_10,A55_64_UOLSE_VWW_11_15,A55_64_UOLSE_VWW_16
POA2600,23,8,8,10,12,6,0,0,131,0,0,0,0,0,0,0,0,0,0,0,85,39,38,11,12,11,17,13,7,0,231,89,17,14,0,3,3,5,6,0,0,151,79,60,51,6,11,3,15,6,0,3,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,63,51,6,11,3,15,3,0,3,229,0,0,0,0,0,0,0,0,0,0,0,164,81,67,5,9,10,22,15,0,4,379,137,17,6,0,0,0,4,13,5,3,177,96,26,20,3,4,3,5,0,3,0,165,3,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,101,29,20,3,9,3,3,0,3,0,175,0,0,0,0,0,0,0,0,0,0,0,236,45,19,5,14,7,5,11,4,8,351,196,6,8,0,0,0,0,3,0,0,218,84,0,0,0
POA2601,206,86,95,102,98,46,5,9,782,0,0,0,0,0,0,0,0,0,0,3,121,92,229,89,101,121,117,58,17,11,957,30,14,14,4,0,0,7,3,0,0,75,47,44,45,12,10,16,14,12,4,0,205,0,0,5,0,3,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,47,39,48,9,18,19,11,12,4,0,213,0,0,0,0,0,0,0,0,0,0,0,78,50,64,16,19,19,21,18,6,0,289,50,6,3,3,0,0,0,3,0,0,66,24,17,15,3,0,3,3,4,0,3,72,0,0,0,3,6,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,29,17,15,9,7,4,12,4,0,3,84,0,0,0,0,0,0,0,0,0,0,0,74,17,17,7,7,4,7,5,3,6,152,44,0,0,0,0,5,0,0,0,0,49,30,0,6,0
POA2602,370,131,210,223,183,90,3,25,1469,0,0,0,0,0,0,0,0,0,3,3,335,220,454,155,245,254,213,96,8,38,2030,352,113,80,11,5,14,17,10,6,20,627,212,210,291,55,66,68,64,29,3,6,1009,8,16,30,6,6,7,3,3,0,3,84,0,0,0,0,0,0,0,0,0,0,0,220,223,321,58,74,75,68,31,3,10,1092,0,0,0,0,0,0,0,0,0,0,0,570,342,402,80,78,89,81,46,9,27,1720,541,48,39,6,0,8,6,0,3,13,664,349,77,63,4,9,8,14,4,0,9,538,14,14,23,0,16,12,7,7,0,0,90,0,0,0,0,0,0,0,0,0,0,0,358,90,81,9,24,20,23,11,0,9,632,0,0,0,0,0,0,0,0,0,0,0,899,137,126,10,23,26,23,7,3,22,1294,576,21,12,0,4,0,0,0,0,8,629,272,19,13,5
POA2603,71,23,28,41,24,10,4,0,275,0,0,0,0,0,0,0,0,0,0,0,104,57,89,33,35,48,36,7,3,0,417,93,30,19,0,0,5,3,0,0,0,153,91,69,70,11,11,13,9,8,0,7,279,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,91,68,72,15,11,10,10,8,4,7,298,0,0,0,0,0,0,0,0,0,0,0,179,96,88,17,12,14,13,9,5,4,447,176,21,8,3,0,4,0,5,0,6,223,119,52,33,4,0,4,6,9,0,0,233,3,8,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,126,58,31,4,7,4,6,9,0,0,247,0,0,0,0,0,0,0,0,0,0,0,307,78,43,5,9,9,4,7,4,6,468,213,10,7,0,0,0,0,3,0,0,236,123,6,9,0
POA2604,109,43,66,48,40,8,4,5,432,0,0,0,0,0,0,0,0,0,0,0,181,72,143,53,82,64,45,20,11,18,688,132,39,30,3,0,3,9,4,3,6,235,128,111,100,18,21,33,17,8,0,9,444,4,6,4,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,130,112,104,18,23,32,17,8,0,7,458,0,0,0,0,0,0,0,0,0,0,0,264,158,134,25,24,32,27,9,0,17,688,195,20,18,0,4,8,0,3,0,5,247,137,50,52,13,0,3,13,8,0,0,279,0,6,0,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,139,54,51,12,6,5,17,6,0,0,295,0,0,0,0,0,0,0,0,0,0,0,332,76,69,12,4,9,16,11,3,6,544,237,10,9,5,3,0,0,3,0,0,273,124,6,5,0
POA2605,80,44,70,61,35,24,0,3,366,0,0,0,0,0,0,0,0,0,0,0,71,38,96,49,70,64,53,23,3,4,473,113,25,22,5,0,4,5,4,0,3,186,97,137,133,26,24,24,19,4,0,3,472,4,0,5,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,103,139,139,28,24,28,21,5,0,6,486,0,0,0,0,0,0,0,0,0,0,3,217,165,157,30,26,33,25,7,5,12,680,195,22,21,3,5,7,0,0,0,8,254,104,35,17,8,3,8,7,0,0,0,195,4,8,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,105,45,22,7,10,8,4,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,302,64,41,11,6,16,10,0,0,8,464,245,5,7,0,0,0,0,0,0,0,258,109,7,4,0
POA2606,343,147,230,241,133,50,5,21,1335,0,0,0,0,0,0,0,0,0,3,3,161,120,375,158,235,250,144,48,13,19,1536,90,37,34,3,3,3,6,0,6,3,193,98,153,223,41,50,49,34,14,8,5,673,4,4,11,4,0,0,3,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,100,152,225,46,54,54,37,16,8,4,704,0,0,0,0,0,0,0,0,0,0,0,191,192,262,52,58,58,43,16,5,9,899,132,17,14,0,0,4,3,5,0,0,169,112,74,55,5,7,12,10,6,6,0,274,6,8,8,0,3,4,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,122,75,61,5,10,13,13,0,6,0,304,0,0,0,0,0,0,0,0,0,0,0,251,93,77,5,10,17,13,3,3,3,478,173,5,0,0,0,0,0,0,0,5,190,126,14,8,0
POA2607,135,61,72,65,47,14,8,12,513,0,0,0,0,0,0,0,0,0,0,6,82,65,160,73,80,70,57,15,8,12,617,129,26,33,4,6,5,3,0,0,4,219,133,127,137,31,36,29,18,9,0,0,522,0,4,0,0,4,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,137,130,136,31,45,31,26,12,0,0,542,0,0,0,0,0,0,0,0,0,0,0,269,156,172,26,50,37,24,14,0,11,755,189,27,16,6,3,0,3,4,0,3,256,162,74,32,5,8,6,4,0,0,0,293,3,4,4,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,164,75,40,7,7,11,7,0,0,3,312,0,0,0,0,0,0,0,0,0,0,0,359,99,56,8,11,11,9,4,0,12,567,300,5,8,0,0,0,0,0,0,4,330,229,9,3,0
POA2609,12,0,0,0,0,0,9,0,27,0,0,0,0,0,0,0,0,0,0,0,10,8,12,0,0,0,0,0,10,0,36,4,0,0,0,0,0,0,0,0,3,11,3,3,7,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,10,3,10,0,0,0,0,0,0,4,31,10,0,0,0,0,0,0,0,0,0,11,7,3,5,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15,3,3,0,0,0,0,0,0,0,25,18,0,3,0,0,0,0,0,0,0,21,10,0,0,0
POA2611,498,172,161,152,117,36,7,8,1514,0,0,0,0,0,0,0,0,0,0,0,306,282,574,190,176,166,127,46,17,19,1903,353,101,63,5,12,11,6,9,5,7,570,423,635,525,61,51,45,37,16,24,29,1850,16,16,18,8,4,0,8,7,0,6,73,0,3,0,0,0,0,0,0,0,0,3,436,649,542,70,62,47,46,20,27,29,1931,0,0,0,0,0,0,0,0,0,0,5,790,754,605,77,68,60,50,32,35,44,2502,433,57,48,5,6,3,0,0,3,10,569,382,181,136,15,14,4,4,8,10,9,767,13,9,14,3,0,0,3,7,0,0,47,0,0,0,0,0,0,0,0,0,0,0,396,183,152,18,10,4,12,10,12,7,811,0,0,0,0,0,0,0,0,0,0,0,832,239,201,24,14,10,13,16,15,19,1380,575,17,8,4,0,0,0,5,0,9,619,302,40,30,3
