POA_CODE_2021,A55_64_UOLSE_VWW_17,A55_64_UOLSE_VWW_18,A55_64_UOLSE_VWW_19,A55_64_UOLSE_VWW_20,A55_64_UOLSE_VWW_21,A55_64_UOLSE_VWW_YNS,A55_64_UOLSE_VWW_T,A55_64_UOLSE_NWNAA_B_05,A55_64_UOLSE_NWNAA_05_10,A55_64_UOLSE_NWNAA_11_15,A55_64_UOLSE_NWNAA_16,A55_64_UOLSE_NWNAA_17,A55_64_UOLSE_NWNAA_18,A55_64_UOLSE_NWNAA_19,A55_64_UOLSE_NWNAA_20,A55_64_UOLSE_NWNAA_21,A55_64_UOLSE_NWNAA_YNS,A55_64_UOLSE_NWNAA_T,A55_64_UOLSE_PinE_NS_B_05,A55_64_UOLSE_PinE_NS_05_10,A55_64_UOLSE_PinE_NS_11_15,A55_64_UOLSE_PinE_NS_16,A55_64_UOLSE_PinE_NS_17,A55_64_UOLSE_PinE_NS_18,A55_64_UOLSE_PinE_NS_19,A55_64_UOLSE_PinE_NS_20,A55_64_UOLSE_PinE_NS_21,A55_64_UOLSE_PinE_NS_YNS,A55_64_UOLSE_PinE_NS_T,A55_64_UOLSE_T_B_05,A55_64_UOLSE_T_05_10,A55_64_UOLSE_T_11_15,A55_64_UOLSE_T_16,A55_64_UOLSE_T_17,A55_64_UOLSE_T_18,A55_64_UOLSE_T_19,A55_64_UOLSE_T_20,A55_64_UOLSE_T_21,A55_64_UOLSE_T_YNS,A55_64_UOLSE_T_T,A55_64_L_PinE_NS_B_05,A55_64_L_PinE_NS_05_10,A55_64_L_PinE_NS_11_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_17,A55_64_L_PinE_NS_18,A55_64_L_PinE_NS_19,A55_64_L_PinE_NS_20,A55_64_L_PinE_NS_21,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B_05,A55_64_T_05_10,A55_64_T_11_15,A55_64_T_16,A55_64_T_17,A55_64_T_18,A55_64_T_19,A55_64_T_20,A55_64_T_21,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B_05,A65_74_SEO_05_10,A65_74_SEO_11_15,A65_74_SEO_16,A65_74_SEO_17,A65_74_SEO_18,A65_74_SEO_19,A65_74_SEO_20,A65_74_SEO_21,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_UOLSE_VWW_B_05,A65_74_UOLSE_VWW_05_10,A65_74_UOLSE_VWW_11_15,A65_74_UOLSE_VWW_16,A65_74_UOLSE_VWW_17,A65_74_UOLSE_VWW_18,A65_74_UOLSE_VWW_19,A65_74_UOLSE_VWW_20,A65_74_UOLSE_VWW_21,A65_74_UOLSE_VWW_YNS,A65_74_UOLSE_VWW_T,A65_74_UOLSE_NWNAA_B_05,A65_74_UOLSE_NWNAA_05_10,A65_74_UOLSE_NWNAA_11_15,A65_74_UOLSE_NWNAA_16,A65_74_UOLSE_NWNAA_17,A65_74_UOLSE_NWNAA_18,A65_74_UOLSE_NWNAA_19,A65_74_UOLSE_NWNAA_20,A65_74_UOLSE_NWNAA_21,A65_74_UOLSE_NWNAA_YNS,A65_74_UOLSE_NWNAA_T,A65_74_UOLSE_PinE_NS_B_05,A65_74_UOLSE_PinE_NS_05_10,A65_74_UOLSE_PinE_NS_11_15,A65_74_UOLSE_PinE_NS_16,A65_74_UOLSE_PinE_NS_17,A65_74_UOLSE_PinE_NS_18,A65_74_UOLSE_PinE_NS_19,A65_74_UOLSE_PinE_NS_20,A65_74_UOLSE_PinE_NS_21,A65_74_UOLSE_PinE_NS_YNS,A65_74_UOLSE_PinE_NS_T,A65_74_UOLSE_T_B_05,A65_74_UOLSE_T_05_10,A65_74_UOLSE_T_06,A65_74_UOLSE_T_16,A65_74_UOLSE_T_17,A65_74_UOLSE_T_18,A65_74_UOLSE_T_19,A65_74_UOLSE_T_20,A65_74_UOLSE_T_21,A65_74_UOLSE_T_YNS,A65_74_UOLSE_T_T,A65_74_L_PinE_NS_B_05,A65_74_L_PinE_NS_05_10,A65_74_L_PinE_NS_11_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_17,A65_74_L_PinE_NS_18,A65_74_L_PinE_NS_19,A65_74_L_PinE_NS_20,A65_74_L_PinE_NS_21,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B_05,A65_74_T_05_10,A65_74_T_11_15,A65_74_T_16,A65_74_T_17,A65_74_T_18,A65_74_T_19,A65_74_T_20,A65_74_T_21,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B_05,A75_84_SEO_05_10,A75_84_SEO_11_15,A75_84_SEO_16,A75_84_SEO_17,A75_84_SEO_18,A75_84_SEO_19,A75_84_SEO_20,A75_84_SEO_21,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_UOLSE_VWW_B_05,A75_84_UOLSE_VWW_05_10,A75_84_UOLSE_VWW_11_15,A75_84_UOLSE_VWW_16,A75_84_UOLSE_VWW_17,A75_84_UOLSE_VWW_18,A75_84_UOLSE_VWW_19,A75_84_UOLSE_VWW_20,A75_84_UOLSE_VWW_21,A75_84_UOLSE_VWW_YNS,A75_84_UOLSE_VWW_T,A75_84_UOLSE_NWNAA_B_05,A75_84_UOLSE_NWNAA_05_10,A75_84_UOLSE_NWNAA_11_15,A75_84_UOLSE_NWNAA_16,A75_84_UOLSE_NWNAA_17,A75_84_UOLSE_NWNAA_18,A75_84_UOLSE_NWNAA_19,A75_84_UOLSE_NWNAA_20,A75_84_UOLSE_NWNAA_21,A75_84_UOLSE_NWNAA_YNS,A75_84_UOLSE_NWNAA_T,A75_84_UOLSE_PinE_NS_B_05,A75_84_UOLSE_PinE_NS_05_10,A75_84_UOLSE_PinE_NS_11_15,A75_84_UOLSE_PinE_NS_16,A75_84_UOLSE_PinE_NS_17,A75_84_UOLSE_PinE_NS_18,A75_84_UOLSE_PinE_NS_19,A75_84_UOLSE_PinE_NS_20,A75_84_UOLSE_PinE_NS_21,A75_84_UOLSE_PinE_NS_YNS,A75_84_UOLSE_PinE_NS_T,A75_84_UOLSE_T_B_05,A75_84_UOLSE_T_05_10,A75_84_UOLSE_T_11_15,A75_84_UOLSE_T_16,A75_84_UOLSE_T_17,A75_84_UOLSE_T_18,A75_84_UOLSE_T_19,A75_84_UOLSE_T_20,A75_84_UOLSE_T_21,A75_84_UOLSE_T_YNS,A75_84_UOLSE_T_T,A75_84_L_PinE_NS_B_05,A75_84_L_PinE_NS_05_10,A75_84_L_PinE_NS_11_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_17,A75_84_L_PinE_NS_18
POA2600,0,0,0,3,0,0,91,0,0,3,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,84,6,3,0,0,0,3,3,0,0,97,0,0,0,0,0,0,0,0,0,0,0,281,12,14,7,0,0,0,8,0,0,319,255,0,3,6,0,0,0,0,0,0,261,74,0,0,0,0,0,0,0,0,0,80,4,5,5,0,0,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,77,10,5,0,0,4,0,0,0,4,103,0,0,0,0,0,0,0,0,0,0,3,333,6,6,5,0,4,0,6,0,7,370,148,0,0,0,0,0,0,0,0,4,147,45,0,0,0,0,0,0,0,0,0,46,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,49,0,3,0,0,0,4,0,0,0,59,3,0,0,0,0,0
POA2601,0,0,0,0,0,0,40,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,34,0,9,0,4,0,0,0,3,4,51,0,0,0,0,0,0,0,0,0,0,0,73,0,9,0,4,3,0,0,3,4,96,33,0,0,0,0,0,0,0,0,0,37,25,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,64,13,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
POA2602,3,0,0,0,0,3,317,38,4,12,0,5,6,8,3,0,0,82,0,0,0,0,0,0,0,0,0,0,0,314,24,24,3,5,6,10,3,0,3,401,0,0,0,0,0,0,0,0,0,0,0,891,52,35,3,13,5,13,3,0,13,1027,477,3,13,0,0,0,0,0,0,9,496,208,3,0,0,0,0,0,0,0,6,219,51,16,14,0,0,0,7,5,0,0,88,0,0,0,0,0,0,0,0,0,0,0,252,17,14,0,0,0,7,4,0,11,312,0,0,0,0,0,0,0,0,0,0,0,733,25,23,0,0,5,7,0,0,18,810,305,0,0,0,0,0,0,0,0,11,316,143,0,0,0,0,0,0,0,0,3,145,68,6,4,0,0,0,0,0,0,0,76,3,0,0,0,0,0,0,0,0,0,4,203,8,3,0,0,0,5,0,0,3,225,0,0,0,0,0,0
POA2603,0,0,3,4,0,0,144,6,0,0,0,0,0,6,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,131,8,7,0,0,0,4,4,0,0,162,0,0,0,0,0,0,0,0,0,0,0,342,15,13,0,4,0,8,5,0,0,396,208,0,0,0,0,0,0,0,0,0,218,69,0,3,0,0,0,4,0,0,0,83,5,0,6,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,75,7,7,0,0,0,4,5,0,0,97,0,0,0,0,0,0,0,0,0,0,0,284,7,7,0,0,0,4,5,0,6,313,119,0,0,0,0,0,0,0,0,0,128,52,0,3,0,0,0,0,0,0,0,56,10,0,4,6,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,57,0,9,6,0,0,0,0,0,0,67,0,0,0,0,0,0
POA2604,0,0,4,4,3,0,142,4,0,8,0,0,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,126,7,8,4,0,0,4,3,3,0,164,0,0,0,0,0,0,0,0,0,0,0,365,23,18,7,3,4,7,9,3,5,436,209,0,0,0,0,0,0,0,0,0,213,82,0,0,0,0,0,0,0,0,6,84,12,0,4,0,0,0,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,96,0,10,0,0,0,4,0,0,6,114,0,0,0,0,0,0,0,0,0,3,8,305,0,10,0,0,0,4,0,0,10,335,122,4,0,0,0,0,0,0,0,5,125,41,0,4,0,0,0,0,0,0,0,44,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,50,0,4,0,0,0,0,0,0,0,59,4,0,0,0,0,0
POA2605,0,0,0,0,0,0,126,11,0,11,0,0,0,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,116,7,13,0,0,0,7,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,359,18,22,0,0,0,7,5,0,4,407,237,0,6,0,0,0,0,0,0,4,241,78,0,0,0,0,0,0,0,0,0,81,3,5,4,5,8,0,8,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,86,7,4,3,8,0,6,4,0,0,113,0,0,0,0,0,0,0,0,0,0,0,317,9,7,3,8,0,6,4,0,3,358,198,0,0,0,0,0,0,0,0,5,208,92,0,0,0,0,0,0,0,0,3,98,19,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,109,0,4,0,0,0,0,0,0,4,120,0,0,0,0,0,0
POA2606,6,0,4,0,0,4,167,13,4,10,4,0,0,3,5,0,3,45,0,0,0,0,0,0,0,0,0,0,0,140,26,19,0,7,3,13,5,0,8,211,0,0,0,0,0,0,0,0,0,0,0,317,31,19,0,5,3,13,4,0,9,403,141,0,0,0,0,0,0,0,0,0,151,130,0,7,0,0,0,7,4,0,0,142,15,6,10,0,0,6,8,3,0,0,36,0,0,0,0,0,0,0,0,0,0,0,137,12,11,0,0,6,7,4,0,0,184,0,0,0,0,0,0,0,0,0,0,0,282,11,11,0,0,0,7,4,0,4,330,139,0,0,0,0,0,0,0,0,6,145,86,5,0,0,0,0,0,0,0,0,99,12,3,0,3,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,95,10,0,3,0,0,0,0,0,0,119,6,0,0,0,0,0
POA2607,4,0,0,4,0,0,254,18,0,5,0,0,0,8,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,247,17,9,0,0,0,8,4,0,0,282,0,0,0,0,0,0,0,0,0,0,0,546,19,16,3,9,0,8,4,3,4,609,272,3,4,0,0,0,0,0,0,0,273,201,8,0,0,0,0,0,0,0,0,209,20,3,4,5,0,0,0,5,0,0,35,0,0,0,0,0,0,0,0,0,0,0,219,8,5,5,0,0,0,5,0,0,240,0,0,0,0,0,0,0,0,0,0,0,487,8,4,5,0,0,0,5,0,6,520,255,0,3,0,0,0,0,0,0,5,264,141,0,0,0,0,0,0,0,0,5,154,34,6,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,178,10,3,0,0,0,0,0,0,5,197,0,0,0,0,0,0
POA2609,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,33,21,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,27,12,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
POA2611,0,0,3,0,6,4,396,13,9,17,5,0,6,15,11,0,6,76,0,0,0,0,0,0,0,0,0,0,0,319,50,45,7,5,0,21,7,6,14,471,0,0,0,0,0,0,0,0,0,0,0,895,62,55,15,5,4,19,15,0,16,1090,536,0,6,0,0,0,0,3,0,10,560,274,9,6,0,8,3,7,4,0,11,316,25,7,16,9,0,3,15,9,0,6,81,3,0,0,0,0,0,0,0,0,0,3,300,14,22,9,8,4,19,9,0,9,398,0,0,0,0,0,0,0,0,0,0,0,837,17,23,9,8,4,19,14,0,18,956,393,0,0,0,0,0,0,0,0,23,418,187,5,0,0,0,0,0,0,0,8,204,61,0,4,0,4,9,4,0,0,4,81,0,0,0,0,0,0,0,0,0,0,3,244,5,11,0,4,8,4,3,0,11,289,0,0,0,0,0,0
POA2612,0,0,4,4,0,3,149,3,10,6,3,0,0,6,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,124,21,13,6,0,0,6,5,0,3,184,0,0,0,0,0,0,0,0,0,0,0,399,28,21,6,3,5,6,5,0,7,485,217,3,4,0,0,0,0,0,0,4,235,84,4,0,0,0,0,0,0,0,0,93,17,4,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,99,7,0,0,0,0,0,5,0,0,116,0,0,0,0,0,0,0,0,0,0,0,314,11,7,0,0,0,3,5,0,3,346,127,0,0,0,0,0,0,0,0,0,126,48,0,0,0,0,0,0,0,0,3,52,20,5,5,4,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,65,7,5,4,0,0,0,0,0,0,87,0,0,0,0,0,0
POA2614,0,0,0,5,0,0,241,23,11,6,0,0,3,7,5,3,0,59,0,0,0,0,0,0,0,0,0,0,0,221,32,15,0,3,3,7,6,3,0,302,0,0,0,0,0,0,0,0,0,0,0,557,60,15,0,3,4,7,6,4,8,662,398,0,4,0,0,0,0,0,0,6,409,166,0,0,0,0,0,0,0,0,0,169,18,7,9,4,0,4,11,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,189,7,8,4,0,4,13,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,587,6,11,4,0,4,13,0,0,9,633,337,0,0,0,0,0,0,0,0,0,343,145,0,0,0,0,0,0,0,0,6,151,40,8,4,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,181,8,4,0,0,0,0,0,0,10,212,0,0,0,0,0,0
POA2615,7,5,0,3,0,7,585,67,23,24,10,8,10,11,8,0,7,167,0,0,0,0,0,0,0,0,0,0,0,531,100,46,10,10,12,18,8,0,18,753,0,0,0,0,0,0,0,0,0,0,0,1217,118,64,9,9,12,16,8,0,35,1493,797,7,0,0,0,0,0,0,0,12,826,391,5,18,0,0,0,5,0,5,0,429,89,18,22,3,7,0,8,3,0,3,154,0,0,0,0,0,0,0,0,0,0,0,477,20,36,3,11,0,12,8,5,8,581,0,0,0,0,0,0,0,0,0,0,0,1279,29,43,4,10,4,9,9,5,18,1409,438,0,0,0,0,0,0,0,0,11,448,241,4,3,0,0,0,0,0,0,0,249,93,11,7,7,0,3,8,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,333,15,10,7,0,9,8,0,0,4,377,0,0,0,0,0,0
POA2617,0,3,5,0,0,9,576,47,17,23,3,4,8,15,6,0,3,129,0,0,0,0,0,0,0,0,0,0,0,538,62,37,3,4,9,17,3,0,16,704,0,0,0,0,0,0,0,0,0,0,0,976,76,58,5,4,14,18,5,0,19,1180,535,6,3,0,0,0,0,0,0,10,559,441,6,7,0,0,0,0,6,0,10,468,76,10,33,6,5,6,11,7,0,3,156,0,0,0,0,0,0,0,0,0,0,0,517,18,35,6,5,6,11,10,0,12,627,4,0,0,0,0,0,0,0,0,0,4,1055,23,43,6,5,6,11,10,0,22,1189,280,0,0,0,3,0,0,0,0,4,284,217,0,4,0,0,0,0,0,0,7,231,84,10,14,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,309,8,9,0,0,0,3,0,0,10,342,0,0,0,0,0,0
POA2618,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,34,28,0,0,0,0,0,0,0,0,0,29,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,34,22,0,0,0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
POA2900,0,0,0,0,0,0,35,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,38,3,4,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,105,13,4,0,3,3,0,0,0,3,131,76,0,0,0,0,0,0,0,0,0,78,19,0,0,0,0,0,3,0,0,0,25,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,3,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,105,5,5,0,0,0,3,0,0,0,113,58,0,0,0,0,0,0,0,0,0,57,15,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
POA2902,0,0,0,0,0,4,144,9,3,5,0,0,0,5,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,132,13,13,0,0,0,5,0,0,3,174,0,0,0,0,0,0,0,0,0,0,0,435,24,17,0,0,0,5,0,0,7,490,366,3,4,0,0,0,0,0,0,8,379,143,5,0,0,0,0,0,0,0,3,146,22,0,8,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,163,5,8,0,0,0,3,0,0,3,180,0,0,0,0,0,0,0,0,0,0,0,536,10,8,0,0,0,3,0,0,5,561,196,0,0,0,0,0,0,0,0,4,204,106,5,0,0,0,0,0,0,0,0,110,26,4,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,134,8,0,0,0,0,0,0,0,4,141,0,0,0,0,0,0
POA2903,0,0,0,0,0,0,122,16,0,0,0,0,0,5,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,120,8,5,4,0,0,5,4,0,0,140,0,0,0,0,0,0,0,0,0,0,0,288,18,4,4,0,0,5,4,0,3,316,232,0,0,0,0,0,0,0,0,3,237,111,0,3,0,0,0,0,0,0,0,120,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,127,0,3,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,353,3,3,0,0,0,0,0,0,3,370,85,0,0,0,0,0,0,0,0,3,96,45,0,0,0,0,0,0,0,0,5,48,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,5,63,0,0,0,0,0,0
POA2904,0,0,0,0,0,3,235,10,4,0,0,0,0,0,4,0,4,17,0,0,0,0,0,0,0,0,0,0,0,209,24,3,0,0,0,0,4,0,9,249,0,0,0,0,0,0,0,0,0,0,0,511,33,16,0,0,0,0,4,0,8,567,312,0,5,0,0,0,0,0,0,3,324,178,3,0,3,0,0,0,0,0,3,192,28,0,10,4,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,203,4,10,10,0,0,0,0,0,3,234,0,0,0,0,0,0,0,0,0,0,0,516,8,13,10,0,0,7,0,0,5,554,167,0,0,0,0,0,0,0,0,8,178,95,0,5,0,0,0,0,0,0,0,100,20,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0
