POA_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
POA2600,0,0,0,0,3,199,0,3,0,0,0,4,0,0,5,212,52,0,0,0,0,0,0,0,0,0,53,19,0,0,0,0,0,0,0,0,0,19,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,80,937,104,68,10,20,20,21,57,15,14,1273,439,133,135,25,44,16,52,20,4,17,879,18,10,11,4,3,4,8,8,0,7,61,4,0,0,0,0,0,0,0,0,0,3,467,138,143,26,44,17,62,27,6,20,946,4,0,0,0,0,0,0,0,0,0,6,1407,247,215,37,66,36,81,80,21,28,2219
POA2601,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,381,167,95,19,18,34,38,32,24,14,825,248,243,400,168,218,258,219,157,15,21,1955,5,7,11,6,21,24,23,10,4,3,102,0,0,0,0,0,0,0,0,0,0,0,254,250,408,182,235,281,242,165,21,25,2060,0,3,0,0,0,0,0,5,0,0,4,635,418,501,198,251,315,278,203,44,40,2890
POA2602,0,0,0,0,0,511,8,3,5,0,0,6,0,0,16,548,136,0,0,0,0,0,0,0,0,20,155,78,0,0,0,0,0,0,0,0,13,95,59,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,15,155,0,0,0,0,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,38,311,2779,411,397,77,73,79,94,56,38,100,4114,1405,533,891,268,362,390,327,175,13,88,4450,242,58,100,11,39,38,61,18,6,14,587,0,0,0,0,0,0,0,0,0,0,16,1649,589,988,280,405,430,392,192,13,105,5051,0,0,0,0,0,0,0,0,0,4,12,4427,1000,1390,354,482,513,485,250,51,215,9170
POA2603,0,0,0,0,0,179,0,6,6,0,0,0,0,0,5,199,48,0,0,0,0,0,0,0,0,0,54,30,0,0,0,0,0,0,0,0,5,33,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,5,48,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,8,102,957,133,123,17,13,24,26,21,10,20,1344,534,215,256,70,71,83,54,41,8,12,1339,40,6,12,8,7,5,12,3,3,0,103,0,0,0,0,0,0,0,0,0,0,4,569,226,268,76,79,80,63,42,18,9,1446,4,0,0,0,0,0,0,0,0,0,5,1535,364,392,89,96,104,91,65,25,31,2789
POA2604,0,0,0,4,6,173,5,4,0,0,0,0,0,0,13,190,25,0,0,0,0,0,0,0,0,5,30,14,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,9,16,60,0,0,0,0,0,0,0,0,15,72,1078,143,136,23,32,41,30,23,9,42,1561,601,254,346,92,112,125,106,36,13,28,1713,41,11,25,7,8,6,14,12,0,4,121,0,0,0,0,0,0,0,0,0,0,7,644,265,370,98,121,129,111,45,12,34,1837,6,0,0,0,0,0,0,0,0,19,28,1733,410,510,123,153,170,146,69,28,92,3426
POA2605,0,0,0,0,0,306,3,4,0,0,0,0,0,0,11,328,100,0,0,0,0,0,0,0,0,14,109,63,0,0,0,0,0,0,0,0,3,70,17,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,76,3,0,0,0,0,0,0,0,5,84,0,0,0,0,0,0,0,0,0,0,0,173,3,0,0,0,0,0,0,0,16,196,1160,129,141,22,18,32,29,11,8,49,1607,572,242,309,101,129,124,96,52,10,16,1656,53,13,19,4,8,3,17,10,0,4,133,0,0,0,0,0,0,0,0,0,0,3,624,258,329,108,140,127,109,60,12,24,1794,0,0,0,0,0,0,3,0,0,0,6,1791,392,468,129,157,163,142,75,18,76,3409
POA2606,0,0,0,0,6,235,10,5,3,0,0,0,0,3,8,266,63,0,0,0,0,0,0,0,0,0,66,25,0,0,0,0,0,0,0,0,0,30,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,3,102,843,129,128,44,29,25,24,14,18,19,1275,663,379,721,228,361,382,256,95,18,32,3136,52,23,37,12,12,17,26,15,5,7,203,4,0,4,0,0,4,0,0,0,0,12,721,400,752,238,375,404,280,113,26,43,3352,6,0,0,0,0,0,0,0,0,8,15,1562,530,886,286,397,427,306,127,44,74,4639
POA2607,0,0,0,0,3,438,10,4,0,0,0,0,0,0,11,464,83,0,0,0,0,0,0,0,0,4,87,58,4,0,0,0,0,0,0,0,0,64,22,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,85,3,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,167,3,0,0,0,0,0,0,0,7,181,1310,115,144,27,33,26,20,12,7,38,1729,989,316,377,126,167,130,108,59,9,30,2315,100,18,15,8,8,3,18,5,0,4,191,0,0,0,0,0,0,0,0,0,0,4,1088,341,396,138,172,135,126,63,6,36,2510,0,0,0,0,0,0,0,0,0,8,14,2394,454,540,163,209,161,154,78,13,80,4251
POA2609,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,11,6,0,3,0,0,0,3,3,99,32,18,19,0,0,6,0,0,8,0,86,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,34,16,23,0,5,6,0,5,13,3,101,0,0,0,0,0,0,0,0,0,0,0,102,28,33,0,6,6,0,0,17,6,200
POA2611,0,0,0,3,5,642,5,11,0,4,8,4,9,0,37,713,149,0,0,0,0,0,0,0,0,9,160,90,0,0,0,0,0,0,0,0,0,91,40,0,0,0,0,0,0,0,0,4,47,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,9,141,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,23,306,2677,336,377,68,46,50,47,55,29,92,3775,1842,1256,1478,325,303,272,243,111,83,97,6007,165,44,77,19,21,23,49,34,16,31,483,4,3,0,0,0,0,0,0,0,6,13,2011,1303,1560,350,326,291,292,151,95,129,6506,0,0,0,0,0,0,0,0,0,12,16,4692,1643,1936,411,373,346,331,207,125,232,10297
