POA_CODE_2021,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
POA2600,3,0,151,8,30,0,0,30,0,39,0,0,0,0,0,0,0,0,0,0,3,3,0,3,8,30,0,3,33,0,44,0,0,0,0,0,0,0,155,39,0,3,43,0,192,79,4,0,0,4,0,84,6,20,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,0,0,20,0,20,0,0,0,0,0,0,0,77,18,0,0,18,0,98,35,10,0,0,10,0,43,0,6,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,8,0,0,0,0,0,0,0,38,9,0,0,9,0,52,870,56,0,0,56,0,925,91,266,0,0,266,0,361,0,0,0,0,0,0,8,0,0,0,3,3,0,3,89,272,5,3,273,0,365,0,0,0,0,0,0,0,959,325,5,3,332,0,1296
POA2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,41,11,48,4,0,52,0,58,0,0,0,0,5,0,5,0,0,0,0,0,0,0,11,50,4,0,57,0,67,0,0,0,0,0,0,0,47,57,4,0,63,0,109
POA2602,21,0,554,33,101,5,0,107,0,143,0,7,6,0,8,0,8,0,0,0,0,0,0,0,33,109,16,0,116,0,150,0,0,0,0,0,0,0,559,131,16,0,142,0,701,198,10,0,0,10,0,204,16,40,0,0,40,0,57,0,0,8,0,8,0,8,0,0,0,0,0,0,0,16,40,8,0,46,0,63,0,0,0,0,0,0,0,214,51,8,0,52,0,271,89,0,0,0,0,0,89,4,21,0,0,23,0,25,0,0,5,0,4,0,4,0,0,0,0,0,0,0,4,23,4,0,24,0,31,0,0,0,0,0,0,0,92,23,4,0,24,0,122,3994,172,0,0,172,0,4166,303,901,50,0,953,3,1256,4,56,40,0,94,0,98,0,0,0,0,0,0,0,307,957,90,0,1052,3,1357,0,0,0,0,0,0,5,4303,1129,90,0,1220,4,5525
POA2603,8,0,203,26,65,0,0,65,0,93,0,0,3,0,4,0,10,0,0,0,0,0,0,0,28,67,8,0,72,0,102,0,0,0,0,0,0,0,223,77,8,0,80,0,303,93,6,0,0,6,0,93,4,34,0,0,34,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,0,0,34,0,38,0,0,0,0,0,0,0,98,32,0,0,32,0,131,57,4,0,0,4,0,57,0,14,0,0,14,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,15,0,14,0,0,0,0,0,0,0,58,15,0,0,18,0,75,1114,78,0,0,77,0,1197,141,390,5,0,397,0,533,0,7,6,0,14,0,14,0,0,0,0,0,0,0,141,393,15,0,411,0,546,0,0,0,0,0,0,0,1256,469,15,0,488,0,1742
POA2604,4,0,127,13,50,0,0,49,0,64,0,4,0,0,4,0,4,0,0,0,0,0,0,0,13,54,0,0,54,0,68,0,0,0,0,0,0,0,137,54,0,0,60,0,197,59,0,0,0,0,0,61,6,25,0,0,25,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,0,0,25,0,24,0,0,0,0,0,0,0,64,20,0,0,27,0,84,19,0,0,0,0,0,23,7,18,0,0,18,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,0,0,18,0,24,0,0,0,0,0,0,0,29,15,0,0,16,0,51,960,56,0,0,56,0,1012,107,403,7,0,405,4,519,0,6,12,0,16,0,16,0,0,0,0,0,0,0,107,407,13,0,423,4,533,0,0,0,0,0,0,0,1069,463,13,0,477,4,1549
POA2605,8,0,300,10,28,0,0,33,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,32,3,0,32,0,46,0,0,0,0,0,0,0,313,33,3,0,39,0,352,134,0,0,0,0,0,136,9,13,0,0,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,10,0,19,0,0,0,0,0,0,0,139,16,0,0,17,0,158,77,5,0,0,5,0,77,0,3,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,9,0,0,0,0,0,0,0,82,10,0,0,11,0,92,1939,97,0,0,98,0,2032,96,520,17,0,531,0,631,0,17,4,0,19,0,19,0,0,0,0,0,0,0,96,532,17,0,549,0,650,4,5,0,0,5,0,3,2035,632,18,0,652,0,2683
POA2606,7,0,124,7,39,0,0,39,0,47,0,5,4,0,6,0,6,0,0,0,0,0,0,0,7,43,4,0,44,0,51,0,0,0,0,0,0,0,125,49,4,0,45,0,177,40,0,0,0,0,0,45,6,20,0,0,20,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,0,0,27,0,28,0,0,0,0,0,0,0,47,26,0,0,26,0,76,21,0,0,0,0,0,23,7,11,0,0,16,0,20,0,8,0,0,8,0,8,0,0,0,0,0,0,0,7,17,0,0,21,0,22,0,0,0,0,0,0,0,26,19,0,0,22,0,46,811,37,4,0,45,0,861,87,646,15,0,661,0,749,0,23,4,0,28,0,26,0,0,0,0,0,0,0,87,669,17,0,686,0,780,0,0,0,0,0,0,0,903,711,17,0,734,0,1632
POA2607,11,0,294,8,66,0,0,66,0,73,0,0,0,0,6,0,6,0,0,0,0,0,0,0,8,67,0,0,68,0,77,0,0,0,0,0,0,0,287,83,0,0,84,0,370,122,4,0,0,4,0,125,7,41,5,0,47,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,41,7,0,44,0,47,0,0,0,0,0,0,0,129,42,7,0,47,0,172,62,0,0,0,0,0,67,8,24,0,0,24,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,0,0,30,0,31,0,0,0,0,0,0,0,72,25,0,0,26,0,97,1844,73,0,3,80,0,1920,135,659,15,0,673,0,807,0,17,7,0,26,0,26,0,0,0,0,0,0,0,135,676,25,0,700,0,831,3,3,0,0,3,3,13,1980,754,25,3,779,3,2761
POA2609,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,52,0,0,0,0,0,52,3,18,0,0,18,0,17,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,19,0,0,19,0,24,0,0,0,0,0,0,0,52,19,0,0,19,0,68
POA2611,15,0,621,31,176,5,0,178,0,201,0,11,6,0,15,0,15,0,0,0,0,0,0,0,31,178,9,0,192,0,220,0,0,0,0,0,0,0,635,196,11,0,209,0,844,244,0,0,0,0,0,250,7,104,0,0,104,0,115,0,4,0,0,4,0,4,0,0,0,0,0,0,0,7,105,0,0,105,0,114,0,0,0,0,0,0,0,255,109,0,0,109,0,365,86,5,0,0,5,0,90,9,55,0,0,55,0,55,0,0,0,0,5,0,5,0,0,0,0,0,0,0,9,54,0,0,53,0,61,0,0,0,0,0,0,0,91,54,0,0,57,0,148,4764,190,5,0,198,0,4963,330,2117,27,5,2142,0,2476,0,80,41,0,123,0,125,0,0,0,0,0,0,0,338,2196,62,5,2265,0,2598,0,0,0,0,0,3,4,5093,2391,73,5,2464,7,7569
