POA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
POA2600,53,87,139,426,538,963,0,0,0,27,31,54,0,0,0,728,842,1569,0,0,0,89,104,186,0,0,3,3,0,3,14,32,44,6,6,10,30,23,56,14,13,30,65,91,150,0,0,0,5,9,11,83,123,200,53,68,113,5,5,10,1537,1880,3417,93,122,218,47,73,116,24,18,40,0,0,0,11,12,19,14,12,22,19,26,46,1783,1790,3563,27,27,52,3,11,10,1807,1821,3625,325,331,657,3911,4348,8255
POA2601,107,120,226,149,167,315,0,0,0,19,20,44,0,0,0,341,393,731,3,0,3,22,24,47,0,0,0,0,0,3,15,3,21,8,3,12,19,20,40,9,8,17,38,33,71,0,3,6,0,3,7,26,37,64,43,64,102,6,0,6,689,784,1481,121,105,225,78,71,151,21,27,51,0,0,0,11,14,21,18,15,36,24,30,55,2021,2128,4148,55,47,105,6,13,16,2078,2188,4265,565,659,1229,3689,3992,7680
POA2602,581,730,1306,906,1172,2077,0,0,0,96,115,207,0,0,0,2203,2706,4909,7,13,21,233,286,518,21,38,59,11,12,22,57,65,117,5,9,9,87,107,190,92,96,190,150,167,324,11,12,25,9,20,23,211,299,516,281,302,579,18,27,49,4391,5437,9829,410,361,766,322,270,597,73,88,159,4,5,9,44,39,82,62,82,143,113,123,234,9580,9760,19335,149,114,264,45,56,96,9772,9929,19698,1030,916,1947,16679,17855,34540
POA2603,77,133,210,522,636,1163,0,0,0,42,35,77,0,0,4,957,1079,2036,0,0,0,153,139,295,3,8,11,5,3,6,24,32,52,0,0,0,20,29,48,20,17,40,71,75,145,0,4,4,7,5,13,89,108,194,57,79,141,3,4,7,1986,2249,4234,148,159,307,124,117,247,32,34,68,0,0,0,25,24,53,8,14,21,39,38,78,2367,2215,4586,28,22,47,4,9,18,2401,2249,4648,271,248,515,5071,5235,10306
POA2604,104,151,254,458,603,1058,0,0,0,46,61,105,0,0,7,986,1180,2159,6,0,6,99,101,196,0,0,3,5,5,9,20,17,40,5,6,12,12,19,40,22,31,52,68,94,168,17,14,25,0,0,5,101,145,243,107,124,236,8,4,10,1958,2411,4364,188,175,365,172,128,300,28,37,70,0,0,0,21,22,40,29,46,77,53,65,118,3156,3167,6320,46,44,94,7,20,28,3210,3225,6437,576,561,1137,6283,6757,13034
POA2605,124,191,316,524,703,1235,0,0,0,49,66,112,0,0,0,1195,1414,2610,8,0,3,96,115,212,6,13,16,0,8,7,29,35,72,14,11,23,24,26,56,19,16,34,82,104,185,3,0,8,9,5,12,99,144,238,102,124,223,4,7,9,2261,2795,5050,296,305,597,101,101,203,18,24,40,0,4,5,17,15,27,12,28,39,32,44,76,2805,2673,5479,43,25,66,16,17,33,2856,2720,5576,300,332,628,5988,6502,12488
POA2606,254,297,550,325,392,720,0,0,0,49,54,105,0,0,0,1018,1275,2293,5,4,8,133,152,287,0,7,8,12,15,30,29,33,57,24,24,46,22,33,57,44,44,90,63,82,150,6,7,9,5,9,14,76,91,167,137,146,282,4,0,7,1953,2372,4328,565,540,1104,183,201,384,16,11,30,0,0,0,60,65,126,29,25,51,87,94,184,2388,2337,4726,41,23,67,6,9,18,2440,2371,4815,367,312,685,5872,6198,12071
POA2607,156,199,354,617,739,1354,0,0,0,47,62,110,0,7,0,1669,1809,3481,0,3,5,136,177,317,16,16,36,21,17,43,38,59,95,9,15,16,27,33,66,57,58,117,114,128,241,7,9,14,16,12,26,128,184,314,149,170,317,5,6,9,3059,3495,6559,376,346,722,192,182,376,28,26,50,0,0,0,74,55,121,21,29,50,94,77,173,2889,2720,5609,34,31,63,11,21,31,2937,2766,5705,413,372,786,7258,7459,14717
POA2609,9,12,24,64,28,90,0,0,0,10,0,10,0,0,0,110,84,190,0,0,0,8,0,9,3,0,7,0,0,0,10,3,13,0,0,0,3,0,7,3,9,12,11,10,16,4,0,4,4,0,3,15,11,30,11,11,24,0,0,0,237,167,405,4,10,14,10,3,16,0,0,0,0,0,0,0,0,0,5,4,3,5,4,3,188,152,345,3,0,3,3,0,5,196,155,353,206,120,326,668,467,1136
POA2611,371,471,837,1276,1591,2870,0,0,3,132,161,293,0,0,0,3407,3970,7373,8,10,17,210,224,436,15,23,31,20,34,57,71,91,162,49,55,107,135,127,262,139,177,310,237,269,508,14,17,33,24,39,67,295,409,709,392,499,899,10,11,25,6442,7711,14155,945,901,1841,635,572,1204,23,26,47,6,0,3,207,175,374,75,86,163,282,254,543,8046,7755,15803,93,72,162,33,47,78,8164,7873,16040,939,922,1867,17806,18734,36535
