POA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
POA2600,63,64,125,150,161,309,35,35,69,76,102,182,257,304,559,94,94,190,49,31,85,95,157,253,243,286,528,7,3,8,0,16,13,9,4,10,24,38,62,0,3,6,34,60,95,96,128,222,41,49,91,22,34,51,105,117,227,0,3,3,266,331,592,302,388,689,10,10,21,16,23,34,0,0,0,19,31,56,244,256,499,1128,1328,2452
POA2601,8,12,21,16,16,37,0,0,0,4,6,11,18,26,43,16,14,29,0,0,4,6,4,5,25,19,40,3,5,9,3,13,17,3,4,7,16,25,46,0,0,0,28,47,74,1395,1775,3170,276,224,495,34,55,89,98,83,175,0,0,0,1797,2139,3934,1831,2185,4012,13,16,28,15,18,30,0,0,0,22,37,61,479,567,1045,2387,2839,5226
POA2602,323,295,617,1071,929,1996,198,177,375,144,144,291,1416,1247,2666,726,653,1381,140,199,342,195,173,367,1065,1026,2090,52,43,95,89,107,196,88,64,153,158,243,398,0,3,3,381,458,837,681,962,1639,366,404,772,134,193,330,401,614,1015,4,0,4,1579,2174,3752,1969,2637,4597,50,51,101,107,148,255,0,0,3,159,202,360,599,554,1157,5537,5954,11490
POA2603,68,75,140,215,215,429,39,28,72,111,101,216,370,345,718,164,151,317,50,38,89,218,201,422,437,389,829,10,10,18,12,14,28,32,10,40,36,60,101,0,0,0,87,93,184,160,135,300,64,70,134,33,27,59,126,175,300,0,0,0,391,406,796,482,498,974,13,9,22,30,45,76,0,0,0,43,58,97,185,176,358,1577,1538,3121
POA2604,104,76,181,289,270,563,54,38,94,38,40,74,386,346,728,225,203,430,36,41,77,43,54,102,305,299,604,10,13,24,25,22,47,18,14,36,60,82,138,0,0,0,111,130,244,124,147,274,76,95,167,41,42,85,225,281,502,0,0,0,464,564,1028,574,697,1275,16,20,41,40,50,84,0,0,0,55,74,123,517,520,1036,1938,2011,3949
POA2605,134,120,256,467,432,894,111,119,232,68,77,141,651,621,1272,246,230,474,105,85,191,95,152,248,442,471,913,20,16,30,26,19,40,24,28,55,43,50,93,0,0,0,114,107,220,165,169,334,71,62,136,28,37,60,102,137,239,0,0,0,358,412,771,476,523,998,27,16,42,31,36,68,0,0,0,56,57,112,184,224,407,1944,2016,3956
POA2606,84,86,166,211,219,430,84,83,168,38,57,89,337,359,692,157,149,303,65,68,132,38,49,84,258,268,523,19,20,40,53,52,108,28,18,53,78,91,168,3,0,3,181,190,371,122,165,289,110,129,237,35,34,68,140,194,333,0,0,0,406,522,930,588,716,1307,29,34,60,55,75,129,0,0,4,79,114,196,250,216,465,1597,1752,3349
POA2607,144,102,242,381,407,785,197,152,348,78,70,145,651,623,1281,260,236,495,229,131,355,91,80,171,587,439,1029,33,16,48,31,27,63,54,28,82,63,81,146,0,0,0,189,156,344,155,204,351,52,94,144,43,39,85,82,160,244,0,3,3,337,493,835,528,649,1173,31,24,54,48,49,103,0,0,0,79,75,155,277,252,532,2270,2140,4409
POA2609,0,3,8,11,19,27,0,4,8,3,3,11,17,26,41,9,12,20,0,5,5,0,6,6,9,23,27,0,9,10,3,5,8,0,5,5,6,4,5,0,0,0,11,15,24,6,3,9,3,0,9,4,4,0,0,7,16,0,0,0,16,19,35,25,30,60,43,5,56,0,0,4,0,0,0,48,12,52,193,105,306,293,201,494
POA2611,427,430,859,1187,1124,2310,402,362,763,199,257,454,1789,1743,3531,691,578,1276,366,349,713,203,200,405,1264,1134,2399,48,47,97,77,62,139,130,78,211,176,235,417,0,0,0,437,426,857,327,398,728,192,230,425,77,108,178,354,471,824,3,0,3,953,1200,2155,1384,1628,3018,71,77,146,104,169,278,0,5,5,176,248,418,636,657,1292,5687,5832,11516
