POA_CODE_2021,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
POA2600,42,183,428,436,471,451,420,223,67,2721,0,5,13,5,10,15,14,9,4,75,7,4,17,6,27,43,28,26,7,161,0,0,3,5,0,3,4,0,0,20,0,0,0,0,3,0,12,6,0,18,0,0,0,0,0,0,0,0,0,5,9,14,34,31,38,28,35,26,9,227,70,210,489,482,555,547,514,291,88,3235,57,215,429,508,509,439,450,206,72,2886,0,0,4,8,17,14,23,25,14,94,3,0,10,11,24,46,79,43,37,249,0,0,0,3,4,4,13,14,16,53,0,3,0,0,0,8,9,15,7,42,0,0,0,0,0,0,0,4,0,8,6,18,56,28,34,23,39,22,11,233,70,238,502,559,587,526,616,328,151,3563,102,397,859,946,981,890,872,426,140,5609,0,5,15,7,25,30,34,30,9,171,10,0,28,15,46,89,112,73,42,406,3,0,9,6,6,6,17,13,17,75
POA2601,652,881,803,273,169,110,77,25,6,3004,0,7,9,10,6,3,6,0,0,45,0,0,20,5,9,13,9,3,0,61,0,0,3,6,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,150,179,84,23,12,13,0,4,4,477,805,1073,927,319,205,138,98,39,10,3605,1007,960,706,226,134,105,60,25,4,3228,0,6,11,0,3,4,3,0,0,27,0,0,4,4,9,17,18,7,0,63,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,7,224,214,72,25,3,9,5,0,4,558,1240,1186,795,258,156,137,87,35,8,3897,1667,1839,1507,504,308,218,138,49,11,6237,0,12,22,7,9,8,10,0,0,67,0,0,17,13,18,27,28,10,4,122,0,3,3,6,3,0,4,3,0,21
POA2602,220,1283,2676,2208,1810,1297,876,360,166,10902,15,30,61,57,54,51,48,13,15,347,26,28,94,93,161,214,123,80,44,863,5,0,17,20,21,30,23,37,22,176,4,4,10,6,17,23,41,53,43,197,0,0,16,13,6,10,10,3,7,59,14,60,139,111,51,71,62,45,42,597,295,1409,3021,2507,2135,1679,1180,595,332,13146,223,1660,2898,2436,2031,1396,881,399,168,12092,19,18,46,37,51,42,46,36,11,299,24,26,74,75,126,212,201,159,106,1001,0,7,20,11,22,35,45,52,49,243,6,0,5,17,16,36,51,90,76,302,0,0,9,9,10,11,12,18,17,85,15,51,124,85,61,60,52,81,72,606,287,1761,3171,2684,2309,1794,1290,837,497,14634,444,2942,5577,4644,3847,2692,1758,752,333,22990,37,48,109,99,99,94,95,55,22,651,50,58,166,168,287,420,323,236,155,1865,11,11,37,38,46,65,73,90,70,426
POA2603,87,301,715,531,643,550,401,211,67,3498,6,3,15,13,18,23,9,6,5,103,8,5,22,15,35,47,35,19,8,200,4,0,3,0,4,3,12,7,0,29,4,0,0,0,0,0,8,12,11,34,0,0,5,0,0,4,0,0,0,8,9,14,33,22,22,27,22,14,5,158,116,326,788,585,731,648,485,265,97,4043,61,245,774,629,651,549,376,188,89,3569,5,6,11,7,14,34,20,12,13,117,5,3,9,9,27,62,64,58,46,284,0,0,0,5,3,4,8,12,29,63,0,0,5,0,3,6,12,11,27,63,0,0,0,0,3,0,4,4,3,16,7,6,29,13,30,18,18,14,21,169,78,265,822,666,734,670,513,301,227,4276,149,549,1483,1164,1298,1097,777,394,156,7061,11,11,24,22,38,52,31,17,13,220,12,9,30,27,62,110,106,81,49,482,7,3,3,3,5,6,21,18,31,96
POA2604,69,321,1170,872,646,497,388,167,38,4158,6,6,28,25,24,36,20,8,3,145,14,14,28,35,62,93,62,30,16,354,6,4,4,7,10,9,5,14,0,58,0,0,0,5,3,12,13,11,4,55,0,0,0,6,0,0,6,5,0,17,8,31,120,84,64,58,59,29,20,468,98,374,1343,1025,807,699,546,266,84,5247,74,373,1287,969,676,559,361,168,47,4515,0,5,17,24,27,31,24,13,12,147,7,5,33,24,57,110,95,58,41,435,3,0,6,0,4,18,16,22,19,86,0,0,3,4,6,17,18,18,22,87,0,0,0,5,3,0,4,4,0,17,17,44,105,76,59,52,43,35,52,478,102,428,1456,1104,829,776,562,312,195,5762,145,696,2457,1845,1317,1051,746,334,87,8674,7,7,41,43,46,61,44,16,21,297,21,21,65,63,121,199,157,92,57,785,5,3,7,8,11,30,23,30,19,145
POA2605,78,295,562,756,713,590,415,239,121,3771,6,6,8,15,16,20,13,17,7,99,17,9,24,27,47,77,53,58,26,340,0,0,5,10,10,10,6,13,12,68,0,0,0,3,7,3,6,18,17,52,0,0,0,0,3,0,0,0,3,8,8,3,21,26,30,21,30,29,7,187,108,320,626,838,822,713,522,368,194,4520,95,286,591,873,782,584,407,274,141,4029,6,6,3,10,12,19,18,22,18,121,6,6,12,21,41,92,78,107,94,458,0,0,4,0,0,10,13,27,18,74,0,0,0,0,0,10,22,37,44,114,0,0,0,0,3,0,3,11,4,25,8,10,24,34,28,19,31,44,32,232,119,307,642,943,872,740,567,519,352,5053,180,581,1157,1632,1498,1172,819,512,263,7798,12,12,15,19,28,40,33,43,20,221,18,17,43,58,86,172,126,161,120,798,4,0,5,6,9,21,26,32,34,136
POA2606,59,373,1298,855,526,401,263,145,54,3969,4,17,32,19,26,22,13,13,9,156,7,15,47,49,59,68,46,45,17,346,4,3,6,9,7,0,12,19,4,65,4,0,3,3,7,14,14,21,15,79,0,4,9,7,0,3,0,0,0,30,8,27,74,40,39,29,8,27,10,252,88,427,1472,983,654,541,353,271,108,4900,74,436,1456,791,588,405,260,156,40,4205,0,13,22,18,17,23,18,16,7,133,8,10,30,30,61,73,92,98,28,430,0,3,7,0,5,12,17,29,10,89,0,0,3,3,12,7,20,37,17,100,0,0,3,5,7,0,3,3,4,36,3,18,63,22,30,17,26,18,9,214,94,475,1592,873,719,545,439,354,116,5207,138,802,2756,1641,1118,806,522,300,95,8174,7,32,57,41,38,49,33,23,13,290,14,30,73,76,118,139,131,141,49,776,5,5,17,9,13,14,30,51,16,159
POA2607,118,339,730,774,779,677,515,331,113,4373,21,15,28,21,28,48,27,19,3,210,18,17,44,44,87,102,66,89,37,490,4,3,4,7,9,5,15,18,10,80,0,0,0,3,7,3,15,32,20,86,0,0,6,5,3,4,5,0,3,24,13,19,50,28,32,34,28,36,20,263,171,397,857,887,942,877,668,531,203,5532,104,370,738,915,875,737,478,347,102,4675,0,6,12,17,18,31,37,36,10,170,11,13,28,34,82,113,135,173,60,647,3,0,5,4,6,12,27,47,22,121,0,0,4,8,4,8,25,54,22,123,0,0,0,0,4,12,5,8,5,36,7,18,34,23,28,27,45,36,31,248,129,399,823,1010,1012,950,748,702,254,6017,217,713,1471,1685,1653,1420,991,679,206,9048,19,19,43,43,50,80,64,53,14,378,26,27,67,85,165,217,202,258,97,1140,8,3,6,14,17,21,41,64,31,205
POA2609,19,36,50,33,36,40,17,17,5,250,0,9,7,0,8,3,5,0,0,34,0,4,9,8,26,34,15,0,0,108,0,0,5,0,7,7,3,9,0,30,0,0,0,4,0,3,10,3,0,24,0,0,0,0,0,0,0,0,0,0,6,17,28,36,26,37,22,9,0,185,27,64,97,82,100,126,70,41,9,625,7,22,33,28,34,20,17,7,0,167,3,3,0,3,0,6,0,0,0,17,3,0,8,4,8,16,14,8,0,62,3,0,0,0,3,11,6,6,0,31,0,0,0,0,0,0,9,6,0,12,0,0,0,0,0,3,0,0,0,4,9,13,19,8,13,22,15,10,0,107,19,44,58,48,58,70,71,31,3,400,21,61,86,59,69,58,37,27,5,415,3,11,7,3,4,13,9,0,0,50,9,7,15,17,36,50,29,11,0,169,3,0,4,0,13,18,11,9,0,58
POA2611,265,807,2308,2615,1885,1105,906,528,137,10559,19,34,65,83,73,60,53,29,6,431,33,54,139,127,202,232,185,151,48,1165,10,3,18,17,23,32,44,51,22,219,8,0,9,19,15,20,40,73,35,211,3,0,3,9,5,4,10,10,3,46,30,44,127,99,64,56,77,77,41,622,361,948,2671,2973,2275,1506,1311,915,294,13256,249,866,2629,2805,1948,1254,904,474,119,11248,13,12,46,64,79,72,70,50,19,435,27,36,110,102,183,252,384,274,92,1464,8,10,16,13,26,33,72,78,35,301,3,3,7,6,21,19,64,90,53,270,0,3,0,6,4,12,7,18,14,56,28,34,121,93,67,64,91,100,80,683,336,966,2943,3083,2329,1716,1595,1078,412,14459,520,1674,4947,5423,3834,2353,1811,1003,256,21811,37,50,112,145,149,135,125,79,26,868,58,92,250,230,387,485,565,422,141,2630,18,14,38,32,56,64,112,130,60,517
