POA_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA2600,6,37,27,27,25,28,49,49,22,271,3,39,27,31,20,37,64,41,25,287,5,58,66,45,44,58,117,66,20,485,0,53,122,46,29,74,104,45,12,504,4,28,157,54,64,71,93,51,24,551,0,14,109,58,68,66,83,39,13,459,0,9,225,295,245,189,129,71,16,1181,0,0,20,97,116,76,46,17,4,379,0,4,34,227,330,280,121,38,16,1052,21,48,91,63,75,58,75,42,17,484,438,448,989,1033,1138,1072,1126,610,238,7110
POA2601,48,118,94,19,4,6,12,8,0,303,33,84,84,17,13,6,17,5,0,261,5,102,172,29,13,20,16,4,0,364,5,66,174,40,14,9,19,4,0,339,0,46,173,52,26,24,22,8,0,350,0,19,131,45,26,28,11,8,0,267,8,16,249,118,87,39,21,8,0,547,0,0,28,34,28,18,7,0,0,121,0,4,33,79,77,63,12,7,0,279,376,397,155,54,20,20,7,5,4,1037,2065,2262,1718,582,355,277,184,71,23,7527
POA2602,38,314,322,153,110,139,188,113,62,1443,39,304,439,273,192,180,246,139,56,1860,16,339,677,374,213,233,259,114,46,2275,13,318,750,348,231,251,193,87,48,2234,0,161,853,424,356,291,186,80,25,2380,0,50,601,508,356,261,117,27,14,1938,0,30,958,1392,1218,656,163,49,20,4495,0,6,103,319,326,164,56,16,6,993,0,3,116,514,707,348,80,18,8,1797,38,133,283,206,127,135,124,132,164,1339,1658,3175,6192,5195,4445,3480,2473,1434,828,28876
POA2603,21,57,40,33,24,39,57,38,34,341,7,53,90,39,32,56,74,38,28,422,6,80,130,57,60,65,83,43,33,549,4,92,227,75,63,86,94,43,17,709,4,50,236,94,84,88,86,40,12,694,0,20,201,99,98,74,56,47,14,607,0,10,324,333,323,256,121,59,21,1442,0,7,54,87,123,90,40,11,9,423,0,0,59,268,469,348,135,38,12,1335,21,23,66,41,51,43,42,30,28,361,693,592,1613,1251,1463,1323,999,563,326,8817
POA2604,21,39,74,46,29,45,80,48,6,380,8,69,129,72,66,60,90,59,19,570,0,95,192,119,83,89,103,52,4,734,0,134,332,122,74,91,87,32,6,877,4,87,427,157,99,96,77,33,9,996,0,23,334,200,130,102,54,17,3,865,0,22,672,622,405,291,105,27,4,2144,0,0,77,175,124,90,21,7,3,491,0,0,92,274,315,227,83,15,3,999,29,79,226,157,121,112,104,84,102,1019,520,806,2800,2132,1632,1476,1110,575,280,11329
POA2605,11,65,86,46,31,61,72,82,36,496,16,59,104,77,71,80,71,80,57,615,10,72,127,103,81,107,120,82,44,756,4,62,121,108,81,96,99,63,24,664,0,22,159,122,113,101,101,51,20,695,0,12,125,170,105,100,70,22,16,611,0,5,196,454,455,299,105,52,10,1584,0,0,33,126,135,82,19,12,3,419,0,0,53,314,358,234,37,9,9,1019,15,14,53,64,65,47,68,61,100,495,688,627,1268,1782,1697,1452,1094,886,547,10034
POA2606,11,84,192,72,43,44,59,71,30,597,10,102,326,113,69,74,60,52,29,833,9,124,390,180,106,89,83,62,25,1067,5,123,400,158,112,85,58,41,17,1001,0,68,432,184,121,81,58,26,9,964,0,28,266,174,114,83,41,21,8,729,0,16,402,417,307,204,60,21,5,1442,0,0,51,97,76,47,11,3,0,293,0,0,62,144,175,118,38,19,4,555,24,61,140,70,68,44,35,40,14,492,458,910,3058,1857,1379,1079,797,620,225,10386
POA2607,21,81,78,64,41,70,92,112,47,610,18,89,160,95,74,88,126,128,46,826,5,105,224,135,126,156,163,125,26,1073,5,68,204,152,89,117,95,93,30,854,0,50,201,153,153,160,114,63,23,914,0,8,154,173,191,155,88,39,11,819,0,5,229,476,534,365,124,48,12,1802,0,4,24,117,135,91,23,7,3,406,0,4,54,241,299,221,47,20,9,895,28,37,83,59,65,67,60,64,51,514,835,796,1680,1905,1957,1826,1417,1229,453,12090
POA2609,0,8,9,0,9,12,11,3,0,55,3,12,10,8,10,6,7,5,0,59,6,23,24,15,19,22,6,3,0,113,4,10,13,6,15,18,3,0,0,69,0,0,15,8,14,11,0,0,0,45,0,0,4,7,6,6,0,0,0,26,0,0,4,10,16,3,0,0,0,37,0,0,0,0,0,4,0,0,0,9,0,0,0,0,3,3,0,4,0,14,12,31,42,45,40,64,31,18,0,294,59,104,153,132,161,204,138,79,10,1042
POA2611,56,180,263,157,143,143,251,160,62,1405,37,256,438,280,207,189,273,214,52,1951,21,264,619,427,311,255,283,205,52,2435,6,195,706,420,335,257,247,121,35,2318,6,130,786,593,375,282,175,104,15,2480,0,43,576,620,435,272,130,49,12,2126,0,39,965,1701,1229,593,159,51,17,4760,0,0,118,364,291,131,35,9,0,953,0,0,131,592,589,241,72,11,0,1637,71,103,261,213,132,132,160,153,126,1342,1918,1918,5620,6062,4606,3219,2909,1996,702,28945
