POA_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
POA2600,0,0,0,0,5,0,14,11,7,37,0,0,0,0,4,6,21,15,12,58,7,75,83,53,53,42,20,16,10,359,0,0,0,0,3,4,4,5,7,23,30,47,52,52,47,51,91,46,19,435,505,290,288,372,360,284,244,88,26,2457,42,47,61,31,41,35,49,19,11,336,607,472,502,557,587,526,616,328,151,4346,0,9,12,21,69,111,231,188,87,728,76,76,80,96,90,84,108,42,9,661,0,3,3,5,32,75,119,78,39,354,0,0,0,0,0,0,9,22,18,49,0,0,8,13,25,53,80,69,23,271,0,0,5,4,10,42,131,88,64,344,0,0,4,3,11,10,28,27,10,93,4,0,0,0,9,11,39,33,17,113,15,114,129,82,87,75,46,26,12,586,0,0,0,0,4,6,19,12,9,50,56,67,83,72,89,117,170,81,30,765,938,582,624,722,718,578,422,168,46,4798
POA2601,0,0,3,0,4,0,0,0,0,7,0,0,0,0,0,4,3,3,0,10,4,418,94,22,16,18,0,0,0,572,0,0,0,0,0,0,3,0,0,3,0,174,50,24,22,20,16,0,0,306,66,1332,569,173,95,62,34,13,0,2344,11,458,75,25,7,10,5,0,4,595,81,2434,800,258,156,137,87,35,8,3996,0,9,15,7,20,37,30,22,4,144,3,369,111,46,22,24,15,8,0,598,0,10,3,3,15,11,23,7,0,72,0,0,0,0,0,0,0,4,6,10,0,12,10,3,7,18,11,4,4,69,0,3,3,3,4,8,19,12,5,57,0,0,5,0,4,5,3,0,0,17,0,4,0,0,0,3,3,5,0,15,6,582,174,51,41,31,4,0,0,889,0,0,0,0,0,3,7,5,0,15,0,240,94,49,33,37,23,8,0,484,130,2534,1229,390,229,142,79,24,5,4762
POA2602,0,6,8,12,18,20,30,45,33,172,3,6,7,13,16,56,61,69,41,272,71,655,660,439,333,250,139,84,60,2691,0,0,4,7,6,23,14,53,47,154,112,254,370,337,307,306,236,140,105,2167,2273,1477,1907,1602,1303,768,438,201,74,10043,131,121,152,142,104,105,52,39,28,874,2703,2567,3171,2690,2309,1798,1287,838,497,17860,9,29,91,165,323,583,651,493,276,2620,353,494,588,528,430,348,247,134,57,3179,4,12,23,80,115,182,239,159,74,888,0,0,0,0,3,7,36,121,195,362,6,25,50,77,136,239,226,191,99,1049,7,16,18,35,72,144,242,262,212,1008,3,4,7,23,30,42,61,79,61,310,4,6,9,18,41,117,128,119,70,512,145,925,1006,700,566,432,227,133,92,4226,0,5,6,15,16,48,51,81,68,290,263,366,543,532,540,535,424,231,163,3597,4663,3070,4029,3256,2610,1603,891,348,128,20598
POA2603,0,0,5,3,6,8,9,14,12,57,0,0,0,0,4,6,14,16,16,56,13,115,127,70,78,59,35,25,32,554,0,0,3,0,0,8,3,10,19,43,20,50,98,60,79,92,73,59,52,583,606,362,539,447,434,357,207,79,28,3059,45,32,37,30,46,32,30,15,10,277,718,578,825,666,734,670,513,301,227,5232,6,4,28,39,104,165,242,166,125,879,76,134,155,97,126,83,96,46,23,836,0,3,9,13,34,74,104,83,39,359,0,0,0,0,0,5,9,38,87,139,0,6,8,16,32,65,68,47,29,271,0,8,0,10,21,47,125,105,83,399,0,0,7,9,10,11,27,20,20,104,0,0,0,0,7,19,28,37,33,124,29,160,200,108,134,108,72,35,48,894,0,0,3,0,4,16,8,22,22,75,49,81,141,91,137,175,142,108,64,988,1248,858,1104,870,926,703,387,162,44,6302
POA2604,0,0,3,0,4,5,13,11,4,40,0,0,0,6,12,11,24,16,10,79,19,135,226,158,101,91,42,37,38,847,0,0,0,0,6,6,13,6,10,41,29,66,160,123,95,122,93,57,62,807,692,392,868,663,458,358,202,84,25,3742,61,78,127,91,71,62,44,24,17,575,835,685,1456,1104,829,776,562,312,195,6754,4,7,36,87,111,215,225,175,74,934,94,116,275,188,137,128,82,47,20,1087,0,0,8,26,41,74,115,60,25,349,0,0,0,4,0,6,18,45,74,147,4,3,15,30,46,80,111,48,22,359,3,3,8,20,21,65,91,87,35,333,5,0,4,8,11,18,34,24,9,113,0,0,0,12,12,16,47,41,15,143,30,197,353,245,165,147,81,54,42,1314,0,0,0,3,5,9,29,25,14,85,64,93,237,185,164,229,178,111,87,1348,1391,846,1790,1351,978,675,398,150,41,7620
POA2605,0,0,0,0,11,5,12,19,15,62,0,0,0,4,9,14,15,35,18,95,19,141,89,111,106,64,46,52,21,649,0,0,0,3,4,0,5,21,24,57,43,60,58,96,108,105,105,81,59,715,1019,433,435,619,518,351,203,119,58,3755,48,26,37,39,46,42,32,27,33,330,1184,682,642,943,872,740,567,519,352,6501,3,4,19,51,109,230,254,297,182,1149,153,142,95,153,150,136,109,96,49,1083,0,4,4,12,45,79,115,129,61,449,0,0,0,0,0,4,11,71,116,202,4,9,10,33,47,78,95,115,54,445,7,6,4,10,26,74,78,166,136,507,3,6,5,6,20,14,30,41,29,154,0,4,0,8,7,18,36,56,31,160,41,198,158,177,189,111,76,73,40,1063,0,0,0,6,9,11,16,37,40,119,110,96,99,153,187,201,178,131,92,1247,2065,878,899,1227,1046,723,398,201,94,7531
POA2606,0,0,0,0,7,4,11,16,8,46,0,3,0,0,8,22,18,28,5,84,12,131,205,111,100,72,37,14,6,688,0,0,0,0,5,11,9,19,3,47,31,51,139,103,86,82,75,52,25,644,732,458,1115,575,413,244,168,81,15,3801,49,34,78,35,37,27,29,23,7,319,854,710,1592,873,719,545,441,354,116,6204,4,10,38,62,103,155,173,199,88,832,64,115,237,151,121,100,70,62,24,944,0,0,10,16,44,51,51,73,29,274,0,3,0,0,0,0,10,25,19,57,0,13,27,37,69,98,87,82,24,437,3,6,3,14,29,51,88,114,67,375,3,5,10,4,11,12,25,23,11,104,4,10,4,4,11,23,33,55,15,159,22,194,326,211,171,116,57,23,4,1124,0,0,0,4,11,11,13,32,14,85,69,81,204,184,161,172,140,84,40,1135,1439,943,2246,1262,801,515,302,160,28,7696
POA2607,0,0,0,4,8,13,7,27,9,68,6,0,0,5,9,13,39,44,20,136,31,125,112,129,134,88,47,46,18,730,0,0,0,4,4,3,11,17,14,53,45,62,69,102,119,145,128,119,38,827,1014,520,561,657,594,473,271,186,44,4320,69,35,40,52,49,51,41,36,24,397,1218,749,823,1016,1012,950,748,702,254,7472,0,11,24,62,168,277,350,405,171,1468,143,132,169,174,172,148,145,107,25,1215,3,3,13,23,46,91,138,150,59,526,0,0,0,0,0,0,13,38,47,98,0,5,10,47,90,141,153,150,52,648,0,4,6,13,30,80,159,233,104,629,0,4,0,8,16,22,32,47,30,159,7,5,0,4,13,30,62,88,41,250,66,201,180,209,196,148,98,67,16,1181,0,0,0,4,15,15,30,42,33,139,122,121,107,152,206,263,235,188,74,1468,2143,1151,1198,1275,1181,919,512,339,82,8800
POA2609,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,4,4,0,8,0,3,6,6,18,0,7,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,15,8,8,0,49,43,35,33,23,19,27,13,4,0,197,9,21,19,8,17,24,16,8,0,122,52,72,58,48,58,70,71,31,3,463,0,0,3,5,28,25,40,22,0,123,5,7,7,7,18,7,12,9,0,72,0,0,0,0,4,0,4,5,3,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,15,14,5,0,47,0,0,0,0,3,6,8,6,0,23,0,0,0,0,0,0,5,0,0,5,0,0,0,0,3,5,3,15,0,26,0,12,16,18,24,13,18,4,0,105,0,0,0,0,0,0,8,4,3,15,0,0,4,11,15,24,18,13,0,85,73,97,86,56,64,71,34,19,0,500
POA2611,0,3,3,11,19,24,33,45,30,168,0,5,3,11,24,28,76,75,31,253,69,377,496,395,355,176,115,68,38,2089,0,0,4,0,15,23,27,32,23,124,115,133,294,336,304,257,253,176,94,1962,3164,1198,1901,2008,1266,763,546,275,52,11173,187,110,157,141,113,109,97,57,30,1001,3690,1884,2943,3083,2331,1712,1601,1078,412,18734,3,25,95,201,397,556,771,662,270,2980,428,349,527,564,417,304,304,164,57,3114,6,9,23,58,111,163,298,264,88,1020,0,0,0,4,0,6,43,106,111,270,11,20,56,133,187,259,372,287,80,1405,12,15,19,55,73,163,321,345,185,1188,5,7,12,31,30,54,82,99,50,370,4,5,8,17,47,70,145,148,55,499,174,559,730,646,572,318,221,120,53,3393,0,0,9,7,33,35,62,76,54,276,309,230,448,566,518,471,450,322,134,3448,6361,2615,3849,4068,2683,1522,995,511,105,22709
