POA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA2600,75,87,105,69,96,77,90,49,14,662,1150,887,989,1033,1138,1072,1126,610,238,8243
POA2601,16,798,170,55,22,21,11,6,6,1105,154,4325,1718,582,355,277,184,71,23,7689
POA2602,286,272,347,304,205,208,122,75,59,1878,5663,4835,6192,5195,4445,3480,2473,1434,828,34545
POA2603,91,77,78,69,79,76,48,29,15,562,1484,1278,1613,1251,1463,1323,999,563,326,10300
POA2604,131,130,265,184,151,130,97,44,28,1160,1702,1324,2800,2132,1632,1476,1110,575,280,13031
POA2605,96,60,65,77,100,76,63,50,47,634,2455,1315,1268,1782,1697,1452,1094,886,547,12496
POA2606,94,84,159,79,81,71,48,40,16,672,1685,1368,3058,1857,1379,1079,797,620,225,12068
POA2607,171,86,104,93,111,99,84,60,51,859,2628,1627,1680,1905,1957,1826,1417,1229,453,14722
POA2609,17,51,43,47,41,65,36,21,4,325,100,166,153,132,161,204,138,79,10,1143
POA2611,385,249,320,279,237,195,168,115,64,2012,7592,3837,5620,6062,4606,3219,2909,1996,702,36543
POA2612,80,466,419,190,142,99,83,32,19,1530,1507,4399,5359,2514,1731,1544,1112,581,220,18967
POA2614,225,159,208,149,153,136,94,66,32,1222,3650,2313,2865,2893,2664,2117,1905,1569,610,20586
POA2615,656,336,376,384,342,216,182,80,21,2593,10054,5307,6734,7672,6151,4718,4169,2072,481,47358
POA2617,341,377,474,279,204,175,155,71,27,2103,5546,6195,8820,5406,3736,3197,3168,1432,577,38077
POA2618,20,5,6,10,21,11,12,7,0,92,256,171,108,170,239,173,175,94,18,1404
POA2900,27,23,57,21,12,25,26,33,18,242,457,453,1051,590,419,419,408,272,105,4174
POA2902,207,123,112,120,116,87,107,34,15,921,2942,1749,1855,2131,2100,1798,2020,887,191,15673
POA2903,109,75,72,69,73,56,64,28,10,556,1895,1027,1215,1338,1185,1218,1186,404,106,9574
POA2904,100,67,79,64,70,84,63,43,23,593,2525,1357,1451,1773,1577,1837,1615,701,349,13185
POA2905,379,227,213,217,208,163,109,56,28,1600,5735,3507,4123,3918,3731,4058,2396,931,319,28718
POA2906,199,134,127,120,119,94,60,58,30,941,3630,2368,2484,2449,2724,2405,1231,610,208,18109
POA2911,53,25,33,41,22,9,6,6,4,199,1197,447,861,1060,555,284,218,140,38,4800
POA2912,86,83,121,79,63,31,14,13,0,490,1376,1262,2390,1415,996,632,357,148,33,8609
POA2913,464,269,372,331,245,146,112,46,11,1996,8479,4720,7091,6922,4975,3547,2376,1055,226,39391
POA2914,498,270,335,342,213,93,58,24,4,1837,9123,4258,5932,7059,4566,2007,1136,431,72,34584
