POA_CODE_2021,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
POA2600,107,20,0,0,67,11,201,103,41,0,0,48,14,210,161,191,21,7,61,40,489,116,212,48,17,56,37,482,149,223,52,12,68,42,555,144,224,69,17,63,35,547,124,190,79,26,64,31,514,54,110,46,18,49,16,291,15,23,11,7,33,3,88,969,1230,328,106,500,232,3370,145,18,0,0,66,6,240,88,75,12,0,40,22,238,141,197,47,35,36,52,502,74,220,122,77,35,32,557,85,225,141,53,42,31,587,78,211,130,48,35,18,526,59,205,170,81,59,44,616,36,86,76,47,62,20,328,30,35,22,8,43,11,151,743,1269,718,343,419,244,3734,248,34,0,0,131,22,438,187,111,14,4,87,43,448,304,391,72,37,97,91,989,193,428,168,93,90,60,1033,239,454,193,66,112,75,1138,222,432,202,63,100,54,1072,184,397,250,101,120,75,1126,93,196,116,67,108,35,610,39,58,32,13
POA2601,271,137,15,7,235,150,813,285,239,28,8,330,180,1078,269,265,28,11,259,92,927,101,113,21,4,61,21,319,56,65,16,4,47,13,205,41,53,14,3,19,13,138,24,37,9,4,19,6,98,7,16,4,0,5,4,39,0,4,0,0,6,0,10,1065,930,129,41,972,483,3619,474,264,29,6,248,221,1246,339,305,25,10,288,216,1186,206,256,55,17,185,73,800,66,86,16,16,44,25,258,38,65,14,0,24,5,156,25,59,19,8,12,8,137,17,28,20,4,10,5,87,6,11,7,4,11,0,35,0,6,0,0,5,0,8,1167,1086,190,71,833,566,3912,748,397,40,13,485,373,2065,619,547,53,19,617,399,2262,473,523,86,29,442,164,1718,169,198,39,20,107,52,582,98,132,26,10,75,21,355,69,110,33,6,32,19,277,41,70,29,4,28,10,184,12,31,12,7,14,5,71,0,3,0,0
POA2602,480,82,6,0,265,20,861,645,361,32,13,294,69,1408,951,1065,151,46,653,151,3025,549,1078,316,100,347,112,2507,481,954,325,64,260,55,2133,382,710,210,92,216,76,1689,185,471,199,62,206,53,1180,100,169,88,40,159,47,595,54,69,27,12,130,36,332,3826,4951,1355,426,2538,623,13720,484,99,9,0,193,15,803,821,561,68,18,238,58,1764,793,1315,272,166,484,141,3171,353,976,671,352,240,88,2690,320,1004,574,202,148,62,2309,273,740,383,157,189,57,1798,121,456,325,169,169,51,1287,88,222,159,102,206,68,838,63,102,49,21,202,68,497,3306,5470,2514,1185,2070,607,15156,959,176,17,4,461,38,1658,1462,925,102,29,534,129,3175,1744,2374,424,211,1138,288,6192,904,2052,992,453,591,207,5195,797,1959,898,265,409,118,4445,657,1449,593,243,407,130,3480,305,926,524,233,377,108,2473,184,388,245,138,356,109,1434,115,164,80,36
POA2603,219,22,0,0,117,8,375,143,71,8,5,90,11,326,281,301,35,8,130,33,788,154,245,72,16,79,22,585,207,306,87,25,87,20,731,168,286,71,29,78,29,648,110,197,78,23,67,18,485,48,88,40,18,52,13,265,19,18,11,0,46,0,97,1342,1537,400,123,749,153,4302,184,30,0,0,89,9,316,131,72,5,4,42,6,265,268,312,72,28,110,28,825,93,277,136,90,47,19,666,98,290,173,86,55,29,734,99,282,140,69,59,17,670,45,163,140,84,60,20,513,21,75,63,47,77,15,301,13,33,23,12,134,12,227,956,1540,763,425,680,155,4518,400,56,0,5,207,19,693,273,143,11,7,134,22,592,545,613,109,38,240,62,1613,243,521,210,107,129,38,1251,306,596,261,114,138,48,1463,269,566,213,94,135,46,1323,154,359,222,106,129,36,999,70,162,102,66,135,23,563,33,51,29,13
POA2604,138,22,0,0,97,10,264,164,75,9,5,86,31,376,457,489,47,12,218,117,1343,275,388,120,24,137,81,1029,202,341,62,15,121,62,807,182,268,70,19,105,61,699,96,209,72,21,97,54,546,48,83,33,10,56,40,266,15,10,3,0,27,33,84,1575,1886,416,108,938,493,5412,137,16,0,0,83,17,254,179,127,14,9,60,45,435,398,621,113,50,169,103,1456,218,417,183,122,80,73,1104,149,330,159,58,75,58,829,137,295,136,61,93,55,776,66,186,122,62,81,45,562,25,79,64,26,80,40,312,19,26,11,3,74,65,195,1325,2104,803,396,779,506,5915,274,35,0,0,174,29,520,345,209,25,12,144,75,806,854,1108,160,68,385,221,2800,495,807,304,145,219,155,2132,353,665,222,76,197,118,1632,315,566,206,82,197,115,1476,161,398,194,82,177,101,1110,69,164,96,34,134,78,575,31,34,17,8
POA2605,195,22,0,0,85,6,311,169,57,6,0,82,6,320,192,194,37,9,170,28,632,171,366,122,42,102,26,838,195,371,122,31,70,35,822,163,330,99,41,64,22,713,86,218,85,23,88,28,522,60,109,62,28,100,18,368,33,43,18,8,94,5,194,1265,1717,541,179,851,174,4724,237,30,4,0,93,12,379,143,71,11,8,68,10,307,128,246,71,43,131,27,642,98,326,243,149,90,35,943,100,394,219,89,34,29,872,89,322,189,62,57,20,740,57,197,144,66,71,23,567,40,109,107,79,158,29,519,29,55,22,16,213,12,352,934,1753,1008,512,911,200,5310,432,54,4,0,179,17,688,312,123,15,8,147,22,627,318,441,109,52,295,54,1268,273,691,370,195,187,62,1782,297,765,341,126,100,65,1697,246,654,289,104,122,40,1452,148,422,230,89,160,48,1094,97,217,160,105,262,49,886,66,101,36,23
POA2606,110,9,0,0,85,8,223,122,102,7,4,161,26,427,433,412,85,21,434,78,1472,213,322,113,36,245,50,983,173,231,67,23,126,38,654,135,205,46,17,103,29,541,63,135,44,18,82,7,353,54,73,33,27,59,28,266,14,21,12,4,44,7,108,1335,1525,411,156,1339,272,5036,133,26,0,0,65,10,237,151,141,19,13,128,32,475,332,536,144,100,405,76,1592,160,283,162,100,145,22,873,125,281,133,68,82,30,719,96,186,110,44,93,18,545,57,147,81,67,69,22,441,36,104,67,50,80,14,354,27,20,17,16,29,5,116,1101,1734,731,457,1102,229,5348,241,38,5,4,151,18,458,274,241,24,22,292,57,910,770,948,225,120,843,156,3058,370,606,278,134,393,68,1857,298,514,197,88,205,70,1379,235,394,160,60,189,48,1079,115,283,123,88,149,34,797,93,180,100,69,138,41,620,41,50,29,18
POA2607,260,42,4,4,149,21,478,178,71,5,0,124,17,397,266,221,51,24,238,55,857,180,374,109,36,149,35,889,239,389,120,32,130,34,947,208,381,99,33,125,36,877,142,277,90,36,108,26,668,90,179,74,44,118,23,531,43,36,25,10,69,16,203,1611,1969,569,217,1207,265,5847,197,39,3,0,101,9,354,168,104,3,5,101,14,399,171,278,96,76,166,34,823,111,361,238,170,103,27,1016,122,442,243,100,71,32,1012,106,429,213,97,78,27,950,64,235,172,113,129,28,748,67,180,148,134,143,27,702,40,61,28,27,81,28,254,1044,2124,1149,730,968,226,6249,460,83,5,0,250,31,835,350,173,8,8,226,32,796,439,501,143,99,406,95,1680,295,733,350,210,252,61,1905,359,828,360,136,203,67,1957,312,812,310,136,209,62,1826,210,511,260,150,229,54,1417,157,354,231,182,256,53,1229,78,102,49,34
POA2609,4,0,0,0,18,6,28,4,6,0,3,30,17,64,18,17,4,0,31,22,97,9,18,3,3,13,37,82,18,27,0,0,21,32,100,26,29,3,3,22,37,126,12,13,6,9,20,19,70,3,11,4,0,18,11,41,0,0,0,0,3,0,9,97,125,25,20,180,181,628,13,3,0,0,10,9,28,7,6,3,0,7,13,44,12,11,3,6,9,19,58,7,10,10,5,6,8,48,6,18,7,8,9,13,58,9,11,11,6,14,19,70,6,18,14,3,13,13,71,0,7,4,0,11,6,31,3,0,0,0,0,0,3,60,94,47,30,76,107,412,17,4,0,0,22,19,59,17,13,3,5,42,27,104,23,34,3,7,42,40,153,19,30,12,9,23,48,132,22,45,14,3,34,40,161,35,42,12,12,37,60,204,17,34,15,9,25,34,138,6,17,9,0,30,12,79,4,0,0,0
POA2611,530,78,5,4,351,36,1002,411,175,10,13,291,44,948,804,883,163,60,626,134,2675,651,1230,402,141,444,106,2977,510,1021,293,84,290,63,2273,363,604,235,57,192,54,1506,231,490,194,70,266,60,1314,155,294,124,69,215,60,915,42,44,29,26,119,29,294,3709,4826,1455,519,2802,597,13903,485,98,9,3,282,35,916,378,290,34,24,213,43,973,590,1077,388,290,466,129,2943,341,1135,715,485,307,98,3083,313,987,551,233,185,63,2331,228,684,371,171,200,67,1712,147,483,392,244,246,81,1601,96,270,215,169,250,79,1078,51,75,46,26,169,48,412,2622,5089,2720,1648,2317,642,15039,1020,182,11,8,630,70,1918,787,460,45,33,503,93,1918,1388,1965,555,353,1094,261,5620,998,2360,1121,628,756,199,6062,827,2012,835,315,479,130,4606,594,1289,601,231,392,119,3219,380,973,586,317,514,145,2909,250,564,340,242,463,137,1996,92,119,74,51
