POA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA2600,80,16,238,1713,2497,1050,450,923,471,7110
POA2601,4,0,23,2229,2014,326,114,1801,1043,7527
POA2602,330,102,828,7132,10423,3870,1614,4614,1228,28876
POA2603,184,17,326,2295,3074,1166,553,1428,311,8817
POA2604,96,99,280,2899,3989,1218,506,1722,995,11329
POA2605,305,17,547,2199,3468,1550,686,1760,369,10034
POA2606,75,14,225,2435,3260,1142,613,2440,500,10386
POA2607,153,47,453,2659,4095,1718,943,2181,488,12090
POA2609,3,0,10,163,213,75,49,258,286,1042
POA2611,292,80,702,6328,9920,4176,2168,5117,1231,28945
POA2612,77,17,220,4872,6316,1544,586,2941,1193,17460
POA2614,222,79,610,3664,5812,2512,1210,2925,827,16948
POA2615,214,21,481,8234,12342,5066,2883,7454,1307,37301
POA2617,282,30,577,7471,10141,3737,1944,7825,1414,32527
POA2618,7,0,18,267,362,180,122,158,48,1140
POA2900,42,21,105,890,1191,393,189,857,193,3720
POA2902,77,23,191,2700,4400,1836,1074,2215,498,12729
POA2903,41,6,106,1653,2584,1088,678,1383,299,7688
POA2904,115,91,349,2253,3620,1612,851,1942,390,10667
POA2905,151,25,319,5134,7547,2970,1729,4823,790,22996
POA2906,94,33,208,3460,4572,1824,1057,3076,483,14472
POA2911,12,4,38,795,1232,437,248,795,106,3612
POA2912,19,0,33,1652,1976,692,416,2149,342,7224
POA2913,91,10,226,6907,9867,3766,2167,7043,1159,30911
POA2914,26,4,72,5607,8029,3135,1792,5854,1030,25448
