POA_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
POA2600,11,176,10,201,13,177,15,210,32,419,37,489,41,405,32,482,75,439,40,555,98,414,28,547,71,408,34,514,44,228,18,291,13,76,4,88,404,2737,232,3370,15,210,8,240,18,200,21,238,31,419,52,502,78,452,28,557,123,430,29,587,149,356,21,526,137,440,39,616,52,250,19,328,14,122,18,151,605,2890,243,3734,21,389,28,438,32,375,41,448,64,840,92,989,117,858,60,1033,197,866,77,1138,245,774,53,1072,210,848,73,1126,94,477,39,610,28,198,16,238,1009,5624,471,7110
POA2601,18,643,152,813,33,859,181,1078,21,811,92,927,16,274,24,319,20,166,14,205,23,102,13,138,9,82,4,98,12,24,4,39,0,7,0,10,161,2977,480,3619,24,990,231,1246,23,942,221,1186,29,695,70,800,16,215,25,258,18,124,12,156,22,105,9,137,15,74,5,87,3,30,0,35,0,5,0,8,162,3175,570,3912,45,1636,382,2065,61,1798,399,2262,49,1511,161,1718,37,491,53,582,45,289,23,355,47,211,18,277,19,155,8,184,14,53,5,71,0,16,3,23,325,6151,1058,7527
POA2602,37,801,19,861,71,1265,72,1408,166,2707,155,3025,217,2174,115,2507,328,1745,62,2133,346,1270,70,1689,179,948,56,1180,84,462,42,595,29,264,32,332,1456,11635,630,13720,67,717,19,803,79,1626,63,1764,244,2783,141,3171,356,2238,93,2690,519,1723,67,2309,474,1265,60,1798,243,1001,48,1287,123,643,67,838,31,402,60,497,2134,12404,619,15156,101,1518,39,1658,154,2894,132,3175,411,5491,291,6192,573,4407,210,5195,849,3472,126,4445,817,2535,127,3480,422,1940,108,2473,207,1111,109,1434,59,674,100,828,3593,24040,1248,28876
POA2603,15,341,13,375,19,287,11,326,38,719,33,788,42,520,21,585,103,604,23,731,106,525,26,648,67,399,18,485,44,209,8,265,12,79,0,97,456,3694,154,4302,19,288,9,316,23,234,13,265,50,746,31,825,90,559,20,666,165,541,26,734,181,467,20,670,92,402,16,513,44,243,14,301,11,204,14,227,670,3680,163,4518,40,629,24,693,48,520,24,592,85,1462,64,1613,131,1078,43,1251,266,1148,54,1463,290,991,46,1323,163,801,33,999,85,453,25,563,22,287,15,326,1125,7369,321,8817
POA2604,14,243,10,264,18,325,36,376,49,1178,121,1343,76,873,85,1029,89,655,62,807,101,535,61,699,67,419,58,546,27,197,39,266,7,44,33,84,447,4468,498,5412,13,225,16,254,20,369,43,435,76,1263,113,1456,119,909,74,1104,137,634,57,829,169,548,54,776,101,417,48,562,36,236,37,312,12,122,63,195,686,4722,511,5915,25,467,27,520,36,690,81,806,125,2439,233,2800,195,1778,157,2132,227,1289,122,1632,278,1077,116,1476,166,839,106,1110,65,431,79,575,12,165,98,280,1136,9186,1009,11329
POA2605,22,284,8,311,19,290,8,320,41,557,30,632,88,721,30,838,143,642,36,822,133,562,22,713,62,437,24,522,65,285,18,368,22,168,8,194,591,3951,185,4724,13,351,8,379,24,274,10,307,37,572,32,642,108,801,34,943,190,652,28,872,218,507,19,740,113,428,26,567,74,414,23,519,16,315,18,352,797,4311,205,5310,38,632,14,688,44,567,18,627,79,1136,59,1268,193,1520,64,1782,334,1294,67,1697,348,1061,39,1452,176,867,57,1094,139,702,47,886,39,484,21,547,1389,8262,383,10034
POA2606,4,206,8,223,27,377,29,427,64,1322,82,1472,79,857,48,983,82,538,38,654,83,425,30,541,48,298,10,353,39,213,21,266,8,89,5,108,441,4321,275,5036,17,208,10,237,29,420,26,475,85,1429,78,1592,109,741,25,873,123,562,31,719,114,411,10,545,75,343,22,441,50,285,17,354,8,98,8,116,611,4510,225,5348,24,420,18,458,58,799,56,910,153,2749,155,3058,188,1591,69,1857,209,1103,69,1379,201,838,43,1079,120,643,31,797,88,494,39,620,20,186,19,225,1059,8828,505,10386
POA2607,32,426,20,478,33,352,19,397,62,746,53,857,65,783,34,889,147,763,41,947,156,686,34,877,93,552,26,668,89,410,30,531,32,152,19,203,706,4866,271,5847,17,329,9,354,32,353,15,399,68,713,38,823,145,830,31,1016,222,758,29,1012,229,694,23,950,150,569,29,748,111,554,32,702,24,204,26,254,1009,5004,236,6249,47,756,27,835,66,705,32,796,129,1459,96,1680,216,1615,73,1905,365,1523,66,1957,390,1379,57,1826,243,1124,50,1417,208,966,58,1229,56,350,43,453,1712,9869,503,12090
POA2609,0,19,6,28,0,50,17,64,9,62,25,97,3,45,35,82,6,67,32,100,4,79,37,126,6,45,17,70,0,33,11,41,0,6,0,9,28,409,182,628,0,21,9,28,0,27,13,44,4,35,20,58,5,33,8,48,11,35,13,58,7,40,21,70,9,43,13,71,0,27,6,31,0,0,0,3,38,267,111,412,0,44,12,59,0,76,27,104,8,94,41,153,6,78,51,132,14,107,40,161,15,120,64,204,14,85,38,138,5,61,12,79,0,11,4,10,70,676,293,1042
POA2611,48,926,38,1002,57,843,53,948,124,2406,140,2675,280,2586,107,2977,313,1902,60,2273,277,1174,59,1506,187,1062,58,1314,137,723,56,915,44,220,31,294,1463,11842,604,13903,53,822,36,916,65,863,46,973,199,2607,133,2943,398,2594,93,3083,499,1758,70,2331,413,1232,64,1712,291,1229,83,1601,171,831,72,1078,22,340,45,412,2109,12279,645,15039,99,1744,72,1918,122,1702,94,1918,327,5013,273,5620,678,5177,204,6062,809,3666,131,4606,693,2408,121,3219,477,2291,141,2909,302,1558,130,1996,67,563,80,702,3572,24119,1253,28945
