POA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA2600,221,11,238,1139,527,51,1721,4918,470,7110
POA2601,14,3,23,187,136,9,329,6155,1044,7527
POA2602,714,98,828,5629,1576,283,7492,20191,1192,28876
POA2603,303,18,326,1583,608,35,2227,6285,308,8817
POA2604,180,98,280,1755,558,64,2369,7982,982,11329
POA2605,518,24,547,2282,634,92,3007,6645,385,10034
POA2606,204,16,225,1751,498,48,2301,7611,472,10386
POA2607,400,43,453,2437,937,101,3479,8110,497,12090
POA2609,10,0,10,86,41,0,130,621,293,1042
POA2611,623,77,702,7085,1848,292,9221,18515,1209,28945
POA2612,201,18,220,1696,741,59,2496,13785,1173,17460
POA2614,526,72,610,3510,1157,173,4836,11304,805,16948
POA2615,459,21,481,9060,2869,401,12331,23691,1278,37301
POA2617,537,27,577,5351,1996,234,7581,23576,1370,32527
POA2618,12,0,18,233,104,8,346,747,47,1140
POA2900,85,19,105,518,272,14,808,2709,207,3720
POA2902,169,21,191,2611,1220,125,3955,8286,488,12729
POA2903,108,6,106,1701,790,65,2561,4858,275,7688
POA2904,259,85,349,2302,1070,100,3468,6839,361,10667
POA2905,295,24,319,5043,1960,257,7258,14974,769,22996
POA2906,168,36,208,3229,1163,126,4516,9497,467,14472
POA2911,37,0,38,1142,193,29,1360,2146,109,3612
POA2912,33,0,33,1445,299,31,1782,5120,326,7224
POA2913,213,12,226,7917,1850,234,10006,19788,1123,30911
POA2914,70,3,72,8101,1263,217,9593,14836,1018,25448
