POA_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
POA2600,8,0,4,0,11,4,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,6,5,5,0,5,26,3,3,0,34,15,0,8,3,21,26,5,7,0,40,38,11,8,0,63,38,10,18,0,65,53,4,9,0,66,136,42,27,0,204,127,41,19,0,179,126,44,16,3,183,79,51,5,0,139,413,583,46,0,1041,41,57,18,0,118,0,3,7,0,13,1125,862,202,12,2201
POA2601,12,0,8,0,16,5,0,0,0,4,3,0,0,0,9,0,0,0,0,5,0,0,0,0,0,7,0,0,0,3,4,0,3,0,12,14,0,0,0,11,23,5,5,0,35,25,4,0,4,34,32,3,3,0,36,28,4,3,0,42,89,9,11,4,116,73,3,0,0,86,62,10,9,3,85,59,6,0,3,64,176,38,6,0,220,24,12,5,0,36,0,5,0,0,4,633,102,58,19,811
POA2602,14,0,17,4,39,7,4,8,5,29,6,0,16,0,30,7,6,13,0,29,34,12,35,6,81,19,12,59,6,90,105,12,58,4,188,85,27,79,13,206,158,45,86,12,304,220,66,88,14,387,170,72,82,11,340,188,89,97,16,387,461,239,196,26,932,433,271,73,22,794,328,349,69,16,756,288,336,21,0,648,846,1845,107,8,2805,128,198,82,4,415,15,6,14,0,41,3525,3605,1208,168,8508
POA2603,7,5,3,0,18,3,0,0,0,0,4,0,7,0,6,3,0,4,0,4,10,4,3,0,13,3,0,5,0,10,11,3,3,0,17,10,4,15,0,36,14,11,13,0,45,57,11,21,3,86,51,14,18,4,82,54,15,16,5,90,133,43,47,3,228,149,55,15,7,226,129,62,22,4,221,85,68,12,6,162,459,770,58,6,1287,57,77,21,0,155,8,4,4,0,12,1241,1146,281,35,2701
POA2604,5,5,13,0,20,0,0,5,0,6,0,0,0,0,0,6,0,9,0,16,5,3,17,0,26,0,6,16,0,19,32,8,11,0,55,23,8,23,0,56,48,13,28,3,93,64,23,23,4,115,57,17,32,0,109,63,29,37,5,135,184,73,86,7,349,177,56,29,8,268,179,101,41,3,319,150,101,10,4,260,552,581,60,4,1194,57,55,29,0,141,9,7,7,0,17,1601,1086,471,44,3205
POA2605,17,0,9,0,19,0,0,0,0,6,0,0,0,0,3,0,0,7,0,10,9,0,14,0,22,14,0,15,0,32,33,3,7,0,43,31,7,17,4,65,44,4,27,6,83,91,22,33,0,146,64,21,26,4,115,66,40,17,3,128,144,99,67,9,315,124,86,20,3,233,108,137,21,0,269,69,137,11,3,225,321,999,65,0,1387,52,88,26,0,170,4,0,3,0,12,1206,1653,394,38,3291
POA2606,18,5,5,0,28,11,0,4,3,16,0,0,6,0,3,6,0,4,0,9,13,5,7,7,25,7,5,16,0,25,40,11,10,6,66,42,12,15,0,67,60,21,26,4,115,115,50,34,3,201,91,33,31,6,149,94,41,29,4,168,248,137,72,8,462,188,113,30,9,338,145,110,17,10,282,99,91,11,3,202,259,460,44,5,766,61,79,38,5,180,14,11,3,0,29,1508,1170,392,74,3150
POA2607,21,5,7,0,25,12,0,6,0,16,4,0,3,0,5,3,0,3,0,12,14,0,9,0,20,11,5,20,0,36,51,11,19,0,80,70,12,22,0,105,92,19,27,3,145,134,41,36,6,214,100,39,46,3,187,120,43,43,0,213,227,134,88,10,455,159,128,37,14,338,142,157,38,0,343,108,163,16,6,294,344,956,44,6,1353,53,120,42,0,214,6,4,9,0,19,1652,1850,509,55,4067
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,15,0,0,0,13,3,0,9,4,14,6,3,7,0,11,6,0,5,0,13,3,0,4,0,8,6,3,0,0,10,4,5,4,0,13,7,8,0,0,16,7,3,0,0,16,3,4,0,0,3,6,11,0,0,18,3,5,3,0,9,0,0,0,0,5,78,52,31,6,170
POA2611,45,4,21,0,77,6,0,7,0,17,6,4,10,0,14,3,3,39,5,47,32,0,31,0,67,25,14,52,0,96,131,16,68,3,214,116,34,75,8,234,185,58,88,11,331,306,101,110,5,525,200,115,102,3,423,239,128,102,11,479,490,390,233,23,1131,417,427,102,21,964,354,520,106,11,987,272,517,34,8,834,779,2187,101,14,3080,111,250,120,0,475,28,21,12,3,54,3736,4792,1398,122,10051
POA2612,19,4,7,3,33,4,0,3,0,7,4,0,7,0,11,0,0,0,0,5,12,0,12,0,25,12,3,12,4,30,39,12,9,0,59,34,7,9,6,55,64,14,26,3,111,93,29,19,7,145,92,15,19,4,133,102,33,20,6,164,316,61,64,7,449,300,77,22,5,402,302,98,27,10,429,234,73,8,8,318,742,628,49,12,1431,123,64,29,0,216,9,0,0,0,11,2508,1123,329,74,4035
POA2614,21,5,6,0,34,9,0,4,0,15,4,0,0,0,7,0,3,8,0,14,23,9,26,0,59,12,8,40,0,59,98,21,35,5,154,86,23,46,3,152,125,45,60,11,238,221,59,61,7,348,123,72,58,5,252,140,87,58,6,285,294,201,132,8,637,245,198,59,9,514,221,238,43,0,499,125,239,23,6,391,377,1109,60,0,1555,47,105,58,3,218,21,11,7,0,26,2184,2424,787,76,5466
POA2615,50,7,20,3,77,19,0,11,0,31,14,0,28,0,51,7,3,34,0,51,42,13,83,0,138,48,28,113,4,196,249,40,109,5,404,202,65,151,11,422,258,106,172,14,556,397,174,187,23,782,260,202,185,12,664,278,257,174,7,712,651,745,340,31,1762,580,830,153,22,1576,435,835,91,13,1368,332,719,45,10,1114,616,1847,83,11,2553,135,330,134,7,605,26,20,19,0,66,4595,6224,2134,177,13132
