POA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
POA2600,43,12,6,0,0,64,6,0,0,0,0,10,8,0,3,0,0,13,6,0,6,0,0,10,9,0,11,0,0,18,15,13,26,0,0,56,22,10,65,0,0,93,45,11,66,0,0,124,39,12,28,0,0,80,78,21,33,0,0,136,251,31,22,0,0,304,26,4,6,0,0,41,558,105,280,0,0,946
POA2601,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,10,0,0,10,0,0,39,0,0,39,0,0,80,0,0,80,0,0,108,0,0,108,0,0,42,0,0,42,0,0,32,0,0,32,0,0,25,0,0,25,0,0,10,0,0,10,0,0,375,0,0,375
POA2602,160,44,9,0,0,215,41,10,7,0,0,67,37,13,6,0,0,59,43,19,22,0,0,88,62,35,40,0,0,135,176,113,188,0,0,481,222,175,218,0,0,614,466,243,152,0,0,862,419,137,49,0,0,606,588,105,32,0,0,715,457,61,11,0,0,529,107,21,24,0,0,159,2783,977,770,0,0,4522
POA2603,56,10,18,0,0,75,5,0,4,0,0,16,0,0,0,0,0,4,7,3,3,0,0,13,13,3,16,0,0,27,29,11,67,0,0,104,41,16,125,0,0,175,61,32,105,0,0,201,39,14,41,0,0,87,101,25,40,0,0,169,340,27,29,0,0,398,38,4,17,0,0,66,744,131,462,0,0,1336
POA2604,37,9,31,0,0,80,9,0,3,0,0,20,4,0,11,0,0,17,7,5,20,0,0,29,7,4,26,0,0,45,38,4,119,0,0,167,39,9,234,0,0,281,100,28,287,0,0,415,82,21,91,0,0,194,139,30,106,0,0,276,132,17,59,0,0,202,35,6,45,0,0,87,636,144,1036,0,0,1810
POA2605,68,3,5,0,0,81,18,0,3,0,0,23,20,0,3,0,0,25,20,3,8,0,0,29,27,4,8,0,0,40,75,9,17,0,0,105,83,18,6,0,0,109,148,36,20,0,0,196,159,29,3,0,0,195,276,22,3,0,0,302,299,12,4,0,0,314,50,6,3,0,0,60,1246,140,88,0,0,1475
POA2606,35,14,10,0,0,62,7,4,6,0,0,17,10,9,13,0,0,28,13,12,25,0,0,57,16,26,23,0,0,61,28,53,169,0,0,250,39,100,216,0,0,361,74,89,150,0,0,316,108,38,43,0,0,191,135,21,30,0,0,183,109,18,18,0,0,142,17,20,17,0,0,49,587,396,721,0,3,1708
POA2607,97,6,0,0,0,104,16,0,0,0,0,17,17,4,0,0,0,26,27,11,3,0,0,42,36,11,10,0,0,56,108,37,25,0,0,181,87,55,12,0,0,152,236,93,8,0,0,333,242,39,0,0,0,279,309,27,0,0,0,341,250,21,0,0,0,277,70,7,5,0,0,81,1497,330,61,0,0,1892
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,16,0,0,0,0,20
POA2611,192,19,16,0,0,226,48,9,3,0,0,52,38,4,11,0,0,54,88,14,15,0,0,116,77,19,42,0,0,139,302,115,220,0,0,641,394,218,238,0,0,852,920,336,187,0,0,1442,823,105,53,0,0,989,922,58,22,0,0,1000,597,25,14,0,3,636,168,24,26,0,0,215,4572,948,842,0,5,6367
