POA_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
POA2600,21,7,8,4,0,0,41,0,5,0,0,0,0,8,0,0,0,0,0,0,5,4,3,4,0,0,0,11,5,4,0,0,0,0,10,3,0,0,0,0,0,6,5,9,3,0,0,0,19,5,8,4,0,0,0,16,12,0,5,0,0,0,19,15,7,3,0,3,0,27,7,8,5,0,0,0,20,18,12,12,4,0,0,39,12,16,3,5,0,0,28,7,8,3,0,0,0,26,22,17,3,0,0,0,49,33,48,14,11,3,0,118,25,47,20,0,4,0,100,38,106,33,8,3,0,185,11,15,10,0,0,0,32,248,320,137,33,24,4,752
POA2601,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,4,0,0,0,0,0,4,4,0,0,0,0,0,3,6,4,0,0,0,0,12,18,0,0,0,0,0,18,18,8,0,0,0,0,22,12,0,0,0,0,0,17,21,0,0,0,0,0,29,16,0,0,0,0,0,16,9,6,0,0,0,0,11,11,0,0,0,0,0,16,10,0,4,5,0,0,15,8,0,0,0,0,0,10,4,0,0,0,0,0,3,4,0,0,0,0,0,4,154,21,11,4,5,0,190
POA2602,45,35,19,5,6,0,113,13,12,7,0,6,0,30,19,8,9,8,6,0,40,18,13,7,6,3,0,46,20,18,8,3,0,0,50,24,22,13,0,5,0,77,43,37,17,14,18,0,131,62,48,17,15,14,0,156,68,66,14,16,4,3,168,81,79,23,23,10,0,222,73,79,22,13,11,3,195,105,132,27,27,15,4,319,35,78,13,13,4,3,155,45,78,5,6,4,3,149,97,211,35,19,17,5,378,137,396,66,42,22,0,668,72,159,34,8,6,0,275,52,141,35,0,0,0,226,22,53,12,12,8,5,112,1034,1665,386,239,157,27,3504
POA2603,19,12,14,0,0,0,49,3,0,0,0,0,0,8,10,3,4,0,0,0,12,0,0,0,0,0,0,5,4,0,9,0,0,0,12,4,0,3,0,4,0,19,10,4,7,5,6,3,32,13,5,0,4,0,0,27,30,13,8,0,0,0,56,18,9,5,6,4,0,44,16,9,3,0,0,0,32,24,16,10,8,8,0,63,12,9,0,0,0,0,28,9,10,10,3,0,0,34,9,16,0,0,0,0,35,32,68,27,4,6,0,139,29,58,28,3,3,0,130,38,144,51,14,6,0,247,15,12,11,4,0,0,50,307,401,201,55,42,5,1009
POA2604,25,13,7,4,0,0,54,0,0,3,0,0,0,4,4,6,3,4,0,0,14,3,3,0,3,0,0,12,9,0,3,3,0,0,14,6,0,4,0,0,0,15,18,8,4,0,3,0,32,19,17,6,11,0,0,48,36,18,3,7,4,0,65,40,15,5,8,8,0,72,29,21,3,16,5,0,63,56,45,15,11,7,0,143,25,24,4,5,0,0,61,17,25,0,6,3,0,52,32,41,5,8,0,5,95,65,119,15,14,12,0,224,21,54,13,3,5,0,95,26,41,15,0,4,0,84,23,20,10,5,0,0,56,449,473,114,94,60,11,1205
POA2605,16,15,18,8,0,0,55,6,3,4,0,0,0,14,0,8,8,0,3,0,20,8,3,3,0,3,0,22,4,3,5,0,0,0,19,5,12,3,0,3,0,30,16,18,12,0,7,0,48,13,11,12,6,3,0,38,10,19,12,3,5,0,54,9,21,3,0,5,0,38,11,22,7,12,0,0,53,21,48,12,10,5,0,87,3,19,3,8,0,0,31,13,23,3,5,3,0,42,22,74,25,8,3,0,134,52,194,33,6,3,0,288,29,102,22,4,0,0,161,30,85,25,4,0,0,149,8,21,6,0,4,0,51,279,713,218,70,60,0,1341
POA2606,16,0,9,0,0,0,25,6,4,3,0,0,0,18,6,0,0,0,0,0,5,3,0,0,0,0,0,12,10,5,6,6,0,3,30,9,9,4,0,4,0,24,21,8,7,5,0,0,44,30,22,3,4,3,0,61,38,18,4,8,8,5,82,47,23,6,12,5,0,95,25,20,9,5,0,4,68,33,34,10,5,7,0,90,25,17,0,3,0,0,42,15,27,4,5,3,0,48,21,54,12,6,3,0,107,32,92,17,7,6,6,161,13,34,3,0,0,0,53,22,31,22,3,0,0,70,9,11,4,3,0,6,29,380,414,130,66,59,22,1072
POA2607,22,27,16,4,3,0,74,5,5,6,0,4,0,17,3,6,0,3,0,0,15,3,3,6,0,3,0,19,17,4,4,3,0,0,32,21,13,9,5,0,0,40,15,21,13,3,5,0,64,24,24,14,0,5,4,72,16,21,11,9,10,0,62,17,17,13,3,5,0,55,14,31,15,0,0,0,58,35,66,24,5,5,0,135,19,39,13,3,7,0,82,22,49,18,7,0,0,94,41,92,18,11,7,0,171,70,179,49,7,12,0,322,29,94,34,7,4,0,166,16,66,14,0,0,0,101,13,32,17,0,10,0,71,405,783,291,85,82,11,1645
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,5,5,0,0,0,15
POA2611,53,52,27,3,8,3,147,12,10,9,5,0,0,33,17,11,6,0,3,0,44,16,10,4,0,3,0,40,28,21,17,12,4,0,80,24,25,12,13,7,0,83,69,64,25,13,20,0,189,77,83,24,25,7,4,224,100,98,27,27,25,8,285,112,144,29,19,18,5,333,107,166,31,28,11,4,348,120,276,51,38,33,5,525,100,177,32,17,18,0,350,85,148,12,11,10,0,262,137,375,62,36,17,0,637,204,615,102,36,19,4,970,67,238,54,9,8,3,379,52,150,32,3,9,0,250,43,103,27,8,5,0,184,1425,2778,571,305,246,41,5364
