SA1_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
80101100101,0,0,0,0,8,8,0,0,0,0,9,9,0,0,0,0,4,11,10,0,0,0,3,13,8,0,5,0,8,18,12,0,0,0,4,19,11,0,0,0,0,11,5,0,0,0,0,9,4,0,0,0,0,3,54,0,5,0,30,91,0,0,0,0,4,4,0,0,0,0,5,5,0,0,0,0,9,11,17,0,3,0,3,21,6,0,0,0,6,17,15,0,3,0,3,24,6,0,6,3,0,18,8,0,0,7,6,17,0,0,0,3,0,5,56,5,13,12,35,119,0,0,0,0,10,10,0,0,0,0,12,12,3,0,0,0,11,17,30,0,3,0,9,37,17,4,3,0,12,33,26,0,9,0,6,40,17,0,6,3,0,28,9,0,0,5,6,24,3,0,0,4,0,11,108,4,17,14,64,204
80101100102,0,0,0,0,11,11,0,0,0,0,18,18,5,0,0,0,13,18,10,0,0,0,4,20,22,0,0,0,3,34,19,4,0,0,0,25,8,0,0,0,3,15,15,0,0,3,0,17,0,0,0,0,0,5,86,0,5,8,62,166,0,0,0,0,14,14,0,0,0,0,11,11,9,0,0,0,5,15,20,0,0,0,4,28,21,0,0,0,3,29,11,0,3,0,0,12,13,0,4,0,0,21,9,0,0,3,0,10,0,0,0,0,0,3,86,0,12,4,44,147,0,0,0,0,30,30,0,0,0,0,34,34,17,0,0,0,16,36,31,0,3,0,15,48,49,0,0,0,7,58,29,4,4,0,0,35,26,0,7,3,5,32,17,0,0,9,0,27,4,0,0,0,3,10,170,5,14,12,109,309
80101100103,0,0,0,0,0,0,0,0,0,0,11,11,8,0,0,0,17,30,35,3,0,0,0,34,13,0,0,0,3,19,19,0,0,0,0,24,9,0,0,0,0,9,6,0,0,3,0,7,0,0,0,0,0,0,86,7,6,4,39,141,0,0,0,0,9,9,0,0,0,0,15,18,18,3,0,0,17,38,24,0,6,0,3,33,19,0,6,0,4,33,14,0,0,0,0,18,9,0,3,0,0,17,4,0,3,8,0,14,3,0,0,5,0,7,90,5,16,16,56,179,0,0,0,0,16,16,0,0,0,0,34,34,28,3,0,0,37,61,60,3,7,0,7,67,33,0,4,0,7,48,31,0,4,0,0,40,15,0,3,0,0,27,10,0,3,8,0,22,7,0,0,5,0,6,187,4,22,19,98,324
80101100104,0,0,0,0,15,15,0,0,0,0,16,16,12,0,0,0,19,31,19,0,0,0,0,27,25,0,3,0,3,30,33,0,5,0,3,36,20,6,0,0,0,19,19,0,0,0,0,17,0,0,0,0,0,3,121,5,9,3,64,198,0,0,0,0,19,19,0,0,0,0,11,11,13,0,0,0,12,21,25,0,3,0,6,38,20,0,0,0,6,33,33,0,9,0,3,44,17,0,6,7,0,21,7,0,0,3,3,19,0,0,0,0,0,0,116,3,11,9,57,202,0,0,0,0,34,34,0,0,0,0,25,25,24,0,0,0,31,52,43,0,4,0,12,64,46,4,3,0,7,57,60,0,7,0,9,77,35,6,4,7,0,41,27,0,0,8,3,38,0,0,0,3,0,8,231,6,20,18,119,393
80101100105,0,0,0,0,14,14,0,0,0,0,21,21,4,0,0,0,20,28,19,0,0,0,9,29,24,0,3,0,3,32,22,0,5,0,9,35,21,0,5,0,0,22,23,0,0,0,0,26,6,0,0,0,0,9,123,0,17,4,81,224,0,0,0,0,22,22,0,0,0,0,11,11,3,0,0,0,14,20,24,6,0,0,5,37,25,0,0,0,10,41,22,0,13,4,7,47,37,0,0,0,4,44,10,0,0,3,0,21,5,0,0,4,0,12,132,8,24,12,76,253,0,0,0,0,35,35,0,0,0,0,36,36,10,0,0,0,35,43,49,6,0,0,16,69,55,0,8,0,14,76,40,0,19,4,12,83,53,0,3,0,6,66,33,0,5,4,0,47,17,0,0,4,0,20,253,8,42,17,161,470
80101100106,0,0,0,0,16,16,0,0,0,0,15,15,7,0,0,0,19,30,16,0,4,0,6,29,22,0,5,0,7,33,18,0,0,0,5,27,16,0,0,0,0,21,16,0,4,0,0,18,5,0,0,3,0,7,98,0,11,3,70,192,0,0,0,0,12,12,0,0,0,0,11,11,6,0,0,0,15,22,24,0,3,0,7,37,16,0,3,0,5,25,21,0,8,0,11,37,14,0,3,0,0,25,14,0,7,3,0,20,0,0,0,7,0,8,104,4,14,12,62,199,0,0,0,0,25,25,0,0,0,0,24,24,20,0,0,0,36,57,42,4,3,0,16,63,43,0,5,0,16,65,41,0,11,0,13,64,29,0,5,0,4,46,27,0,7,9,0,40,8,0,0,9,0,15,202,10,33,16,133,391
80101100201,0,0,0,0,9,9,0,0,0,0,36,36,23,0,0,0,35,58,14,3,0,0,23,42,6,0,11,0,12,28,3,0,4,0,10,13,3,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,52,8,12,0,121,196,0,0,0,0,10,10,0,0,0,0,14,15,29,0,0,0,22,59,14,0,0,0,12,26,7,0,5,0,7,27,6,0,8,0,13,28,0,0,8,3,6,13,4,0,3,5,0,12,0,0,0,0,0,0,57,3,29,7,87,182,0,0,0,0,18,18,0,0,0,0,52,49,52,3,0,0,65,115,32,0,0,0,33,71,8,0,18,0,18,48,9,0,7,0,17,38,3,0,9,3,5,16,5,0,4,5,0,13,0,0,0,0,0,0,113,12,43,13,208,380
80101100202,0,0,0,0,6,6,0,0,0,0,8,11,16,5,0,0,18,37,15,0,5,0,18,42,11,0,7,0,4,22,3,0,6,0,3,9,3,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,53,7,11,0,63,138,0,0,0,0,6,6,0,0,0,0,14,17,23,0,0,0,29,50,19,6,0,0,15,42,0,0,5,0,6,16,3,0,10,0,7,11,5,0,0,4,0,14,0,0,4,3,0,10,0,0,0,4,0,7,53,6,15,10,76,157,0,0,0,0,11,11,3,0,0,0,22,27,36,9,0,0,50,92,35,3,4,0,32,76,10,0,7,0,14,34,9,0,11,0,7,21,8,3,4,5,0,22,8,0,4,3,0,9,0,0,0,4,0,5,105,15,26,13,142,298
80101100203,0,0,0,0,3,3,4,0,0,0,45,47,71,0,0,0,81,149,26,0,7,0,38,67,10,0,9,0,7,29,5,0,6,0,0,11,5,0,0,0,0,10,3,0,0,0,0,5,0,0,3,0,0,3,123,4,23,0,171,327,0,0,0,0,3,3,12,0,0,0,49,60,67,0,3,0,88,157,28,0,4,0,22,54,9,3,3,0,12,23,14,5,5,0,3,26,0,0,4,0,0,8,5,0,0,5,0,12,0,0,0,0,0,0,128,10,19,8,174,342,0,0,0,0,7,7,16,0,0,0,90,104,136,0,4,0,164,307,55,4,8,0,54,119,16,3,13,0,14,50,18,5,11,0,3,38,9,0,3,0,4,21,7,0,0,11,0,13,0,0,3,0,0,0,254,18,44,8,344,667
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
