SA1_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
80101100101,4,6,5,9,12,26,0,0,0,0,7,7,13,18,29,0,0,6,0,4,4,3,0,9,5,6,13,0,0,0,0,0,0,0,0,3,5,0,5,0,0,0,4,0,4,5,4,5,0,0,0,0,0,0,4,3,11,0,0,0,8,11,21,14,10,25,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,39,45,84
80101100102,9,4,13,19,10,31,4,0,3,0,3,4,21,14,36,7,9,17,5,0,4,3,7,9,15,18,33,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,6,0,3,11,8,21,0,0,0,0,0,0,0,8,4,0,0,0,15,17,29,17,13,31,0,0,0,0,0,4,0,0,0,5,0,7,8,5,12,71,58,132
80101100103,7,0,7,12,16,31,4,0,4,3,6,12,22,21,45,10,4,17,0,0,0,0,7,11,15,18,30,0,0,0,5,0,5,0,0,0,0,3,3,0,0,0,0,3,9,7,13,19,4,12,17,0,0,0,7,7,12,0,0,0,18,32,50,21,39,54,0,0,0,0,0,0,0,0,0,0,5,4,4,5,7,70,85,148
80101100104,3,7,8,18,12,28,3,0,3,0,0,5,17,13,33,13,12,25,3,0,8,6,3,17,19,21,42,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,3,10,4,3,5,5,3,11,0,0,0,6,9,16,0,0,0,20,13,31,25,20,43,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,68,61,139
80101100105,0,6,7,32,22,51,0,0,0,4,4,6,33,24,60,13,17,30,3,3,6,12,6,15,30,23,56,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,6,11,4,14,4,0,3,3,0,3,5,8,12,0,0,0,20,17,30,19,17,36,0,3,0,3,0,7,0,0,0,3,5,8,7,13,19,94,87,182
80101100106,3,5,10,18,13,36,0,0,0,5,0,6,26,16,35,7,8,18,4,3,7,3,4,8,20,14,36,0,0,0,0,0,5,0,0,3,0,4,4,0,0,0,6,5,14,0,6,8,3,0,3,4,0,3,6,6,10,0,0,0,11,10,25,21,19,39,0,0,0,0,0,0,0,0,0,4,0,8,9,12,23,79,74,145
80101100201,0,7,6,8,7,13,0,0,4,0,0,0,8,9,20,6,10,8,0,0,0,0,0,0,6,10,8,4,0,8,3,9,11,0,0,0,4,6,6,0,0,0,12,16,26,19,11,25,9,6,19,0,0,3,3,7,11,0,0,0,30,30,62,44,45,86,0,0,0,0,0,0,0,0,0,0,0,3,14,5,21,68,80,149
80101100202,3,4,6,14,11,21,0,4,4,0,0,0,17,11,27,8,6,14,0,0,0,0,0,0,8,9,18,3,0,7,0,6,6,0,0,0,3,5,8,0,0,0,5,11,18,0,6,13,0,4,5,0,0,6,0,0,0,0,0,0,9,9,19,17,22,39,0,0,0,0,4,6,0,0,0,0,3,6,8,12,16,50,63,112
80101100203,4,4,6,8,4,16,0,0,3,0,0,0,12,3,22,3,8,8,0,0,0,0,0,3,5,5,12,0,0,0,3,10,14,0,6,9,7,10,15,0,0,0,14,25,34,19,25,42,13,19,31,0,4,4,8,14,27,0,0,0,39,63,106,52,85,132,9,5,8,0,7,11,0,0,0,9,10,21,8,8,20,93,125,212
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100208,3,4,8,14,11,23,0,0,4,3,0,3,19,13,31,9,12,15,0,0,0,0,0,0,7,12,19,0,0,0,0,5,9,0,0,0,3,5,4,0,0,0,4,13,21,3,10,13,4,7,13,0,0,0,4,10,9,0,0,0,8,28,39,15,38,57,0,0,4,0,3,3,0,0,0,0,0,3,4,3,7,54,70,121
80101100209,0,0,0,4,9,13,0,0,0,0,0,0,4,9,13,8,8,14,0,0,0,0,0,0,8,8,14,0,0,0,0,3,10,0,0,0,0,3,12,0,0,0,10,8,16,7,5,12,4,13,17,0,0,0,8,4,4,0,0,0,21,20,36,27,31,56,0,0,0,0,0,0,0,0,0,0,0,0,8,9,14,49,50,104
80101100210,3,0,5,0,6,3,0,0,0,0,0,0,0,3,6,5,6,5,0,0,0,0,0,0,5,6,5,0,0,0,0,4,0,0,0,0,5,6,3,0,0,0,0,4,7,6,8,20,6,5,8,0,0,4,4,4,6,0,0,0,15,18,35,21,24,45,4,0,4,0,5,3,0,0,0,5,5,8,5,14,20,42,51,90
80101100211,3,6,13,19,8,26,3,0,5,0,0,0,20,15,33,6,7,15,0,0,0,0,0,0,6,11,16,0,0,7,0,0,0,0,0,0,8,5,18,0,0,0,13,8,17,14,18,29,18,8,25,3,3,10,3,6,16,0,0,0,36,33,73,51,42,86,0,6,5,6,3,9,0,0,0,5,10,11,15,15,31,95,91,188
80101100212,0,0,0,4,7,11,4,0,4,3,6,6,13,13,29,0,4,3,0,0,0,0,0,0,0,0,9,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,3,5,4,6,11,3,6,10,0,0,0,3,3,6,0,0,0,13,13,26,13,19,36,0,0,0,3,0,6,0,0,0,3,5,10,7,13,23,43,53,95
80101100213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3
80101100215,4,3,4,0,3,3,0,0,0,0,0,0,0,4,8,4,0,4,0,0,3,0,0,0,0,0,5,0,0,0,0,8,12,0,0,0,0,6,9,0,0,0,5,12,21,18,28,44,18,19,38,0,0,7,6,13,19,0,0,0,44,57,101,52,72,125,4,3,6,0,6,5,0,0,0,0,9,14,9,9,21,73,95,171
80101100216,3,3,10,5,11,21,6,4,5,0,0,0,14,13,30,4,4,8,0,0,0,6,0,6,4,4,11,6,9,8,10,10,22,4,0,3,10,17,34,0,0,0,27,40,67,65,87,152,39,37,82,10,15,26,23,20,43,0,0,0,140,162,304,172,203,369,22,16,37,14,17,29,0,0,0,34,31,66,59,40,103,291,299,591
80101100217,0,3,3,5,0,3,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,6,0,0,0,11,4,9,0,0,0,17,3,17,8,15,25,9,12,22,0,3,4,6,3,8,0,0,0,26,33,55,38,37,79,0,0,4,4,6,8,0,0,0,5,10,12,12,16,27,64,59,127
80101100218,3,4,7,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,0,0,0,0,0,4,0,5,0,0,0,5,3,12,0,0,0,3,8,10,0,0,0,13,12,27,15,11,28,16,17,35,3,3,8,16,9,26,0,0,0,53,42,96,64,53,117,0,0,3,6,5,9,0,0,0,4,5,13,16,17,31,94,86,181
80101100219,0,0,4,0,0,0,0,0,0,0,0,0,0,8,8,4,0,4,0,0,0,0,0,0,4,3,3,0,0,0,0,5,7,0,0,0,7,7,9,0,0,0,11,8,19,8,6,17,13,3,17,0,3,3,9,8,22,0,0,0,30,26,57,39,34,72,0,3,3,0,0,0,0,0,0,5,3,0,3,5,8,47,47,97
80101100220,0,0,7,4,3,8,0,0,0,0,0,0,4,3,8,3,4,3,0,0,0,0,0,0,3,4,3,0,0,0,6,0,9,0,0,3,9,0,6,0,0,0,11,7,19,0,6,10,4,9,11,0,0,4,4,6,12,0,0,0,13,22,32,20,25,53,0,0,0,3,3,3,0,0,0,3,3,6,0,6,6,36,48,82
80101100221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
80101100222,8,5,6,3,10,10,0,0,0,0,0,0,3,10,10,6,0,3,0,0,0,0,0,0,5,0,7,0,0,0,0,3,3,0,0,0,7,8,13,0,0,0,4,12,20,11,18,31,17,9,25,6,7,13,10,9,23,0,0,0,46,42,92,56,53,106,0,3,4,4,3,7,0,0,0,6,9,13,12,7,19,79,84,167
