SA1_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
80101100101,20,5,4,5,12,11,5,0,0,73,8,4,5,6,3,3,0,0,0,28,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,8,4,3,4,3,3,7,5,3,39,0,0,0,0,0,0,0,0,0,7,26,12,11,13,18,19,11,9,3,117,30,8,11,17,11,13,4,0,0,86,0,6,0,4,6,6,5,8,0,37,0,0,0,0,0,0,3,4,0,10,0,0,0,0,0,0,0,6,0,3,0,3,0,5,6,6,8,17,0,55,3,0,0,0,0,0,0,0,0,9,32,12,11,21,17,24,18,17,5,152,49,13,12,25,24,25,8,0,0,162,10,9,5,3,13,11,11,7,0,64,0,0,0,6,0,0,4,8,3,24,0,0,0,0,0,0,0,3,3,4,10,10,3,4,13,10,19,20,8,92,5,0,0,4,0,0,0,0,0,12
80101100102,30,22,10,16,18,14,7,0,0,134,6,0,6,3,6,3,3,10,0,38,0,0,0,4,6,0,0,0,0,8,0,0,0,0,0,0,0,8,0,6,6,0,7,4,8,10,4,10,0,57,3,9,0,0,0,0,0,0,0,11,40,31,18,20,34,25,15,17,5,202,27,22,10,13,16,7,3,4,0,117,4,4,0,8,5,3,5,4,0,38,0,0,0,0,0,4,0,3,0,15,0,0,0,0,0,0,3,0,0,7,9,4,7,8,9,8,14,9,3,60,0,0,0,0,0,0,4,0,0,10,37,28,15,28,29,12,21,10,3,183,59,50,22,26,40,25,15,4,0,243,13,3,9,12,16,3,10,11,0,81,0,0,5,4,3,0,6,0,4,24,0,0,0,3,0,0,3,3,0,10,15,3,13,21,18,15,17,21,3,118,3,8,0,0,0,0,5,3,0,22
80101100103,46,11,22,34,15,21,0,0,0,154,3,0,3,5,0,4,0,8,0,25,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,5,3,5,0,4,3,7,3,33,0,0,0,0,0,3,6,0,0,7,50,21,30,34,19,24,9,7,0,189,44,21,28,32,21,13,0,0,0,164,5,8,4,0,11,5,4,5,6,43,0,0,0,0,0,0,7,4,0,14,0,0,0,0,0,0,6,0,0,0,5,5,4,0,9,0,17,11,3,60,3,0,0,4,0,0,0,0,0,9,50,30,38,33,33,18,17,14,7,230,86,42,53,65,36,33,3,0,4,313,6,5,5,7,12,4,7,12,0,64,0,3,0,0,0,0,7,0,3,21,0,0,0,0,0,0,6,0,0,3,6,8,5,4,16,8,20,20,8,87,3,0,0,3,0,3,6,0,0,15
80101100104,39,26,20,19,21,24,10,8,0,170,4,3,5,6,8,6,10,6,0,40,0,0,0,0,0,5,4,4,0,14,0,0,0,0,0,0,5,0,0,9,4,5,5,8,6,5,13,7,0,56,3,0,0,0,0,0,0,0,0,14,42,29,31,27,30,36,19,17,3,240,28,16,14,27,19,22,9,7,0,141,0,8,3,6,5,14,9,6,0,54,0,0,0,4,0,3,6,5,0,16,0,0,0,0,0,0,0,3,0,3,0,7,4,12,7,16,17,9,0,77,3,4,0,0,5,3,0,0,0,11,29,28,21,38,33,44,21,19,0,232,63,44,35,49,40,46,13,12,0,307,4,12,15,16,11,17,15,12,0,95,0,0,0,3,0,6,5,7,0,34,0,0,0,0,0,0,5,5,0,12,4,14,10,15,17,24,25,25,3,135,8,4,0,0,3,5,0,0,0,24
80101100105,54,28,22,22,22,21,14,6,3,193,6,8,0,3,8,6,12,4,0,54,0,4,0,0,0,3,0,8,3,14,0,0,0,0,0,4,0,0,0,7,6,9,4,3,9,12,7,12,3,76,8,0,3,6,6,0,3,0,0,19,60,34,28,29,32,35,22,26,9,281,49,21,16,25,29,25,21,6,3,188,4,8,3,6,10,12,7,6,3,63,0,0,0,4,0,7,4,5,4,23,0,0,0,0,0,0,0,0,5,6,4,8,3,13,10,21,16,17,11,94,5,3,0,0,0,0,5,0,0,17,54,30,20,37,41,47,44,21,12,306,100,42,35,49,51,47,32,19,4,382,8,16,6,11,19,17,19,14,9,117,0,4,0,4,4,9,4,8,3,40,0,0,0,0,0,8,4,0,5,16,8,18,7,16,21,32,22,29,11,164,8,3,3,8,7,0,7,6,0,34
80101100106,35,24,28,20,25,24,13,10,0,171,9,0,0,4,8,3,14,6,0,35,0,0,0,0,0,5,0,6,0,10,0,0,0,0,0,0,0,4,0,10,9,0,4,4,4,0,13,10,3,54,5,0,3,0,0,0,0,0,0,14,45,22,30,29,33,27,21,18,7,240,32,18,12,22,21,23,10,5,3,143,5,3,4,8,4,3,7,10,4,51,0,0,5,5,0,7,4,3,0,25,0,0,0,0,0,0,0,0,0,3,4,3,8,11,4,12,10,10,5,77,3,3,0,4,0,0,0,0,0,19,38,23,22,37,25,37,25,20,8,238,68,41,41,39,45,47,18,19,6,316,6,7,4,17,11,4,14,8,5,86,0,0,3,5,5,10,3,11,0,35,0,0,0,0,0,0,0,4,0,7,12,7,9,16,12,18,25,24,9,130,9,3,4,6,5,6,0,0,0,31
80101100201,18,28,44,27,18,13,0,0,0,142,0,13,10,9,0,0,0,4,0,43,0,0,0,3,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,13,13,13,3,4,0,6,0,51,0,3,3,4,3,0,0,0,0,14,21,42,58,42,28,13,6,7,0,211,22,13,31,16,9,12,7,8,0,124,5,5,17,6,8,5,0,6,0,56,0,5,0,4,4,3,3,0,0,19,0,0,0,0,0,0,0,0,0,4,5,14,20,14,10,9,5,3,0,75,0,0,0,0,5,4,0,0,0,7,26,29,59,26,27,28,13,12,0,209,42,41,76,42,26,22,8,5,0,264,5,22,26,16,10,12,4,7,0,96,0,5,4,10,5,0,3,4,0,29,0,0,0,0,0,0,0,0,0,9,5,25,33,23,21,15,8,11,0,134,0,3,6,4,4,4,0,0,0,27
80101100202,25,12,32,24,10,8,4,0,0,119,0,8,6,3,0,0,0,0,0,24,0,0,0,4,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,4,8,10,10,4,0,0,0,0,34,4,3,0,6,0,0,0,0,0,12,31,19,37,42,22,9,5,7,0,173,34,16,32,22,6,8,4,4,0,122,0,4,13,7,5,0,10,4,0,37,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,5,0,0,6,0,0,20,11,9,3,11,0,7,60,0,0,5,7,0,6,0,0,0,14,37,18,50,42,16,11,14,10,7,195,62,25,57,46,20,15,11,5,0,240,3,4,21,13,6,0,6,4,0,62,0,0,4,7,5,0,0,3,0,27,0,0,0,0,0,3,5,0,0,9,0,11,27,19,14,3,13,3,7,97,7,6,5,11,0,6,0,0,0,27
80101100203,28,42,120,50,21,8,9,0,0,266,4,11,19,13,0,4,6,4,0,58,0,0,4,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,4,11,28,15,7,3,4,3,0,74,4,0,4,6,0,0,0,0,0,16,33,52,149,67,29,11,10,5,3,355,18,47,121,38,14,12,0,0,0,257,4,17,27,10,9,8,0,3,0,78,0,0,0,4,0,0,4,6,0,13,0,0,0,0,0,0,0,0,0,3,4,14,30,13,6,14,8,13,0,97,0,0,9,3,0,0,0,0,0,18,24,60,157,54,23,26,8,12,0,370,47,85,238,82,34,19,7,0,0,528,5,22,48,19,9,12,8,9,0,137,0,0,10,8,0,3,4,3,0,31,0,0,0,0,0,0,0,0,0,7,5,29,54,23,18,17,9,14,0,168,3,3,10,8,0,0,0,0,0,32
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
