SA1_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
80101100101,59,25,17,37,33,40,28,24,11,265
80101100102,74,62,36,48,58,35,32,27,10,383
80101100103,98,47,61,67,48,40,27,22,6,418
80101100104,74,59,52,64,57,77,41,38,8,466
80101100105,119,65,43,69,76,83,66,47,20,587
80101100106,84,48,57,63,65,64,46,40,15,481
80101100201,46,66,115,71,48,38,16,13,0,425
80101100202,68,40,92,76,34,21,22,9,5,364
80101100203,58,117,307,119,50,38,21,13,0,727
80101100205,0,0,0,0,0,0,0,0,0,0
80101100208,65,49,101,70,53,27,27,12,6,396
80101100209,39,41,87,49,26,25,14,0,0,278
80101100210,42,44,84,59,45,34,37,26,3,366
80101100211,80,87,191,97,49,38,26,11,7,578
80101100212,53,37,50,42,17,22,48,123,148,539
80101100213,0,8,3,5,0,0,0,0,0,19
80101100215,23,104,289,74,21,13,10,7,0,548
80101100216,96,390,772,100,56,31,12,7,0,1468
80101100217,17,58,169,54,28,24,14,4,0,378
80101100218,39,93,244,96,39,21,14,0,0,547
80101100219,22,52,196,70,18,11,3,0,0,383
80101100220,20,27,94,58,23,5,5,0,0,238
80101100221,0,0,0,0,0,0,0,4,0,8
80101100222,49,90,223,109,40,30,14,17,4,586
80101100223,0,0,4,5,5,0,0,0,0,14
80101100224,0,177,54,3,0,0,0,0,0,236
80101100225,27,78,142,59,26,33,29,13,6,408
80101100301,51,67,159,69,18,16,15,6,0,401
80101100304,105,135,271,163,83,62,31,12,4,858
80101100306,53,58,110,61,32,30,39,11,9,395
80101100307,26,55,60,40,23,21,14,12,0,250
80101100308,0,813,145,24,9,4,0,4,4,1012
80101100309,40,64,92,42,28,19,14,0,0,291
80101100310,30,41,47,35,33,28,13,4,0,246
80101100311,29,40,80,26,24,35,29,13,3,288
80101100312,85,117,142,89,63,67,40,19,5,621
80101100314,4,49,17,9,4,7,8,9,6,109
80101100315,43,52,53,39,51,36,71,43,6,395
80101100316,21,18,0,7,26,14,36,94,95,302
80101100317,27,96,239,64,17,11,9,5,0,478
80101100318,45,33,21,29,40,41,60,15,0,291
80101100319,38,27,54,31,26,41,46,25,10,296
80101100320,110,67,103,101,42,8,0,0,0,432
80101100321,52,79,189,77,42,8,8,3,0,467
80101100322,14,76,168,76,19,12,10,0,0,382
80101100401,52,24,28,30,30,27,17,7,0,226
80101100402,86,34,64,69,73,37,32,16,4,418
80101100403,113,42,67,91,56,45,24,18,8,458
80101100404,93,28,54,80,49,21,34,12,0,376
80101100405,91,54,86,55,55,50,47,18,0,448
80101100406,119,91,100,85,61,76,43,23,8,607
80101100408,30,12,32,38,22,13,20,9,7,175
80101100409,59,40,65,57,40,28,28,16,3,341
80101100501,66,16,46,56,34,23,25,26,7,301
80101100502,76,46,48,64,69,60,32,29,6,442
80101100503,36,42,35,24,57,44,41,29,3,313
80101100504,45,15,42,58,47,46,45,26,14,331
80101100505,54,28,64,67,48,33,45,27,8,379
80101100506,22,25,14,19,29,27,36,22,6,194
80101100507,58,34,32,42,54,36,30,24,10,325
80101100508,42,23,20,25,39,27,15,23,0,213
80101100509,105,33,70,80,69,42,32,19,11,461
80101100602,29,20,16,29,27,40,12,4,0,184
80101100604,84,33,42,60,33,28,15,8,0,307
80101100605,124,44,34,89,62,43,26,11,7,434
80101100606,95,45,36,74,48,29,22,13,3,358
80101100607,95,44,49,61,78,40,35,8,0,416
80101100608,112,65,64,68,79,59,24,3,6,476
80101100609,81,67,28,54,64,34,28,11,4,364
80101100610,81,54,50,54,56,53,10,14,0,381
80101100611,77,46,76,71,58,58,20,11,4,418
80101100612,95,80,82,68,104,62,33,3,0,533
80101100613,63,29,30,39,38,14,25,5,0,246
80101100614,83,50,33,62,61,32,29,3,0,357
80101100615,45,36,22,30,41,20,18,7,0,216
80101100616,138,63,57,108,85,38,29,8,0,522
80101100617,58,58,61,52,46,59,42,21,3,402
80101100618,91,52,28,68,47,31,24,6,0,347
80101100619,33,17,44,46,25,12,9,0,0,194
80101100620,128,57,34,73,60,36,19,5,0,420
80101100621,0,0,0,0,0,0,0,0,0,0
80101100622,83,47,30,51,44,23,9,9,0,295
80101100623,103,50,46,60,71,37,20,12,5,389
80101100701,96,54,72,75,72,91,39,10,0,496
80101100702,38,37,23,20,57,34,27,7,3,252
80101100703,100,55,54,66,69,52,69,28,6,506
80101100704,34,28,27,32,27,22,20,16,3,210
80101100705,92,49,57,77,62,55,43,11,9,454
80101100706,89,39,81,63,45,28,45,11,0,401
80101100707,114,54,43,73,75,53,63,9,5,484
80101100708,86,32,63,65,27,19,49,15,0,351
80101100709,70,39,67,53,42,30,31,21,3,343
80101100710,78,45,60,60,47,36,46,18,4,395
80101100711,137,72,96,88,85,59,57,13,9,607
80101100712,76,71,46,67,65,41,38,14,0,414
80101100713,70,45,47,40,35,38,31,7,4,319
80101100714,46,38,32,34,48,37,33,4,4,278
80101100801,63,41,43,43,41,51,52,30,10,373
80101100802,112,49,59,85,62,69,53,24,4,517
80101100803,67,47,58,53,58,66,39,15,0,409
80101100804,54,39,65,41,34,38,16,8,3,297
80101100805,81,60,53,65,56,78,51,18,11,472
80101100806,57,35,41,40,40,61,45,23,0,332
80101100807,107,47,101,103,67,67,48,19,5,566
80101100808,55,41,95,64,24,14,25,26,9,364
80101100809,76,58,45,50,47,89,78,28,9,473
80101100810,66,36,47,56,46,43,41,17,4,361
80101100811,23,34,24,17,33,49,24,9,6,209
80101100812,74,50,56,59,57,53,44,16,8,416
80101100901,85,41,52,57,52,46,40,15,6,381
80101100902,63,40,37,31,39,39,25,6,0,285
80101100903,102,44,77,76,47,43,41,18,4,439
80101100904,71,48,40,46,52,49,49,16,3,373
80101100905,91,48,38,48,53,38,26,16,3,368
80101100906,97,55,55,77,75,64,51,30,4,495
80101100907,79,37,29,55,37,26,20,14,0,304
80101100908,53,35,38,46,42,44,48,30,6,347
80101100909,60,39,40,39,46,29,29,19,0,304
80101100910,83,50,54,51,48,37,38,13,0,374
80101101001,94,47,25,61,48,36,59,23,4,400
80101101002,67,45,34,50,55,42,44,5,0,349
80101101003,85,54,44,56,72,60,60,10,4,452
80101101004,80,37,33,56,49,42,69,20,5,386
80101101005,103,69,54,85,65,58,78,28,3,547
80101101101,161,74,98,104,88,57,87,29,5,700
80101101102,72,27,54,55,31,53,36,13,0,347
80101101103,147,65,93,109,83,57,75,27,11,667
80101101104,89,31,65,71,50,49,70,17,0,445
80101101105,67,25,37,48,29,31,39,12,0,286
80101101106,40,18,32,39,30,23,31,9,7,240
80101101107,0,0,0,0,0,0,0,0,0,0
80101101108,33,25,24,39,17,18,30,11,0,199
80101101109,43,19,22,47,29,27,39,18,0,232
80101101110,57,27,42,45,26,22,30,3,0,253
80101101202,0,0,0,0,0,0,0,0,0,0
80101101203,0,0,0,0,0,0,0,0,0,3
80101101301,31,15,50,26,26,23,11,23,5,213
80101101302,96,79,168,107,72,35,22,15,3,593
80101101303,53,59,23,38,69,49,41,42,6,376
80101101304,35,39,6,27,46,44,43,42,10,273
80101101305,67,57,41,34,59,59,47,52,13,425
80101101306,73,37,25,45,40,43,53,22,4,353
80101101307,27,13,35,27,30,20,35,17,8,206
80101101308,56,55,15,35,57,33,40,30,7,325
80101101309,0,0,0,0,0,0,0,0,0,0
80101101310,48,25,11,21,27,35,35,26,14,238
80101101401,47,36,59,51,46,33,63,67,16,408
80101101402,119,57,63,76,69,38,35,33,7,498
80101101403,130,82,86,101,89,61,56,38,8,648
80101101404,119,49,89,87,79,47,32,34,3,544
80101101405,74,44,49,67,56,38,32,27,11,403
80101101406,56,23,45,37,27,32,15,13,0,251
80101101407,106,71,85,67,76,70,47,30,4,562
80101101502,69,31,40,53,39,18,36,9,5,297
80101101503,71,32,43,53,46,26,31,16,0,322
80101101504,69,47,62,71,43,33,34,18,3,380
80101101505,109,61,63,89,58,49,48,33,3,519
80101101506,40,18,79,50,46,26,36,27,5,328
80101101508,52,38,47,39,55,43,33,11,0,326
80101101509,82,41,63,71,55,35,25,11,6,391
80101101510,95,39,44,63,59,27,34,26,7,384
80101101511,40,26,26,39,40,14,39,12,0,233
80101101512,55,39,58,42,27,25,24,24,3,302
80101101513,29,38,96,54,26,19,17,6,4,286
80101101514,0,0,0,0,0,0,0,0,0,0
80101101515,63,29,77,47,32,23,49,52,74,450
80101101516,207,67,187,148,69,35,19,7,0,747
80101101517,97,65,105,81,80,60,95,57,17,649
80101101601,89,72,48,69,44,51,46,20,4,443
80101101602,39,20,31,39,23,30,30,7,0,213
80101101603,97,44,97,81,52,62,75,40,8,548
80101101604,80,47,66,68,47,55,60,8,5,430
80101101605,62,44,63,51,51,56,46,9,0,388
80101101606,118,66,61,93,62,59,66,22,9,548
80101101607,60,30,28,49,42,24,31,6,0,273
80101101608,0,0,0,0,6,0,6,24,28,58
80101101609,72,45,59,62,61,59,51,30,9,454
80101101610,44,31,21,36,31,29,36,17,0,252
80101101611,98,47,41,56,50,42,48,15,10,402
80101101612,90,56,54,87,56,60,75,28,3,505
80101101613,89,61,129,77,52,39,57,31,11,548
80101101614,74,38,34,49,50,57,91,18,6,423
80101101615,77,60,59,59,55,48,50,28,10,440
80101101616,78,75,70,59,68,52,66,42,14,514
80101101617,69,43,63,64,41,52,58,21,8,422
80101101618,76,42,48,51,64,33,39,17,10,387
80101101619,72,59,44,55,50,59,62,20,7,434
80101101701,65,43,35,47,54,33,34,24,0,329
80101101702,127,53,76,90,66,58,46,21,0,547
80101101703,109,65,91,103,88,66,66,31,9,613
80101101704,82,35,39,63,45,19,36,17,0,341
80101101705,68,37,59,58,42,32,44,23,4,361
80101101706,120,80,74,77,91,88,46,15,5,609
80101101707,101,42,63,72,68,30,44,22,11,451
80101101708,34,24,27,19,26,23,20,3,0,172
80101101709,65,25,60,47,25,39,52,18,4,346
80101101802,0,0,0,0,0,0,0,0,0,0
80101101805,88,146,234,96,36,26,10,3,0,652
80101101806,37,77,139,50,18,11,5,0,0,339
80101101807,71,108,217,93,44,19,16,0,0,571
80101101808,66,70,119,74,29,8,3,3,0,375
80101101809,54,94,167,64,19,5,5,0,0,408
80101101810,41,74,162,60,26,21,3,4,0,391
80101101902,192,40,136,164,65,24,15,3,0,648
80101101904,125,41,75,102,62,29,15,3,4,458
80101101905,121,49,90,121,51,36,17,12,4,491
80101101906,77,34,37,50,50,47,30,17,3,336
80101101907,124,59,61,71,79,57,65,22,5,551
80101101908,104,50,46,52,81,54,46,35,4,471
80101101909,96,47,49,75,58,30,54,20,0,441
80101101910,65,41,36,56,40,42,54,17,7,348
80101101911,100,63,64,79,63,55,51,18,0,499
80101101912,76,40,57,67,46,19,48,11,3,373
80101101913,100,70,55,86,47,45,39,5,0,452
80101101914,70,27,50,66,28,17,5,0,0,259
80101101915,85,29,81,73,26,27,15,0,5,333
80101101916,86,29,73,74,32,22,14,0,0,330
80101101917,98,27,75,59,31,16,7,6,0,328
80101101918,76,26,45,72,40,20,3,5,0,281
80101101919,116,32,92,118,30,26,5,10,0,433
80101102001,78,27,29,48,48,36,26,15,0,307
80101102002,68,45,79,58,37,49,28,36,6,402
80101102003,59,24,28,44,43,27,18,26,0,276
80101102004,49,23,32,36,42,34,25,19,4,260
80101102005,113,118,218,145,61,47,87,52,22,860
80101102006,52,29,48,46,41,26,25,22,10,296
80101102007,46,43,36,46,35,44,39,20,3,307
80101102008,52,65,68,49,42,47,33,30,8,397
80101102101,97,78,83,70,66,82,89,42,13,622
80101102102,55,47,38,40,60,57,52,25,14,378
80101102103,77,66,80,62,63,82,86,21,7,542
80101102104,82,43,50,56,57,96,57,19,3,479
80101102105,136,94,78,99,101,100,78,27,3,722
80101102201,65,18,26,35,23,17,16,16,0,225
80101102202,52,38,20,33,46,23,43,28,4,295
80101102203,107,48,88,72,61,45,46,33,6,511
80101102204,114,59,94,95,69,59,41,35,3,580
80101102205,140,59,52,94,83,66,57,31,6,592
80101102206,89,44,20,63,50,27,28,13,6,343
80101102207,136,54,62,80,65,65,42,26,7,535
80101102208,50,47,12,28,48,43,42,30,0,305
80101102301,112,47,84,66,73,52,33,31,12,510
80101102302,39,30,48,29,31,22,26,16,5,249
80101102303,76,84,93,84,46,41,25,25,10,478
80101102304,87,59,98,97,70,48,37,30,6,527
80101102305,61,38,72,47,46,34,27,13,5,339
80101102306,79,36,75,63,58,36,24,17,3,391
80101102307,26,10,42,20,7,8,70,171,207,559
80101102401,55,22,40,44,31,11,27,10,3,253
80101102402,131,57,74,96,66,36,44,26,6,547
80101102403,95,41,69,59,58,40,26,17,0,403
80101102404,59,33,47,50,36,30,19,19,6,292
80101102405,70,28,39,51,45,27,28,8,0,305
80101102406,81,55,81,70,56,42,40,25,6,455
80101102407,52,37,68,43,38,31,19,4,0,296
80101102408,99,47,97,96,64,45,34,27,6,523
80101102501,72,32,50,55,41,30,33,16,5,332
80101102502,76,52,47,67,54,45,44,15,4,398
80101102503,93,68,63,74,83,59,53,18,5,513
80101102504,101,63,66,87,70,46,57,22,5,526
80101102505,61,37,30,46,40,22,41,18,3,293
80101102506,104,59,45,77,55,56,75,44,3,525
80101102601,68,44,24,46,51,54,29,28,6,352
80101102602,40,27,30,24,27,28,17,13,0,211
80101102603,78,46,24,48,64,53,38,34,13,398
80101102604,90,74,46,72,66,55,52,30,10,490
80101102605,47,43,27,30,32,18,30,31,11,270
80101102606,117,82,63,83,83,52,63,55,22,626
80101102607,83,55,67,57,74,34,39,28,9,448
80101111101,4,5,0,6,0,0,0,0,0,12
80101114201,0,0,0,0,0,0,0,0,0,0
80101114301,48,15,49,42,17,9,8,0,0,177
80101114302,136,65,161,113,42,20,8,0,0,540
80101114401,0,0,6,5,3,3,0,0,0,25
80103103102,0,44,154,103,48,14,6,5,0,376
80103103103,3,0,0,0,4,4,0,6,0,14
80103103201,8,3,3,0,7,6,0,0,0,25
80103111301,53,24,76,71,60,56,30,4,3,375
80103111302,20,16,20,13,35,46,62,49,4,270
80103111303,0,9,8,10,10,0,0,0,0,39
80103111304,5,6,0,4,7,0,0,0,0,26
80103111305,4,5,8,4,3,0,0,0,0,30
80103111306,0,0,0,5,0,0,0,0,0,3
80103111307,24,31,32,57,51,97,45,15,0,351
80103111308,0,0,0,0,0,0,0,0,0,0
80103111309,0,0,3,0,0,0,4,0,0,12
80103111401,20,19,17,24,16,22,3,4,0,125
80103111501,0,0,0,0,0,0,0,0,0,0
80103111502,23,19,3,12,27,25,11,5,5,137
80103111503,0,0,0,0,0,0,0,0,0,0
80103111504,0,13,9,6,11,5,0,0,0,34
80103111505,0,0,4,0,0,4,0,0,0,8
80103111506,0,64,39,3,0,0,3,4,4,117
80103111507,0,0,0,0,0,0,0,0,0,0
80104103401,94,39,62,62,59,36,27,14,3,404
80104103402,34,42,38,36,38,14,12,9,0,213
80104103403,100,69,43,62,92,48,32,10,0,460
80104103404,102,52,48,79,71,34,26,12,0,428
80104103405,145,58,52,89,90,44,9,5,0,493
80104103406,73,50,48,51,73,44,26,17,0,389
80104103407,72,44,36,37,53,26,8,6,0,280
80104103408,193,147,211,150,121,69,43,12,8,961
80104103409,74,49,38,47,43,24,18,0,0,294
80104103410,101,92,32,76,111,47,32,11,0,510
80104103411,163,71,67,107,81,53,21,13,3,590
80104103412,126,93,30,65,114,38,19,8,4,501
80104103413,62,49,56,59,74,45,31,13,8,399
80104103414,42,34,23,28,32,30,12,3,0,208
80104103501,95,48,94,70,33,41,11,7,0,393
80104103505,99,31,46,87,24,8,15,9,0,322
80104103506,120,60,55,103,61,18,16,3,0,432
80104103507,137,42,61,105,42,25,15,9,0,429
80104103508,121,39,48,74,42,11,11,3,0,357
80104103509,158,60,68,101,56,25,7,0,0,478
80104103510,129,80,83,99,80,36,10,9,0,534
80104103511,93,59,49,75,40,6,7,4,0,337
80104103512,178,86,80,121,84,26,22,5,0,598
80104103513,102,50,67,78,51,27,11,4,0,386
80104103514,112,47,25,85,50,26,11,0,0,357
80104103515,94,41,32,73,56,15,11,7,0,337
80104103516,177,50,115,130,44,21,14,4,0,555
80104103517,83,30,41,67,31,12,12,7,0,277
80104103518,135,60,70,102,64,20,17,14,4,475
80104103519,90,42,58,82,44,12,9,8,0,331
80104103520,96,40,83,71,35,13,17,6,0,363
80104103521,0,0,0,0,0,0,0,0,0,0
80104103522,110,41,56,85,44,13,10,9,0,376
80104103601,124,62,82,106,56,46,31,3,0,514
80104103604,139,45,91,127,61,32,16,3,4,519
80104103605,73,29,45,51,38,19,6,3,0,263
80104103606,110,29,87,91,21,18,22,3,0,380
80104103607,117,30,52,81,43,25,10,4,0,361
80104103608,164,62,111,125,67,37,23,4,0,597
80104103609,156,69,160,157,55,28,19,4,4,661
80104103610,65,36,78,58,37,16,9,4,0,305
80104103611,83,46,23,72,46,18,0,3,0,290
80104103612,45,19,57,50,21,10,5,0,0,198
80104103613,104,34,93,105,33,28,17,5,4,415
80104103614,72,44,44,68,31,33,20,4,0,319
80104103615,183,55,102,148,79,27,9,5,0,599
80104103616,142,66,77,118,73,52,31,0,0,563
80104103617,93,50,61,88,50,26,14,3,0,387
80104103618,13,11,45,17,3,4,3,0,0,97
80104103702,73,48,82,81,38,25,14,0,0,357
80104103703,125,55,143,92,48,22,11,0,0,490
80104103704,114,48,72,91,69,28,12,11,0,452
80104103705,11,17,59,21,6,9,17,22,8,168
80104103706,82,25,46,75,37,28,11,0,0,305
80104103707,72,15,94,84,22,8,6,4,0,310
80104103708,146,46,83,102,72,39,18,4,0,512
80104103709,0,0,0,0,0,0,0,0,0,0
80104103710,129,32,80,138,54,21,13,10,0,470
80104103711,172,62,129,162,69,30,25,12,0,663
80104103712,48,19,7,41,16,9,30,71,28,269
80104103713,94,27,33,70,48,22,19,4,0,326
80104103714,131,57,40,116,64,31,32,9,0,483
80104103804,112,70,41,82,97,33,17,4,0,462
80104103805,111,32,35,85,54,35,12,8,0,370
80104103806,78,52,17,43,64,20,16,7,0,296
80104103807,88,37,32,49,70,22,19,5,0,327
80104103808,89,53,52,72,66,32,19,9,0,395
80104103809,94,60,18,62,69,13,3,0,0,331
80104103810,98,31,21,85,47,21,21,3,0,334
80104103811,84,28,26,67,39,16,13,6,0,273
80104103812,141,69,90,112,70,21,8,8,0,522
80104103813,111,43,41,85,52,25,15,7,0,377
80104103814,75,44,46,73,58,27,12,9,0,336
80104103815,100,40,38,77,72,44,27,6,3,412
80104103907,60,37,39,44,40,17,20,4,0,248
80104103908,49,31,79,65,21,9,9,0,0,252
80104103910,89,98,263,117,57,29,14,0,0,655
80104103911,19,36,84,18,12,3,6,0,0,181
80104103912,69,67,50,56,75,25,12,3,0,359
80104103913,24,23,81,32,13,6,6,0,0,185
80104103914,119,64,42,111,71,38,31,12,0,470
80104103915,82,38,35,77,45,20,16,3,3,327
80104103916,74,68,200,75,37,21,3,0,0,480
80104103917,32,33,75,39,16,9,4,0,0,206
80104103918,16,19,94,25,11,14,10,0,0,191
80104103919,54,36,50,59,33,14,7,7,0,259
80104103920,28,13,101,27,16,6,4,0,0,197
80104103921,49,33,169,91,20,12,8,5,0,391
80104103922,122,65,75,107,64,21,8,5,0,462
80104103923,143,56,60,103,96,30,19,5,0,512
80104103924,115,54,56,80,57,27,14,3,0,410
80104103925,107,48,53,98,61,36,10,4,0,417
80104103926,18,18,66,40,4,14,3,3,0,168
80104103927,120,71,114,110,69,39,10,8,0,547
80104103928,72,43,32,56,34,30,12,0,0,272
80104103929,48,41,112,57,17,8,0,0,0,287
80104104001,106,108,196,109,62,45,26,5,0,659
80104104002,38,49,46,34,61,57,33,17,0,334
80104104005,97,48,57,77,56,26,21,13,4,392
80104104006,60,45,52,57,57,20,13,9,5,313
80104104007,114,69,82,86,83,37,30,3,6,511
80104104008,109,88,86,79,109,41,17,0,0,534
80104104011,0,0,0,0,0,0,0,0,0,0
80104104013,64,34,34,73,41,18,21,3,0,300
80104104014,69,56,75,47,60,32,31,7,0,375
80104104015,77,55,68,56,68,44,24,15,0,404
80104104017,76,53,91,70,40,22,7,12,0,366
80104104018,26,19,32,26,17,9,10,4,0,143
80104104019,30,34,22,29,39,30,14,14,3,219
80104104020,0,0,0,0,0,0,0,0,0,0
80104104021,0,0,21,8,4,3,0,0,0,44
80104104022,22,31,106,50,21,10,4,5,0,240
80104104023,0,0,0,0,0,0,0,0,0,0
80104104024,66,42,56,47,43,32,10,10,0,300
80104104025,75,51,85,88,38,22,10,5,0,380
80104104026,88,91,257,108,53,36,9,3,3,649
80104104027,54,60,187,90,24,27,11,13,7,477
80104104028,24,77,111,29,25,15,6,0,0,285
80104104029,41,60,160,55,22,16,15,4,0,375
80104104030,84,124,393,117,41,34,13,3,5,819
80104104031,25,23,60,51,24,35,25,11,5,250
80104104032,19,25,109,31,10,14,6,0,0,210
80104104301,54,35,16,28,55,41,47,26,6,298
80104104302,0,0,0,0,0,0,0,0,0,0
80104104401,148,77,85,107,93,41,27,4,0,576
80104104402,131,64,80,125,98,51,23,19,0,588
80104104404,149,76,78,122,107,34,14,10,0,594
80104104405,166,51,42,111,75,21,19,0,0,477
80104104409,109,48,39,70,62,22,9,3,0,356
80104104410,22,24,92,29,13,10,7,0,0,196
80104104411,68,67,42,47,53,35,7,3,0,327
80104104412,63,43,46,46,44,28,8,5,0,287
80104104413,106,67,27,72,74,33,10,0,0,399
80104104414,73,29,28,41,41,12,0,3,0,228
80104104415,62,49,87,78,40,21,22,0,0,359
80104104416,118,58,103,101,49,24,13,9,0,474
80104104417,104,26,58,95,50,20,3,0,0,360
80104104418,128,64,158,103,31,13,4,3,0,504
80104104419,45,43,165,66,10,9,0,0,0,340
80104104420,83,70,189,99,35,12,9,5,0,505
80104104421,32,49,131,51,14,13,4,4,0,300
80104104422,0,0,0,0,0,0,0,0,0,3
80104104423,76,51,40,63,61,27,10,8,0,335
80104104424,130,75,94,105,70,27,13,0,0,507
80104104425,5,0,5,4,0,0,0,0,0,19
80104104426,93,75,151,92,50,30,12,0,0,500
80104104502,0,0,0,0,0,0,0,0,0,0
80104104503,0,0,0,0,0,0,0,0,0,0
80104104504,3,0,0,0,5,0,0,0,0,7
80104104601,59,20,41,43,24,37,14,10,0,254
80104104602,61,51,126,78,41,30,22,3,0,415
80104104603,27,48,15,22,38,41,28,10,0,228
80104104604,51,28,40,41,33,23,27,9,0,245
80104104605,66,31,78,54,33,15,15,3,3,298
80104104606,103,40,59,66,45,34,15,8,0,365
80104104607,51,30,33,34,33,23,26,5,8,240
80104104609,59,39,52,59,30,22,18,8,5,290
80104104612,40,18,32,40,28,18,14,14,5,210
80104104613,84,64,55,51,56,41,29,12,5,405
80104104614,74,50,24,56,50,29,20,9,0,310
80104104616,37,21,46,43,26,18,9,6,0,210
80104104617,99,55,76,69,81,58,32,23,5,498
80104104618,78,64,57,66,60,32,19,10,0,385
80104104619,61,41,49,42,52,29,21,12,0,315
80104104620,78,33,53,55,33,28,16,10,5,323
80104104621,69,47,72,52,44,22,22,14,0,347
80104104622,83,45,55,57,51,36,18,12,0,353
80104104623,99,52,88,91,52,59,31,23,0,497
80104104624,0,0,0,0,0,0,0,0,0,0
80104104625,95,59,67,75,47,49,26,15,0,425
80104104626,66,41,55,47,42,37,24,11,0,324
80104104627,91,37,59,69,50,33,15,6,8,367
80104104628,77,55,77,55,50,30,23,8,0,374
80104104629,0,0,0,0,0,6,77,120,26,234
80104104630,80,42,61,50,35,27,17,11,0,321
80104104631,107,41,56,87,39,12,8,5,0,351
80104104632,156,45,150,149,42,27,22,6,0,601
80104104633,132,44,128,107,36,19,20,3,0,492
80104104634,98,54,77,74,37,21,12,6,3,385
80104104635,43,23,46,39,42,36,17,3,0,258
80104104636,57,27,55,50,44,33,15,8,6,297
80104104637,71,35,55,39,51,27,17,12,0,320
80104104701,48,25,33,27,54,52,33,16,0,291
80104104702,37,35,26,29,56,57,72,50,8,373
80104104703,100,67,27,60,76,75,40,13,5,473
80104104704,44,34,15,32,36,41,20,10,0,228
80104104705,82,58,30,38,74,73,40,13,0,412
80104104706,55,60,43,40,69,39,32,21,3,360
80104104707,40,24,23,31,49,22,17,5,0,214
80104104708,58,45,39,52,55,29,34,23,4,340
80104104709,53,21,21,33,41,26,32,24,8,265
80104104710,70,64,30,52,67,78,45,16,0,422
80104104711,112,63,51,71,91,58,32,11,5,488
80104104712,42,32,46,33,35,29,24,16,3,257
80104104713,90,52,50,55,74,57,43,25,3,450
80104104714,0,0,0,0,0,0,0,0,0,0
80104104715,37,31,14,22,40,59,49,23,3,289
80104104716,67,64,26,37,64,75,57,16,0,402
80104104717,64,91,45,43,92,90,50,27,3,508
80104104718,68,100,28,36,110,76,42,15,0,465
