SA1_CODE_2021,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
80101100101,0,0,0,0,0,0,8,7,0,0,0,0,0,9,8,4,0,0,0,0,11,3,3,0,0,0,0,13,0,9,5,0,0,0,18,0,8,0,0,3,0,19,0,6,0,0,0,0,11,0,3,0,0,0,0,9,0,0,0,0,0,0,3,26,39,6,7,15,3,91,5,0,0,0,0,0,4,4,3,0,0,0,0,5,3,0,4,0,0,0,11,4,10,5,4,0,0,21,0,3,6,3,0,0,17,3,12,3,5,3,0,24,0,4,7,0,3,0,18,5,9,3,3,0,0,17,0,0,0,0,0,0,5,22,33,32,14,16,4,119,6,0,0,0,3,0,10,10,3,0,0,0,0,12,10,5,4,0,0,0,17,6,7,10,4,0,4,37,6,13,8,4,0,0,33,4,19,9,4,7,0,40,0,13,7,4,3,0,28,8,5,4,3,4,0,24,0,0,0,0
80101100102,10,4,0,0,0,0,11,3,5,4,4,8,4,18,3,4,5,0,5,0,18,3,7,5,4,4,0,20,5,19,0,3,0,0,34,3,18,0,0,0,0,25,0,3,4,0,4,0,15,0,7,4,0,0,0,17,0,0,0,0,0,0,5,39,67,17,8,19,8,166,9,0,0,0,5,0,14,3,0,0,0,0,0,11,0,8,0,3,0,0,15,3,9,6,6,0,0,28,0,17,7,0,0,0,29,0,4,5,0,3,0,12,0,0,9,3,5,0,21,0,0,0,4,0,0,10,0,0,0,0,0,0,3,21,46,30,20,19,8,147,18,4,0,0,6,0,30,9,3,4,3,7,9,34,9,14,4,3,9,0,36,5,21,9,4,8,0,48,4,34,6,6,0,0,58,4,23,3,0,3,0,35,6,5,8,3,3,4,32,0,11,6,4,0,3,27,0,0,3,0
80101100103,4,0,0,0,0,0,0,9,3,0,0,5,0,11,8,8,0,0,7,0,30,9,15,0,3,9,0,34,3,8,3,0,3,0,19,6,11,7,0,0,0,24,7,4,0,0,0,0,9,0,0,3,5,3,0,7,0,0,0,0,0,0,0,36,51,7,9,31,4,141,10,0,0,0,4,0,9,10,3,0,0,4,0,18,12,10,8,0,11,0,38,4,11,7,3,8,0,33,7,15,9,3,0,0,33,0,9,5,0,3,0,18,5,7,5,0,4,0,17,0,7,0,3,3,0,14,3,0,0,0,0,0,7,44,55,28,14,33,4,179,8,0,0,0,5,0,16,20,6,0,0,5,0,34,17,22,8,0,15,0,61,13,24,9,10,15,3,67,9,23,13,3,9,0,48,10,19,3,0,5,0,40,6,9,5,0,3,0,27,0,5,3,4,4,0,22,3,3,0,0
80101100104,8,0,0,0,3,0,15,6,3,4,0,8,0,16,9,8,0,0,8,0,31,8,15,8,0,0,0,27,6,15,0,0,4,0,30,3,12,11,0,4,3,36,5,12,9,0,3,0,19,0,12,0,0,3,0,17,0,0,0,0,0,0,3,51,80,29,5,33,6,198,13,0,0,0,0,0,19,0,7,0,0,0,0,11,5,4,6,0,4,0,21,0,20,11,5,0,0,38,0,18,5,0,3,0,33,4,13,16,3,3,0,44,0,10,5,4,4,0,21,0,4,3,0,3,0,19,0,0,0,0,0,0,0,28,83,49,15,16,0,202,23,0,0,0,10,0,34,12,7,4,0,8,0,25,20,11,3,0,12,0,52,5,33,16,5,0,0,64,10,33,7,4,5,0,57,9,30,26,9,7,3,77,3,18,12,4,4,0,41,5,22,3,0,3,0,38,0,0,0,0
80101100105,8,6,0,0,3,0,14,12,4,0,0,4,0,21,12,9,0,0,4,0,28,8,17,3,0,3,4,29,10,16,0,0,0,0,32,7,17,3,0,8,0,35,3,9,5,0,0,0,22,4,16,0,3,0,0,26,0,5,5,3,0,0,9,68,92,18,8,26,9,224,12,0,0,0,7,0,22,10,0,0,0,0,0,11,11,4,0,0,3,0,20,0,19,7,7,0,0,37,3,19,14,9,0,0,41,3,24,13,0,4,0,47,5,13,7,6,3,7,44,0,5,4,3,8,0,21,0,3,0,0,7,0,12,43,92,50,27,29,10,253,24,5,0,0,6,0,35,16,7,0,0,5,0,36,24,15,0,0,3,0,43,8,36,14,11,4,4,69,14,37,11,11,0,0,76,11,40,21,0,7,0,83,11,24,15,3,5,5,66,4,23,10,6,7,0,47,0,9,3,7
80101100106,7,3,0,0,0,0,16,6,3,0,0,6,0,15,13,12,0,0,6,3,30,8,14,3,0,0,0,29,5,22,4,0,3,0,33,9,12,5,0,5,0,27,3,4,6,0,4,0,21,0,9,3,3,0,0,18,0,0,4,0,3,0,7,53,82,23,12,24,6,192,11,0,0,0,3,0,12,0,7,0,0,3,3,11,7,5,0,4,3,0,22,3,17,10,5,0,4,37,3,10,7,5,0,0,25,0,18,5,7,5,0,37,0,6,10,4,0,0,25,0,4,7,4,5,0,20,0,0,5,0,0,4,8,29,70,50,20,23,11,199,17,3,0,0,3,0,25,5,8,0,0,5,3,24,20,15,0,4,13,4,57,9,33,12,4,0,5,63,3,33,12,5,9,0,65,12,27,11,9,6,0,64,3,17,15,4,4,0,46,0,12,9,10,6,0,40,0,3,6,0
80101100201,3,0,0,0,0,0,9,11,5,0,0,12,4,36,15,22,5,5,12,3,58,10,15,0,0,5,5,42,0,8,4,0,9,3,28,0,4,3,0,5,0,13,0,4,0,0,0,0,6,0,0,0,0,4,0,7,0,0,0,0,0,0,0,53,57,13,10,46,17,196,3,0,0,0,4,0,10,3,10,0,0,9,0,15,11,21,11,5,8,0,59,0,11,0,4,5,0,26,6,6,4,0,8,5,27,3,11,0,4,0,0,28,0,0,0,0,8,0,13,0,0,4,0,0,0,12,0,0,0,0,0,0,0,29,61,17,16,46,10,182,12,0,0,0,8,0,18,10,12,3,0,19,4,49,26,36,16,11,22,11,115,17,27,3,5,18,5,71,10,16,5,0,14,4,48,3,18,6,3,9,0,38,0,5,0,0,8,0,16,0,4,4,0,3,0,13,0,0,0,0
80101100202,3,0,0,0,8,0,6,3,3,0,0,0,3,11,14,14,3,0,9,0,37,15,9,0,0,15,0,42,5,0,0,4,4,0,22,0,0,0,0,0,0,9,6,3,0,0,3,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,45,32,7,7,46,6,138,0,0,0,0,0,0,6,7,4,0,0,3,3,17,3,20,12,6,12,0,50,6,12,0,3,7,0,42,4,4,5,0,0,0,16,3,6,0,0,4,0,11,0,4,0,3,5,0,14,0,0,0,0,0,0,10,0,0,0,0,0,0,7,27,54,15,13,43,6,157,3,0,0,0,6,0,11,8,9,0,0,5,7,27,18,31,10,4,27,0,92,19,22,0,8,22,6,76,6,9,3,7,6,0,34,6,6,0,0,3,0,21,3,4,0,3,12,0,22,0,5,0,0,0,0,9,0,0,0,0
80101100203,0,0,0,0,0,0,3,15,12,0,0,18,0,47,21,53,3,0,60,8,149,18,20,11,0,11,6,67,4,15,3,0,9,0,29,0,0,0,0,5,0,11,0,5,0,0,3,0,10,0,3,0,0,4,0,5,3,0,0,0,0,0,3,70,115,22,0,106,16,327,0,0,0,0,0,0,3,22,17,5,0,16,3,60,28,53,12,5,52,6,157,7,27,5,6,4,0,54,8,5,0,3,0,0,23,0,10,4,0,4,0,26,0,4,5,0,7,0,8,0,6,3,0,3,0,12,0,0,0,0,0,0,0,66,130,34,14,90,14,342,4,3,0,0,0,0,7,31,29,0,0,32,10,104,50,112,17,7,112,8,307,24,49,16,6,20,9,119,13,19,5,3,9,0,50,6,21,3,0,6,0,38,0,7,7,0,8,0,21,0,7,3,0,3,0,13,3,0,0,0
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
