SA1_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
80101100101,0,0,11,46,77,32,20,23,3,204
80101100102,0,0,10,62,110,50,31,39,13,309
80101100103,0,0,6,83,108,40,21,63,8,324
80101100104,3,0,8,82,158,80,17,53,5,393
80101100105,7,0,20,111,180,70,36,57,20,470
80101100106,5,4,15,83,153,66,29,47,16,391
80101100201,0,0,0,86,122,34,24,90,29,380
80101100202,0,0,5,68,88,25,19,83,18,298
80101100203,0,0,0,132,242,51,18,196,28,667
80101100205,0,0,0,0,0,0,0,0,0,0
80101100208,0,0,6,80,120,36,19,75,10,337
80101100209,0,0,0,45,73,18,3,83,15,241
80101100210,4,0,3,77,109,28,26,65,19,328
80101100211,5,0,7,125,138,46,25,141,30,499
80101100212,85,3,148,85,121,72,24,174,20,486
80101100213,0,0,0,7,9,0,0,9,0,19
80101100215,0,0,0,116,150,30,13,175,32,522
80101100216,0,0,0,260,293,76,46,590,111,1369
80101100217,0,0,0,84,111,28,6,102,29,358
80101100218,0,0,0,128,176,37,16,118,27,510
80101100219,0,0,0,99,126,26,14,84,14,364
80101100220,0,0,0,55,67,20,9,53,9,218
80101100221,0,0,0,0,5,0,0,0,3,8
80101100222,0,0,4,133,163,43,23,152,23,539
80101100223,0,0,0,0,0,0,0,6,3,11
80101100224,0,0,0,63,56,12,4,101,7,236
80101100225,0,0,6,81,136,38,22,98,7,386
80101100301,0,0,0,81,109,34,23,98,8,354
80101100304,4,0,4,198,249,57,43,178,31,753
80101100306,0,0,9,108,125,34,18,50,13,345
80101100307,0,0,0,57,66,21,18,58,8,228
80101100308,7,4,4,348,236,24,22,340,46,1011
80101100309,0,0,0,56,96,19,17,63,3,252
80101100310,0,0,0,53,59,18,15,56,3,209
80101100311,0,0,3,81,78,28,15,45,4,257
80101100312,0,0,5,141,152,55,32,137,11,537
80101100314,0,0,6,17,8,3,0,45,31,102
80101100315,0,0,6,84,84,72,22,74,17,350
80101100316,59,10,95,44,52,37,17,122,12,281
80101100317,0,0,0,124,134,33,10,137,9,447
80101100318,0,0,0,66,76,49,21,15,14,244
80101100319,5,0,10,62,85,41,14,47,9,256
80101100320,0,0,0,72,154,26,21,39,9,321
80101100321,0,0,0,109,147,34,9,91,23,410
80101100322,0,0,0,110,132,34,8,76,10,367
80101100401,0,0,0,33,65,25,16,23,0,166
80101100402,0,0,4,78,115,48,18,71,10,335
80101100403,3,0,8,85,109,45,25,78,9,348
80101100404,0,0,0,56,96,30,32,54,14,282
80101100405,0,0,0,63,113,41,23,93,20,358
80101100406,4,0,8,75,146,52,32,158,33,492
80101100408,0,0,7,38,50,11,9,30,6,148
80101100409,0,0,3,63,79,24,19,76,21,283
80101100501,7,0,7,39,84,33,18,50,16,240
80101100502,3,0,6,74,147,50,26,43,14,360
80101100503,3,0,3,74,110,40,14,24,5,273
80101100504,0,3,14,52,137,44,16,29,8,293
80101100505,6,0,8,75,144,42,23,42,6,326
80101100506,0,0,6,44,71,24,9,14,11,177
80101100507,4,0,10,55,94,60,26,23,6,265
80101100508,0,0,0,35,72,31,10,16,4,171
80101100509,0,0,11,84,141,46,17,50,15,361
80101100602,0,0,0,46,48,10,16,25,5,155
80101100604,0,0,0,47,75,23,29,49,0,222
80101100605,0,0,7,77,105,52,20,57,12,314
80101100606,0,0,3,63,103,24,23,44,5,260
80101100607,0,0,0,69,118,50,20,65,0,324
80101100608,3,0,6,84,111,30,28,81,23,363
80101100609,0,0,4,66,94,44,14,60,10,286
80101100610,0,0,0,71,99,29,16,75,9,294
80101100611,8,0,4,72,118,46,23,74,11,341
80101100612,0,0,0,96,141,65,19,95,25,440
80101100613,0,0,0,43,58,29,15,38,5,183
80101100614,0,0,0,68,98,41,23,44,4,274
80101100615,0,0,0,33,61,30,14,29,10,175
80101100616,0,0,0,91,117,57,25,82,8,384
80101100617,4,0,3,87,120,35,17,73,14,345
80101100618,0,0,0,60,85,34,19,49,4,253
80101100619,0,0,0,48,61,8,5,26,8,162
80101100620,0,0,0,55,91,28,26,70,19,291
80101100621,0,0,0,0,0,0,0,0,0,0
80101100622,0,0,0,47,71,30,10,34,10,208
80101100623,5,0,5,66,79,35,22,66,13,286
80101100701,0,0,0,107,129,61,22,80,8,406
80101100702,0,0,3,48,91,28,14,32,3,213
80101100703,0,0,6,75,149,76,32,56,10,407
80101100704,3,0,3,48,49,25,13,35,5,173
80101100705,0,0,9,82,137,50,31,62,7,366
80101100706,0,0,0,58,103,43,27,68,5,309
80101100707,5,0,5,92,131,80,25,38,12,375
80101100708,0,0,0,54,107,38,23,43,11,259
80101100709,0,0,3,55,97,33,26,51,19,274
80101100710,0,0,4,64,117,45,24,61,9,315
80101100711,0,0,9,95,153,66,39,94,17,468
80101100712,0,0,0,86,100,39,28,84,8,342
80101100713,0,0,4,57,79,27,23,65,8,254
80101100714,0,0,4,52,85,39,21,37,4,228
80101100801,0,0,10,64,90,35,24,84,13,310
80101100802,3,0,4,68,114,61,42,105,7,401
80101100803,0,0,0,72,97,50,14,92,9,343
80101100804,0,0,3,51,68,16,26,63,17,245
80101100805,4,0,11,89,133,55,34,67,13,388
80101100806,0,0,0,72,108,32,23,39,5,280
80101100807,6,0,5,93,164,64,40,85,22,465
80101100808,0,0,9,75,90,26,20,74,19,303
80101100809,0,0,9,96,117,72,34,77,14,402
80101100810,0,0,4,61,101,38,18,67,10,298
80101100811,3,0,6,54,62,29,5,35,6,186
