SA1_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
80101100101,..,0,0,8,8,10,11,5,4,53,..,0,4,3,3,6,0,0,0,10,..,0,0,0,0,0,0,0,0,0,27,..,..,..,..,..,..,..,..,27,..,5,..,..,..,..,..,..,..,5,..,3,5,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,3,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,27,12,11,14,18,14,11,9,3,111,..,0,0,10,6,14,6,8,0,51,..,0,7,3,4,6,0,0,0,14,..,0,0,3,0,5,0,0,0,8,30,..,..,..,..,..,..,..,..,30,..,7,..,..,..,..,..,..,..,7,..,3,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
80101100102,..,0,10,10,22,19,7,7,0,77,..,0,0,3,3,0,0,0,0,7,..,0,0,0,0,0,0,0,0,3,40,..,..,..,..,..,..,..,..,40,..,14,..,..,..,..,..,..,..,14,..,3,3,4,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,0,..,0,4,0,0,0,0,0,0,4,..,12,4,5,0,0,0,0,0,15,..,0,0,0,0,0,5,7,0,11,0,0,0,0,0,0,0,0,0,0,40,33,22,20,34,21,13,12,5,189,..,0,9,20,21,11,10,7,0,80,..,0,0,5,4,0,0,0,0,6,..,0,0,0,0,0,3,0,0,6,37,..,..,..,..,..,..,..,..,37,..,14,..,..,..,..,..,..,..,14,..,6,0,0,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0
80101100103,..,0,6,21,13,16,9,6,0,72,..,0,5,7,7,0,0,0,0,17,..,0,0,3,0,0,0,0,0,3,46,..,..,..,..,..,..,..,..,46,..,7,..,..,..,..,..,..,..,7,..,0,0,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,..,0,8,4,0,0,0,0,0,14,..,5,6,0,0,0,0,0,0,14,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,46,21,30,35,19,22,9,7,0,180,..,0,8,19,20,12,7,4,3,71,..,0,5,9,3,0,0,0,0,16,..,0,0,3,4,6,0,0,5,15,46,..,..,..,..,..,..,..,..,46,..,13,..,..,..,..,..,..,..,13,..,4,0,0,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,3,..,3,6,3,0,0,0,0,0,14
80101100104,..,0,8,19,25,24,17,14,0,112,..,0,0,0,5,3,3,0,0,16,..,0,0,0,0,0,0,0,0,0,44,..,..,..,..,..,..,..,..,44,..,15,..,..,..,..,..,..,..,15,..,9,9,0,0,0,0,0,0,12,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,5,..,3,8,0,0,0,0,0,0,10,..,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,3,44,30,26,27,30,29,22,16,3,226,..,0,10,24,22,33,17,7,0,111,..,3,0,3,4,4,0,0,0,18,..,0,0,0,0,4,0,0,0,11,27,..,..,..,..,..,..,..,..,27,..,14,..,..,..,..,..,..,..,14,..,0,9,0,0,0,0,0,0,11,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3
80101100105,..,0,4,20,22,18,14,19,6,107,..,0,3,3,7,3,4,0,0,22,..,0,0,0,0,0,0,0,0,5,58,..,..,..,..,..,..,..,..,58,..,16,..,..,..,..,..,..,..,16,..,5,8,3,0,0,0,0,0,19,..,0,0,0,0,0,0,0,0,0,..,4,6,0,0,0,0,0,0,11,..,0,0,0,0,3,0,0,0,12,..,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,5,58,31,22,29,28,34,24,26,9,265,..,0,3,24,25,21,21,10,3,113,..,4,3,8,3,3,4,0,0,24,..,0,0,7,5,8,0,0,4,18,49,..,..,..,..,..,..,..,..,49,..,15,..,..,..,..,..,..,..,15,..,4,3,0,0,0,0,0,0,16,..,0,0,0,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,6
80101100106,..,0,11,17,22,15,12,16,4,95,..,0,3,9,6,8,0,0,0,31,..,0,0,0,0,0,0,0,0,4,44,..,..,..,..,..,..,..,..,44,..,7,..,..,..,..,..,..,..,7,..,4,5,0,0,0,0,0,0,10,..,0,5,0,0,0,0,0,0,6,..,0,4,0,4,0,0,0,0,4,..,0,3,0,0,0,0,0,0,8,..,0,0,0,4,0,0,0,3,11,0,0,0,3,0,0,0,0,0,9,44,22,29,25,33,27,20,22,7,228,..,4,7,23,17,20,11,16,0,91,..,0,3,6,6,8,0,0,0,24,..,0,0,4,3,0,0,0,0,7,38,..,..,..,..,..,..,..,..,38,..,14,..,..,..,..,..,..,..,14,..,0,3,4,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,3
80101100201,..,0,16,17,5,0,0,0,0,47,..,4,10,9,3,0,0,0,0,24,..,0,0,0,0,6,0,0,0,8,15,..,..,..,..,..,..,..,..,15,..,3,..,..,..,..,..,..,..,3,..,0,3,0,0,3,0,0,0,8,..,8,3,0,0,0,0,0,0,7,..,3,4,0,0,0,0,0,0,6,..,14,8,3,7,3,3,0,0,37,..,3,11,13,4,4,0,0,0,34,0,3,0,0,0,0,0,0,0,4,15,39,55,41,22,13,6,7,0,199,..,0,22,15,4,0,0,4,0,42,..,8,7,3,0,0,0,0,0,25,..,0,3,0,6,5,0,7,0,19,26,..,..,..,..,..,..,..,..,26,..,4,..,..,..,..,..,..,..,4,..,0,0,0,0,0,0,0,0,5,..,4,0,0,0,0,0,0,0,10,..,5,4,0,0,0,0,0,0,10
80101100202,..,0,12,15,8,3,7,3,0,46,..,0,9,0,0,3,0,0,0,10,..,0,3,5,4,0,0,0,0,12,28,..,..,..,..,..,..,..,..,28,..,6,..,..,..,..,..,..,..,6,..,3,3,3,0,0,0,0,0,11,..,0,0,0,0,0,0,0,0,4,..,0,5,0,0,0,0,0,0,5,..,4,6,5,0,0,0,0,0,19,..,0,7,4,6,3,0,0,0,19,0,0,0,0,0,0,0,0,0,4,28,16,37,34,22,9,5,4,0,159,..,0,21,20,0,3,5,0,0,44,..,0,4,0,0,0,0,0,0,15,..,0,4,7,10,3,0,0,0,24,33,..,..,..,..,..,..,..,..,33,..,0,..,..,..,..,..,..,..,0,..,0,5,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,7,..,3,5,0,0,0,0,0,0,4
80101100203,..,4,56,29,7,5,7,3,0,103,..,11,32,8,6,0,0,0,0,53,..,0,0,0,3,0,0,0,0,7,35,..,..,..,..,..,..,..,..,35,..,0,..,..,..,..,..,..,..,0,..,4,5,0,0,0,0,0,0,7,..,3,4,0,5,0,0,0,0,17,..,5,13,0,0,0,0,0,0,22,..,13,23,7,0,0,0,0,0,49,..,7,12,11,8,3,3,0,3,52,0,0,0,0,0,0,0,0,0,7,35,51,148,61,29,11,10,5,3,352,..,11,55,24,5,9,0,5,0,106,..,15,34,4,3,0,0,0,0,59,..,0,6,4,3,3,0,0,0,13,22,..,..,..,..,..,..,..,..,22,..,0,..,..,..,..,..,..,..,0,..,0,3,0,0,0,0,0,0,3,..,7,7,0,0,0,0,0,0,13,..,9,13,0,0,0,0,0,0,20
80101100205,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
