SA1_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
80101100101,..,0,0,0,3,0,0,0,0,3,..,0,0,0,0,0,7,11,0,18,0,0,0,0,0,0,0,0,0,0,30,12,11,22,17,21,15,17,5,143,..,0,3,25,16,23,17,9,0,102,..,0,4,9,11,9,0,0,0,29,..,0,0,3,4,5,0,0,0,6,53,..,..,..,..,..,..,..,..,53,..,15,..,..,..,..,..,..,..,15,..,3,6,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,3,0,0,3,0,0,0,0,5,..,0,0,0,0,0,7,9,4,22,0,0,0,0,0,0,0,0,0,0,53,25,17,35,34,34,27,23,11,259
80101100102,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,4,4,0,11,0,0,0,0,0,0,0,0,0,0,37,29,15,28,27,12,19,11,3,179,..,0,15,31,49,29,23,18,4,165,..,4,4,10,3,0,0,0,0,22,..,0,0,0,4,3,3,0,0,9,74,..,..,..,..,..,..,..,..,74,..,27,..,..,..,..,..,..,..,27,..,12,5,6,0,0,0,0,0,17,..,0,0,0,0,0,0,0,0,0,..,0,5,0,0,0,0,0,0,3,..,7,4,0,0,0,0,0,0,20,..,0,0,0,0,4,8,11,3,24,0,0,0,0,0,0,0,0,0,0,74,56,36,48,52,34,29,26,10,364
80101100103,..,5,11,0,0,0,0,0,0,18,..,0,0,0,0,0,3,9,0,12,0,0,0,0,0,0,0,0,0,3,46,29,38,29,33,16,18,16,7,216,..,0,17,44,32,24,17,10,7,145,..,0,16,7,7,0,0,0,0,32,..,0,0,4,4,8,0,0,5,18,92,..,..,..,..,..,..,..,..,92,..,14,..,..,..,..,..,..,..,14,..,7,0,0,0,0,0,0,0,12,..,0,0,0,0,3,0,0,0,9,..,9,15,8,0,0,0,0,0,29,..,12,16,0,0,0,0,0,0,29,..,0,0,0,0,0,3,7,0,13,0,0,0,0,0,0,0,0,0,3,92,43,61,66,48,34,19,22,6,396
80101100104,..,5,0,0,0,0,0,0,0,9,..,0,0,0,0,3,3,3,0,10,0,0,0,0,0,0,0,0,0,5,27,27,19,36,31,41,20,19,0,214,..,0,21,44,44,55,28,27,0,218,..,3,8,7,9,5,3,0,0,37,..,0,0,0,0,4,0,0,0,11,72,..,..,..,..,..,..,..,..,72,..,34,..,..,..,..,..,..,..,34,..,7,10,0,3,0,0,0,0,23,..,4,0,0,0,0,0,0,0,6,..,0,6,0,0,0,0,0,0,3,..,6,9,0,0,0,0,0,0,23,..,0,0,0,0,3,7,6,3,19,0,0,0,0,0,0,0,0,0,7,72,59,47,63,58,67,40,38,8,443
80101100105,..,0,5,0,0,3,0,0,0,13,..,0,0,0,5,3,9,7,3,26,0,0,0,0,0,3,0,0,0,4,49,29,20,37,41,43,35,18,12,283,..,0,10,45,50,35,38,33,9,219,..,0,9,10,12,7,8,0,0,50,..,0,0,7,3,9,0,0,4,26,113,..,..,..,..,..,..,..,..,113,..,35,..,..,..,..,..,..,..,35,..,15,12,3,4,0,0,0,0,32,..,0,0,0,0,0,3,0,0,8,..,6,4,0,0,0,0,0,0,19,..,3,7,0,0,5,0,0,0,21,..,0,0,0,5,9,4,8,4,30,0,0,0,0,0,6,0,0,0,4,111,64,46,62,71,76,52,42,20,554
80101100106,..,3,0,0,0,0,0,0,0,7,..,0,4,0,3,7,5,5,7,26,0,0,0,0,0,0,0,0,0,0,38,22,23,36,29,37,21,20,9,221,..,0,14,41,39,36,28,27,8,188,..,0,6,10,5,18,3,3,0,56,..,0,0,4,3,0,4,0,0,8,84,..,..,..,..,..,..,..,..,84,..,22,..,..,..,..,..,..,..,22,..,7,8,0,0,0,0,0,0,19,..,0,4,0,0,0,0,0,0,10,..,3,4,0,4,0,0,0,0,11,..,9,8,0,0,0,0,0,0,14,..,0,4,0,4,9,6,3,8,38,0,0,5,3,0,0,0,0,0,7,83,45,53,59,60,62,44,36,13,453
80101100201,..,8,3,0,0,0,0,0,0,17,..,0,5,6,8,10,8,6,0,41,0,0,0,0,0,0,3,0,0,9,26,29,49,26,23,22,13,12,0,203,..,0,38,31,9,4,0,5,0,87,..,8,18,8,3,0,0,0,0,46,..,0,5,0,10,6,0,3,0,24,40,..,..,..,..,..,..,..,..,40,..,7,..,..,..,..,..,..,..,7,..,4,3,0,0,5,0,0,0,17,..,11,3,0,0,0,0,0,0,18,..,4,7,3,0,3,0,0,0,17,..,20,13,3,7,4,5,0,0,53,..,3,14,14,19,13,8,3,0,76,0,6,0,4,0,0,3,0,0,7,40,71,107,66,43,37,16,13,0,400
80101100202,..,6,5,0,0,0,0,0,0,9,..,7,5,3,4,7,8,0,7,32,0,0,0,0,0,0,0,0,0,8,35,14,53,33,16,17,14,4,7,187,..,0,31,34,7,9,13,0,0,92,..,0,10,8,0,4,0,0,0,21,..,0,9,10,11,5,0,0,0,29,61,..,..,..,..,..,..,..,..,61,..,7,..,..,..,..,..,..,..,7,..,0,3,3,0,0,0,0,0,17,..,5,0,0,0,0,3,0,0,9,..,3,10,0,0,0,0,0,0,10,..,11,10,6,0,0,0,0,0,27,..,4,7,6,10,9,9,4,7,59,3,0,5,3,0,0,0,0,0,9,65,36,91,69,29,23,21,10,5,347
80101100203,..,23,26,4,0,0,0,0,0,51,..,4,19,16,12,10,4,13,0,73,0,0,0,0,0,0,0,0,0,0,22,60,154,54,19,24,8,11,0,351,..,16,107,52,10,14,8,7,0,205,..,25,65,13,9,0,0,0,0,112,..,0,6,4,8,4,0,0,0,18,56,..,..,..,..,..,..,..,..,56,..,0,..,..,..,..,..,..,..,0,..,4,10,3,0,0,0,0,0,13,..,6,9,0,5,0,0,0,0,27,..,12,29,6,0,0,0,0,0,45,..,35,48,9,3,0,0,0,0,97,..,11,30,29,17,12,6,9,0,120,0,0,0,0,0,0,0,0,0,4,56,112,299,114,48,30,21,16,0,702
80101100205,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
