SA1_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
80101100101,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,14,0,0,5,3,0,0,0,0,5,0,5,4,0,0,0,0,0,7,0,0,3,0,0,0,0,0,6,3,0,3,4,0,0,0,0,12,3,3,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,10,3,0,4,6,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,32,14,46,20,4,0,0,3,119
80101100102,15,0,0,0,0,0,0,0,14,9,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,9,4,0,6,0,0,0,0,13,0,3,0,4,0,0,0,0,9,0,0,10,0,0,0,0,0,18,0,0,3,0,0,0,0,0,6,0,0,7,3,0,0,0,0,18,0,0,5,0,0,0,0,0,10,0,0,4,6,0,0,0,0,8,0,4,5,0,0,0,0,0,12,0,4,4,6,0,0,0,0,5,0,0,9,3,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,40,17,52,28,3,0,0,5,147
80101100103,9,0,0,0,0,0,0,0,9,18,0,0,0,0,0,0,0,18,17,0,0,0,0,0,0,0,25,4,4,4,3,0,0,0,0,13,4,4,8,0,0,0,0,0,18,6,3,0,4,0,0,0,0,17,0,0,8,0,0,0,0,0,8,6,0,9,0,0,0,0,0,22,0,3,0,3,0,0,0,0,11,3,0,0,0,0,0,0,0,4,0,0,9,3,0,0,0,0,10,0,0,0,0,6,0,0,0,7,0,0,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,7,62,26,48,29,6,4,0,4,179
80101100104,13,0,0,0,0,0,0,0,19,11,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,11,8,4,0,0,0,0,0,0,14,3,3,5,0,0,0,0,0,18,5,5,11,0,0,0,0,0,25,0,0,9,7,0,0,0,0,15,0,0,4,3,0,0,0,0,15,4,0,11,5,0,0,0,0,21,4,5,9,0,0,0,0,0,23,0,0,0,0,0,0,0,0,9,0,0,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,3,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,69,24,65,33,12,0,0,4,202
80101100105,18,0,0,0,0,0,0,0,22,9,0,0,0,0,0,0,0,11,7,0,4,0,0,0,0,0,17,5,0,0,0,0,0,0,0,5,5,4,0,4,0,0,0,0,12,0,0,14,8,0,0,4,0,29,9,3,9,0,0,0,0,0,24,5,0,4,10,0,0,0,0,22,3,7,10,5,0,0,0,0,21,3,0,11,6,0,0,0,0,22,0,5,8,5,0,0,0,7,23,4,5,4,6,0,0,0,5,18,3,0,7,5,0,0,0,0,12,0,0,0,0,0,0,0,0,11,0,0,0,8,0,0,0,0,12,70,25,77,49,10,0,6,17,253
80101100106,12,0,0,0,0,0,0,4,12,10,0,0,0,0,0,0,3,11,9,0,0,0,0,0,0,0,11,7,4,5,0,0,0,0,0,13,5,3,6,0,0,0,0,0,21,0,4,6,4,0,0,0,0,17,3,0,4,3,0,0,0,0,17,4,0,9,0,0,0,0,0,9,8,5,7,4,0,0,0,0,21,7,0,7,4,0,0,0,0,16,0,3,5,5,0,0,0,0,14,3,0,5,4,0,0,0,0,7,0,4,3,3,0,0,0,0,9,0,0,6,4,0,0,0,0,7,0,0,0,0,0,0,0,0,8,66,29,63,25,4,0,0,11,199
80101100201,5,0,0,0,0,0,0,5,10,12,0,0,0,0,0,0,0,15,27,7,0,0,0,0,0,0,34,8,9,0,0,6,0,0,3,27,8,6,0,0,0,0,0,0,16,5,7,0,0,0,0,0,0,8,6,0,7,0,0,0,0,5,13,0,5,0,0,0,0,0,0,8,6,3,3,0,0,0,0,0,15,0,0,3,0,0,0,0,3,9,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,3,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,86,40,22,10,5,0,0,14,182
80101100202,6,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,17,18,5,0,0,0,0,0,5,27,12,4,0,0,0,0,0,0,24,8,10,6,0,0,0,0,6,23,5,3,4,0,0,0,0,0,19,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,4,0,0,4,0,3,0,0,0,9,0,0,3,0,0,0,0,0,9,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,4,0,0,0,0,0,7,73,27,30,9,7,4,3,7,157
80101100203,3,0,0,0,0,0,0,0,3,55,0,0,0,0,0,0,5,60,85,7,0,0,0,0,0,4,96,42,12,4,0,0,0,0,6,63,24,9,8,0,0,0,0,6,41,3,3,0,0,0,0,0,0,13,3,0,3,4,0,0,0,0,10,7,0,3,0,0,0,0,0,12,0,0,4,3,0,0,0,0,9,0,3,6,0,0,0,0,4,13,0,0,5,0,0,0,0,0,3,0,0,5,0,0,0,0,0,5,0,6,4,0,5,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,227,52,27,11,4,0,0,22,342
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
