SA1_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
80101100101,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,6,0,0,0,0,8,8,0,0,4,6,0,6,5,0,7,4,0,4,4,0,9,0,0,0,8,0,8,3,0,11,34,0,35,0,0,0,0,0,0,72,28,98
80101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,3,0,0,0,3,0,6,0,0,0,8,0,3,9,7,15,0,0,3,5,0,7,12,0,12,49,5,50,9,0,11,0,0,0,99,27,128
80101100103,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,3,3,0,3,0,3,3,0,3,0,3,3,7,0,4,6,3,0,3,12,4,14,8,0,8,8,0,11,7,0,7,31,0,38,9,0,13,0,0,0,107,26,133
80101100104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,3,3,0,3,8,4,6,0,0,3,0,0,7,12,7,21,15,0,15,13,4,11,9,0,9,62,3,62,7,3,12,0,0,0,136,28,162
80101100105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,9,0,11,4,3,10,5,4,10,10,4,17,15,4,18,16,0,17,14,0,14,9,0,9,63,3,68,7,0,7,0,0,0,155,41,199
80101100106,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,5,4,3,3,5,3,0,0,5,3,4,14,10,0,10,12,6,10,17,5,24,10,0,3,14,0,14,15,0,18,52,0,53,8,3,8,0,0,0,133,44,178
80101100201,0,0,0,0,0,0,0,3,4,3,11,11,3,7,16,0,7,7,3,6,7,4,3,10,9,3,13,11,9,12,7,17,25,6,5,16,11,9,19,9,0,10,8,6,14,0,0,7,8,0,8,3,5,7,0,3,3,94,96,191
80101100202,0,4,4,0,0,0,0,4,4,0,0,3,4,4,12,0,6,7,3,4,10,9,4,9,8,4,11,6,4,11,4,9,13,8,7,15,11,7,19,8,0,8,5,4,8,3,0,8,9,0,8,0,3,4,0,0,0,90,64,156
80101100203,0,3,5,0,0,0,0,0,0,0,0,0,0,6,6,0,4,3,9,11,14,3,10,13,4,10,15,18,23,39,5,15,19,6,27,33,29,29,63,32,7,38,12,12,23,19,0,20,26,11,39,3,6,10,0,0,0,182,169,349
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100208,0,0,0,0,0,3,0,0,4,0,0,0,0,6,11,5,6,9,4,6,12,6,7,6,3,9,15,3,0,9,7,9,21,12,8,19,12,12,26,14,0,14,15,0,16,4,0,4,18,3,19,4,0,6,0,4,4,109,83,190
80101100209,0,0,6,0,0,0,0,0,4,5,10,12,0,7,7,4,0,4,7,0,3,7,4,9,4,8,11,6,4,10,0,8,5,4,7,10,3,5,12,6,0,6,3,0,5,6,0,6,8,0,8,3,0,7,0,5,5,69,61,126
80101100210,0,0,0,0,0,0,0,0,0,0,7,7,0,13,10,0,3,3,3,4,5,3,3,6,5,0,4,9,4,11,3,4,5,3,4,13,7,18,29,12,0,13,14,3,13,3,0,3,15,4,24,3,0,8,0,0,0,85,77,165
80101100211,0,8,7,0,0,0,0,3,3,0,0,0,4,18,22,8,0,5,7,8,16,3,8,14,4,7,12,10,11,14,13,11,26,10,10,20,32,14,44,13,0,13,15,4,18,8,5,16,13,0,11,0,3,9,0,0,4,139,112,253
80101100212,0,7,6,0,0,0,0,0,0,0,4,3,0,6,6,0,14,14,0,10,16,5,15,21,9,14,18,18,12,28,13,6,9,7,4,14,9,6,18,15,0,12,8,0,5,3,0,3,17,4,20,6,0,3,0,6,6,117,106,223
80101100213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,14
