SA2_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
801011001,21,143,127,645,5,941,0,0,0,30,0,30,157,0,8,7,0,172,17,3,0,3,0,23,9,8,5,20,0,42,191,107,99,594,3,994,4,0,0,0,0,4,8,0,0,10,0,18,35,11,7,63,0,116,9,5,3,0,0,17,9,0,0,8,0,17,54,10,5,0,0,69,45,37,19,273,0,374,35,15,3,29,0,82,11,0,4,0,0,15,3,3,0,0,0,6,0,0,0,0,0,0,3,0,4,0,0,7,0,0,0,3,0,3,10,5,3,0,0,18,20,3,9,8,0,40,3,0,0,0,0,3,5,0,0,0,0,5,55,23,24,240,0,342,7,0,0,0,0,7,0,0,0,0,0,0,7,3,0,0,0,10,5,0,0,0,0,5,13,0,0,3,0,16,3,11,4,14,0,32,199,31,25,65,5,325,10,0,0,6,73,89,783,230,192,1310,92,2607
801011002,79,200,228,1172,4,1683,6,3,3,117,0,129,1268,12,14,16,4,1314,13,6,3,9,0,31,39,10,8,29,0,86,388,203,192,1106,7,1896,230,5,16,0,0,251,11,0,0,12,0,23,65,24,27,157,0,273,14,11,0,27,0,52,15,3,6,3,0,27,535,4,9,3,0,551,99,46,37,483,0,665,61,18,19,71,0,169,154,0,0,0,0,154,10,0,0,9,0,19,12,3,0,0,0,15,4,8,5,21,0,38,10,3,4,0,0,17,15,4,12,4,0,35,34,8,11,23,0,76,13,4,8,6,0,31,16,0,0,0,0,16,95,60,51,434,4,644,23,0,0,6,0,29,25,0,4,0,0,29,63,3,3,3,0,72,42,0,3,3,0,48,144,0,9,0,5,158,15,0,3,20,0,38,1862,63,83,100,8,2116,68,3,0,12,391,474,4838,394,403,2443,423,8501
801011003,76,245,223,1463,24,2031,3,4,8,81,0,96,772,9,23,20,0,824,24,0,0,13,0,37,35,24,19,49,0,127,381,238,197,1324,18,2158,97,0,14,0,0,111,25,6,7,17,0,55,68,31,18,176,0,293,25,10,5,36,0,76,8,12,5,11,0,36,418,10,0,3,0,431,96,40,43,552,0,731,71,29,13,100,0,213,61,0,0,0,0,61,13,0,0,5,0,18,11,0,0,4,0,15,5,4,0,15,0,24,7,4,3,0,0,14,20,11,3,4,0,38,40,6,6,19,0,71,26,0,0,7,0,33,12,4,5,0,3,24,94,56,71,476,0,697,15,0,0,8,0,23,29,0,8,0,0,37,38,3,6,9,0,56,51,0,0,0,0,51,139,0,12,3,0,154,13,5,0,21,0,39,1276,85,83,108,4,1556,50,0,0,21,242,313,3418,473,418,2920,289,7518
801011004,38,122,100,813,4,1077,0,8,5,109,8,130,56,3,0,8,3,70,9,0,0,4,0,13,23,12,11,15,0,61,139,138,91,737,15,1120,68,0,15,5,0,88,6,5,0,6,0,17,37,12,10,83,0,142,15,5,0,8,0,28,3,6,0,0,0,9,54,0,0,0,0,54,26,24,28,281,0,359,42,6,11,34,0,93,3,0,0,6,0,9,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,3,11,0,3,0,0,14,11,5,0,4,0,20,9,3,4,8,0,24,10,4,0,3,0,17,7,0,0,0,0,7,35,37,18,210,0,300,7,0,0,0,0,7,8,3,0,0,0,11,21,0,0,3,0,24,0,0,0,0,0,0,32,0,0,0,0,32,7,0,0,17,0,24,364,32,38,60,8,502,21,0,0,26,113,160,868,235,188,1621,141,3053
801011005,25,160,118,712,0,1015,0,0,0,26,0,26,77,5,7,18,0,107,16,0,3,5,0,24,23,12,5,13,0,53,247,155,116,663,4,1185,20,0,9,0,0,29,17,7,3,14,0,41,47,19,19,75,0,160,28,7,4,14,0,53,12,4,0,7,0,23,45,0,0,3,0,48,56,49,25,327,0,457,33,16,3,32,0,84,12,0,0,0,0,12,3,0,0,3,0,6,3,0,0,0,0,3,0,0,0,8,0,8,9,5,0,0,0,14,8,6,4,0,0,18,21,0,4,17,0,42,17,3,4,3,0,27,0,0,0,0,0,0,60,33,44,265,0,402,7,0,0,0,0,7,9,6,0,0,0,15,14,0,0,0,0,14,14,0,0,0,0,14,6,0,11,3,0,20,12,3,6,19,0,40,247,42,51,54,4,398,7,4,0,9,96,116,845,293,235,1480,104,2957
801011006,82,283,276,2191,6,2838,5,14,9,187,0,215,144,3,25,15,0,187,43,9,9,23,0,84,45,12,12,56,0,125,361,239,209,1691,8,2508,103,0,18,14,0,135,17,0,0,17,0,34,67,35,27,185,0,314,25,15,3,33,0,76,17,0,6,13,0,36,233,10,5,0,0,248,70,54,39,571,0,734,73,24,19,97,0,213,5,0,6,0,0,11,22,11,0,4,0,37,17,3,0,0,0,20,8,4,4,22,0,38,0,0,0,0,0,0,11,14,16,15,0,56,47,9,3,26,0,85,10,7,7,10,0,34,16,0,0,0,0,16,84,60,51,479,0,674,17,4,0,0,0,21,8,0,5,0,0,13,28,3,5,6,0,42,28,0,0,0,0,28,93,0,0,0,0,93,19,4,3,12,0,38,891,72,91,123,0,1177,27,0,3,33,175,238,2197,515,473,3888,195,7268
801011007,44,230,189,1684,12,2159,0,3,5,94,0,102,158,14,19,22,0,213,67,9,4,40,0,120,41,18,10,23,0,92,277,212,163,1315,6,1973,45,0,3,0,0,48,11,3,3,15,0,32,75,26,28,162,0,291,37,4,6,26,0,73,16,7,0,7,0,30,99,10,0,7,0,116,73,51,30,591,0,745,96,25,17,85,0,223,24,0,0,0,0,24,3,0,0,5,0,8,5,0,4,3,0,12,6,3,0,3,0,12,9,0,8,5,0,22,13,8,0,4,0,25,34,7,5,19,0,65,15,0,0,8,0,23,9,5,0,4,0,18,76,60,44,453,3,636,15,5,0,0,0,20,16,4,0,0,0,20,24,0,0,13,0,37,12,0,0,0,0,12,51,3,10,0,0,64,16,9,8,26,0,59,434,68,66,87,0,655,25,0,0,31,107,163,1482,435,344,3138,125,5524
801011008,51,172,157,1064,0,1444,4,4,0,78,0,86,264,0,8,10,0,282,55,15,0,19,0,89,32,14,9,29,0,84,281,142,105,927,6,1461,87,0,9,0,0,96,18,5,6,12,0,41,50,19,14,103,0,186,24,0,7,19,0,50,12,3,0,12,0,27,168,3,3,0,0,174,59,54,32,404,0,549,97,13,15,67,0,192,9,0,0,0,0,9,14,0,0,7,0,21,13,0,0,0,0,13,3,4,0,4,0,11,9,0,0,0,0,9,10,4,4,7,0,25,26,4,8,7,0,45,19,0,0,4,0,23,0,0,0,0,0,0,66,55,22,289,0,432,15,0,0,4,0,19,11,0,0,0,0,11,20,5,0,0,0,25,14,0,0,0,0,14,207,7,11,0,3,228,9,8,4,15,0,36,624,55,40,79,11,809,47,0,5,7,123,182,1997,327,260,2060,147,4791
801011009,25,163,116,1071,4,1379,0,9,0,78,0,87,72,3,3,6,0,84,22,4,0,10,0,36,25,15,13,29,0,82,196,155,116,987,0,1454,28,0,6,0,0,34,15,0,0,3,0,18,38,23,10,97,0,168,19,3,0,19,0,41,9,3,0,4,0,16,61,0,0,8,0,69,74,30,28,402,0,534,45,12,14,65,4,140,4,0,4,0,0,8,0,0,3,0,0,3,9,0,0,0,0,9,5,3,0,11,0,19,7,0,0,0,0,7,19,5,11,10,0,45,19,9,3,12,0,43,11,0,0,0,0,11,10,0,0,0,0,10,47,36,25,300,0,408,12,0,0,0,0,12,9,0,0,0,0,9,15,3,7,5,0,30,0,0,0,0,0,0,27,0,3,0,0,30,13,11,5,28,0,57,318,55,33,68,0,474,4,3,0,11,94,112,927,304,223,2110,104,3668
801011010,11,109,94,678,0,892,0,3,0,35,0,38,27,0,0,4,0,31,3,0,0,10,0,13,15,11,4,19,0,49,159,90,89,594,5,937,7,0,3,5,0,15,0,4,0,0,0,4,46,14,8,65,0,133,12,9,0,8,0,29,0,0,0,0,0,0,14,0,0,0,0,14,39,28,14,223,0,304,7,12,0,12,0,31,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,3,0,3,0,13,15,5,0,5,0,25,5,0,0,0,0,5,0,0,0,0,0,0,51,18,15,197,0,281,8,0,0,0,0,8,4,0,0,0,0,4,5,0,0,0,0,5,4,0,0,0,0,4,5,0,0,3,0,8,4,4,0,14,0,22,134,32,22,40,5,233,0,0,0,13,41,54,460,192,151,1277,49,2129
