SA2_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
801011001,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,14,0,14,0,14,..,68,3,75,3,78,..,356,36,392,0,397,..,9,0,9,78,91,2120,370,36,400,83,2605
801011002,0,43,4,48,..,28,5,36,0,36,..,22,4,21,0,21,..,108,34,141,5,147,..,407,49,451,7,462,..,3534,367,3902,31,3937,..,57,11,59,371,435,4126,3588,376,3965,406,8502
801011003,0,69,0,69,..,22,5,29,0,29,..,10,0,10,0,10,..,117,13,130,4,132,..,279,20,302,5,307,..,2323,190,2511,16,2532,..,29,7,31,236,267,4718,2347,197,2544,256,7520
801011004,0,7,0,7,..,10,4,15,0,15,..,6,0,6,0,6,..,22,16,38,0,38,..,99,36,135,3,138,..,440,96,537,7,544,..,9,3,15,117,134,2374,449,100,548,125,3055
801011005,0,3,0,3,..,12,3,15,0,15,..,5,0,5,0,5,..,7,4,16,0,16,..,59,5,60,0,65,..,402,44,449,3,448,..,7,0,7,97,108,2406,416,44,456,102,2965
801011006,0,5,0,5,..,17,8,29,0,29,..,0,0,0,0,0,..,64,17,84,0,84,..,263,55,317,4,323,..,1235,187,1427,15,1437,..,24,11,37,182,215,5610,1264,194,1461,197,7265
801011007,0,15,0,15,..,8,0,8,0,8,..,0,0,0,0,0,..,47,11,58,0,58,..,127,14,142,4,142,..,815,82,892,10,906,..,11,4,16,105,125,4501,824,82,908,116,5531
801011008,0,11,0,11,..,14,6,14,0,17,..,0,0,0,0,0,..,172,50,222,0,222,..,164,21,189,0,192,..,1194,205,1396,6,1401,..,16,3,16,123,144,3237,1208,208,1413,134,4781
801011009,0,3,0,3,..,6,0,6,0,6,..,9,0,9,0,9,..,18,3,23,0,23,..,96,7,100,0,104,..,441,49,489,0,493,..,15,0,15,94,109,3065,454,49,507,97,3671
801011010,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,55,11,63,0,63,..,164,18,181,0,181,..,9,0,9,36,47,1906,175,18,190,36,2126
