SA2_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
801011001,36,41,78,107,118,227,0,0,0,7,8,12,0,0,0,172,176,351,0,0,0,7,12,16,0,0,0,0,0,0,5,0,7,0,0,0,13,12,24,0,4,4,18,18,35,0,0,0,0,0,0,20,28,50,22,22,43,0,0,0,364,400,765,30,18,50,14,11,23,3,4,9,0,0,0,0,0,0,4,6,17,4,6,17,735,782,1524,10,7,18,0,0,0,750,788,1542,65,62,133,1270,1335,2605
801011002,140,193,332,149,218,367,0,0,0,37,44,80,0,0,0,480,533,1013,0,4,4,27,32,64,3,12,14,12,16,26,11,16,28,6,3,10,31,44,77,34,43,74,56,51,107,0,4,5,8,0,8,57,77,143,81,111,190,3,3,5,999,1222,2223,446,401,843,240,218,457,3,8,7,0,0,0,59,55,116,11,11,34,77,66,146,1980,1890,3870,33,22,61,8,12,20,2024,1927,3948,276,258,536,4202,4296,8502
801011003,141,190,326,222,304,526,0,0,0,33,43,70,0,0,0,490,662,1153,0,0,0,45,46,90,0,0,6,0,0,7,7,15,26,6,6,14,31,36,65,29,51,73,38,55,91,3,5,5,3,6,11,44,76,117,76,96,176,0,0,4,1038,1404,2448,298,263,558,146,108,256,7,10,13,0,0,0,28,30,64,27,19,44,58,57,109,1660,1656,3317,28,26,55,4,16,17,1695,1699,3390,224,194,414,3600,3914,7520
801011004,19,38,51,147,157,307,0,0,0,22,23,45,0,0,0,289,304,590,5,0,5,9,12,22,5,3,6,0,0,0,3,9,16,0,0,0,7,13,18,27,27,60,16,30,48,0,7,7,5,0,5,18,33,49,39,45,86,0,0,4,582,667,1249,22,14,45,60,51,108,0,0,0,0,0,0,19,10,33,4,9,16,24,24,51,697,670,1362,15,11,20,0,5,3,708,679,1380,88,78,164,1499,1552,3055
801011005,28,39,67,82,159,239,0,0,0,9,8,14,0,0,0,185,222,411,0,0,0,22,29,43,0,3,3,0,0,0,10,7,14,0,0,4,0,3,8,6,7,6,11,21,33,7,3,3,0,0,4,13,36,51,18,30,46,0,6,5,370,536,904,17,16,33,23,23,44,0,0,4,0,0,0,0,5,4,4,4,8,4,7,18,839,840,1680,13,17,32,11,7,17,861,864,1728,79,88,165,1391,1570,2965
801011006,63,99,165,333,351,690,0,0,0,27,38,66,0,0,0,826,887,1713,4,12,17,54,55,105,9,8,12,6,14,20,17,9,28,9,5,11,31,20,47,77,96,176,45,55,106,5,4,7,3,15,20,55,84,136,105,121,222,0,0,4,1616,1765,3378,95,108,197,126,135,265,0,0,0,0,0,0,21,23,45,7,12,18,31,35,65,1521,1339,2857,13,13,31,6,6,10,1542,1355,2899,159,137,301,3633,3632,7265
801011007,42,48,95,228,239,469,0,0,0,25,27,56,0,0,0,605,642,1239,0,4,4,35,26,60,4,3,5,0,3,9,5,16,19,0,0,0,22,17,36,19,22,42,40,43,78,0,5,6,14,6,14,54,60,116,80,71,150,6,7,13,1137,1190,2324,61,29,86,51,37,81,0,0,0,0,0,0,16,21,33,7,12,17,23,30,53,1412,1217,2630,11,11,24,0,3,8,1427,1235,2658,125,98,227,2863,2667,5531
801011008,103,134,238,175,219,396,0,0,0,35,36,73,0,5,3,459,607,1057,3,0,5,36,36,70,5,7,15,9,9,14,5,16,18,3,6,7,10,15,28,28,40,61,32,39,76,0,3,3,0,0,3,32,43,81,45,62,114,4,0,6,886,1135,2022,108,92,197,93,93,185,0,0,0,0,0,0,13,14,28,4,8,17,22,24,46,982,877,1860,3,0,7,0,0,7,992,884,1871,117,107,222,2316,2464,4781
801011009,19,18,38,150,189,344,0,0,0,16,12,23,0,0,0,390,427,816,0,0,0,19,23,45,3,0,8,3,5,9,7,11,20,3,0,3,7,6,11,12,19,35,24,34,54,0,6,6,4,6,9,47,48,94,38,48,87,0,3,3,736,843,1574,27,20,52,37,18,59,0,7,7,0,0,0,12,7,21,3,3,9,15,14,32,917,809,1726,14,7,19,0,0,0,931,817,1748,83,79,165,1849,1821,3671
801011010,16,23,37,107,122,227,0,0,0,3,9,15,0,0,0,200,209,409,0,0,0,9,12,16,0,5,6,7,10,14,8,4,16,0,0,0,6,6,10,23,29,49,23,16,36,7,3,7,0,0,3,23,27,54,20,28,52,0,0,5,444,475,921,4,0,5,24,15,33,0,0,0,0,0,0,0,0,0,4,6,10,4,6,10,563,483,1048,3,3,5,0,0,0,567,486,1055,42,31,73,1101,1035,2126
