SA2_CODE_2021,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
801011001,12,79,127,141,145,146,92,66,20,826,0,0,0,4,7,3,0,6,3,33,0,9,4,3,9,8,5,10,0,46,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,5,10,0,0,0,0,0,0,0,0,0,0,0,4,5,3,3,3,3,0,0,37,12,93,144,153,165,160,105,93,28,950,22,63,115,174,166,157,106,67,19,877,0,4,0,3,0,4,5,0,4,17,5,3,3,6,4,9,17,16,8,71,0,0,0,0,0,0,3,3,0,10,0,0,0,0,3,0,3,5,4,19,0,0,0,0,0,0,0,0,0,3,3,4,4,3,3,5,11,9,0,44,25,70,127,190,172,177,139,101,36,1037,29,137,247,310,311,306,192,132,30,1699,0,3,0,6,8,11,3,6,6,51,5,8,12,14,14,18,24,27,8,117,0,0,0,4,0,0,3,5,0,17
801011002,63,541,1430,550,242,152,94,71,45,3188,7,26,33,23,12,4,3,3,0,108,10,17,49,33,31,22,21,19,6,213,0,0,9,9,6,7,0,5,0,42,0,0,5,4,3,4,9,3,5,28,0,0,5,4,0,0,0,0,0,12,3,30,79,37,24,9,8,6,6,211,79,612,1616,658,325,205,141,106,65,3801,70,650,1431,476,208,132,106,75,52,3198,0,12,23,7,7,11,12,14,0,90,0,17,35,25,21,30,37,47,32,249,0,3,11,0,10,5,9,11,8,50,0,0,9,10,5,3,17,10,10,64,0,0,5,0,0,9,0,0,0,21,0,32,92,23,16,16,8,10,10,203,77,707,1600,549,271,199,187,169,119,3885,130,1190,2862,1029,452,284,202,143,99,6390,6,36,51,30,16,17,14,17,5,200,14,30,86,59,57,57,59,61,44,459,0,3,21,6,17,11,11,14,12,94
801011003,147,525,924,436,249,180,167,81,34,2745,5,10,20,10,9,5,4,7,4,80,3,12,30,17,15,13,17,12,6,115,0,0,4,3,4,4,0,5,0,23,0,0,0,0,4,0,0,5,4,18,0,0,6,4,0,0,5,0,0,18,7,13,34,18,7,14,12,9,8,126,173,572,1017,491,280,214,208,118,53,3117,243,716,880,452,254,197,163,83,38,3031,0,4,12,9,10,13,5,10,5,75,0,6,10,5,11,33,30,34,18,161,0,0,0,0,0,0,9,6,5,23,0,0,5,0,0,0,6,9,13,33,0,3,5,0,0,3,0,3,0,20,8,31,31,12,9,13,11,6,8,130,261,767,951,488,290,258,235,148,83,3470,393,1243,1804,889,504,374,331,165,68,5779,11,24,31,21,21,17,10,16,5,153,5,22,39,23,28,45,47,45,21,276,0,5,6,7,4,3,12,8,5,45
801011004,18,51,183,166,111,58,48,32,5,671,3,5,8,21,12,9,5,0,0,71,15,19,34,29,46,38,32,7,5,219,3,0,5,3,3,7,11,5,0,42,0,0,3,3,3,6,11,5,0,42,0,0,0,0,6,5,0,5,0,14,6,0,18,15,13,3,4,5,0,55,48,79,254,239,192,119,112,53,13,1111,20,62,182,208,132,79,44,25,0,755,4,4,10,18,16,12,7,5,0,77,9,7,27,29,41,49,42,15,10,227,0,0,3,3,6,8,15,4,0,45,0,0,0,0,3,6,10,8,4,40,0,0,0,0,3,4,3,4,0,20,0,3,14,10,9,4,8,5,0,52,39,81,242,268,197,170,132,60,19,1206,44,112,363,375,240,136,99,48,4,1426,7,11,24,37,26,25,17,4,0,146,19,20,62,62,88,86,72,27,11,446,5,0,10,9,6,17,24,11,9,90
801011005,17,64,142,190,202,116,91,69,17,898,3,0,3,4,10,6,9,8,3,39,3,3,6,12,10,19,13,12,5,78,0,0,0,3,0,6,3,3,0,10,0,0,0,0,0,4,0,4,9,17,0,0,0,0,0,0,5,0,0,4,0,3,4,9,3,7,0,8,7,41,19,69,157,216,226,148,118,105,29,1090,11,49,187,213,199,146,130,80,14,1025,0,4,3,3,3,10,8,3,3,34,0,0,8,5,5,23,31,23,6,104,0,0,0,0,0,0,7,6,10,18,0,0,0,0,3,3,3,7,4,24,0,0,0,0,0,0,0,0,0,0,0,0,14,7,6,6,13,4,6,47,20,56,215,229,220,182,183,119,40,1262,27,117,326,394,404,261,213,144,33,1923,0,4,9,9,7,14,12,9,6,71,3,3,12,14,16,44,44,35,7,185,0,0,0,3,4,6,10,8,9,31
801011006,71,172,313,478,366,197,101,36,9,1734,13,19,32,40,31,24,10,4,0,176,24,16,42,60,99,101,53,28,8,423,0,3,6,4,7,14,13,3,4,66,3,0,0,0,8,14,13,11,0,52,0,0,3,4,0,4,0,0,0,19,14,5,11,17,21,14,7,7,4,95,127,215,419,596,534,366,196,80,22,2558,48,157,364,533,441,197,95,32,9,1868,10,0,13,27,19,23,15,4,0,123,10,12,46,36,91,125,78,26,6,434,8,3,0,6,11,18,33,11,0,85,0,0,3,10,9,13,11,13,0,61,0,0,0,0,3,5,4,7,0,20,8,4,14,14,14,19,0,0,0,78,82,181,438,629,593,391,239,92,16,2670,121,328,675,1005,806,392,195,66,13,3601,27,25,48,68,51,46,25,9,0,297,32,33,91,92,191,220,132,48,11,862,7,6,6,17,18,33,46,14,6,151
801011007,38,148,328,347,280,182,160,51,6,1537,5,8,26,11,10,19,11,5,0,98,14,13,38,31,67,67,63,17,4,308,0,3,0,0,5,6,28,9,0,54,0,3,4,6,5,5,18,10,0,49,0,0,0,0,0,3,5,0,0,14,9,5,9,12,13,3,0,0,0,67,65,180,405,404,382,291,284,94,17,2123,53,127,323,346,308,190,143,38,8,1521,3,0,9,8,16,17,13,0,0,74,5,0,20,21,39,85,90,33,7,308,0,0,3,3,0,10,33,10,4,63,0,0,0,0,3,9,17,10,8,49,0,0,0,0,0,4,0,0,0,9,6,7,3,12,6,9,6,5,0,49,72,138,365,398,376,311,294,94,31,2073,90,273,648,691,586,371,301,89,14,3057,3,9,43,21,26,31,18,7,0,168,20,18,58,55,110,150,149,56,12,615,3,3,4,9,8,15,56,11,4,118
801011008,25,140,297,275,211,205,150,68,9,1379,6,3,4,12,8,13,9,4,0,61,6,12,34,19,37,66,37,20,4,238,0,0,0,8,3,3,15,4,4,37,0,0,0,0,0,15,19,15,9,50,0,0,3,3,0,3,0,0,0,11,0,9,17,7,10,9,3,5,4,68,39,160,359,330,272,312,230,120,27,1846,33,136,289,315,216,213,137,40,9,1394,0,6,8,4,11,16,19,10,4,73,8,0,17,13,30,88,73,29,8,274,0,0,6,4,12,11,27,5,5,65,0,0,0,3,4,8,16,21,12,68,0,0,0,4,8,3,0,7,5,24,0,0,13,15,8,7,5,0,0,65,41,143,336,350,288,357,278,117,42,1957,61,273,590,589,426,418,283,107,19,2768,5,4,16,16,21,29,28,11,8,134,17,15,57,34,67,154,107,51,12,510,0,0,0,9,10,18,41,16,7,105
801011009,33,84,215,215,177,126,112,53,3,1028,6,3,15,15,21,11,13,0,0,79,7,7,24,24,29,45,24,8,5,167,0,0,4,0,9,6,8,11,0,38,0,0,0,3,0,0,5,11,4,27,0,0,0,4,0,0,0,0,0,8,0,3,16,8,9,7,7,6,3,49,50,101,269,261,245,199,168,89,15,1402,32,91,182,228,189,132,112,36,6,1015,0,0,7,4,14,9,9,3,0,47,3,3,11,14,22,55,40,22,0,182,0,0,3,3,0,3,17,11,6,44,0,0,0,0,0,5,10,10,0,24,0,0,0,0,0,0,0,0,0,5,5,3,3,5,4,4,8,9,0,42,37,103,211,264,239,208,194,89,15,1354,65,185,398,440,368,269,221,88,7,2040,3,12,22,17,30,17,19,9,0,132,11,12,37,37,54,99,68,29,10,353,0,0,8,10,9,11,22,20,0,79
801011010,15,54,72,129,109,76,106,29,11,592,0,0,13,5,7,8,0,8,0,33,3,3,14,10,24,32,36,11,0,134,0,0,3,4,0,3,5,4,0,23,0,0,3,0,0,0,5,4,0,13,0,0,0,0,0,7,0,4,0,9,0,0,3,6,4,0,5,0,0,24,19,63,105,153,144,124,153,54,13,824,12,41,69,136,120,82,87,22,3,581,0,0,4,0,7,4,9,0,0,26,0,0,8,15,17,22,36,14,0,119,0,0,3,0,0,0,6,3,0,24,0,0,0,0,0,0,8,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,5,4,4,0,19,13,51,90,156,146,118,146,51,5,783,26,98,140,262,223,163,186,55,13,1166,6,0,10,3,12,16,11,6,0,60,8,7,19,23,45,52,67,24,0,254,0,4,5,4,0,4,15,8,0,43
