SA2_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
801011001,0,0,0,0,0,3,4,9,0,16,0,0,0,0,3,3,3,8,5,22,10,29,20,25,18,24,10,0,0,136,0,0,0,0,0,0,3,0,0,3,15,11,8,15,21,29,22,14,5,140,192,103,88,120,108,86,42,20,9,768,16,14,0,11,8,5,13,9,3,79,241,155,127,190,172,177,139,101,36,1338,0,0,3,7,16,43,71,79,25,244,33,24,23,33,30,26,25,12,4,210,0,0,0,5,6,17,26,37,5,96,0,0,0,0,0,0,3,8,6,17,0,0,4,4,4,9,20,22,3,66,0,0,0,0,5,14,24,36,19,98,3,0,0,0,0,4,4,10,4,25,0,0,0,5,3,7,3,13,5,36,14,38,38,45,33,31,17,5,6,227,0,0,0,0,3,0,8,3,4,18,29,19,19,21,36,53,35,28,12,252,404,219,190,235,219,180,81,45,14,1587
801011002,0,0,5,3,0,3,3,3,8,25,0,0,0,0,7,4,12,20,15,58,7,141,220,74,46,24,24,5,8,549,0,0,0,0,0,3,0,15,9,27,9,58,109,55,35,28,35,31,14,374,332,565,1154,352,152,97,69,32,20,2773,19,49,93,30,16,17,8,10,7,249,377,828,1600,549,271,203,187,169,119,4303,0,8,22,29,48,68,88,96,76,435,26,120,227,97,47,30,35,33,17,632,0,0,4,12,15,18,28,39,25,141,0,0,0,0,0,0,4,17,35,56,0,13,14,30,37,44,40,35,20,233,0,0,6,5,10,22,40,59,49,191,0,0,8,6,5,9,15,8,11,62,0,0,4,4,10,13,13,24,20,88,14,215,367,141,95,44,27,16,8,927,0,0,0,0,7,7,0,22,19,55,22,94,166,110,64,56,67,51,18,648,631,1107,2399,812,330,205,112,59,30,5685
801011003,0,4,3,0,4,3,5,10,9,38,0,3,0,0,4,10,12,6,6,41,10,231,160,61,43,20,26,19,12,582,0,0,0,0,0,0,5,9,9,23,11,102,87,60,34,31,44,40,22,431,314,665,628,319,178,131,82,29,6,2352,20,60,48,16,11,14,13,3,4,189,378,1091,949,488,290,261,235,148,83,3923,0,14,24,25,47,59,90,92,57,408,44,195,183,78,41,33,26,26,15,641,0,5,8,12,15,23,41,48,12,164,0,0,0,0,0,4,5,29,28,66,0,13,12,12,14,30,49,40,15,185,0,3,7,13,8,23,46,55,40,195,0,4,3,4,3,6,9,13,14,56,0,3,4,0,4,14,20,18,13,76,19,297,241,109,61,34,32,33,21,847,0,0,0,4,0,3,16,16,24,63,30,133,135,95,59,60,70,63,32,677,649,1285,1420,671,368,250,164,43,12,4862
801011004,0,0,0,0,0,3,6,3,0,12,0,0,0,0,0,8,7,9,0,24,10,35,49,74,52,27,16,0,0,263,0,0,0,4,3,6,4,0,0,17,14,16,37,51,30,29,29,8,0,214,220,86,134,127,79,70,32,13,5,766,28,11,14,10,16,4,3,9,0,95,302,159,242,268,197,170,132,60,19,1549,0,0,14,32,46,63,72,47,17,291,81,47,65,72,44,31,25,13,8,386,0,0,3,8,11,24,25,21,7,99,4,0,0,0,0,0,0,3,5,12,0,0,8,17,27,22,48,25,3,150,4,0,0,10,9,19,28,21,6,97,0,3,0,0,3,12,9,11,3,41,0,0,0,8,0,10,15,14,7,54,28,49,75,108,75,33,22,4,0,394,0,0,0,0,5,10,6,7,3,31,54,24,48,64,53,48,45,18,3,357,462,200,298,279,185,119,75,30,5,1653
801011005,0,0,0,4,5,0,0,6,0,15,0,0,0,0,6,3,7,3,10,29,3,26,47,46,35,18,21,8,0,204,0,0,0,0,0,0,0,4,3,7,11,11,26,26,46,34,38,24,12,228,197,80,113,120,99,83,68,33,9,802,21,8,18,11,13,7,9,4,0,91,251,132,218,229,220,182,183,119,40,1574,0,4,11,21,46,58,74,71,22,307,44,28,39,58,51,41,26,16,4,307,0,0,4,5,18,15,41,32,7,122,0,0,0,0,0,0,3,3,8,14,0,0,3,3,11,18,19,30,4,88,0,3,0,0,3,18,33,31,25,113,0,0,0,3,4,0,0,3,4,14,0,0,0,0,6,9,16,13,8,52,14,42,68,85,71,38,23,12,3,356,0,0,0,0,3,0,5,11,3,22,28,15,40,52,68,61,57,41,12,374,392,178,215,255,228,153,111,57,5,1594
801011006,0,0,0,3,6,6,4,6,0,25,0,0,0,0,5,12,15,11,0,43,21,75,98,93,101,53,21,6,0,468,0,0,3,4,0,3,6,0,4,20,31,42,48,83,85,70,44,18,9,430,667,261,251,362,268,154,66,13,0,2042,41,33,25,21,29,18,11,5,0,183,803,427,438,629,593,391,239,92,16,3628,0,6,25,54,121,143,139,72,18,578,176,115,107,148,134,77,56,26,7,846,0,6,5,14,40,34,48,28,4,179,0,0,0,0,0,0,9,11,8,28,0,6,10,23,76,102,83,41,0,341,3,5,5,14,22,49,50,43,15,206,0,0,4,4,12,14,16,11,0,61,0,0,0,0,8,25,31,23,5,92,51,130,148,153,161,84,44,6,6,783,0,0,3,3,3,15,16,9,4,53,84,72,73,140,148,125,78,29,9,758,1338,618,539,764,555,314,116,33,4,4281
801011007,0,0,0,0,3,5,11,3,3,25,0,0,0,4,12,10,12,6,7,51,16,64,90,68,59,42,24,3,0,366,0,0,0,0,0,7,5,3,3,18,21,16,48,55,70,53,45,9,8,325,406,189,214,235,180,128,88,22,3,1465,24,12,16,20,12,21,5,9,0,119,500,296,365,398,376,311,294,94,31,2665,0,5,9,42,69,97,161,56,16,455,85,76,85,98,93,58,61,16,4,576,0,0,0,13,20,34,73,17,8,165,0,0,0,0,0,0,5,6,0,11,0,4,11,18,40,68,72,34,8,255,0,0,0,0,16,20,60,44,13,153,0,0,0,11,6,9,15,11,4,56,0,0,6,7,8,15,27,8,5,76,45,120,136,112,109,74,48,8,0,652,0,0,0,3,0,4,12,12,3,34,57,39,73,93,112,99,81,27,16,597,910,412,493,488,407,278,189,46,6,3229
801011008,0,0,0,3,8,8,11,6,0,36,0,0,0,5,7,10,17,5,3,47,14,52,54,53,56,46,26,8,3,312,0,0,5,0,0,0,4,4,3,16,11,22,33,42,33,60,50,24,12,287,355,181,211,211,135,151,78,26,0,1348,23,8,21,19,13,16,17,3,4,124,427,266,336,350,288,363,278,117,42,2467,0,0,13,25,59,118,150,75,22,462,68,56,71,80,54,66,52,28,13,488,0,3,0,7,15,49,59,18,8,159,0,0,0,0,0,0,4,9,4,17,0,9,3,21,38,73,79,41,12,276,0,3,6,9,15,37,45,44,18,177,0,0,0,0,10,11,16,13,3,53,0,0,0,8,10,24,30,17,8,97,24,83,92,95,87,70,40,11,3,505,0,0,5,0,3,9,8,13,4,42,41,39,58,68,67,104,95,41,14,527,667,376,459,431,295,300,153,62,5,2748
801011009,0,0,0,4,0,0,7,10,0,21,0,0,0,3,0,11,6,10,0,30,17,50,27,38,42,31,14,5,0,224,0,0,0,0,0,0,8,3,0,11,14,20,22,31,44,44,40,17,0,232,330,133,134,156,122,84,55,20,0,1034,23,11,9,16,9,3,9,6,0,86,390,223,211,264,239,208,194,89,15,1833,0,3,9,24,50,83,99,71,15,354,39,44,45,50,51,41,48,22,4,344,0,0,0,4,19,33,35,32,0,123,0,0,0,0,0,0,6,0,0,6,0,0,3,8,17,51,56,27,9,171,0,0,5,5,9,34,35,35,3,126,0,0,0,4,4,5,14,6,0,33,0,0,5,3,8,19,14,20,0,69,25,77,57,76,81,49,25,11,0,401,0,0,0,4,3,6,6,5,0,24,42,35,38,49,62,62,69,35,3,395,635,284,327,340,249,167,107,34,9,2152
801011010,0,0,0,0,0,4,3,0,0,7,0,0,0,0,0,3,5,5,0,13,4,22,20,24,21,19,10,9,0,129,0,0,0,0,0,0,0,0,0,0,8,10,11,21,24,21,31,11,0,137,167,70,53,89,78,45,48,12,5,567,18,5,7,5,3,3,0,3,0,44,207,108,90,156,146,118,146,51,5,1027,0,0,3,17,29,49,91,44,6,239,29,31,18,38,27,29,37,20,0,229,0,0,5,5,6,17,34,18,3,88,0,0,0,0,0,0,4,8,0,12,0,3,0,8,17,16,35,11,0,90,0,0,0,0,5,14,41,21,4,85,0,0,0,0,5,3,13,7,0,28,0,0,0,0,3,6,13,7,0,29,11,41,33,54,36,33,25,11,0,244,0,0,0,0,0,3,0,3,0,6,24,21,18,39,43,44,55,24,3,271,340,165,124,180,154,92,102,22,8,1187
