SA2_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
801011001,180,180,74,5,44,65,17,22,192,10,191,1136,56,1854,9,0,0,0,3,0,0,0,8,0,10,28,0,44,28,14,14,0,8,17,0,5,7,0,19,66,4,139,7,0,3,0,0,4,0,0,0,0,0,28,0,37,14,5,10,0,7,0,0,0,3,4,3,17,0,46,4,0,0,0,0,0,0,0,4,0,0,7,0,15,0,4,0,0,0,0,0,0,3,0,5,53,4,61,0,4,0,0,0,0,0,0,0,0,5,89,3,110,3,4,0,0,4,3,0,0,4,0,0,95,3,114,9,9,0,0,0,0,0,0,3,0,4,43,0,69,4,3,0,0,0,3,0,0,0,0,4,14,0,24,73,41,25,10,19,35,4,10,36,9,54,443,19,669,0,0,0,0,0,0,0,0,0,0,0,5,76,84,250,220,104,11,65,94,24,37,226,20,245,1582,142,2605,..,..,..,..
801011002,304,496,102,35,122,130,35,59,730,31,444,2108,97,3843,10,6,0,0,7,4,0,0,17,0,13,87,0,136,33,24,16,6,16,13,7,9,36,6,28,97,7,205,16,5,4,5,8,0,3,3,17,0,11,48,0,93,15,4,7,4,11,3,0,6,17,0,12,90,3,151,6,11,0,0,6,0,0,0,14,0,7,192,9,227,26,29,3,0,10,12,5,4,33,7,27,461,13,580,3,9,7,0,21,3,4,0,20,0,35,1147,16,1247,14,23,5,3,24,11,5,0,15,0,28,1180,15,1293,9,14,0,0,7,5,0,5,19,0,25,149,0,206,0,3,0,0,0,0,0,0,9,0,8,110,0,132,127,136,39,15,104,59,33,20,186,15,194,3566,66,4275,4,0,0,0,0,0,0,0,4,0,0,17,356,384,437,631,144,52,223,189,68,79,919,48,641,5695,519,8502,..,..,..,..
801011003,303,522,120,48,99,139,46,47,673,44,488,2603,90,4367,0,4,0,0,6,3,5,0,16,0,12,70,5,110,18,10,5,3,3,15,4,4,28,0,21,94,10,185,7,3,7,0,4,3,0,0,5,0,18,54,0,93,14,11,3,3,11,9,0,4,13,3,17,78,3,136,3,4,0,0,0,0,0,0,12,0,9,92,0,110,20,28,5,4,13,3,3,0,16,4,42,319,3,429,14,13,7,0,4,7,0,0,16,0,27,548,12,636,17,19,5,0,30,11,0,0,21,5,31,794,5,915,10,11,4,3,4,0,0,5,24,0,19,124,0,175,5,8,4,0,9,0,0,0,13,0,6,80,0,119,104,107,37,16,73,60,11,15,173,19,199,2251,49,2909,9,4,7,0,0,0,0,0,0,3,0,13,217,246,411,638,167,63,177,197,63,65,850,62,688,4871,349,7520,..,..,..,..
801011004,218,336,73,3,90,69,28,43,352,21,291,1222,89,2272,3,4,4,0,9,3,0,0,4,0,4,26,6,52,19,10,0,0,3,7,0,8,9,0,11,37,6,82,9,7,9,0,8,3,3,4,5,0,8,16,0,49,9,4,3,0,4,7,0,3,4,0,0,25,0,52,0,4,0,0,0,3,0,0,4,0,3,49,0,55,13,7,3,0,17,3,0,0,8,0,14,94,5,144,0,6,0,0,5,0,0,0,0,0,9,18,0,30,0,0,0,0,3,0,0,0,4,0,5,90,0,105,10,9,0,0,3,0,0,0,3,0,9,26,0,51,3,0,0,0,0,0,0,0,3,0,3,30,0,34,74,43,25,6,52,34,9,21,45,10,69,418,20,659,0,4,0,0,0,0,0,0,0,0,5,13,107,122,286,384,97,14,145,103,36,61,401,27,363,1648,213,3055,..,..,..,..
801011005,226,263,87,12,58,64,13,25,282,13,287,1194,62,2147,4,0,3,0,3,5,0,0,4,0,3,30,0,50,29,15,20,0,6,18,4,5,14,0,28,57,6,153,3,6,0,0,8,3,0,0,3,0,15,35,0,63,19,3,0,0,8,6,0,0,7,0,11,21,0,58,3,3,0,0,0,3,0,0,4,0,7,13,0,26,13,8,0,0,4,5,0,0,6,5,3,64,3,89,0,0,4,0,3,0,0,3,5,0,11,50,0,71,3,0,0,0,0,0,0,0,3,0,3,75,0,86,10,6,0,3,4,0,3,0,10,0,6,52,3,84,0,3,0,0,0,0,0,0,4,0,3,11,0,23,85,50,38,3,38,39,10,19,71,9,92,398,15,710,0,0,0,0,0,0,0,0,0,0,4,7,92,101,312,318,122,16,95,109,25,44,361,22,380,1602,175,2965,..,..,..,..
801011006,451,728,129,16,211,134,44,75,683,31,615,3299,168,5550,10,14,6,0,11,8,0,0,3,0,11,75,3,119,39,29,13,0,23,20,0,9,24,7,40,76,7,202,13,9,0,0,6,10,0,0,13,0,6,44,0,82,21,8,4,0,18,12,3,3,8,4,12,69,8,121,4,5,0,0,0,0,3,0,0,0,8,76,0,91,21,29,5,0,23,8,3,0,19,4,33,193,9,307,3,3,0,0,12,0,0,0,3,0,8,79,0,107,7,12,0,0,26,9,3,0,3,6,13,234,0,301,13,10,0,0,11,0,0,3,20,0,10,55,0,106,0,5,5,0,6,0,0,0,4,0,11,68,0,88,129,115,39,8,137,64,20,20,98,20,145,972,34,1525,6,0,0,0,0,0,0,0,4,0,0,8,176,194,584,844,167,18,353,203,62,103,780,50,759,4273,375,7265,..,..,..,..
801011007,341,506,140,11,176,103,39,64,566,30,488,2526,131,4307,9,10,4,0,3,5,0,0,7,0,9,40,0,73,33,16,8,0,13,21,6,9,21,3,29,56,0,152,13,7,0,0,6,9,0,3,4,3,14,39,3,84,22,7,7,0,16,14,0,5,10,4,16,72,5,141,0,0,0,0,6,0,0,0,4,0,9,35,0,47,6,9,7,0,7,8,5,7,13,0,14,117,4,174,3,6,0,0,7,3,5,0,7,0,6,93,0,122,4,3,4,0,9,0,0,0,3,0,4,127,5,149,5,7,3,0,8,6,0,0,17,0,5,64,0,99,3,0,0,0,0,0,0,0,3,0,7,44,0,60,107,67,30,3,71,59,19,26,76,9,104,701,25,1104,7,0,0,0,5,0,0,0,4,0,0,7,107,120,460,577,176,14,253,167,57,84,646,39,589,3232,259,5531,..,..,..,..
801011008,323,369,106,9,136,108,29,70,418,21,387,1785,85,3131,11,23,13,0,14,7,3,3,9,0,8,44,0,97,24,14,12,0,13,11,0,8,22,9,14,61,6,143,9,5,5,0,4,3,0,4,10,0,11,29,3,56,41,14,12,9,20,25,0,3,15,7,15,72,0,173,4,3,0,0,3,0,3,0,0,0,3,43,7,60,21,22,10,3,23,7,5,4,18,0,38,215,10,338,10,6,0,0,13,0,4,0,3,0,17,125,4,170,11,7,0,0,29,3,0,0,4,0,10,265,5,336,6,10,3,0,3,7,0,0,4,0,8,52,5,86,4,5,0,0,4,0,0,0,0,0,0,33,5,54,139,116,56,12,126,63,21,24,83,18,135,943,31,1514,7,0,0,0,0,0,0,0,0,0,0,8,118,139,465,485,161,20,271,181,52,93,513,41,526,2734,233,4781,..,..,..,..
801011009,263,286,107,3,120,86,25,55,345,20,312,1696,88,2850,10,9,3,0,6,8,0,4,6,0,6,55,0,86,27,15,8,0,10,10,0,7,16,0,22,48,6,124,14,4,7,0,13,7,0,3,12,4,9,34,0,67,13,5,5,0,15,7,0,0,3,0,6,50,3,93,0,6,0,0,0,3,0,0,0,0,0,8,0,17,10,14,3,0,9,3,4,0,3,3,17,53,0,96,3,3,0,0,0,0,0,0,0,0,6,40,0,49,7,3,0,0,0,0,0,0,3,0,4,82,0,96,10,6,4,0,3,6,0,4,5,0,8,48,0,73,0,0,0,0,5,0,0,0,0,0,0,25,0,31,86,56,24,5,58,41,7,18,55,9,79,441,7,722,0,0,0,0,0,0,0,0,0,0,3,5,91,96,353,347,130,6,176,125,35,70,405,27,397,2146,184,3671,..,..,..,..
801011010,202,202,63,12,77,59,19,29,217,6,208,975,54,1728,5,0,0,0,0,0,0,0,4,0,0,15,0,27,22,14,13,0,5,18,0,7,17,5,22,46,0,113,5,6,3,0,0,3,0,0,0,5,5,33,0,51,11,6,0,0,0,5,0,0,3,0,8,24,0,32,0,0,0,0,4,0,0,0,0,0,0,11,0,14,3,0,0,0,6,3,0,0,0,0,4,16,0,28,3,3,0,0,0,0,0,0,0,0,0,22,0,25,5,3,0,0,4,0,0,0,4,0,5,29,0,36,4,3,0,0,0,0,0,0,0,0,0,9,0,17,0,0,0,0,0,0,0,0,0,0,4,8,0,14,48,30,21,7,21,29,6,14,32,8,51,201,0,359,0,0,0,0,0,0,0,0,0,0,0,3,39,42,247,233,81,13,97,92,26,36,251,8,263,1185,92,2126,..,..,..,..
