SA2_CODE_2021,LFS_Emp_Dia_ges_dia,LFS_Emp_HD_HA_ang,LFS_Emp_Kid_dis,LFS_Emp_LC_COPD_emph,LFS_Emp_MHC_dep_anx,LFS_Emp_Stroke,LFS_Emp_oth_LTHC,LFS_Emp_no_LTHC,LFS_Emp_LTHC_NS,LFS_Emp_Tot,LFS_Unemp_Arth,LFS_Unemp_Asth,LFS_Unemp_Can_rem,LFS_Unemp_Dem_Alzh,LFS_Unemp_Dia_ges_dia,LFS_Unemp_HD_HA_ang,LFS_Unemp_Kid_dis,LFS_Unemp_LC_COPD_emph,LFS_Unemp_MHC_dep_anx,LFS_Unemp_Stroke,LFS_Unemp_oth_LTHC,LFS_Unemp_no_LTHC,LFS_Unemp_LTHC_NS,LFS_Unemp_Tot,LFS_NLF_Arth,LFS_NLF_Asth,LFS_NLF_Can_rem,LFS_NLF_Dem_Alzh,LFS_NLF_Dia_ges_dia,LFS_NLF_HD_HA_ang,LFS_NLF_Kid_dis,LFS_NLF_LC_COPD_emph,LFS_NLF_MHC_dep_anx,LFS_NLF_Stroke,LFS_NLF_oth_LTHC,LFS_NLF_no_LTHC,LFS_NLF_LTHC_NS,LFS_NLF_Tot,LFS_NS_Arth,LFS_NS_Asth,LFS_NS_Can_rem,LFS_NS_Dem_Alzh,LFS_NS_Dia_ges_dia,LFS_NS_HD_HA_ang,LFS_NS_Kid_dis,LFS_NS_LC_COPD_emph,LFS_NS_MHC_dep_anx,LFS_NS_Stroke,LFS_NS_oth_LTHC,LFS_NS_no_LTHC,LFS_NS_LTHC_NS,LFS_NS_Tot,LFS_Tot_Arth,LFS_Tot_Asth,LFS_Tot_Can_rem,LFS_Tot_Dem_Alzh,LFS_Tot_Dia_ges_dia,LFS_Tot_HD_HA_ang,LFS_Tot_Kid_dis,LFS_Tot_LC_COPD_emph,LFS_Tot_MHC_dep_anx,LFS_Tot_Stroke,LFS_Tot_oth_LTHC,LFS_Tot_no_LTHC,LFS_Tot_LTHC_NS,LFS_Tot_Tot,TPI_wk_NNI_Arth,TPI_wk_NNI_Asth,TPI_wk_NNI_Can_rem,TPI_wk_NNI_Dem_Alzh,TPI_wk_NNI_Dia_ges_dia,TPI_wk_NNI_HD_HA_ang,TPI_wk_NNI_Kid_dis,TPI_wk_NNI_LC_COPD_emph,TPI_wk_NNI_MHC_dep_anx,TPI_wk_NNI_Stroke,TPI_wk_NNI_oth_LTHC,TPI_wk_NNI_no_LTHC,TPI_wk_NNI_LTHC_NS,TPI_wk_NNI_Tot,TPI_wk_1_299_Arth,TPI_wk_1_299_Asth,TPI_wk_1_299_Can_rem,TPI_wk_1_299_Dem_Alzh,TPI_wk_1_299_Dia_ges_dia,TPI_wk_1_299_HD_HA_ang,TPI_wk_1_299_Kid_dis,TPI_wk_1_299_LC_COPD_emph,TPI_wk_1_299_MHC_dep_anx,TPI_wk_1_299_Stroke,TPI_wk_1_299_oth_LTHC,TPI_wk_1_299_no_LTHC,TPI_wk_1_299_LTHC_NS,TPI_wk_1_299_Tot,TPI_wk_300_649_Arth,TPI_wk_300_649_Asth,TPI_wk_300_649_Can_rem,TPI_wk_300_649_Dem_Alzh,TPI_wk_300_649_Dia_ges_dia,TPI_wk_300_649_HD_HA_ang,TPI_wk_300_649_Kid_dis,TPI_wk_300_649_LC_COPD_emph,TPI_wk_300_649_MHC_dep_anx,TPI_wk_300_649_Stroke,TPI_wk_300_649_oth_LTHC,TPI_wk_300_649_no_LTHC,TPI_wk_300_649_LTHC_NS,TPI_wk_300_649_Tot,TPI_wk_650_999_Arth,TPI_wk_650_999_Asth,TPI_wk_650_999_Can_rem,TPI_wk_650_999_Dem_Alzh,TPI_wk_650_999_Dia_ges_dia,TPI_wk_650_999_HD_HA_ang,TPI_wk_650_999_Kid_dis,TPI_wk_650_999_LC_COPD_emph,TPI_wk_650_999_MHC_dep_anx,TPI_wk_650_999_Stroke,TPI_wk_650_999_oth_LTHC,TPI_wk_650_999_no_LTHC,TPI_wk_650_999_LTHC_NS,TPI_wk_650_999_Tot,TPI_wk_1000_1749_Arth,TPI_wk_1000_1749_Asth,TPI_wk_1000_1749_Can_rem,TPI_wk_1000_1749_Dem_Alzh,TPI_wk_1000_1749_Dia_ges_dia,TPI_wk_1000_1749_HD_HA_ang,TPI_wk_1000_1749_Kid_dis,TPI_wk_1000_1749_LC_COPD_emph,TPI_wk_1000_1749_MHC_dep_anx,TPI_wk_1000_1749_Stroke,TPI_wk_1000_1749_oth_LTHC,TPI_wk_1000_1749_no_LTHC,TPI_wk_1000_1749_LTHC_NS,TPI_wk_1000_1749_Tot,TPI_wk_1750_2999_Arth,TPI_wk_1750_2999_Asth,TPI_wk_1750_2999_Can_rem,TPI_wk_1750_2999_Dem_Alzh,TPI_wk_1750_2999_Dia_ges_dia,TPI_wk_1750_2999_HD_HA_ang,TPI_wk_1750_2999_Kid_dis,TPI_wk_1750_2999_LC_COPD_emph,TPI_wk_1750_2999_MHC_dep_anx,TPI_wk_1750_2999_Stroke,TPI_wk_1750_2999_oth_LTHC,TPI_wk_1750_2999_no_LTHC,TPI_wk_1750_2999_LTHC_NS,TPI_wk_1750_2999_Tot,TPI_wk_3000_more_Arth,TPI_wk_3000_more_Asth,TPI_wk_3000_more_Dep_rem,TPI_wk_3000_more_Dem_Alzh,TPI_wk_3000_more_Dia_ges_dia,TPI_wk_3000_more_HD_HA_ang,TPI_wk_3000_more_Kid_dis,TPI_wk_3000_more_LC_COPD_emph,TPI_wk_3000_more_MHC_dep_anx,TPI_wk_3000_more_Stroke,TPI_wk_3000_more_oth_LTHC,TPI_wk_3000_more_no_LTHC,TPI_wk_3000_more_LTHC_NS,TPI_wk_3000_more_Tot,TPI_wk_NS_Arth,TPI_wk_NS_Asth,TPI_wk_NS_Can_rem,TPI_wk_NS_Dem_Alzh,TPI_wk_NS_Dia_ges_dia,TPI_wk_NS_HD_HA_ang,TPI_wk_NS_Kid_dis,TPI_wk_NS_LC_COPD_emph,TPI_wk_NS_MHC_dep_anx,TPI_wk_NS_Stroke,TPI_wk_NS_oth_LTHC,TPI_wk_NS_no_LTHC,TPI_wk_NS_LTHC_NS,TPI_wk_NS_Tot,TPI_wk_Tot_Arth,TPI_wk_Tot_Asth,TPI_wk_Tot_Can_rem,TPI_wk_Tot_Dem_Alzh,TPI_wk_Tot_Dia_ges_dia,TPI_wk_Tot_HD_HA_ang,TPI_wk_Tot_Kid_dis,TPI_wk_Tot_LC_COPD_emph,TPI_wk_Tot_MHC_dep_anx,TPI_wk_Tot_Stroke,TPI_wk_Tot_oth_LTHC,TPI_wk_Tot_no_LTHC,TPI_wk_Tot_LTHC_NS,TPI_wk_Tot_Total,CANA_HNA_Arth,CANA_HNA_Asth,CANA_HNA_Can_rem,CANA_HNA_Dem_Alzh,CANA_HNA_Dia_ges_dia,CANA_HNA_HD_HA_ang,CANA_HNA_Kid_dis,CANA_HNA_LC_COPD_emph
801011001,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,12,0,0,0,0,0,0,7,0,16,93,0,131,17,11,10,3,7,5,0,0,22,0,18,87,5,156,56,17,12,7,13,13,0,5,39,0,29,123,8,254,40,30,16,0,7,15,4,5,26,4,27,99,8,210,63,36,30,0,21,28,7,6,45,4,52,286,7,491,43,54,23,0,11,22,0,9,58,7,46,302,6,496,17,34,11,0,8,9,0,4,14,0,28,181,5,282,3,4,0,0,0,0,0,0,0,0,0,9,62,77,250,184,104,11,65,94,19,36,210,20,215,1182,116,2095,47,8,11,10,19,23,7,6
801011002,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,8,0,0,9,10,0,0,42,3,32,444,5,536,28,31,9,5,15,9,7,11,54,5,33,250,16,388,130,126,43,22,57,65,11,32,216,19,132,876,23,1406,81,94,17,4,35,33,13,15,144,10,93,923,12,1295,102,191,29,11,49,44,18,18,291,14,182,1602,36,2292,48,129,27,0,49,12,14,3,147,3,113,758,19,1167,18,26,7,0,4,8,0,0,13,0,26,150,5,231,13,3,0,10,0,6,0,3,6,0,3,62,351,439,437,600,144,52,223,185,68,79,913,48,619,5062,470,7764,95,42,28,43,38,50,12,27
801011003,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9,28,14,3,15,9,6,0,38,0,34,342,10,455,28,47,8,4,15,6,5,3,90,0,54,343,12,533,86,116,30,13,41,40,10,17,212,27,116,736,18,1202,56,81,26,16,18,28,12,4,116,8,89,640,15,953,98,175,40,5,41,50,16,14,215,12,165,1166,31,1762,80,110,26,3,18,35,9,7,125,9,153,698,17,1135,36,33,18,0,20,16,7,4,22,3,37,253,3,400,12,8,12,15,5,4,7,9,15,3,18,40,208,295,408,594,167,63,173,197,62,64,832,62,660,4214,307,6732,88,46,29,56,31,55,23,25
801011004,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,20,3,0,3,3,3,3,28,0,18,97,10,190,36,25,9,0,5,15,4,4,44,3,30,81,7,185,96,63,31,4,52,36,8,25,96,10,74,192,20,478,41,52,20,0,25,13,5,13,51,8,41,164,12,339,63,92,16,0,30,21,8,9,98,4,89,408,20,718,31,42,15,0,12,3,0,7,46,3,41,186,5,331,0,5,3,0,0,0,0,0,4,0,4,25,0,46,0,3,0,0,9,0,0,0,0,0,4,24,88,121,286,305,97,10,145,97,36,61,371,27,305,1187,158,2407,52,54,23,7,23,25,6,10
801011005,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,10,5,0,0,0,0,0,18,0,11,82,0,128,15,16,7,0,15,9,3,8,20,0,22,83,5,153,67,49,16,5,22,29,7,14,72,7,63,135,13,347,50,33,16,7,16,23,0,9,34,3,38,146,7,284,98,67,45,5,24,27,7,14,97,6,100,304,14,629,57,68,20,0,8,15,4,7,75,0,89,335,19,603,18,20,8,0,3,10,0,0,23,0,22,116,9,199,0,3,3,0,5,0,0,0,3,0,0,7,73,94,312,272,120,16,95,110,27,44,344,22,353,1212,135,2450,46,17,10,8,18,22,4,12
801011006,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31,61,13,4,33,17,6,9,63,0,62,273,16,477,35,53,5,0,22,15,3,11,63,3,43,210,14,386,147,96,30,13,68,63,20,30,120,12,116,308,22,727,87,77,21,0,53,33,9,17,116,12,91,378,15,708,156,201,62,0,82,45,13,18,195,13,193,893,43,1593,85,151,31,0,81,13,14,9,157,5,145,696,32,1219,23,28,5,0,18,11,0,5,19,0,20,158,4,259,11,3,0,0,0,0,0,0,7,3,7,27,151,197,586,665,167,18,349,201,66,103,732,50,676,2933,287,5560,100,71,27,14,47,56,10,33
801011007,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21,33,8,0,12,10,3,0,49,4,24,154,4,275,43,37,14,6,19,22,0,13,62,5,45,172,10,334,112,87,33,5,72,60,19,32,126,10,109,279,23,680,74,57,43,5,40,35,13,16,77,8,67,305,14,596,113,135,44,0,60,29,11,11,143,7,144,686,28,1205,77,113,30,0,43,12,13,9,114,4,109,556,21,941,18,30,12,0,8,4,0,3,25,0,28,149,7,245,4,0,0,0,0,0,0,0,0,0,0,14,96,115,461,491,176,14,253,166,56,83,602,39,536,2324,208,4394,62,48,23,10,31,27,13,24
801011008,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16,26,8,3,15,9,0,7,32,3,36,175,7,286,34,34,10,0,24,17,8,0,50,3,46,170,9,328,167,101,41,12,84,59,12,45,131,24,128,293,13,738,57,54,25,0,38,26,6,22,57,3,47,291,15,519,108,98,42,3,59,45,14,22,103,9,133,564,21,1020,68,89,22,0,41,17,6,0,81,4,72,427,7,727,12,21,10,0,10,4,0,0,14,0,21,129,6,197,7,9,0,0,6,0,4,4,3,0,6,20,111,149,468,424,165,20,270,181,52,93,482,41,494,2074,189,3960,94,60,39,16,57,43,16,31
801011009,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25,22,8,0,6,9,0,4,33,0,31,126,11,223,29,21,10,0,9,6,3,0,32,0,33,100,6,206,81,48,28,5,43,30,12,23,83,8,79,163,4,431,50,43,17,3,31,16,0,12,45,5,36,186,3,360,86,87,24,0,44,37,4,16,95,4,67,431,15,747,63,73,24,0,33,25,12,8,75,3,82,400,21,674,17,13,14,0,4,8,0,0,15,0,19,96,3,162,3,5,3,0,0,0,0,3,0,0,5,4,79,90,353,312,130,6,175,125,35,70,379,27,350,1512,136,2900,60,33,22,5,30,15,5,14
801011010,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18,20,8,0,6,4,4,4,25,0,17,72,0,137,18,15,3,0,10,0,0,3,26,0,14,73,0,134,54,41,13,3,10,27,6,13,36,3,48,77,3,220,53,32,16,3,11,21,6,8,41,0,35,96,4,221,65,40,22,5,30,19,10,9,47,0,61,246,5,445,34,40,17,0,16,9,5,5,52,0,43,209,11,375,11,20,0,0,3,0,0,0,14,0,16,55,0,114,3,0,0,0,0,0,0,0,3,0,0,10,33,47,247,206,87,13,97,92,26,36,241,8,237,844,67,1707,38,23,17,11,11,12,10,4
