SA2_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
801011001,24,307,405,103,44,892,8,897
801011002,565,2437,883,99,25,4013,32,4042
801011003,125,1266,961,201,93,2649,34,2679
801011004,64,452,442,132,65,1155,14,1167
801011005,56,561,465,95,44,1225,11,1237
801011006,40,696,1139,350,194,2415,10,2424
801011007,45,591,870,296,148,1951,15,1964
801011008,125,679,694,217,96,1817,20,1835
801011009,15,315,539,215,120,1205,13,1214
801011010,8,186,330,131,77,725,3,730
801011011,29,382,519,170,87,1184,11,1196
801011012,0,0,0,0,0,0,0,0
801011013,62,438,449,130,90,1170,13,1181
801011014,52,430,529,154,71,1231,12,1236
801011015,151,947,818,223,110,2259,28,2289
801011016,124,843,1091,380,214,2645,32,2677
801011017,57,481,569,175,103,1389,17,1401
801011018,31,362,413,120,50,974,10,990
801011019,64,799,1150,324,141,2482,17,2502
801011020,104,590,395,122,48,1253,7,1260
801011021,29,280,413,141,94,961,7,963
801011022,43,394,501,174,79,1187,8,1198
801011023,102,552,358,107,44,1166,14,1180
801011024,62,490,429,103,63,1141,7,1147
801011025,37,268,420,124,70,920,13,926
801011026,14,264,411,140,96,921,6,930
801011111,0,0,0,0,0,5,0,5
801011142,0,0,0,0,0,0,0,0
801011143,0,85,114,23,10,241,0,239
801011144,0,0,0,0,0,3,0,3
801031031,0,0,0,5,0,7,0,7
801031032,0,0,0,0,3,5,0,5
801031113,55,206,94,20,23,392,11,404
801031114,0,14,20,5,4,44,0,44
801031115,0,16,22,7,10,55,0,56
801041034,50,611,915,277,168,2024,16,2039
801041035,37,570,1034,316,146,2106,14,2116
801041036,42,694,1065,268,109,2177,25,2202
801041037,38,565,840,148,75,1668,16,1686
801041038,15,343,700,206,93,1360,14,1373
801041039,134,1061,1024,248,103,2574,37,2609
801041040,237,1496,1069,255,124,3184,41,3219
801041043,0,19,43,27,15,105,0,105
801041044,105,1026,1207,269,131,2739,31,2768
801041045,0,0,0,0,0,4,0,4
801041046,114,1562,1673,439,241,4027,26,4053
801041047,38,568,1009,390,254,2260,13,2276
801041048,89,753,812,236,123,2014,16,2038
801041116,0,0,0,0,0,0,0,0
801041117,0,0,0,0,0,0,0,0
801041118,10,92,113,16,6,233,5,237
801041119,0,0,3,0,0,3,0,3
801041120,39,440,853,186,75,1586,18,1604
801041121,18,175,310,77,36,624,11,629
801041122,8,181,394,82,43,710,3,713
801051049,0,0,0,0,0,0,0,0
801051050,195,842,654,205,101,2000,18,2018
801051051,582,1980,647,98,35,3347,35,3380
801051053,417,1057,274,29,0,1779,17,1796
801051054,156,743,392,99,29,1426,14,1431
801051055,110,681,575,177,60,1608,20,1626
801051056,75,507,424,125,44,1175,7,1181
801051057,283,1296,682,153,73,2489,20,2514
801051058,190,938,765,237,107,2234,17,2253
801051060,303,1184,492,108,27,2113,20,2138
