SA2_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
801011001,8,5,4,0,0,0,18,0,0,0,0,0,0,5,0,3,0,0,0,0,6,0,0,0,0,0,0,3,0,0,3,0,0,0,7,3,0,7,0,0,0,12,0,0,6,3,0,0,16,5,6,6,0,0,0,8,5,0,0,3,0,0,7,3,3,0,0,0,0,15,5,5,0,0,0,0,12,8,11,4,0,0,0,24,0,12,0,0,0,0,16,0,7,0,0,0,0,6,4,22,6,0,0,0,39,10,47,6,8,0,0,74,4,13,10,0,0,0,34,0,10,3,0,0,0,15,4,11,0,0,3,0,19,65,167,61,15,15,0,324
801011002,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,0,0,0,5,12,0,0,0,0,0,17,20,10,0,3,0,0,31,30,17,4,0,3,0,58,35,10,4,5,4,0,57,40,23,6,4,6,0,73,24,5,0,3,0,0,34,24,8,0,0,0,0,38,8,6,4,6,0,0,15,4,8,0,0,0,0,10,6,3,0,0,0,0,16,12,5,4,0,0,0,18,6,6,0,0,0,0,5,0,0,0,0,0,0,3,3,0,0,0,0,0,11,241,102,24,24,20,3,411
801011003,11,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,7,0,0,0,0,0,0,3,5,3,0,3,0,0,11,18,4,3,0,3,0,35,16,10,0,3,0,0,33,17,14,0,8,0,0,43,17,12,10,0,6,0,49,16,8,0,4,4,0,26,23,17,9,6,3,0,55,8,8,0,0,0,0,23,8,8,0,0,0,0,21,9,20,5,5,0,0,39,17,25,4,0,0,0,53,5,9,8,0,5,0,25,4,11,3,0,0,0,22,4,7,6,0,3,0,16,194,171,50,33,37,3,487
801011004,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,4,3,0,0,0,11,4,0,3,0,0,0,15,7,10,0,0,0,0,24,5,7,5,3,3,0,21,20,26,7,4,3,5,56,17,23,9,7,3,0,63,17,21,0,3,4,0,49,11,27,3,5,6,0,47,0,17,0,3,0,0,29,4,15,4,0,0,0,22,8,16,0,0,0,0,27,9,12,5,4,0,0,30,0,5,0,0,0,0,10,0,0,0,0,0,0,0,4,6,0,0,0,0,8,123,182,40,36,31,9,419
801011005,3,0,3,0,0,0,18,0,0,0,0,0,0,3,4,0,0,0,0,0,10,0,5,0,0,0,0,7,3,0,0,0,0,0,3,4,3,0,0,0,0,10,0,3,0,0,0,0,11,0,3,0,3,0,0,9,0,3,0,0,3,0,12,6,10,7,0,4,0,25,7,9,0,0,0,0,15,7,16,4,5,0,0,29,4,10,4,5,0,0,28,7,13,0,0,0,0,20,11,24,3,0,0,0,45,14,32,3,0,3,0,53,6,12,0,5,0,0,22,10,5,0,0,0,0,14,3,0,0,0,0,0,9,93,166,30,21,20,6,334
801011006,7,7,11,0,4,0,32,8,0,0,0,0,0,9,5,0,4,0,0,0,13,4,0,0,0,0,0,10,8,10,7,4,3,0,25,6,0,5,5,9,0,30,12,13,4,4,4,0,34,28,17,12,6,3,0,72,29,39,15,3,0,3,85,23,59,13,10,13,0,122,25,65,16,6,15,0,132,40,113,25,17,13,0,208,17,51,12,8,5,0,93,12,27,4,3,0,0,61,36,106,18,3,6,0,170,23,57,20,8,0,0,107,4,20,10,0,0,0,38,0,8,3,0,0,0,16,14,18,7,0,4,0,44,294,624,205,77,83,12,1296
801011007,6,6,5,0,0,0,16,6,0,0,0,0,0,5,0,0,4,0,0,0,7,0,0,3,0,5,0,7,6,5,0,0,0,0,15,5,11,5,0,0,0,28,12,13,8,0,4,0,30,12,15,8,5,0,0,34,11,24,12,4,4,0,55,7,29,11,4,4,0,52,17,27,5,5,3,0,58,30,45,13,9,0,0,105,10,32,3,6,0,0,54,12,21,7,3,0,0,37,19,49,8,5,0,0,71,18,51,12,0,0,0,85,11,12,5,0,0,0,25,3,14,3,0,0,0,25,8,11,5,0,5,0,27,187,365,111,46,41,8,756
801011008,6,6,4,0,0,0,20,6,0,0,0,0,0,5,0,3,5,0,4,0,6,3,6,3,0,0,0,12,0,3,5,0,0,0,7,7,0,0,0,0,0,8,10,4,7,0,0,0,26,7,13,3,0,0,0,32,12,8,6,4,0,0,34,11,28,4,0,8,0,48,10,19,5,3,3,0,41,17,26,4,5,5,0,63,3,14,6,0,0,3,25,8,15,0,0,4,0,29,15,39,3,0,0,0,55,14,26,10,3,0,0,52,4,5,5,0,0,0,18,0,5,0,0,0,0,6,8,7,0,0,3,0,18,141,217,71,26,34,8,498
801011009,3,8,4,0,0,0,15,4,0,0,0,0,0,4,5,0,0,0,0,0,5,3,0,0,0,0,0,4,0,5,5,0,0,0,5,4,3,3,0,0,0,11,5,3,0,0,0,0,15,0,9,8,0,0,0,20,5,18,6,3,3,0,34,6,21,3,3,3,0,41,9,22,9,0,4,0,37,22,28,13,3,4,0,74,13,25,0,0,0,0,38,10,15,0,0,0,0,20,15,47,12,0,0,0,81,17,45,10,5,0,0,83,4,6,0,5,0,0,16,8,6,7,0,0,0,16,5,5,3,0,0,0,18,137,268,85,28,26,3,550
801011010,0,5,0,0,0,0,5,0,0,5,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,5,9,4,0,4,0,0,10,3,0,0,0,0,0,7,0,6,8,6,5,0,21,4,5,0,0,0,0,13,4,11,11,6,0,0,22,0,7,3,3,0,0,16,17,28,3,3,0,0,49,4,12,3,0,0,0,24,0,12,0,0,0,0,15,5,26,9,7,0,0,47,8,29,7,0,0,0,41,0,5,6,0,0,0,13,0,4,0,0,0,0,7,0,6,0,0,3,0,14,66,155,60,26,22,0,322
