SA3_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
80101,1041,538,551,1085,485,529,1019,489,475,962,473,517,991,2496,2603,5101,463,552,1022,454,502,957,437,530,965,455,520,982,462,547,1012,2282,2657,4933,418,467,884,406,509,919,411,509,917,415,534,949,394,491,881,2044,2505,4558,440,537,977,373,517,896,455,473,926,416,494,913,471,508,981,2150,2536,4687,363,391,748,309,370,680,289,342,632,271,282,547,250,293,539,1477,1667,3150,893,1038,1928,468,584,1051,186,290,474,48,83,136,0,9,6,52533,53530,106061
80103,21,15,3,20,16,12,22,44,13,48,17,10,30,95,43,143,10,15,28,16,6,28,11,4,21,24,4,32,20,6,33,85,46,135,10,11,19,18,19,32,8,8,16,8,3,16,4,9,20,55,50,103,10,0,7,11,3,12,3,4,9,11,6,15,13,12,22,43,28,73,5,4,11,4,3,15,9,0,13,8,4,11,6,9,12,37,19,56,17,19,30,4,0,8,5,0,7,0,0,0,0,0,0,1289,646,1934
80104,795,376,396,771,370,363,733,334,391,722,334,340,670,1818,1880,3701,302,305,598,315,291,607,275,293,561,237,264,506,228,302,529,1357,1453,2806,237,305,543,218,254,469,203,248,450,228,226,455,173,228,400,1063,1263,2325,170,238,410,181,230,402,124,173,301,163,173,333,168,198,364,814,1005,1815,134,147,277,114,125,239,107,108,219,89,124,209,91,118,207,530,620,1150,285,362,647,126,148,280,37,43,80,6,12,16,0,0,3,43701,43981,87682
80105,570,298,267,562,295,278,569,263,267,527,298,284,581,1416,1396,2814,277,281,551,246,286,534,245,259,506,232,234,463,202,219,427,1204,1277,2482,219,241,461,197,186,379,217,200,416,188,245,425,192,170,364,1007,1031,2044,177,203,376,191,187,372,165,178,347,142,174,313,143,174,319,814,915,1726,138,135,269,129,137,266,120,144,266,78,119,199,111,106,212,573,641,1210,327,540,872,251,388,639,140,176,320,31,75,101,0,8,13,30179,31002,61188
80106,400,197,199,396,197,209,401,208,187,393,206,230,431,992,1024,2022,192,183,374,207,201,409,199,189,386,155,221,377,153,151,309,902,948,1850,170,185,353,128,154,280,143,169,312,162,153,314,138,176,315,738,827,1573,140,176,313,164,181,351,155,148,306,167,180,349,174,182,354,807,866,1671,130,156,291,134,112,246,98,116,209,80,84,163,81,87,165,517,555,1079,297,379,673,153,281,436,86,201,282,26,79,106,0,9,11,15257,16331,31592
80107,1172,561,604,1167,551,689,1235,599,637,1241,600,662,1260,2860,3218,6079,604,630,1238,548,590,1131,521,587,1108,505,588,1096,530,550,1086,2703,2949,5653,498,557,1049,424,559,986,462,491,955,483,486,962,442,505,947,2309,2596,4903,413,433,845,402,412,815,385,395,781,363,393,758,353,400,749,1918,2035,3953,323,309,631,208,261,471,199,258,456,201,211,416,158,205,364,1090,1240,2329,651,840,1487,335,508,846,129,219,351,22,55,76,4,4,10,44054,45414,89461
80108,291,135,132,261,125,118,241,125,134,257,130,153,282,653,682,1333,104,158,263,122,132,253,114,135,249,127,124,254,100,140,232,565,682,1249,115,104,211,111,109,219,111,110,217,102,109,208,103,157,259,539,580,1120,84,149,237,133,170,299,104,178,282,135,153,289,136,195,332,603,840,1444,137,132,267,125,149,272,109,136,244,84,104,187,107,115,217,558,632,1190,314,398,712,187,252,433,80,105,182,17,36,56,3,9,14,11952,12676,24630
80109,501,228,224,453,213,244,460,223,209,433,221,250,470,1110,1205,2311,252,220,470,221,220,446,183,210,393,187,183,368,178,193,369,1023,1021,2047,143,197,338,160,167,327,170,161,332,157,186,344,145,186,332,774,902,1667,166,157,322,159,155,312,147,173,325,147,183,328,162,187,355,782,855,1639,127,197,323,127,164,292,131,173,300,114,179,297,141,168,312,642,886,1522,529,686,1210,320,403,724,142,225,364,43,81,119,0,9,8,19118,20165,39279
80110,76,33,42,73,39,28,63,37,40,75,36,27,64,173,177,355,12,24,45,16,34,52,22,30,55,30,36,57,13,25,37,94,147,240,17,30,50,11,15,27,16,22,42,12,16,30,22,18,38,86,102,182,14,13,27,6,9,16,15,10,22,24,12,30,11,12,29,65,66,130,10,4,11,7,8,7,9,3,11,4,9,8,3,4,6,29,21,49,13,16,32,5,9,19,0,0,3,0,0,0,0,0,0,5610,5828,11435
80111,8,8,0,9,3,0,8,0,6,3,12,0,9,22,10,34,9,3,9,0,11,6,0,8,10,4,7,5,0,0,7,14,30,45,0,9,8,5,0,4,3,0,10,0,0,0,0,0,4,13,5,25,0,4,4,0,0,0,0,3,3,0,0,4,5,0,5,10,5,18,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,7,7,4,0,4,0,5,4,0,0,0,0,0,0,0,0,0,328,300,625
