SA3_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
80101,0,21,2649,2672,81,455,2912,3443,2523,1988,4067,8579,4544,1083,1839,7467,3560,747,1576,5885,2829,403,1202,4430,2883,198,825,3908,1606,66,493,2162,348,7,213,566,18369,4973,15770,39109,0,40,2396,2440,187,664,2587,3441,3333,2119,3037,8491,4702,1050,1913,7666,3420,678,1900,5996,2806,338,1784,4926,2739,177,1778,4696,1156,50,1253,2461,169,5,550,717,18516,5121,17203,40841,0,63,5048,5112,268,1117,5500,6885,5859,4104,7106,17073,9247,2135,3751,15138,6979,1428,3469,11877,5641,739,2980,9354,5623,379,2609,8605,2765,114,1749,4626,514,11,761,1282,36889,10094,32967,79954
80103,0,0,10,10,0,0,27,27,9,9,40,66,25,12,33,72,33,9,56,95,32,12,62,101,27,4,27,59,15,0,25,41,0,0,5,4,137,45,290,478,0,0,24,24,0,8,17,27,23,13,19,53,26,7,21,60,31,9,21,64,22,9,30,62,23,3,31,56,11,0,19,29,0,0,8,8,144,48,194,385,0,0,40,40,0,3,42,54,37,23,64,119,55,20,50,127,65,14,77,156,55,19,93,166,46,13,63,119,23,0,44,71,0,0,5,11,282,96,485,861
80104,3,18,2380,2397,69,314,2368,2749,2734,1521,3307,7569,5577,822,1443,7835,3972,441,1000,5415,2224,192,583,3000,1337,82,327,1743,608,23,132,765,105,0,55,159,16634,3410,11590,31639,3,34,2321,2357,178,495,2002,2675,3891,1628,2329,7844,5683,770,1505,7962,3545,366,1376,5285,1918,165,1100,3178,1139,64,906,2108,392,5,509,910,42,0,155,194,16784,3533,12202,32517,6,51,4695,4759,246,807,4369,5427,6626,3149,5637,15409,11256,1592,2945,15797,7520,802,2377,10701,4148,361,1676,6184,2473,146,1231,3847,1005,28,642,1677,146,0,203,356,33425,6939,23791,64155
80105,0,17,1070,1087,38,400,2078,2518,1029,1774,2975,5784,1845,731,1158,3738,1615,433,888,2941,1276,320,743,2342,957,144,488,1588,516,37,225,776,183,8,133,327,7468,3860,9768,21094,4,23,1012,1036,60,546,2505,3109,1308,1722,2791,5824,1950,650,1161,3762,1665,445,998,3113,1178,259,1012,2455,859,100,789,1750,403,26,606,1036,97,7,380,485,7525,3779,11254,22565,4,39,2082,2127,102,940,4582,5625,2337,3499,5768,11607,3795,1379,2322,7498,3283,880,1888,6051,2454,580,1761,4795,1823,245,1278,3338,918,59,831,1813,282,13,518,809,14996,7638,21030,43660
80106,0,3,757,759,7,109,687,802,421,722,1184,2328,1014,320,568,1902,1215,199,487,1898,1083,169,433,1689,937,96,281,1320,548,18,133,705,121,0,72,197,5350,1648,4591,11591,0,5,702,714,23,139,652,812,581,729,1187,2491,1176,286,662,2131,1184,195,600,1979,1050,129,602,1785,911,58,500,1465,377,8,406,790,60,7,296,360,5355,1558,5608,12518,0,7,1458,1466,31,245,1339,1612,998,1449,2365,4816,2190,609,1228,4028,2398,396,1086,3876,2136,301,1038,3473,1850,152,782,2784,926,37,539,1494,184,6,365,558,10712,3205,10196,24114
80107,0,15,2612,2625,38,272,2281,2584,1744,1413,2517,5672,3478,835,1321,5635,3430,647,1303,5382,3582,446,1218,5241,2890,217,808,3912,1177,53,348,1585,236,3,146,387,16575,3901,12550,33031,0,21,2324,2342,98,442,1812,2346,2332,1466,2012,5808,3741,784,1446,5964,3498,637,1685,5818,3563,409,1871,5850,2483,160,1648,4292,850,34,980,1858,103,7,460,576,16672,3957,14233,34860,0,34,4937,4973,136,708,4090,4937,4072,2877,4527,11479,7218,1624,2764,11603,6928,1281,2983,11195,7149,856,3087,11087,5374,376,2453,8206,2023,88,1329,3446,345,11,607,963,33247,7859,26782,67889
80108,0,5,702,706,6,47,491,548,373,333,484,1190,1046,219,309,1575,1025,212,360,1601,736,114,279,1138,752,60,230,1033,576,20,164,764,128,3,83,214,4647,1010,3105,8768,0,4,627,635,17,71,426,510,535,342,386,1262,1115,238,342,1693,1042,203,468,1706,749,98,409,1254,732,46,523,1306,432,17,446,895,58,0,211,271,4682,1017,3832,9528,0,9,1328,1341,24,118,917,1052,912,673,870,2451,2159,463,644,3269,2067,409,830,3302,1483,212,689,2387,1482,105,756,2341,1014,36,607,1662,181,4,301,487,9329,2027,6934,18293
80109,0,5,961,971,28,136,902,1062,931,539,1285,2756,1684,323,538,2542,1434,261,561,2254,1267,167,513,1944,976,92,334,1405,761,26,235,1027,258,3,127,392,7341,1565,5450,14349,0,12,905,915,83,159,853,1089,1189,574,1102,2865,1724,308,647,2683,1492,242,722,2451,1207,162,710,2076,918,56,621,1597,658,21,708,1393,121,5,367,498,7392,1547,6640,15569,3,18,1866,1885,110,295,1749,2159,2121,1115,2389,5621,3405,635,1183,5223,2929,501,1275,4703,2467,330,1217,4020,1890,151,959,3002,1421,54,944,2420,386,8,496,888,14729,3108,12089,29925
80110,0,5,219,219,11,75,242,326,421,347,518,1284,888,128,202,1216,373,55,119,544,169,22,58,253,102,6,23,135,33,0,4,36,7,0,0,7,1999,633,1388,4020,0,6,220,225,21,111,249,377,616,326,528,1475,857,117,241,1210,279,38,172,492,144,14,139,300,94,0,53,150,18,0,25,39,4,0,12,10,2027,617,1627,4275,0,14,442,449,30,186,486,701,1040,674,1045,2759,1742,244,440,2430,649,93,288,1035,315,35,203,553,194,9,74,279,44,0,30,76,11,0,12,17,4023,1252,3017,8297
80111,0,0,14,17,0,5,10,12,14,11,10,36,29,13,5,45,32,6,5,42,20,4,3,26,14,0,4,21,4,0,3,9,0,0,0,0,116,36,61,215,0,0,13,16,0,7,11,12,18,13,7,43,34,7,0,51,22,6,4,31,19,0,13,37,9,0,5,18,4,0,0,7,0,0,0,5,112,30,64,209,0,0,31,33,0,11,22,30,34,24,21,78,63,21,13,96,53,8,14,72,41,5,17,61,30,0,8,35,4,0,6,11,3,0,0,4,236,67,123,420
