SA3_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
80101,5,31,82,295,118,114,64,22,8,733,0,0,3,13,3,7,10,7,0,45,0,3,17,30,13,8,9,0,0,87,18,109,172,842,275,248,252,137,67,2125,99,190,227,576,169,149,148,83,40,1677,3019,6210,6873,17165,6294,5258,5041,2708,961,53530,0,17,31,118,28,17,7,5,0,226,5921,11327,10352,20453,8574,6384,5747,2900,890,72545,3,22,34,257,36,10,9,5,0,375,0,0,0,29,18,23,18,17,7,116,0,6,4,81,11,6,6,0,0,121,0,3,22,59,29,23,18,4,3,159,5,17,15,109,67,40,35,10,0,293,0,9,5,67,46,60,64,35,3,285,13,61,487,1817,310,285,186,75,20,3248,0,0,0,23,20,50,103,87,41,319,0,18,17,41,7,11,8,11,0,117,10,96,154,416,390,556,640,436,183,2879,0,3,21,98,60,44,18,22,5,264,0,14,12,54,19,10,14,5,0,131
80103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,5,7,0,0,4,0,0,15,9,8,20,46,12,29,18,6,0,150,25,59,87,184,85,93,80,34,8,646,0,0,0,12,0,0,0,0,0,17,41,76,166,405,170,148,103,46,7,1164,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,13,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,4,12,5,0,34,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
80104,0,24,51,296,153,109,60,9,6,715,0,0,0,9,5,8,4,11,0,40,0,3,20,44,32,5,4,0,0,111,10,96,174,768,247,166,121,73,10,1666,91,180,160,505,140,69,72,51,9,1274,3326,6511,5303,16554,5502,3330,2262,981,205,43981,0,8,27,146,60,20,10,3,0,281,6413,11320,7481,14994,6017,3195,1903,877,181,52389,3,33,58,490,148,83,24,0,0,839,0,0,0,35,23,28,16,0,0,104,0,10,7,111,39,11,0,0,0,186,0,0,3,40,24,10,8,4,0,98,6,16,17,65,48,16,3,3,0,175,0,4,3,51,48,39,27,14,0,188,13,74,311,2407,448,423,283,56,14,4036,0,4,3,45,38,71,123,70,8,371,0,30,21,88,26,17,19,3,0,209,9,107,144,379,314,321,246,143,27,1697,0,8,20,141,60,50,30,8,3,326,0,3,3,25,11,7,0,0,4,51
80105,5,18,35,126,52,43,25,8,5,313,0,3,8,11,7,4,0,9,0,41,0,0,4,8,8,3,0,0,0,18,12,75,130,637,132,92,93,57,48,1268,35,61,628,462,82,82,85,71,67,1571,1126,2396,7029,10692,3317,2671,1948,1181,648,31002,0,0,8,34,10,8,9,0,0,68,2159,4179,9217,12865,4376,3475,2365,1179,560,40377,5,9,21,106,7,4,5,0,0,163,0,0,5,17,3,4,5,5,0,43,0,0,14,61,11,0,0,3,0,88,0,3,12,23,9,3,3,4,0,68,5,14,19,105,61,36,24,14,0,276,5,6,4,47,19,14,7,10,0,100,6,29,743,1317,132,124,62,35,24,2481,0,0,4,12,9,23,35,37,19,140,0,0,5,14,0,3,6,5,0,36,12,61,410,440,263,357,278,187,94,2107,0,0,12,34,10,16,13,3,0,90,3,10,30,79,22,15,7,0,0,170
80106,0,4,4,29,23,22,9,5,0,96,0,0,0,0,0,3,6,6,0,11,0,0,0,8,0,0,0,0,0,12,10,48,38,203,98,82,68,39,29,603,25,65,99,302,119,86,98,54,66,907,639,1523,1738,5101,2150,1975,1698,935,574,16331,0,0,0,13,0,0,0,0,0,25,1119,2487,2667,6366,2633,2516,2028,1045,497,21359,0,3,4,42,17,5,0,0,0,79,0,0,0,4,0,6,5,0,0,15,0,6,4,32,13,10,3,0,0,60,0,0,0,10,8,6,3,0,0,25,5,16,3,52,36,31,22,4,0,163,0,0,3,6,9,6,4,5,0,35,4,36,41,228,85,55,33,13,3,501,0,0,0,4,5,5,19,28,7,65,0,4,0,7,0,0,3,3,0,26,4,53,68,182,195,273,245,169,63,1254,0,3,4,21,11,8,3,3,0,52,0,21,16,57,30,22,0,0,4,148
80107,0,4,16,90,67,89,36,15,8,328,0,4,0,5,5,13,9,7,6,39,0,0,8,17,11,6,6,3,0,54,3,47,81,362,253,264,242,157,46,1464,60,166,118,350,149,111,144,122,68,1277,2622,5723,4959,12370,6069,6167,4630,2075,788,45414,0,4,7,30,11,10,10,0,0,64,5247,10625,9035,18139,8488,8031,5641,2048,678,67926,0,3,10,78,26,35,14,7,0,165,0,0,0,16,10,21,23,11,7,87,0,0,0,29,8,3,3,0,0,48,0,0,3,18,10,9,9,3,0,52,0,8,9,70,41,39,24,0,0,193,0,6,0,29,26,29,35,17,0,136,0,13,28,198,91,98,72,36,8,545,0,0,0,7,23,55,81,73,19,252,4,4,0,19,10,18,15,7,0,79,5,67,109,333,382,773,614,401,149,2825,0,3,10,50,28,36,13,7,0,144,3,4,5,38,19,20,10,4,0,107
80108,0,0,8,16,4,9,7,0,0,51,0,0,0,0,0,3,4,5,0,16,0,0,0,4,10,9,0,0,0,20,3,16,21,97,63,66,64,63,38,433,20,37,34,106,42,48,53,47,24,417,715,1626,1206,3131,1780,1368,1418,1032,400,12676,0,3,0,9,0,0,0,0,0,10,1357,3009,2127,4299,2548,1720,1682,1142,349,18226,0,0,0,23,4,5,3,0,0,39,0,0,0,0,6,0,0,0,0,9,0,0,0,13,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,9,0,0,6,30,15,15,10,4,4,91,0,0,0,4,7,0,10,5,0,28,0,11,11,95,39,37,38,11,4,245,0,0,0,4,3,13,23,43,12,93,0,0,0,0,0,6,5,3,5,18,0,39,35,104,121,191,167,166,81,904,0,3,10,20,9,3,0,0,0,49,0,3,5,22,11,3,0,9,0,57
80109,0,4,4,36,17,14,16,3,0,97,0,0,0,3,0,0,3,3,0,9,0,4,3,8,6,4,0,0,0,29,3,63,58,383,118,85,97,99,41,952,18,63,55,179,83,59,77,81,48,666,944,2308,2150,5879,2602,2230,1755,1570,717,20165,0,4,7,17,6,6,3,0,0,41,1846,3925,3333,6205,3342,2800,1954,1538,665,25603,0,13,17,72,27,7,9,0,0,146,0,0,0,12,4,3,0,3,0,27,0,0,0,37,9,0,3,0,0,57,0,0,5,8,0,0,0,0,0,24,0,13,25,40,22,31,9,11,3,158,0,3,0,9,13,14,0,4,0,39,7,36,41,289,95,105,68,41,9,676,0,0,0,0,3,6,19,33,21,87,0,5,5,10,6,0,3,0,4,44,9,70,62,155,173,277,218,240,112,1310,0,0,11,30,12,18,11,12,4,95,0,8,3,19,18,0,17,7,5,74
80110,0,0,4,22,14,3,0,0,0,42,0,0,0,5,0,0,0,0,0,3,0,0,4,7,3,0,4,0,0,14,7,29,32,141,34,23,8,0,0,282,13,18,23,84,16,11,12,0,0,177,469,839,644,2826,517,324,165,39,10,5828,0,0,0,16,0,3,0,0,0,19,936,1274,800,2460,508,267,135,37,4,6415,0,10,5,85,16,6,3,0,0,128,0,0,0,0,0,0,4,0,0,4,0,0,0,20,0,0,0,0,0,22,0,0,5,10,0,0,0,0,0,11,0,4,7,12,4,4,0,0,0,31,0,0,0,10,0,0,4,0,0,22,0,13,12,278,19,37,11,5,0,382,0,0,0,6,0,4,0,0,0,3,0,0,0,12,0,0,0,0,0,20,0,31,18,69,26,29,23,10,0,201,0,0,0,10,5,0,0,0,0,22,0,4,0,12,8,0,0,0,0,18
80111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,3,4,5,4,0,0,0,22,24,40,32,99,35,43,17,7,5,300,0,0,0,0,0,0,0,0,0,0,47,91,62,164,71,55,24,8,4,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
