SA3_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
80101,18,23,18,28,8,3,0,285,0,0,0,3,4,12,64,34,10,9,12,4,0,0,0,150,0,7,27,23,30,24,42,43,4,3,0,8,0,0,0,215,9,163,181,69,27,10,21,29,0,6,6,6,0,0,17,550,0,3,4,19,15,28,61,34,5,5,9,4,5,0,3,193,0,0,0,11,43,42,133,130,16,17,24,22,10,3,12,452,0,0,10,10,14,17,19,6,3,4,4,0,5,0,9,105,6,7,41,85,111,57,94,72,27,22,17,14,8,0,7,573,0,0,0,0,5,4,90,292,198,361,262,140,26,0,41,1421,5,110,27,12,25,3,21,15,9,3,0,0,0,0,10,254,6,13,76,150,181,187,198,163,16,26,15,7,11,9,32,1085,0,0,31,26,8,18,7,6,0,0,0,0,0,0,0,93,0,0,0,9,7,37,148,205,61,48,56,37,24,6,9,643
80103,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,8,4,0,0,0,0,0,0,0,10,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,13
80104,6,0,10,22,11,0,5,256,0,0,0,0,3,11,40,17,22,7,9,11,0,0,0,125,0,0,8,7,16,6,32,35,3,0,0,4,0,0,0,115,0,60,49,30,17,9,17,25,3,0,0,5,0,0,6,229,0,0,0,4,9,14,64,33,7,0,0,3,0,5,7,153,0,0,0,7,27,109,425,258,35,41,35,47,25,5,33,1059,0,0,9,0,6,11,13,4,3,0,8,0,5,0,0,60,0,5,26,54,95,57,124,104,20,39,13,26,11,13,18,608,0,0,0,0,7,26,228,406,190,349,254,123,12,0,33,1639,3,34,14,3,9,8,14,8,0,0,0,0,3,0,0,93,0,5,31,84,141,174,196,159,19,17,24,24,14,6,17,908,0,0,23,20,32,22,28,11,0,3,0,0,0,0,0,143,0,0,0,3,31,90,430,449,75,69,72,71,38,6,20,1353
80105,10,11,13,7,12,0,6,156,0,0,0,0,0,14,3,4,7,0,0,0,0,0,0,41,0,10,8,18,24,14,25,23,0,3,0,0,4,0,0,126,4,49,62,14,6,13,16,33,3,7,4,0,4,0,4,235,0,0,0,7,20,27,37,27,10,9,5,8,3,3,0,159,0,0,0,13,31,41,147,110,14,19,10,15,13,0,12,420,0,0,0,7,9,4,8,5,0,0,0,0,0,0,0,36,7,0,22,41,67,37,85,72,22,22,33,36,19,7,10,481,0,0,0,0,3,4,23,69,36,85,76,41,0,0,7,343,6,54,17,16,9,11,21,15,0,3,0,0,9,0,0,168,0,16,59,95,132,123,178,95,17,16,23,13,20,19,15,823,0,0,11,3,7,7,3,5,0,0,0,0,3,0,0,41,0,0,0,0,4,19,19,51,6,20,22,15,6,9,7,179
80106,0,3,0,0,4,4,0,89,0,0,0,0,5,7,14,22,5,0,0,0,0,0,0,49,0,0,13,11,10,15,16,11,4,0,0,3,0,0,3,73,6,64,59,15,9,11,5,17,0,4,0,4,0,0,0,196,0,0,0,10,8,18,27,15,0,5,0,7,4,0,3,95,0,0,5,9,26,23,27,32,6,0,4,3,0,0,0,139,0,4,3,0,4,3,6,0,5,0,0,0,0,0,0,19,0,6,16,38,60,25,39,20,6,7,4,3,0,0,3,234,0,0,0,0,0,0,14,47,33,58,37,13,0,0,3,215,4,37,12,7,5,6,8,10,0,0,0,4,0,0,0,103,5,19,27,49,67,86,83,29,9,9,13,6,7,6,10,423,0,0,3,11,11,3,0,3,0,0,0,0,0,0,0,37,0,0,0,0,3,15,12,32,7,0,4,5,9,0,3,94
80107,0,9,4,0,0,0,0,119,0,0,0,0,3,30,75,55,46,12,8,8,0,0,0,237,0,11,15,27,43,21,14,37,0,0,0,3,0,0,4,168,8,83,118,37,14,6,5,10,7,0,0,0,0,0,11,296,0,4,4,8,0,21,37,15,0,0,0,0,0,0,0,90,0,0,0,5,24,21,57,33,3,0,3,0,0,0,3,155,0,0,15,27,61,25,42,11,0,0,5,4,0,0,11,197,0,11,60,79,116,27,35,30,4,3,0,7,0,0,5,381,0,0,0,0,0,0,76,160,74,90,87,34,11,0,8,542,6,107,39,23,17,0,13,5,0,0,0,0,0,0,9,220,7,14,80,168,205,159,146,100,6,9,10,8,4,4,30,952,0,3,14,17,12,9,13,10,0,0,3,0,0,0,0,75,0,0,3,5,3,40,57,67,4,7,18,0,3,0,3,214
80108,0,0,4,0,5,0,0,67,0,0,0,0,0,5,16,0,5,7,3,0,0,0,0,34,0,6,8,4,7,8,11,12,0,0,0,0,0,0,0,59,8,39,47,14,3,4,3,21,0,0,0,0,4,0,3,152,0,0,0,0,6,3,18,3,0,0,0,0,0,0,0,30,0,0,0,0,7,11,13,4,3,0,0,0,0,0,0,41,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,16,0,6,19,23,32,13,6,8,0,0,0,0,6,13,12,130,0,0,0,0,0,0,17,28,23,35,27,16,4,0,3,145,0,34,3,4,3,3,6,3,0,0,0,0,0,0,3,68,0,6,40,47,48,47,36,28,0,0,0,4,8,0,7,290,0,0,0,3,14,3,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,4,19,26,6,3,0,0,0,5,3,73
80109,6,4,5,4,7,0,0,76,0,0,0,0,0,6,16,17,0,0,6,8,5,0,0,52,0,12,18,12,20,8,12,20,3,0,0,0,0,0,0,112,8,97,58,19,5,7,12,13,0,0,0,0,0,0,5,231,0,3,0,6,8,15,25,12,5,0,5,0,0,0,0,95,0,0,0,0,16,18,58,36,8,6,8,3,0,0,6,169,0,0,0,0,14,4,4,4,0,0,0,0,0,0,0,27,0,7,33,32,72,26,42,29,21,8,17,7,5,3,3,320,0,0,0,0,0,0,53,214,131,271,227,82,20,0,16,1022,4,35,14,8,7,4,3,5,0,0,0,0,0,0,0,91,8,12,45,77,80,76,80,35,21,9,9,12,5,5,19,486,0,0,3,4,14,8,10,0,0,0,0,5,0,0,0,44,0,0,0,0,4,20,45,56,19,22,8,8,4,3,0,191
80110,0,0,0,0,0,0,0,66,0,0,0,0,4,7,13,11,13,0,4,0,0,0,0,45,0,0,3,0,5,0,4,8,4,0,0,0,0,0,0,28,0,4,3,0,0,0,0,6,0,0,0,0,0,0,0,18,0,0,0,0,4,3,11,5,0,0,0,0,3,0,0,29,0,0,0,0,7,11,48,26,4,5,0,4,3,5,0,119,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,11,0,0,5,3,15,6,23,40,6,0,3,0,0,0,3,113,0,0,0,0,0,3,66,105,39,55,49,31,7,0,0,350,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,12,13,9,21,13,0,3,3,0,0,0,0,86,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,14,0,0,0,0,3,10,66,42,8,0,4,4,0,4,0,143
80111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
