SA3_CODE_2021,A25_34_UOLSE_T_11_15,A25_34_UOLSE_T_16,A25_34_UOLSE_T_17,A25_34_UOLSE_T_18,A25_34_UOLSE_T_19,A25_34_UOLSE_T_20,A25_34_UOLSE_T_21,A25_34_UOLSE_T_YNS,A25_34_UOLSE_T_T,A25_34_L_PinE_NS_B_05,A25_34_L_PinE_NS_05_10,A25_34_L_PinE_NS_11_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_17,A25_34_L_PinE_NS_18,A25_34_L_PinE_NS_19,A25_34_L_PinE_NS_20,A25_34_L_PinE_NS_21,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B_05,A25_34_T_05_10,A25_34_T_11_15,A25_34_T_16,A25_34_T_17,A25_34_T_18,A25_34_T_19,A25_34_T_20,A25_34_T_21,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B_05,A35_44_SEO_05_10,A35_44_SEO_11_15,A35_44_SEO_16,A35_44_SEO_17,A35_44_SEO_18,A35_44_SEO_19,A35_44_SEO_20,A35_44_SEO_21,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_UOLSE_VWW_B_05,A35_44_UOLSE_VWW_05_10,A35_44_UOLSE_VWW_11_15,A35_44_UOLSE_VWW_16,A35_44_UOLSE_VWW_17,A35_44_UOLSE_VWW_18,A35_44_UOLSE_VWW_19,A35_44_UOLSE_VWW_20,A35_44_UOLSE_VWW_21,A35_44_UOLSE_VWW_YNS,A35_44_UOLSE_VWW_T,A35_44_UOLSE_NWNAA_B_05,A35_44_UOLSE_NWNAA_05_10,A35_44_UOLSE_NWNAA_11_15,A35_44_UOLSE_NWNAA_16,A35_44_UOLSE_NWNAA_17,A35_44_UOLSE_NWNAA_18,A35_44_UOLSE_NWNAA_19,A35_44_UOLSE_NWNAA_20,A35_44_UOLSE_NWNAA_21,A35_44_UOLSE_NWNAA_YNS,A35_44_UOLSE_NWNAA_T,A35_44_UOLSE_PinE_NS_B_05,A35_44_UOLSE_PinE_NS_05_10,A35_44_UOLSE_PinE_NS_11_15,A35_44_UOLSE_PinE_NS_16,A35_44_UOLSE_PinE_NS_17,A35_44_UOLSE_PinE_NS_18,A35_44_UOLSE_PinE_NS_19,A35_44_UOLSE_PinE_NS_20,A35_44_UOLSE_PinE_NS_21,A35_44_UOLSE_PinE_NS_YNS,A35_44_UOLSE_PinE_NS_T,A35_44_UOLSE_T_B_05,A35_44_UOLSE_T_05_10,A35_44_UOLSE_T_11_15,A35_44_UOLSE_T_16,A35_44_UOLSE_T_17,A35_44_UOLSE_T_18,A35_44_UOLSE_T_19,A35_44_UOLSE_T_20,A35_44_UOLSE_T_21,A35_44_UOLSE_T_YNS,A35_44_UOLSE_T_T,A35_44_L_PinE_NS_B_05,A35_44_L_PinE_NS_05_10,A35_44_L_PinE_NS_11_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_17,A35_44_L_PinE_NS_18,A35_44_L_PinE_NS_19,A35_44_L_PinE_NS_20,A35_44_L_PinE_NS_21,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B_05,A35_44_T_05_10,A35_44_T_11_15,A35_44_T_16,A35_44_T_17,A35_44_T_18,A35_44_T_19,A35_44_T_20,A35_44_T_21,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B_05,A45_54_SEO_05_10,A45_54_SEO_11_15,A45_54_SEO_16,A45_54_SEO_17,A45_54_SEO_18,A45_54_SEO_19,A45_54_SEO_20,A45_54_SEO_21,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_UOLSE_VWW_B_05,A45_54_UOLSE_VWW_05_10,A45_54_UOLSE_VWW_11_15,A45_54_UOLSE_VWW_16,A45_54_UOLSE_VWW_17,A45_54_UOLSE_VWW_18,A45_54_UOLSE_VWW_19,A45_54_UOLSE_VWW_20,A45_54_UOLSE_VWW_21,A45_54_UOLSE_VWW_YNS,A45_54_UOLSE_VWW_T,A45_54_UOLSE_NWNAA_B_05,A45_54_UOLSE_NWNAA_05_10,A45_54_UOLSE_NWNAA_11_15,A45_54_UOLSE_NWNAA_16,A45_54_UOLSE_NWNAA_17,A45_54_UOLSE_NWNAA_18,A45_54_UOLSE_NWNAA_19,A45_54_UOLSE_NWNAA_20,A45_54_UOLSE_NWNAA_21,A45_54_UOLSE_NWNAA_YNS,A45_54_UOLSE_NWNAA_T,A45_54_UOLSE_PinE_NS_B_05,A45_54_UOLSE_PinE_NS_05_10,A45_54_UOLSE_PinE_NS_11_15,A45_54_UOLSE_PinE_NS_16,A45_54_UOLSE_PinE_NS_17,A45_54_UOLSE_PinE_NS_18,A45_54_UOLSE_PinE_NS_19,A45_54_UOLSE_PinE_NS_20,A45_54_UOLSE_PinE_NS_21,A45_54_UOLSE_PinE_NS_YNS,A45_54_UOLSE_PinE_NS_T,A45_54_UOLSE_T_B_05,A45_54_UOLSE_T_05_10,A45_54_UOLSE_T_11_15,A45_54_UOLSE_T_16,A45_54_UOLSE_T_17,A45_54_UOLSE_T_18,A45_54_UOLSE_T_19,A45_54_UOLSE_T_20,A45_54_UOLSE_T_21,A45_54_UOLSE_T_YNS,A45_54_UOLSE_T_T,A45_54_L_PinE_NS_B_05,A45_54_L_PinE_NS_05_10,A45_54_L_PinE_NS_11_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_17,A45_54_L_PinE_NS_18,A45_54_L_PinE_NS_19,A45_54_L_PinE_NS_20,A45_54_L_PinE_NS_21,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B_05,A45_54_T_05_10,A45_54_T_11_15,A45_54_T_16,A45_54_T_17,A45_54_T_18,A45_54_T_19,A45_54_T_20,A45_54_T_21,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B_05,A55_64_SEO_05_10,A55_64_SEO_11_15,A55_64_SEO_16,A55_64_SEO_17,A55_64_SEO_18,A55_64_SEO_19,A55_64_SEO_20,A55_64_SEO_21,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_UOLSE_VWW_B_05,A55_64_UOLSE_VWW_05_10,A55_64_UOLSE_VWW_11_15,A55_64_UOLSE_VWW_16
80101,1756,613,826,791,567,184,24,105,5953,0,0,0,4,0,4,0,0,0,10,14,843,892,1997,686,874,854,632,206,28,143,7152,800,252,199,29,27,27,25,11,8,28,1396,903,1208,1006,207,188,151,116,54,13,20,3869,26,73,78,25,25,21,19,3,0,10,286,0,0,0,0,0,0,0,0,0,0,4,920,1281,1090,229,214,174,139,59,17,29,4161,0,0,0,0,0,0,0,0,0,0,8,1720,1537,1292,260,246,197,161,70,25,57,5564,1132,132,103,14,5,8,12,3,3,30,1434,1070,431,230,33,26,20,37,18,0,10,1884,69,69,49,9,24,11,19,11,0,10,271,0,0,0,0,0,0,0,0,0,0,4,1138,506,282,39,54,31,55,26,0,23,2161,3,0,0,0,0,0,0,0,0,0,6,2271,636,384,58,63,40,66,28,4,48,3602,1449,59,37,6,0,0,6,0,3,24,1586,1156,143,50,6
80103,13,0,7,0,0,3,8,0,44,0,0,0,0,0,0,0,0,0,12,12,8,9,13,0,7,0,0,3,10,18,72,9,0,0,0,0,0,0,0,0,0,15,4,10,16,0,0,0,0,0,0,0,38,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,10,22,0,4,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,12,12,19,10,25,0,4,0,0,0,0,17,74,18,0,0,0,0,0,0,0,0,0,19,10,6,4,0,0,0,0,0,0,0,22,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,4,0,4,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,4,4,24,7,4,0,4,4,0,0,0,4,48,23,0,3,0,0,0,0,0,0,0,28,10,0,4,0
80104,2355,697,871,730,512,127,16,128,7119,0,0,5,0,0,5,0,0,0,15,27,911,1387,2580,758,902,774,555,149,24,174,8211,674,245,184,31,20,26,23,5,3,19,1237,1812,2660,1516,201,210,167,105,43,16,48,6778,44,136,148,21,41,34,40,9,0,12,493,3,0,5,0,0,0,0,0,0,0,9,1864,2801,1672,217,251,203,142,54,16,54,7280,0,3,0,0,0,0,0,0,0,8,9,2535,3053,1852,249,276,229,165,66,19,78,8525,870,189,141,15,16,13,11,0,0,14,1281,1789,804,385,55,21,32,15,14,4,28,3142,101,128,62,12,29,16,33,26,0,7,415,0,0,3,0,0,0,0,0,0,0,3,1890,928,445,64,57,44,54,31,4,39,3562,5,0,0,0,0,0,0,0,0,3,8,2764,1122,593,77,73,58,61,37,6,58,4847,785,73,35,4,12,10,0,5,0,5,925,1326,198,74,4
80105,883,340,444,447,393,170,28,53,3398,0,0,0,0,0,0,0,0,0,3,8,892,493,1084,405,518,521,482,219,60,86,4755,540,174,143,30,17,19,37,31,13,16,1021,388,357,470,95,109,103,103,75,10,7,1721,10,17,39,6,16,11,11,3,0,3,124,0,0,0,0,0,0,0,0,0,0,0,399,375,517,100,116,115,113,73,10,15,1840,0,0,0,0,0,0,0,0,0,0,0,938,545,664,131,136,141,148,108,25,37,2867,782,76,79,8,5,3,10,11,5,19,1003,484,127,92,12,26,9,24,15,4,14,808,22,20,25,8,18,15,16,7,0,0,126,0,0,0,0,0,0,0,0,0,0,0,504,147,118,20,43,28,41,21,3,17,937,0,0,0,0,0,0,0,0,0,0,6,1289,220,196,25,47,33,50,30,8,40,1936,895,27,24,0,3,6,6,0,0,13,970,423,35,25,4
80106,208,74,101,94,69,20,10,10,839,0,0,0,0,0,0,0,0,0,0,0,365,175,276,94,122,128,91,35,16,24,1340,310,88,64,8,8,9,16,16,3,10,536,297,240,217,33,39,46,38,19,7,12,953,0,6,5,0,4,5,0,0,0,5,27,0,4,0,0,0,0,0,0,0,0,4,300,245,221,40,45,50,43,18,7,19,982,0,0,0,0,0,0,0,0,0,0,0,612,331,292,46,47,58,61,39,14,27,1517,509,49,34,6,7,13,3,13,4,10,649,357,132,98,23,15,11,14,17,3,6,674,6,11,3,0,6,4,3,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,368,143,100,20,18,9,19,15,3,4,711,0,0,0,0,0,0,0,0,0,0,0,873,198,132,27,27,27,26,34,5,19,1367,641,27,20,5,0,5,7,9,0,6,722,321,15,12,7
80107,592,174,189,200,99,31,9,25,1779,0,0,0,0,0,0,0,0,0,4,5,480,383,713,194,208,227,110,37,14,38,2414,592,170,118,24,15,14,6,5,4,20,966,521,669,612,76,38,57,35,9,5,17,2031,8,39,33,10,5,5,9,5,0,0,112,0,0,3,0,0,0,0,0,0,0,0,526,710,644,89,49,60,42,11,5,15,2152,0,0,0,0,0,0,0,0,0,3,6,1116,878,767,110,65,70,43,17,11,35,3116,1112,124,74,0,5,3,8,3,0,28,1361,812,353,210,9,17,12,4,7,0,13,1437,31,37,41,10,7,5,7,3,0,6,139,0,0,0,0,0,0,0,0,0,0,8,846,393,249,16,25,14,12,10,0,15,1581,0,0,0,0,0,0,0,0,0,4,4,1956,515,319,19,28,20,21,13,0,45,2941,1831,71,29,0,9,0,0,0,0,30,1977,1107,94,28,4
80108,114,46,59,51,41,18,5,0,434,0,0,0,0,0,0,0,0,0,0,0,134,75,143,52,62,53,46,22,6,9,611,212,68,31,4,5,3,0,0,3,7,336,149,165,160,13,26,17,13,8,20,20,593,3,0,8,0,4,0,0,0,0,6,20,0,0,0,0,0,0,0,0,0,0,0,151,165,170,19,31,20,13,8,20,22,614,0,0,0,0,0,0,0,0,0,0,0,365,232,194,21,34,22,17,10,26,34,958,355,45,31,3,6,3,0,0,0,5,450,183,71,56,6,6,0,4,9,9,7,347,4,3,11,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,192,73,67,8,6,0,7,9,9,9,382,0,0,0,0,0,0,0,0,0,0,0,548,114,100,15,9,3,10,9,9,13,824,486,10,8,4,0,0,0,5,0,9,517,194,25,17,0
80109,559,254,367,365,226,85,13,28,2211,0,0,0,0,0,0,0,0,0,3,7,319,222,635,283,385,383,247,93,18,43,2625,338,93,92,11,11,14,12,4,4,13,595,325,417,493,99,115,103,75,29,7,6,1674,9,6,11,6,10,4,3,3,0,0,56,0,0,0,0,0,0,0,0,0,0,0,336,426,504,104,119,110,79,38,7,11,1732,0,0,0,0,0,0,0,0,0,0,6,673,518,592,116,134,121,98,42,14,28,2335,514,62,54,9,7,6,3,3,0,15,680,382,186,110,16,17,26,14,6,10,4,765,13,14,7,0,7,7,3,0,0,0,63,0,0,0,0,0,0,0,0,0,0,4,393,195,117,20,22,32,26,4,10,5,827,0,0,0,0,0,0,0,0,0,0,0,907,258,171,31,32,41,31,12,8,22,1506,721,18,18,0,3,0,0,4,3,10,779,468,39,14,0
80110,385,123,101,105,72,16,6,5,1079,0,0,0,0,0,0,0,0,0,0,0,170,204,434,140,113,119,74,26,7,9,1286,135,30,32,0,5,4,0,3,0,0,220,271,471,363,47,31,26,24,12,3,7,1256,7,13,10,3,0,0,8,7,3,0,45,0,3,0,0,0,0,0,0,0,0,3,283,487,376,48,26,27,30,14,3,7,1307,0,0,0,0,0,0,0,0,0,0,6,419,520,408,53,30,37,36,19,7,8,1532,76,15,14,0,0,0,0,0,3,4,117,201,113,82,10,5,0,3,3,6,0,417,3,4,4,0,0,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,200,115,80,9,5,0,6,7,8,0,430,0,0,0,0,0,0,0,0,0,0,0,277,122,104,8,5,8,6,8,7,0,547,87,7,0,0,0,0,0,0,0,0,97,114,11,15,3
80111,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,5,3,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,14,0,0,0,0
