SA3_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
80101,0,0,0,3,7,1873,38,25,6,8,10,15,0,0,40,2010,337,9,0,0,0,0,0,0,0,14,359,183,9,0,0,0,0,0,0,0,7,192,125,5,0,0,0,0,0,0,0,4,141,0,0,0,0,0,0,0,0,0,8,6,308,13,0,0,0,0,0,0,0,17,341,7,0,0,0,0,0,0,0,0,10,17,649,19,3,0,0,0,0,0,0,39,711,7167,976,896,193,173,193,200,87,33,195,10106,5409,2922,3669,1133,1398,1346,1070,435,77,239,17696,763,280,348,99,137,150,214,65,18,74,2146,3,4,10,5,0,0,0,0,0,7,30,6175,3204,4024,1233,1533,1499,1287,502,96,320,19876,15,4,10,4,7,4,0,0,0,36,69,13360,4186,4922,1430,1715,1691,1485,585,124,549,30044
80103,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,97,13,6,0,4,0,0,0,6,4,129,42,28,52,0,9,4,4,0,14,0,141,3,0,3,0,3,5,0,7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,41,26,53,0,11,3,6,3,12,0,165,0,0,0,0,0,0,0,0,0,46,46,135,36,65,0,18,3,6,10,18,55,338
80104,0,0,0,0,0,679,40,43,7,12,7,27,12,0,12,838,67,0,0,0,0,0,0,0,0,3,75,44,0,0,0,0,0,0,0,0,0,46,52,0,3,0,0,0,0,0,0,4,63,0,0,0,0,0,0,0,0,0,0,0,100,3,9,0,0,0,5,0,0,4,114,0,0,0,0,0,0,0,0,0,0,0,167,3,4,3,0,0,5,0,0,7,191,3897,1048,1030,175,168,151,155,76,31,113,6853,6665,5562,5192,1185,1409,1246,954,314,66,275,22872,685,514,564,106,174,199,364,144,20,113,2880,10,4,11,0,0,0,4,5,3,8,55,7362,6085,5768,1289,1589,1442,1316,458,94,404,25805,8,3,0,0,5,5,4,0,0,41,66,11260,7134,6802,1470,1761,1596,1477,539,121,555,32717
80105,0,0,0,0,0,726,13,6,3,0,0,4,0,0,21,773,180,0,0,0,0,0,0,0,0,18,202,104,0,0,0,0,0,0,0,0,13,123,64,6,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,171,6,0,0,0,0,0,0,0,15,195,0,0,0,0,0,0,0,0,0,0,0,352,9,0,0,0,0,0,0,0,39,402,4615,880,746,147,152,174,201,156,89,161,7318,2378,1122,1839,644,837,864,802,433,65,155,9128,304,102,149,29,75,75,108,42,16,24,924,0,6,0,0,0,0,0,0,0,0,18,2684,1220,1993,675,912,945,908,480,76,181,10074,0,3,0,0,0,0,0,3,0,13,25,7305,2100,2736,822,1065,1115,1110,639,166,350,17419
80106,0,0,0,4,12,553,6,11,6,3,0,0,4,0,13,600,130,0,0,0,0,0,0,0,0,4,135,59,0,0,0,0,0,0,0,0,3,68,32,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,3,107,0,0,0,0,0,0,0,0,0,10,16,232,0,0,0,0,0,0,0,0,17,257,2975,383,336,54,65,80,74,95,32,75,4169,1573,605,737,186,226,218,210,91,29,48,3932,105,31,42,13,20,10,27,18,4,14,290,0,4,0,0,0,0,0,0,0,5,16,1682,637,784,199,246,233,238,115,36,62,4233,19,0,0,0,0,0,0,0,0,22,39,4674,1019,1116,249,312,315,320,208,70,161,8450
80107,0,0,0,3,6,1458,25,21,0,5,5,10,0,0,45,1556,254,3,0,0,0,0,0,0,0,22,282,106,0,0,0,0,0,0,0,0,9,114,79,3,0,0,0,0,0,0,0,13,96,0,0,0,0,0,0,0,0,0,0,0,185,5,0,0,0,0,0,0,0,22,211,0,0,0,0,0,0,0,0,0,0,0,441,4,0,0,0,0,0,0,0,39,493,6739,717,603,77,73,81,70,32,20,181,8593,4160,1710,1853,361,372,374,237,84,19,128,9293,504,130,156,43,32,36,67,26,11,33,1035,5,0,6,0,0,0,0,0,0,3,21,4677,1834,2013,406,402,410,308,109,27,169,10349,4,0,0,0,0,0,0,0,0,15,32,11418,2552,2619,485,474,486,377,141,47,365,18963
80108,0,0,0,3,5,615,4,4,0,0,4,0,0,0,38,671,148,0,0,0,0,0,0,0,0,9,158,81,0,0,0,0,0,0,0,0,0,81,33,0,0,0,0,0,0,0,0,4,47,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,9,125,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,23,288,2176,218,189,36,18,17,25,30,13,74,2798,1072,387,459,89,120,95,83,55,63,66,2489,133,15,36,8,15,3,11,9,8,25,262,4,0,0,0,0,0,0,0,0,3,11,1207,406,498,102,130,104,93,59,69,93,2757,0,0,0,0,0,0,0,0,0,6,9,3390,626,688,134,155,114,119,93,84,170,5565
80109,0,0,0,0,6,981,18,11,4,0,0,0,0,3,27,1055,246,0,0,0,0,0,0,0,0,20,266,149,4,0,0,0,0,0,0,0,5,154,44,0,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0,0,0,0,0,0,188,5,0,0,0,0,0,0,0,10,207,0,0,0,0,0,0,0,0,0,0,6,436,5,0,0,0,0,0,0,0,27,477,3310,377,414,91,81,83,78,46,32,102,4611,2226,942,1409,455,655,642,461,202,38,82,7116,199,59,70,27,31,29,59,34,5,14,525,4,0,4,0,0,4,0,0,0,0,16,2436,998,1481,485,689,669,519,231,45,106,7660,5,0,0,0,0,0,3,6,0,20,32,5753,1379,1896,575,768,749,599,281,81,226,12302
80110,0,0,0,0,0,24,0,4,0,4,5,4,3,0,3,42,6,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,477,109,185,28,28,37,19,25,17,15,934,770,865,1020,234,189,177,159,62,14,26,3514,29,28,41,18,8,17,37,30,8,10,222,0,3,0,0,0,0,0,0,0,0,4,801,893,1065,248,194,197,191,87,25,37,3744,0,0,0,0,0,0,0,0,0,4,0,1273,1009,1245,280,224,229,210,116,41,55,4681
80111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,3,0,0,0,4,0,0,0,42,5,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,35,7,3,0,0,0,6,0,0,0,53
