SA3_CODE_2021,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
80101,3296,165,4,0,168,4,3466,267,1347,38,0,1388,0,1656,3,84,16,0,102,0,103,0,0,0,0,0,0,0,271,1428,56,0,1491,0,1762,5,0,0,0,0,4,10,3570,1596,58,0,1662,9,5238,3528,152,4,0,151,4,3683,242,1205,33,0,1238,0,1479,3,59,46,0,101,0,105,0,0,0,0,0,0,0,248,1263,79,0,1345,0,1591,4,0,0,0,0,8,6,3776,1411,80,0,1498,13,5284,2037,78,0,0,78,3,2116,121,563,23,0,585,0,708,3,38,25,0,63,0,69,0,4,0,0,0,0,5,128,604,49,0,647,0,782,0,3,0,0,3,0,3,2166,683,49,0,731,6,2903,1300,45,0,0,45,0,1346,57,337,6,0,342,0,398,3,18,17,0,31,0,41,0,0,0,0,0,0,0,58,353,25,0,380,0,436,0,0,0,0,0,0,0,1356,399,25,0,425,0,1783,1590,38,0,0
80103,17,0,0,0,0,0,19,0,11,0,0,11,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17,0,16,0,0,0,0,0,0,0,20,16,0,0,16,0,29,16,5,0,0,5,0,15,0,12,0,0,12,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,18,0,0,18,0,14,0,0,0,0,0,0,0,16,18,0,0,18,0,32,10,3,0,0,3,0,14,0,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,9,0,0,0,0,0,0,0,11,9,0,0,9,0,19,7,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,12,15,0,0,0
80104,2570,185,0,0,184,0,2758,285,2533,77,8,2615,4,2902,4,158,64,0,219,0,229,0,0,0,0,0,0,0,290,2692,138,7,2837,4,3132,0,6,0,0,6,3,4,2864,2882,143,7,3028,9,5895,2745,149,0,0,149,0,2890,263,2596,70,5,2672,0,2933,4,141,64,0,204,0,209,0,0,0,0,0,0,0,271,2740,133,3,2880,0,3147,0,10,0,0,10,0,12,3019,2890,133,3,3033,0,6053,1581,73,0,5,71,0,1650,114,1214,25,0,1243,0,1364,0,60,28,0,92,0,90,0,0,0,0,3,0,3,118,1275,53,5,1337,0,1455,3,4,0,0,4,0,8,1700,1350,53,4,1410,0,3108,938,38,0,0,38,0,980,73,603,14,0,617,0,690,0,37,18,0,52,0,52,0,0,0,0,0,0,0,73,641,30,0,671,0,742,0,0,0,0,0,0,0,1007,680,30,0,712,0,1723,1246,53,0,0
80105,1282,92,0,0,92,0,1374,126,393,25,0,418,3,548,4,36,19,0,50,0,52,0,0,0,0,0,0,0,129,426,34,0,469,3,597,0,0,0,0,0,0,0,1415,516,34,0,553,3,1973,1359,53,0,0,53,0,1416,116,351,23,0,376,0,493,0,19,10,0,25,0,31,0,0,0,0,0,0,0,114,372,35,0,407,0,521,0,0,0,0,0,0,0,1476,426,35,0,459,0,1944,837,25,0,0,25,0,865,73,192,4,0,201,0,268,0,10,0,0,16,0,16,0,0,0,0,0,0,0,73,201,12,0,210,0,285,0,0,0,0,0,0,0,905,230,12,0,237,0,1148,541,14,0,0,14,0,554,31,108,3,0,116,0,145,0,4,6,0,9,0,7,0,0,0,0,0,0,0,34,109,12,0,116,0,150,0,0,0,0,0,0,0,575,130,12,0,135,0,709,691,24,0,0
80106,623,60,0,0,60,0,684,99,221,7,0,226,0,328,0,0,0,0,3,0,3,0,0,0,0,0,0,0,99,226,6,0,226,0,333,0,0,0,0,0,0,0,725,282,6,0,291,0,1017,708,46,0,0,47,0,754,95,274,4,0,283,0,374,0,6,6,0,11,0,11,0,0,0,0,0,0,0,95,281,15,0,291,0,388,0,0,0,0,0,0,0,802,328,15,0,342,0,1145,476,22,0,0,22,0,503,49,185,0,0,191,0,238,0,0,4,0,7,0,7,0,0,0,0,0,0,0,49,185,5,0,196,0,239,0,0,0,0,0,0,0,522,213,5,0,219,0,740,330,12,0,0,12,0,343,29,117,0,0,119,0,146,0,3,4,0,4,0,6,0,0,0,0,0,0,0,26,123,0,0,127,0,153,0,0,0,0,0,0,0,351,137,0,0,141,0,494,470,20,0,0
80107,3263,122,0,0,124,9,3390,183,853,18,4,866,0,1056,3,31,3,0,42,0,45,0,0,0,0,0,0,0,188,881,20,3,907,0,1104,0,0,0,0,0,0,3,3454,1006,25,3,1034,10,4493,3317,135,3,0,139,6,3462,186,819,29,0,848,0,1037,0,36,12,0,50,0,56,0,0,0,0,0,0,0,189,859,43,0,900,0,1092,0,8,0,0,8,0,10,3507,996,41,0,1042,9,4557,1988,52,0,0,60,0,2043,113,409,22,0,431,0,542,0,16,12,0,20,0,24,0,0,0,0,0,0,0,112,420,34,0,458,0,573,3,0,0,0,0,0,4,2103,478,36,0,512,3,2618,1230,31,0,0,31,0,1263,70,234,13,0,257,0,323,0,15,8,0,24,0,24,0,0,0,0,0,0,0,70,254,21,0,271,0,344,0,0,0,0,0,0,0,1300,284,21,0,308,3,1609,1579,55,0,0
80108,883,33,0,0,33,0,916,76,209,0,0,214,0,289,4,9,6,0,10,0,12,0,0,0,0,0,0,0,83,215,4,0,223,0,302,0,6,0,0,6,0,7,963,251,4,0,259,0,1219,1041,42,0,0,42,0,1078,64,206,6,0,209,0,271,0,4,7,0,10,0,10,0,0,0,0,0,0,0,64,209,4,0,220,0,285,0,0,0,0,0,0,0,1102,252,4,0,262,0,1367,624,19,0,0,19,0,642,38,99,4,0,102,0,136,0,0,0,0,5,0,5,0,0,0,0,0,0,0,38,103,5,0,101,0,140,0,0,0,0,0,0,0,658,119,5,0,124,4,783,421,11,0,0,13,0,432,17,67,0,0,67,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,68,0,0,68,0,86,0,0,0,0,0,0,0,433,79,0,0,82,0,514,524,12,0,0
80109,934,51,4,0,59,0,997,89,618,16,0,631,0,727,0,14,0,0,15,0,18,0,0,0,0,0,0,0,95,635,13,0,650,0,743,0,6,0,0,6,0,3,1034,691,18,0,711,0,1747,1160,65,0,0,63,0,1226,88,557,9,0,568,0,649,0,11,4,0,11,0,11,0,0,0,0,0,0,0,88,571,14,0,578,0,667,0,3,0,0,3,0,5,1248,635,14,0,648,0,1900,837,30,0,0,41,0,878,52,269,4,0,271,0,324,0,10,3,0,14,0,14,0,0,0,0,0,0,0,52,279,7,0,283,0,335,0,0,0,0,0,0,0,892,311,12,0,320,0,1217,494,23,0,0,23,0,525,30,126,8,0,130,0,163,0,9,0,0,5,0,5,0,0,0,0,0,0,0,30,131,7,0,140,0,169,0,0,0,0,0,0,3,534,156,7,0,163,0,695,696,24,0,0
80110,327,36,3,0,35,0,367,40,437,3,3,448,0,483,0,12,4,0,20,0,18,0,0,0,0,0,0,0,43,456,10,3,464,0,505,0,0,0,0,0,0,0,371,488,12,3,495,0,874,279,22,0,0,27,0,303,32,473,8,3,479,0,507,0,18,10,0,25,0,29,0,0,0,0,0,0,0,27,489,18,3,507,0,534,0,0,0,0,0,0,0,309,508,15,3,527,0,840,119,3,0,0,3,0,121,15,182,3,0,187,0,202,0,8,3,0,11,0,11,0,0,0,0,0,0,0,15,196,6,0,202,0,214,0,0,0,0,0,0,0,129,200,6,0,209,0,337,50,4,0,0,4,0,52,5,118,0,0,116,0,121,0,4,3,0,16,0,16,0,0,0,0,0,0,0,5,123,6,0,128,0,130,0,0,0,0,0,0,0,50,124,6,0,130,0,182,70,6,0,0
80111,39,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,41,46,0,0,0,0,0,46,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,44,0,0,0,0,0,44,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13,17,0,0,0
