SA3_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
80101,..,106,16,126,4,127,..,3875,778,4658,31,4687,..,420,58,479,0,484,..,370,7,378,6,385,..,423,6,425,3,431,..,573,71,637,3,641,..,439,29,466,0,467,..,330,20,347,0,350,..,903,37,943,5,947,..,1368,50,1418,5,1423,..,922,87,1012,4,1015,..,420,20,439,0,443,..,650,33,682,0,685,..,182,4,192,0,189,..,5217,277,5488,32,5524,..,636,72,709,6,712,..,267,26,286,3,290,..,123,28,142,0,148,..,370,84,458,3,459,..,124,19,141,0,142,..,262,14,276,5,278,..,258,44,303,0,303,..,204,18,221,4,226,..,150,15,167,3,165,..,206,25,225,4,235,..,133,15,144,3,151,..,211,21,233,6,237,..,357,10,371,0,373,..,289,19,305,5,308,..,570,10,585,3,593,..,132,4,140,0,134,..,1351,45,1395,11,1408,..,1015,141,1155,14,1163,..,339
80103,..,0,0,0,0,0,..,16,6,25,0,25,..,4,0,6,0,6,..,9,0,9,0,9,..,5,0,5,0,5,..,7,0,7,0,7,..,7,0,7,0,7,..,6,0,6,0,6,..,0,0,0,0,0,..,7,0,7,0,7,..,16,0,16,0,16,..,4,0,4,0,4,..,9,0,9,0,9,..,0,0,0,0,0,..,40,0,46,0,46,..,0,0,0,0,0,..,5,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,12,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,14,0,16,0,18,..,0,0,3,0,3,..,4
80104,..,82,26,103,3,108,..,4834,1402,6231,45,6275,..,659,45,708,0,710,..,224,7,238,7,239,..,182,4,188,0,190,..,369,35,408,0,408,..,1109,55,1165,11,1174,..,989,46,1041,6,1045,..,1758,84,1836,9,1851,..,1627,68,1697,12,1707,..,2116,200,2316,28,2340,..,797,17,819,5,818,..,1644,86,1734,18,1744,..,363,15,386,5,387,..,10409,573,10977,89,11067,..,362,21,382,4,389,..,219,13,234,0,231,..,76,28,108,0,108,..,865,392,1262,9,1271,..,198,25,223,0,227,..,460,15,477,6,488,..,263,44,310,3,314,..,138,13,153,0,153,..,266,24,290,0,287,..,172,12,189,3,187,..,102,7,113,0,114,..,229,27,253,0,258,..,396,11,400,7,410,..,215,5,219,3,219,..,561,18,581,10,583,..,151,5,156,0,157,..,1318,35,1351,15,1370,..,778,97,872,10,881,..,828
80105,..,92,19,109,0,111,..,3201,385,3581,30,3609,..,172,26,200,4,205,..,420,6,431,4,433,..,385,16,398,7,407,..,326,42,368,3,369,..,193,11,198,0,198,..,64,4,69,0,69,..,433,11,447,0,449,..,346,12,357,0,358,..,153,7,159,0,161,..,156,4,156,0,156,..,172,11,184,0,187,..,120,4,122,0,123,..,1637,52,1689,10,1701,..,344,37,377,0,377,..,191,12,203,0,203,..,61,6,59,0,62,..,359,79,435,6,440,..,66,11,72,0,72,..,75,4,76,0,78,..,134,10,146,0,151,..,95,9,103,0,103,..,93,0,90,0,90,..,110,8,119,0,119,..,46,5,48,0,48,..,114,21,134,0,134,..,116,4,123,0,123,..,263,15,271,0,271,..,115,0,119,0,116,..,96,3,95,0,102,..,590,22,611,4,611,..,488,43,535,3,543,..,198
80106,..,43,4,46,0,46,..,883,106,991,7,1003,..,115,8,123,0,128,..,451,4,452,3,460,..,153,0,155,3,152,..,263,15,280,4,287,..,111,9,122,0,121,..,36,0,40,0,40,..,270,6,276,0,279,..,208,10,215,4,217,..,101,7,111,0,110,..,139,4,140,3,142,..,95,0,98,0,105,..,36,0,37,0,37,..,1006,38,1046,9,1054,..,308,18,329,0,329,..,121,3,121,0,128,..,13,0,12,0,12,..,122,12,137,3,138,..,66,0,68,0,68,..,42,0,45,0,45,..,89,6,91,0,91,..,104,9,107,0,107,..,71,3,80,0,80,..,84,3,89,0,91,..,24,0,26,0,26,..,64,5,64,0,64,..,67,0,67,0,71,..,96,7,103,0,103,..,68,0,67,0,67,..,28,4,29,0,29,..,254,11,264,0,269,..,263,10,275,0,277,..,107
80107,..,31,0,40,0,40,..,893,208,1098,11,1111,..,309,39,347,0,347,..,262,8,271,0,272,..,292,6,300,0,304,..,293,28,321,5,328,..,236,7,243,3,248,..,68,9,75,0,80,..,472,16,488,4,497,..,543,31,578,4,584,..,551,44,599,8,605,..,237,9,247,5,249,..,339,26,364,7,369,..,75,3,80,4,86,..,2527,152,2676,34,2714,..,365,46,407,4,411,..,143,7,144,3,147,..,29,14,41,0,41,..,116,32,150,0,154,..,116,9,125,0,129,..,800,75,880,13,892,..,133,10,142,0,141,..,231,13,238,0,240,..,111,7,124,4,123,..,133,13,144,0,144,..,143,11,154,0,154,..,263,30,294,0,294,..,286,10,286,0,287,..,110,6,118,0,113,..,402,6,408,6,415,..,92,5,98,0,100,..,889,22,913,10,923,..,623,75,705,6,716,..,316
80108,..,23,4,24,0,24,..,353,63,414,0,422,..,131,31,160,0,160,..,177,3,180,0,178,..,138,3,144,0,145,..,98,16,113,4,114,..,66,0,65,0,65,..,39,0,37,0,37,..,93,8,93,0,93,..,134,5,136,0,136,..,111,9,122,0,122,..,50,5,58,0,57,..,68,6,69,0,73,..,30,0,31,0,31,..,587,25,616,5,615,..,188,21,208,7,215,..,51,10,61,0,61,..,9,0,11,0,11,..,32,3,34,0,34,..,25,0,31,0,31,..,177,16,194,3,197,..,57,8,64,0,70,..,60,8,64,0,64,..,29,0,37,0,40,..,33,6,40,0,40,..,34,0,38,0,38,..,53,8,63,0,64,..,69,0,73,0,73,..,60,3,56,0,64,..,64,0,64,0,64,..,39,3,44,0,42,..,236,7,239,0,240,..,154,25,177,0,177,..,57
80109,..,43,3,49,0,49,..,1100,184,1284,8,1289,..,137,9,148,0,148,..,267,7,274,0,275,..,145,6,156,3,159,..,310,24,338,0,338,..,210,6,219,3,223,..,76,0,72,0,77,..,370,12,382,5,381,..,989,43,1029,9,1036,..,318,31,348,9,355,..,153,6,157,0,159,..,224,9,240,7,244,..,77,3,83,0,83,..,2404,117,2526,21,2547,..,307,36,340,3,341,..,115,7,127,0,131,..,11,9,21,0,19,..,137,30,168,0,171,..,76,10,85,0,85,..,444,58,503,6,516,..,81,11,85,0,85,..,84,6,92,0,92,..,85,7,89,3,89,..,67,7,75,0,71,..,12,0,12,0,12,..,95,9,104,0,108,..,207,0,216,0,217,..,100,3,99,0,99,..,289,4,296,7,297,..,86,5,93,0,90,..,687,15,702,8,703,..,236,15,255,3,259,..,329
80110,..,21,5,24,0,24,..,618,97,710,3,724,..,51,0,54,0,54,..,68,3,71,0,75,..,18,0,18,0,18,..,29,0,29,4,30,..,178,17,195,0,200,..,61,0,61,0,61,..,257,10,264,3,267,..,352,22,374,11,380,..,265,24,294,0,294,..,144,3,149,0,150,..,201,13,220,3,225,..,65,0,65,0,65,..,1535,91,1619,19,1643,..,38,0,38,0,38,..,29,4,31,0,31,..,12,0,12,0,12,..,107,36,143,3,140,..,24,0,24,0,24,..,264,17,274,6,275,..,70,7,75,0,75,..,30,0,30,0,30,..,29,0,29,0,29,..,32,0,32,0,32,..,4,0,4,0,4,..,42,0,42,0,42,..,121,0,121,3,123,..,25,0,23,0,23,..,128,4,129,4,136,..,26,3,27,0,27,..,304,4,306,7,312,..,93,4,97,0,100,..,126
80111,..,0,0,0,0,0,..,4,0,4,0,4,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0
