SA3_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
80101,7,30,97,244,393,611,820,658,242,3102,878,625,757,720,511,382,340,206,58,4477,5,13,41,62,144,261,478,383,115,1502,3,0,0,7,0,10,51,112,95,278,16,47,89,164,352,519,673,435,107,2402,24,20,26,72,170,375,643,596,245,2171,13,14,17,39,51,90,140,134,59,557,7,7,16,41,76,128,218,208,83,784,325,731,908,892,735,484,289,142,49,4555,0,0,8,16,37,70,114,142,65,452,616,392,447,632,683,674,665,382,131,4622,7786,4946,6814,5319,3623,2238,1433,552,118,32829,626,441,560,429,394,263,192,103,32,3040,10031,6952,9309,7923,6264,4773,4198,2371,704,52525,14,63,181,401,716,1130,1763,1261,499,6028,584,764,1037,978,772,658,661,348,111,5913,4,17,52,115,220,309,487,338,103,1645,0,0,0,3,3,9,40,115,146,316,16,40,79,168,289,435,619,375,123,2144,10,16,25,52,111,211,398,445,250,1518
80103,0,0,0,0,13,21,18,17,4,73,6,3,7,6,13,7,3,7,0,52,0,0,0,0,6,0,8,6,0,20,0,0,0,0,4,0,0,0,0,4,0,0,0,0,8,17,13,4,0,42,0,0,0,0,3,5,8,4,0,20,0,0,0,0,0,4,4,0,0,8,0,0,0,0,5,3,9,10,4,31,0,5,15,14,16,19,5,3,0,77,0,0,0,0,4,0,10,5,3,22,3,0,4,9,12,20,7,5,0,60,59,81,86,56,59,50,23,14,0,428,12,74,185,145,91,74,26,14,4,625,83,163,288,225,197,183,93,55,9,1296,0,0,0,0,15,10,34,11,0,70,0,6,5,3,7,3,9,0,0,33,0,0,0,0,0,0,5,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,10,4,0,26,0,0,0,3,0,0,3,0,0,6
80104,10,23,94,187,339,345,320,215,54,1587,750,432,550,570,377,230,126,60,17,3112,5,14,22,50,81,152,151,112,31,618,0,0,0,0,0,11,18,31,14,74,12,32,66,255,386,390,364,172,19,1696,11,11,26,56,169,233,288,213,61,1068,12,11,18,28,47,51,52,57,16,292,8,6,11,22,31,50,73,72,17,290,230,418,618,557,441,264,96,54,12,2690,7,0,8,8,26,49,56,61,13,228,511,246,380,539,570,413,272,111,34,3076,8469,4051,6103,5961,3557,1575,677,205,29,30627,576,351,460,410,269,145,85,39,8,2343,10396,5410,8011,8209,5640,3174,1871,818,165,43694,7,33,138,292,536,696,657,421,102,2882,484,473,794,799,531,337,267,112,24,3821,14,7,34,89,166,185,160,107,22,784,0,0,0,0,0,7,17,31,24,79,22,22,74,203,273,303,274,150,35,1356,14,16,29,46,73,114,141,141,52,626
80105,6,13,59,118,195,318,325,200,106,1340,256,568,549,389,235,190,134,68,18,2407,4,12,25,45,61,141,189,130,50,657,0,0,0,0,0,5,18,60,79,162,0,13,41,64,119,197,174,116,51,775,0,12,22,35,86,164,249,202,123,893,0,7,11,16,25,32,43,44,28,206,0,5,11,11,30,74,89,66,33,319,95,591,711,434,356,258,131,71,30,2677,0,5,3,11,13,34,50,51,36,203,171,272,380,321,338,348,258,140,68,2296,3115,4493,4649,2747,1964,1301,712,247,72,19300,193,783,551,301,210,186,117,53,35,2429,3800,6531,6703,4168,3219,2624,1823,894,421,30183,3,54,108,132,270,521,585,483,250,2406,167,653,660,425,349,310,216,112,51,2943,5,11,23,78,115,151,173,120,53,729,0,0,0,0,3,7,20,87,135,252,8,33,46,60,79,145,144,125,77,717,0,19,16,11,26,69,128,156,141,566
80106,4,5,41,66,105,172,266,174,69,902,139,162,215,154,134,111,116,46,19,1096,0,6,9,16,34,101,171,122,41,500,0,0,0,0,4,8,25,41,55,133,3,10,23,26,50,128,152,79,27,498,0,7,8,18,26,112,243,168,72,654,0,0,9,12,10,20,50,29,23,153,0,0,4,5,15,15,55,56,19,169,36,144,251,168,157,141,98,38,21,1054,0,0,0,6,7,18,38,40,10,119,97,82,151,115,167,256,239,143,52,1302,1764,1230,1820,1467,1371,969,556,229,47,9453,148,144,218,164,166,152,113,63,14,1182,2173,1744,2622,2104,2089,1896,1546,819,268,15261,5,12,39,82,178,316,431,352,225,1640,105,168,303,232,218,188,166,90,39,1509,0,0,13,30,75,124,167,97,60,566,0,0,0,0,0,0,11,63,129,203,0,7,20,29,50,68,107,73,45,399,0,6,5,16,25,48,103,116,111,430
80107,8,33,94,198,400,725,905,446,145,2954,757,494,591,615,461,417,326,134,42,3837,9,11,31,56,106,312,437,277,89,1328,0,0,0,0,4,16,39,75,58,192,10,37,76,157,361,625,750,345,82,2443,22,23,34,66,194,481,746,425,165,2156,12,6,13,25,51,80,164,94,41,486,6,11,12,34,65,140,253,141,56,718,260,592,658,660,621,493,312,105,33,3734,0,3,8,18,33,69,137,87,46,401,543,340,388,492,648,784,651,269,87,4202,6900,3873,4168,3871,3238,2597,1371,378,64,26460,516,359,357,297,296,263,202,99,44,2433,8842,5510,6057,5960,5655,5562,4227,1740,489,44042,9,51,159,362,765,1459,1563,887,378,5633,552,501,820,829,802,771,567,242,82,5166,4,21,41,94,213,368,481,225,83,1530,0,0,0,0,5,10,34,98,113,260,21,30,86,157,333,530,498,276,100,2031,12,18,27,49,94,198,357,316,208,1279
80108,0,4,19,56,105,144,235,218,83,864,186,120,120,180,136,96,105,58,21,1022,5,4,5,18,27,50,126,125,45,405,0,0,0,0,0,0,18,40,44,102,7,14,19,35,65,97,167,149,38,591,3,3,9,21,34,75,178,197,93,613,0,7,0,6,12,28,35,51,20,159,0,6,4,13,18,32,64,70,25,232,81,132,133,167,168,113,89,55,18,956,0,0,0,3,14,15,28,39,32,131,132,70,95,132,159,173,168,138,40,1107,1973,954,880,1103,1029,609,386,225,48,7207,141,99,86,92,89,74,54,50,26,711,2473,1342,1288,1669,1671,1214,1142,871,286,11956,0,6,34,80,198,316,462,418,176,1690,123,124,151,206,189,160,169,103,38,1263,3,0,9,25,58,87,139,125,39,485,0,0,0,0,0,4,18,67,71,160,6,8,14,29,64,94,146,117,42,520,6,0,5,12,22,59,110,135,81,430
80109,0,11,35,76,136,229,264,262,146,1159,202,189,203,212,181,167,124,83,34,1395,0,0,14,20,44,97,149,172,72,568,0,0,0,0,0,3,17,59,73,152,5,13,23,69,110,179,197,163,70,829,10,9,11,18,61,135,223,286,142,895,8,3,5,7,21,22,49,54,37,206,5,7,0,9,12,29,59,97,39,257,75,199,251,242,217,152,95,56,23,1310,0,0,0,4,18,21,32,50,45,170,183,129,136,187,238,305,245,162,84,1669,2880,1558,2241,1919,1498,1083,567,312,89,12147,194,135,169,122,162,131,85,70,39,1107,3510,2160,2952,2707,2429,2132,1551,1165,503,19109,7,16,51,101,248,430,519,644,295,2311,159,197,295,264,263,228,202,181,65,1854,7,5,11,35,90,129,155,182,77,691,0,0,0,0,0,4,18,74,109,205,9,6,28,47,99,135,131,189,65,709,4,7,9,12,26,62,94,227,166,607
80110,0,0,22,23,33,26,17,9,3,133,70,43,96,80,44,18,9,0,0,360,0,0,4,4,11,9,10,3,0,41,0,0,0,0,0,0,0,4,0,4,0,0,14,43,37,30,32,7,0,163,3,3,3,12,13,18,19,13,3,87,0,3,5,9,0,0,9,3,0,29,0,0,0,0,3,4,4,0,0,11,21,51,96,79,47,24,11,0,0,329,0,0,0,0,0,0,0,3,0,3,52,23,58,96,52,40,24,6,0,351,1170,438,1040,930,366,143,62,9,0,4158,57,36,76,45,28,6,14,6,0,268,1364,582,1359,1261,571,271,150,44,8,5610,0,11,32,43,52,54,43,11,8,254,39,62,153,94,45,33,23,0,0,449,0,0,9,5,21,14,12,3,0,64,0,0,0,0,0,0,0,3,0,3,0,0,14,29,28,26,26,8,0,131,0,0,0,4,4,3,12,9,0,32
80111,0,0,0,3,3,6,6,0,0,18,11,6,3,3,4,3,0,0,0,30,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,9,0,0,0,0,0,8,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,4,5,6,4,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,5,5,0,6,9,0,4,0,0,29,73,23,32,31,25,17,6,5,0,212,3,4,3,0,3,5,5,0,0,23,87,40,43,47,43,33,24,9,0,326,0,0,0,0,9,10,7,3,0,29,7,3,6,10,4,9,0,0,0,39,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,0,0,12,0,0,0,0,0,0,3,0,0,3
