SA3_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
80101,170,2679,115,2965,203,3559,224,3988,542,8276,486,9309,800,6783,333,7923,968,5039,253,6264,827,3774,175,4773,628,3440,131,4198,371,1894,99,2371,89,574,45,704,4604,36026,1869,42499,171,2529,116,2810,233,3623,204,4061,708,7968,438,9116,1130,6639,285,8050,1360,4732,199,6294,1240,3848,171,5258,960,3909,169,5041,410,2187,111,2708,77,804,85,961,6293,36239,1771,44298,342,5209,230,5775,440,7181,429,8052,1255,16244,927,18425,1927,13424,618,15972,2332,9774,454,12556,2069,7623,347,10035,1589,7353,301,9242,785,4085,209,5077,167,1374,129,1667,10896,72264,3635,86802
80103,0,25,17,47,0,59,54,117,7,91,185,288,3,75,143,225,10,95,88,197,15,101,63,183,8,56,25,93,0,39,14,55,0,7,0,9,57,556,595,1209,0,24,9,33,0,36,17,53,4,55,37,94,5,52,27,89,14,57,14,85,16,54,30,93,14,47,20,80,0,30,6,34,0,7,0,8,49,357,152,562,0,57,26,81,0,93,73,171,18,149,221,383,13,126,169,312,25,156,104,281,24,156,93,269,26,108,45,176,5,65,18,85,0,9,4,16,103,913,756,1772
80104,101,2284,109,2496,137,2629,145,2915,404,7159,448,8011,743,7122,345,8209,711,4755,184,5640,447,2624,104,3174,225,1585,64,1871,110,673,38,818,17,144,9,165,2895,28976,1435,33304,117,2264,80,2460,169,2537,137,2847,589,7294,397,8277,1045,6939,292,8279,947,4381,172,5502,628,2636,74,3330,370,1812,77,2262,135,801,43,981,13,183,11,205,4008,28847,1290,34143,219,4552,187,4957,310,5168,282,5762,991,14453,846,16292,1790,14059,632,16485,1653,9136,354,11141,1070,5257,180,6503,599,3394,146,4136,240,1473,78,1797,33,327,18,374,6908,57822,2728,67456
80105,76,1950,237,2262,145,3672,451,4270,282,5957,461,6703,335,3603,229,4168,464,2600,156,3219,495,1998,133,2624,259,1468,92,1823,131,697,63,894,38,343,45,421,2230,22286,1875,26387,113,2061,281,2460,171,4010,388,4570,388,5834,343,6574,490,3449,184,4122,675,2545,101,3317,684,1900,85,2671,343,1514,87,1948,176,915,88,1181,48,525,78,648,3085,22760,1632,27478,184,4009,520,4714,312,7684,842,8845,672,11797,805,13276,825,7051,412,8288,1141,5141,258,6535,1179,3896,225,5293,605,2983,179,3766,314,1611,152,2080,82,864,123,1069,5318,45040,3505,53862
80106,46,762,34,839,54,788,61,902,121,2314,192,2622,166,1801,137,2104,262,1698,131,2089,310,1475,110,1896,205,1230,105,1546,117,635,66,819,34,199,39,268,1307,10897,874,13086,42,728,38,811,60,798,80,934,153,2435,198,2788,281,1915,119,2319,423,1609,119,2150,499,1378,97,1975,334,1261,100,1698,133,727,76,935,35,449,90,574,1959,11292,920,14176,86,1482,73,1649,115,1588,136,1838,277,4743,386,5409,446,3716,258,4417,681,3302,244,4238,815,2850,211,3874,542,2490,210,3241,247,1364,139,1758,66,648,127,842,3273,22193,1790,27253
80107,135,2516,106,2758,167,2489,97,2748,434,5368,259,6057,632,5095,239,5960,859,4610,192,5655,993,4416,148,5562,595,3487,145,4227,246,1384,102,1740,73,359,62,489,4140,29720,1350,35206,139,2228,84,2458,209,2203,93,2503,608,5310,215,6122,995,5019,224,6241,1282,4612,177,6069,1555,4482,133,6167,887,3596,145,4630,266,1659,146,2075,38,620,129,788,5989,29725,1350,37066,279,4750,191,5213,378,4688,183,5254,1035,10674,473,12184,1629,10117,459,12208,2139,9219,372,11728,2552,8898,284,11734,1489,7080,284,8855,513,3042,255,3815,114,973,195,1281,10129,59442,2703,72279
80108,37,688,25,749,41,517,36,593,66,1149,76,1288,171,1431,72,1669,247,1376,40,1671,243,933,39,1214,169,921,48,1142,133,688,54,871,36,211,31,286,1139,7919,424,9483,43,592,20,655,43,489,21,555,103,1179,56,1346,253,1469,59,1785,411,1319,46,1780,357,962,48,1368,274,1088,67,1418,161,798,77,1032,24,331,45,400,1671,8225,446,10341,83,1280,44,1402,82,1006,53,1148,167,2326,135,2632,424,2898,134,3455,662,2702,90,3453,596,1902,93,2587,441,2009,111,2559,291,1485,126,1898,57,542,80,683,2805,16147,867,19823
80109,60,919,35,1015,79,1019,55,1144,169,2625,164,2952,238,2364,113,2707,371,1943,110,2429,375,1669,85,2132,198,1292,59,1551,192,908,67,1165,65,406,33,503,1744,13140,724,15604,49,888,27,960,85,1048,53,1186,191,2719,140,3054,363,2375,95,2829,535,1972,92,2602,564,1610,57,2230,337,1344,78,1755,238,1255,75,1570,49,617,49,717,2413,13820,673,16911,111,1803,64,1980,160,2061,102,2327,363,5343,307,6008,599,4730,206,5539,908,3915,204,5028,937,3282,145,4363,538,2635,140,3311,433,2162,142,2734,114,1022,84,1221,4158,26962,1392,32513
80110,7,221,11,233,12,314,17,346,63,1238,66,1359,106,1115,36,1261,62,495,21,571,37,220,11,271,17,120,13,150,3,37,7,44,0,3,0,8,311,3772,163,4245,14,213,10,238,25,359,22,410,94,1406,71,1574,132,1079,32,1249,81,416,24,517,58,252,11,324,15,136,12,165,5,28,0,39,0,10,0,10,427,3903,193,4524,22,434,26,472,40,676,41,751,158,2643,137,2937,242,2197,69,2511,137,911,36,1088,92,471,25,587,38,259,20,312,13,64,9,84,4,18,0,22,733,7677,355,8770
80111,0,18,3,18,0,17,0,15,0,37,4,43,3,42,5,47,3,33,4,43,9,26,5,33,6,16,6,24,0,6,0,9,0,0,0,0,24,190,20,238,0,11,5,17,0,16,0,15,3,38,4,43,13,40,3,54,12,26,3,35,7,27,4,43,3,7,0,17,0,7,0,7,0,5,0,5,38,173,19,234,0,30,3,36,0,34,4,39,3,78,8,90,20,83,3,102,14,60,7,85,15,52,11,75,7,30,10,40,0,12,0,11,0,4,0,4,62,370,41,474
89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89999,3,16,4,23,5,31,7,44,10,40,10,60,4,34,30,62,5,29,19,53,3,19,16,38,0,14,9,21,0,0,4,6,0,0,0,0,33,182,100,315,3,34,0,37,4,38,4,40,7,35,5,53,7,23,7,33,0,23,7,30,4,26,8,35,5,4,4,10,0,4,0,8,0,0,0,0,28,184,34,249,6,47,4,58,8,71,7,82,15,80,21,108,10,58,35,104,6,49,29,77,7,45,22,78,4,20,10,34,0,5,5,10,0,0,0,4,62,372,131,560
