SA3_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
80101,9,149,0,160,2705,100,2965,45,94,3,141,3632,219,3988,1562,190,34,1782,7054,475,9309,4076,126,151,4354,3263,308,7923,2297,138,78,2516,3507,242,6264,375,359,4,734,3867,179,4773,60,844,4,907,3166,125,4198,16,258,0,272,1997,105,2371,0,8,0,14,654,40,704,8436,2162,268,10874,29844,1785,42499,11,243,0,257,2458,95,2810,117,194,3,305,3557,192,4061,2400,299,107,2801,5900,414,9116,4628,239,292,5163,2633,256,8050,2121,311,100,2531,3566,189,6294,162,925,22,1102,3983,169,5258,47,1347,9,1401,3472,170,5041,10,291,6,300,2303,101,2708,0,9,0,11,871,79,961,9491,3858,536,13885,28746,1673,44298,18,400,0,414,5165,198,5775,159,286,5,453,7189,410,8052,3961,486,137,4586,12959,888,18425,8707,361,440,9515,5895,563,15972,4420,450,180,5047,7071,436,12556,531,1281,24,1835,7854,348,10035,106,2191,13,2306,6633,302,9242,27,544,4,574,4301,203,5077,0,25,0,24
80103,0,3,0,3,28,17,47,0,4,0,3,56,54,117,9,6,0,6,96,187,288,29,0,0,29,43,143,225,22,0,0,29,81,88,197,6,6,0,11,101,68,183,0,4,0,7,60,28,93,0,0,0,0,39,14,55,0,0,0,0,7,0,9,65,24,0,92,516,600,1209,0,0,0,0,28,9,33,0,0,0,4,29,17,53,13,3,0,16,38,37,94,29,0,0,34,27,28,89,16,4,0,22,43,18,85,0,11,0,12,56,30,93,0,10,0,10,51,20,80,0,0,0,0,31,6,34,0,0,0,0,8,0,8,67,27,0,97,311,158,562,0,3,0,3,52,26,81,0,3,0,4,88,73,171,22,6,0,31,132,221,383,63,0,0,63,77,171,312,42,3,0,50,130,106,281,4,18,0,24,153,96,269,0,15,0,13,113,46,176,0,0,0,0,69,18,85,0,0,0,0
80104,11,115,0,127,2271,99,2496,43,77,5,121,2651,145,2915,1610,143,39,1793,5800,421,8011,4523,112,100,4736,3148,319,8209,2137,92,49,2276,3195,176,5640,290,240,4,534,2544,99,3174,31,368,0,397,1411,59,1871,0,88,0,93,693,34,818,0,4,0,4,152,12,165,8644,1244,187,10078,21871,1354,33304,10,193,0,196,2191,73,2460,122,166,7,294,2418,136,2847,2745,256,84,3081,4808,385,8277,5221,170,162,5559,2454,266,8279,1758,225,59,2048,3290,166,5502,116,628,10,748,2519,66,3330,40,633,4,676,1513,80,2262,4,125,0,130,801,48,981,0,6,0,3,195,6,205,10019,2392,325,12733,20182,1226,34143,15,303,0,325,4463,171,4957,168,240,7,409,5072,275,5762,4353,401,114,4871,10614,805,16292,9740,282,266,10289,5605,589,16485,3898,317,106,4319,6486,338,11141,407,865,10,1286,5056,169,6503,73,994,8,1072,2920,138,4136,8,218,0,227,1490,82,1797,0,13,0,13
80105,0,65,0,65,1956,236,2262,4,48,0,55,3768,447,4270,479,107,9,596,5655,452,6703,1567,63,61,1688,2254,219,4168,1162,54,42,1265,1815,143,3219,256,114,13,386,2110,130,2624,24,305,0,331,1398,90,1823,0,103,0,106,731,63,894,0,8,0,7,371,48,421,3498,871,123,4496,20064,1831,26387,0,105,0,110,2073,276,2460,29,105,4,130,4057,381,4570,706,176,31,914,5323,336,6574,1984,120,111,2219,1729,167,4122,1154,118,68,1342,1883,91,3317,118,308,3,433,2151,85,2671,17,521,0,537,1325,82,1948,5,124,0,131,966,87,1181,0,7,0,6,561,79,648,4012,1586,225,5819,20075,1584,27478,0,170,0,172,4033,511,4714,29,149,4,185,7828,832,8845,1189,286,40,1509,10977,786,13276,3551,183,176,3904,3987,394,8288,2317,176,113,2600,3701,233,6535,377,427,13,820,4263,213,5293,43,820,0,870,2727,176,3766,9,231,0,239,1691,148,2080,0,14,0,18
80106,0,37,0,36,767,35,839,8,23,0,26,817,56,902,213,50,0,269,2171,180,2622,857,35,20,913,1056,139,2104,792,29,23,842,1124,120,2089,205,90,7,295,1500,108,1896,30,270,3,299,1135,104,1546,9,99,0,101,650,69,819,0,11,0,11,220,39,268,2107,632,54,2791,9440,850,13086,3,47,0,50,721,31,811,14,24,0,35,819,77,934,351,81,10,444,2147,197,2788,1137,63,47,1243,958,119,2319,758,56,29,845,1188,118,2150,90,226,4,321,1559,92,1975,12,452,3,467,1124,101,1698,8,106,0,115,752,70,935,0,8,0,8,477,88,574,2375,1066,100,3537,9743,895,14176,6,83,0,92,1486,70,1649,16,41,0,64,1635,135,1838,570,134,13,712,4320,378,5409,1987,97,68,2159,2008,254,4417,1552,84,54,1687,2313,237,4238,297,316,11,616,3056,197,3874,39,725,4,768,2267,203,3241,14,201,0,217,1396,140,1758,0,15,0,15
80107,6,151,0,150,2508,99,2758,68,96,0,164,2488,96,2748,1527,168,39,1738,4078,246,6057,3289,126,113,3526,2201,230,5960,1909,190,42,2145,3341,179,5655,353,615,10,979,4431,151,5562,52,816,3,873,3214,141,4227,9,164,0,177,1457,103,1740,0,6,0,9,420,63,489,7216,2333,214,9759,24140,1305,35206,11,223,0,234,2141,81,2458,157,180,11,346,2073,80,2503,2316,281,130,2726,3194,201,6122,3831,164,247,4243,1801,204,6241,1669,417,63,2150,3758,165,6069,157,1419,15,1588,4456,126,6167,33,1258,4,1301,3202,132,4630,3,188,3,200,1740,135,2075,0,7,0,4,653,122,788,8194,4141,468,12798,23016,1251,37066,20,372,0,392,4652,174,5213,227,280,11,512,4563,176,5254,3850,449,164,4458,7277,447,12184,7122,291,360,7769,4001,440,12208,3581,607,111,4291,7093,343,11728,509,2034,26,2570,8882,274,11734,88,2077,9,2174,6411,271,8855,14,359,3,377,3195,240,3815,3,18,0,17
80108,6,37,0,44,681,23,749,13,25,0,35,522,31,593,275,27,10,317,902,70,1288,961,24,45,1030,569,64,1669,690,32,19,744,883,38,1671,116,81,10,205,973,42,1214,14,203,0,221,877,48,1142,4,88,0,93,727,50,871,0,3,0,3,252,30,286,2079,522,86,2688,6394,403,9483,3,45,0,47,587,19,655,8,29,0,40,497,21,555,433,45,23,498,787,62,1346,1141,41,77,1257,467,59,1785,683,66,26,775,964,48,1780,52,199,3,253,1066,47,1368,9,360,3,376,985,58,1418,0,127,3,131,825,70,1032,0,0,0,0,353,42,400,2329,909,143,3384,6525,431,10341,8,82,0,90,1270,38,1402,20,51,0,75,1018,52,1148,707,74,32,817,1684,130,2632,2102,65,123,2292,1040,129,3455,1370,94,47,1519,1847,86,3453,167,279,12,454,2041,92,2587,27,568,8,596,1864,106,2559,6,214,4,224,1555,127,1898,0,6,0,6
80109,0,50,5,54,922,38,1015,10,24,0,38,1056,52,1144,429,68,8,503,2297,152,2952,1419,44,30,1492,1106,113,2707,950,33,31,1014,1308,106,2429,203,126,9,339,1710,83,2132,29,296,0,322,1170,61,1551,0,111,0,112,988,67,1165,0,13,0,13,460,32,503,3039,765,81,3881,11016,707,15604,5,53,0,63,876,24,960,20,61,0,88,1043,54,1186,679,109,18,801,2118,132,3054,1659,58,90,1802,936,89,2829,970,96,49,1108,1394,92,2602,83,325,8,410,1759,59,2230,16,446,0,465,1220,80,1755,8,148,4,157,1343,68,1570,0,5,0,5,661,52,717,3437,1303,171,4907,11351,653,16911,5,108,5,118,1801,65,1980,31,94,6,125,2102,107,2327,1108,177,23,1309,4416,285,6008,3071,103,121,3295,2044,199,5539,1915,130,79,2124,2701,201,5028,291,447,9,744,3474,139,4363,38,741,5,782,2383,142,3311,11,260,4,271,2329,136,2734,0,18,0,18
80110,4,15,0,12,215,7,233,5,5,0,11,321,17,346,224,22,3,249,1054,59,1359,693,20,12,732,499,33,1261,230,9,3,239,316,22,571,33,13,0,45,212,10,271,3,31,0,36,105,7,150,3,9,0,9,27,7,44,0,0,0,0,8,0,8,1180,128,22,1333,2753,156,4245,0,17,0,20,205,10,238,22,19,0,45,338,22,410,411,57,16,487,1014,73,1574,754,38,24,809,403,35,1249,167,19,5,186,309,20,517,23,56,0,79,228,11,324,3,53,0,61,97,12,165,0,8,0,6,31,0,39,0,0,0,0,10,0,10,1380,262,41,1683,2649,187,4524,4,27,0,29,423,24,472,23,29,0,54,658,41,751,635,77,21,733,2067,135,2937,1446,60,35,1541,899,61,2511,393,22,9,427,622,35,1088,46,72,3,125,442,20,587,4,84,0,96,198,23,312,4,14,0,14,61,9,84,0,0,0,0
80111,0,0,0,0,17,3,18,0,0,0,0,12,0,15,14,0,0,16,21,3,43,26,0,0,28,17,0,47,12,3,0,15,27,4,43,0,5,0,5,27,4,33,0,0,0,0,20,5,24,0,3,0,3,0,0,9,0,0,0,0,0,0,0,56,9,0,70,142,17,238,0,0,0,0,15,5,17,0,0,0,0,16,0,15,18,0,0,22,19,3,43,35,0,0,35,12,3,54,9,9,0,17,22,5,35,3,12,0,11,22,4,43,0,4,0,4,10,0,17,0,0,0,0,0,0,7,0,0,0,0,5,0,5,70,25,0,96,120,15,234,0,0,0,0,28,4,36,0,0,0,0,31,4,39,37,7,0,38,40,4,90,66,0,0,68,28,3,102,26,9,0,35,42,9,85,3,11,0,22,47,11,75,0,10,0,10,31,3,40,0,3,0,3,10,0,11,0,0,0,0
