SA3_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
80101,1522,125,1667,17925,6024,805,24754,58586,3456,86802
80103,12,0,16,132,51,5,186,827,760,1772
80104,350,17,374,18665,3634,515,22814,42053,2585,67456
80105,928,122,1069,7511,2451,347,10311,40139,3411,53862
80106,697,129,842,4480,1695,152,6328,19180,1745,27253
80107,1075,189,1281,15404,6477,686,22566,47152,2557,72279
80108,601,77,683,4414,1428,225,6069,12917,836,19823
80109,1123,83,1221,6476,2069,246,8788,22368,1361,32513
80110,22,0,22,2565,393,58,3020,5402,347,8770
80111,4,0,4,133,37,0,171,267,41,474
89797,0,0,0,0,0,0,0,0,0,0
89999,0,0,4,63,32,0,97,335,130,560
