SA3_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
80101,10985,800,385,90,8,3,53,12322
80103,74,7,5,0,0,0,0,92
80104,11666,733,379,109,9,3,44,12944
80105,4445,249,100,16,0,0,11,4836
80106,2851,176,53,10,0,0,5,3095
80107,9925,885,518,114,18,4,55,11512
80108,2831,189,88,18,4,0,7,3133
80109,4292,241,86,33,3,0,17,4677
80110,1458,86,29,15,0,0,0,1588
80111,75,4,3,0,0,0,0,79
89797,0,0,0,0,0,0,0,0
89999,0,0,0,0,0,0,0,0
