SA3_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
80101,127,25,46,8,202,46,8,23,6,83,31,8,46,0,81,23,10,63,3,104,104,25,139,7,277,97,49,216,13,378,527,92,205,17,835,469,121,265,29,878,623,242,347,38,1250,1049,347,360,62,1812,719,399,335,31,1486,738,481,327,32,1578,1650,1336,654,73,3712,1403,1400,297,56,3155,1049,1488,196,29,2762,773,1376,104,23,2279,1589,4255,229,31,6100,334,620,277,14,1250,78,38,30,4,150,11424,12322,4161,473,28377
80103,4,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,6,0,0,4,0,0,15,0,0,0,16,7,0,8,4,19,5,3,10,0,14,11,4,5,0,21,3,0,3,0,11,3,0,0,3,15,10,8,8,0,26,9,10,0,0,17,16,9,3,0,28,6,4,0,0,10,5,28,0,0,35,7,8,3,0,17,0,0,0,0,5,103,92,45,8,243
80104,174,26,36,3,240,37,9,10,0,58,31,8,27,4,69,12,12,51,0,72,71,22,81,3,183,70,55,122,7,253,279,81,149,7,514,258,172,174,17,626,354,228,245,15,848,492,420,240,29,1184,418,416,272,21,1131,440,484,235,25,1178,1181,1468,516,66,3227,883,1409,179,40,2514,735,1578,164,24,2499,564,1376,78,20,2033,1185,4456,190,23,5851,257,684,199,13,1156,45,47,21,0,118,7493,12944,2992,322,23748
80105,45,6,33,3,94,16,4,11,3,40,21,0,22,0,49,6,3,20,0,36,48,15,46,5,108,34,16,69,11,131,152,26,69,11,254,134,35,92,16,273,253,65,115,19,451,337,97,104,20,565,293,93,106,14,508,322,125,121,23,592,871,313,267,42,1493,803,351,95,27,1282,690,459,95,25,1272,571,418,30,12,1031,1765,2515,163,16,4460,269,279,113,6,667,34,11,12,0,60,6668,4836,1594,266,13352
80106,24,10,17,0,47,11,0,5,4,12,4,0,9,0,13,9,0,17,0,20,10,4,19,3,47,12,6,21,0,41,66,11,24,0,107,50,17,43,8,113,90,28,59,7,179,157,48,53,7,261,141,42,66,3,259,168,52,63,8,292,449,159,162,12,789,450,156,55,14,672,427,204,78,16,723,317,212,25,8,558,1421,1929,159,7,3520,154,186,69,4,413,16,19,9,0,39,3972,3095,947,94,8109
80107,88,14,30,7,138,25,10,13,0,47,24,4,42,0,72,22,5,61,4,86,93,19,135,5,256,107,36,161,0,308,430,60,212,15,714,354,72,264,16,703,549,179,344,18,1087,751,277,343,35,1405,564,337,395,22,1320,573,410,332,16,1341,1379,1195,652,56,3282,1090,1360,318,56,2816,969,1536,230,20,2757,596,1343,108,16,2056,1342,3900,234,20,5495,275,701,311,11,1303,50,55,31,0,136,9276,11512,4215,321,25320
80108,19,4,12,0,43,6,0,5,0,3,6,0,6,0,12,3,3,15,4,25,24,5,14,0,44,21,9,39,0,73,120,6,45,0,178,93,13,56,6,169,165,36,62,6,269,249,63,75,9,393,160,64,72,0,300,173,77,65,8,332,341,233,166,20,750,258,260,78,9,608,226,320,79,4,625,162,340,26,4,527,498,1509,68,8,2083,87,191,89,0,362,18,3,6,3,36,2620,3133,984,81,6816
80109,49,10,20,0,82,21,0,10,3,35,6,0,11,0,17,8,3,12,0,23,38,4,26,7,70,31,10,46,3,95,127,21,39,7,190,146,29,58,5,236,193,46,81,18,338,343,109,103,7,555,259,89,102,7,455,269,128,88,11,506,612,372,227,27,1236,466,326,87,20,905,396,409,73,8,890,272,391,43,15,727,930,2415,156,11,3513,165,287,103,8,563,28,14,11,0,60,4372,4677,1294,164,10505
80110,25,0,4,0,34,3,0,5,0,7,0,0,0,0,3,5,0,18,0,23,5,0,16,0,21,4,3,18,0,24,11,7,15,0,39,23,16,17,0,59,15,17,22,4,61,54,41,34,0,129,41,54,26,6,118,58,51,34,3,145,145,155,65,8,367,140,168,18,9,344,131,194,24,8,350,112,168,8,3,290,270,648,30,3,956,26,60,26,0,111,4,8,5,0,14,1069,1588,394,46,3100
80111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,7,3,0,3,0,3,0,0,0,0,0,4,0,0,0,7,3,0,0,0,5,9,10,3,0,24,18,7,0,0,21,7,11,0,0,15,0,9,0,0,18,20,27,0,0,48,0,4,0,0,8,0,0,0,0,6,72,79,20,4,172
89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
