SA3_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
80101,..,9792,9792,12141,1138,13284,6146,524,6665,6187,190,6372,2277,53,2325,1027,40,1070,27775,11737,39514
80103,..,253,253,117,20,134,56,0,51,41,0,41,10,0,13,15,0,15,234,282,515
80104,..,5450,5450,7579,649,8227,5544,273,5815,6379,143,6519,2484,57,2536,1105,31,1137,23084,6597,29684
80105,..,8080,8080,7103,1298,8399,2625,730,3357,2440,267,2701,789,77,867,235,28,262,13192,10477,23677
80106,..,4573,4573,4336,490,4825,1570,121,1698,1456,42,1497,485,11,500,164,0,170,8017,5245,13258
80107,..,7486,7486,10305,534,10837,5575,135,5712,5659,35,5694,2202,8,2208,976,5,984,24717,8202,32919
80108,..,2234,2234,2903,149,3056,1386,44,1438,1599,9,1610,628,3,627,188,0,190,6709,2448,9154
80109,..,4508,4508,4622,334,4954,2167,120,2287,2377,42,2415,821,16,832,325,3,326,10301,5019,15322
80110,..,934,934,1122,142,1264,754,49,806,789,26,813,247,4,245,118,0,115,3029,1147,4178
80111,..,25,25,56,0,56,25,0,29,40,0,43,20,0,20,11,0,11,160,23,185
89797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89999,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
